Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.13,0.12,0.12,768000,0.0,0.0
1980-03-18,0.0,0.12,0.12,0.12,595200,0.0,0.0
1980-03-19,0.0,0.13,0.13,0.13,796800,0.0,0.0
1980-03-20,0.0,0.13,0.13,0.13,201600,0.0,0.0
1980-03-21,0.0,0.13,0.12,0.12,206400,0.0,0.0
1980-03-24,0.0,0.12,0.12,0.12,240000,0.0,0.0
1980-03-25,0.0,0.12,0.11,0.11,830400,0.0,0.0
1980-03-26,0.0,0.11,0.11,0.11,240000,0.0,0.0
1980-03-27,0.0,0.11,0.1,0.1,1684800,0.0,0.0
1980-03-28,0.0,0.12,0.11,0.12,1056000,0.0,0.0
1980-03-31,0.0,0.12,0.12,0.12,676800,0.0,0.0
1980-04-01,0.0,0.13,0.12,0.13,403200,0.0,0.0
1980-04-02,0.0,0.13,0.12,0.13,643200,0.0,0.0
1980-04-03,0.0,0.13,0.13,0.13,1934400,0.0,0.0
1980-04-07,0.0,0.13,0.13,0.13,643200,0.0,0.0
1980-04-08,0.0,0.12,0.12,0.12,432000,0.0,0.0
1980-04-09,0.0,0.12,0.12,0.12,331200,0.0,0.0
1980-04-10,0.0,0.12,0.12,0.12,652800,0.0,0.0
1980-04-11,0.0,0.12,0.12,0.12,369600,0.0,0.0
1980-04-14,0.0,0.12,0.12,0.12,451200,0.0,0.0
1980-04-15,0.0,0.12,0.12,0.12,52800,0.0,0.0
1980-04-16,0.0,0.12,0.12,0.12,384000,0.0,0.0
1980-04-17,0.0,0.12,0.12,0.12,403200,0.0,0.0
1980-04-18,0.0,0.12,0.11,0.11,110400,0.0,0.0
1980-04-21,0.0,0.11,0.11,0.11,758400,0.0,0.0
1980-04-22,0.0,0.11,0.11,0.11,1036800,0.0,0.0
1980-04-23,0.0,0.12,0.11,0.12,561600,0.0,0.0
1980-04-24,0.0,0.12,0.12,0.12,321600,0.0,0.0
1980-04-25,0.0,0.12,0.12,0.12,230400,0.0,0.0
1980-04-28,0.0,0.13,0.12,0.13,619200,0.0,0.0
