Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-10-18,0.65,0.65,0.64,0.65,405200,0.0,0.0
1994-10-19,0.65,0.71,0.65,0.7,242200,0.0,0.0
1994-10-20,0.71,0.73,0.71,0.71,137200,0.0,0.0
1994-10-21,0.71,0.71,0.69,0.7,66600,0.0,0.0
1994-10-24,0.7,0.71,0.68,0.68,73400,0.0,0.0
1994-10-25,0.68,0.7,0.67,0.69,63200,0.0,0.0
1994-10-26,0.69,0.7,0.69,0.69,46200,0.15,0.0
1994-10-27,0.69,0.7,0.69,0.69,33800,0.0,0.0
1994-10-28,0.69,0.7,0.68,0.68,40000,0.0,0.0
1994-10-31,0.69,0.69,0.68,0.68,32800,0.0,0.0
1994-11-01,0.68,0.69,0.68,0.68,33000,0.0,0.0
1994-11-02,0.68,0.69,0.66,0.68,73200,0.0,0.0
1994-11-03,0.68,0.69,0.67,0.67,54800,0.0,0.0
1994-11-04,0.67,0.68,0.66,0.66,65600,0.0,0.0
1994-11-07,0.66,0.67,0.66,0.66,71200,0.0,0.0
1994-11-08,0.66,0.67,0.66,0.67,103000,0.0,0.0
1994-11-09,0.66,0.67,0.66,0.66,60000,0.0,0.0
1994-11-10,0.66,0.67,0.64,0.65,74200,0.0,0.0
1994-11-11,0.65,0.65,0.63,0.64,78400,0.0,0.0
1994-11-14,0.64,0.65,0.63,0.65,63800,0.0,0.0
1994-11-15,0.63,0.65,0.63,0.63,68200,0.0,0.0
1994-11-16,0.63,0.64,0.63,0.64,83200,0.0,0.0
1994-11-17,0.63,0.64,0.63,0.64,96400,0.0,0.0
1994-11-18,0.64,0.64,0.63,0.63,110400,0.0,0.0
1994-11-21,0.64,0.65,0.63,0.64,132600,0.0,0.0
1994-11-22,0.63,0.64,0.63,0.64,90200,0.0,0.0
1994-11-23,0.63,0.64,0.63,0.64,47000,0.0,0.0
1994-11-25,0.64,0.65,0.64,0.65,32800,0.15,0.0
1994-11-28,0.65,0.67,0.65,0.67,66400,0.0,0.0
1994-11-29,0.67,0.67,0.66,0.66,46600,0.0,0.0
1994-11-30,0.67,0.68,0.66,0.67,70400,0.0,0.0
1994-12-01,0.67,0.68,0.67,0.68,66600,0.0,0.0
1994-12-02,0.67,0.68,0.67,0.67,30600,0.0,0.0
1994-12-05,0.66,0.67,0.66,0.67,44200,0.0,0.0
1994-12-06,0.66,0.67,0.65,0.67,42000,0.0,0.0
1994-12-07,0.65,0.67,0.65,0.67,33000,0.0,0.0
1994-12-08,0.66,0.67,0.66,0.66,37400,0.0,0.0
1994-12-09,0.65,0.67,0.65,0.66,70400,0.0,0.0
1994-12-12,0.67,0.67,0.66,0.66,31000,0.0,0.0
1994-12-13,0.67,0.67,0.66,0.66,67200,0.0,0.0
1994-12-14,0.67,0.67,0.65,0.67,109400,0.0,0.0
1994-12-15,0.67,0.68,0.67,0.67,42800,0.0,0.0
1994-12-16,0.68,0.71,0.68,0.69,80800,0.0,0.0
1994-12-19,0.7,0.71,0.69,0.7,76600,0.0,0.0
1994-12-20,0.69,0.7,0.68,0.7,55800,0.0,0.0
1994-12-21,0.7,0.71,0.7,0.7,53400,0.0,0.0
1994-12-22,0.7,0.71,0.7,0.7,57600,0.0,0.0
1994-12-23,0.7,0.71,0.7,0.7,44000,0.0,0.0
1994-12-27,0.7,0.72,0.69,0.7,45600,0.15,0.0
1994-12-28,0.7,0.71,0.7,0.71,40800,0.0,0.0
1994-12-29,0.7,0.7,0.7,0.7,63200,0.0,0.0
1994-12-30,0.7,0.73,0.7,0.73,103000,0.0,0.0
1995-01-03,0.72,0.73,0.71,0.72,45800,0.0,0.0
1995-01-04,0.71,0.72,0.7,0.7,21200,0.0,0.0
1995-01-05,0.7,0.71,0.7,0.71,15600,0.0,0.0
1995-01-06,0.7,0.71,0.7,0.71,16000,0.0,0.0
1995-01-09,0.71,0.73,0.71,0.73,48000,0.0,0.0
1995-01-10,0.74,0.74,0.72,0.73,20000,0.0,0.0
1995-01-11,0.72,0.74,0.72,0.73,16200,0.0,0.0
1995-01-12,0.73,0.74,0.73,0.74,26200,0.0,0.0
