Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-10-01,0.0,0.01,0.01,0.01,203700,0.0,0.0
1980-10-02,0.0,0.01,0.01,0.01,356300,0.0,0.0
1980-10-03,0.0,0.01,0.01,0.01,257600,0.0,0.0
1980-10-06,0.0,0.01,0.01,0.01,137900,0.0,0.0
1980-10-07,0.0,0.01,0.01,0.01,262200,0.0,0.0
1980-10-08,0.0,0.01,0.01,0.01,85800,0.0,0.0
1980-10-09,0.0,0.01,0.01,0.01,185400,0.0,0.0
1980-10-10,0.0,0.01,0.01,0.01,147100,0.0,0.0
1980-10-13,0.0,0.01,0.01,0.01,63000,0.0,0.0
1980-10-14,0.0,0.01,0.01,0.01,111400,0.0,0.0
1980-10-15,0.0,0.01,0.01,0.01,62100,0.0,0.0
1980-10-16,0.0,0.01,0.01,0.01,98600,0.0,0.0
1980-10-17,0.0,0.01,0.01,0.01,148900,0.0,0.0
1980-10-20,0.0,0.01,0.01,0.01,174500,0.0,0.0
1980-10-21,0.0,0.01,0.01,0.01,338000,0.0,0.0
1980-10-22,0.0,0.01,0.01,0.01,305100,0.0,0.0
1980-10-23,0.0,0.01,0.01,0.01,148000,0.0,0.0
1980-10-24,0.0,0.01,0.01,0.01,129700,0.0,0.0
1980-10-27,0.0,0.01,0.01,0.01,182700,0.0,0.0
1980-10-28,0.0,0.01,0.01,0.01,195500,0.0,0.0
1980-10-29,0.0,0.01,0.01,0.01,55700,0.0,0.0
1980-10-30,0.0,0.01,0.01,0.01,49300,0.0,0.0
1980-10-31,0.0,0.01,0.01,0.01,52900,0.0,0.0
1980-11-03,0.0,0.01,0.01,0.01,58400,0.0,0.0
1980-11-05,0.0,0.01,0.01,0.01,180900,0.0,0.0
1980-11-06,0.0,0.01,0.01,0.01,103200,0.0,0.0
1980-11-07,0.0,0.01,0.01,0.01,66700,0.0,0.0
1980-11-10,0.0,0.01,0.01,0.01,47500,0.0,0.0
1980-11-11,0.0,0.01,0.01,0.01,163500,0.0,0.0
1980-11-12,0.0,0.01,0.01,0.01,123300,0.0,0.0
1980-11-13,0.0,0.01,0.01,0.01,505300,0.0,0.0
1980-11-14,0.0,0.01,0.01,0.01,463200,0.0,0.0
1980-11-17,0.0,0.01,0.01,0.01,128800,0.0,0.0
1980-11-18,0.0,0.01,0.01,0.01,310600,0.0,0.0
1980-11-19,0.0,0.01,0.01,0.01,392900,0.0,0.0
1980-11-20,0.0,0.01,0.01,0.01,353600,0.0,0.0
1980-11-21,0.0,0.01,0.01,0.01,444000,0.0,0.0
1980-11-24,0.0,0.01,0.01,0.01,117800,0.0,0.0
1980-11-25,0.0,0.01,0.01,0.01,821400,0.0,0.0
1980-11-26,0.0,0.01,0.01,0.01,245800,0.0,0.0
1980-11-28,0.0,0.01,0.01,0.01,158900,0.0,0.0
1980-12-01,0.0,0.01,0.01,0.01,98600,0.0,0.0
1980-12-02,0.0,0.01,0.01,0.01,32800,0.0,0.0
1980-12-03,0.0,0.01,0.01,0.01,63000,0.0,0.0
1980-12-04,0.0,0.01,0.01,0.01,61200,0.0,0.0
1980-12-05,0.0,0.01,0.01,0.01,60300,0.0,0.0
