Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.15,0.14,0.14,25600,0.0,0.0
1980-03-18,0.0,0.15,0.14,0.14,81600,0.0,0.0
1980-03-19,0.0,0.15,0.15,0.15,40000,0.0,0.0
1980-03-20,0.0,0.15,0.14,0.14,11200,0.0,0.0
1980-03-21,0.0,0.15,0.14,0.14,19200,0.0,0.0
1980-03-24,0.0,0.14,0.14,0.14,112000,0.0,0.0
1980-03-25,0.0,0.14,0.14,0.14,49600,0.0,0.0
1980-03-26,0.0,0.14,0.14,0.14,17600,0.0,0.0
1980-03-27,0.0,0.14,0.14,0.14,78400,0.0,0.0
1980-03-28,0.0,0.14,0.14,0.14,16000,0.0,0.0
1980-03-31,0.0,0.14,0.13,0.13,128000,0.0,0.0
1980-04-01,0.0,0.14,0.13,0.13,54400,0.0,0.0
1980-04-02,0.0,0.14,0.13,0.13,20800,0.0,0.0
1980-04-03,0.0,0.14,0.13,0.13,8000,0.0,0.0
1980-04-07,0.0,0.13,0.13,0.13,43200,0.0,0.0
1980-04-08,0.0,0.13,0.13,0.13,62400,0.0,0.0
1980-04-09,0.0,0.14,0.13,0.13,33600,0.0,0.0
1980-04-10,0.0,0.14,0.13,0.13,24000,0.0,0.0
1980-04-11,0.0,0.14,0.14,0.14,33600,0.0,0.0
1980-04-14,0.0,0.14,0.13,0.13,32000,0.0,0.0
1980-04-15,0.0,0.14,0.13,0.13,33600,0.0,0.0
1980-04-16,0.0,0.14,0.13,0.13,76800,0.0,0.0
1980-04-17,0.0,0.14,0.13,0.13,8000,0.0,0.0
1980-04-18,0.0,0.14,0.14,0.14,52800,0.0,0.0
1980-04-21,0.0,0.14,0.13,0.13,70400,0.0,0.0
1980-04-22,0.0,0.14,0.14,0.14,83200,0.0,0.0
1980-04-23,0.0,0.14,0.14,0.14,19200,0.0,0.0
1980-04-24,0.0,0.14,0.14,0.14,3200,0.0,0.0
1980-04-25,0.0,0.14,0.14,0.14,17600,0.0,0.0
1980-04-28,0.0,0.14,0.14,0.14,56000,0.0,0.0
1980-04-29,0.0,0.15,0.14,0.14,64000,0.0,0.0
1980-04-30,0.0,0.15,0.14,0.14,4800,0.0,0.0
1980-05-01,0.0,0.15,0.14,0.14,108800,0.0,0.0
1980-05-02,0.0,0.15,0.14,0.14,17600,0.0,0.0
1980-05-05,0.0,0.15,0.14,0.14,48000,0.0,0.0
1980-05-06,0.0,0.15,0.14,0.14,14400,0.0,0.0
1980-05-07,0.0,0.15,0.14,0.14,32000,0.0,0.0
1980-05-08,0.0,0.14,0.14,0.14,102400,0.0,0.0
1980-05-09,0.0,0.14,0.14,0.14,62400,0.0,0.0
1980-05-12,0.0,0.14,0.14,0.14,17600,0.0,0.0
1980-05-13,0.0,0.14,0.14,0.14,8000,0.0,0.0
1980-05-14,0.0,0.14,0.14,0.14,20800,0.0,0.0
1980-05-15,0.0,0.15,0.14,0.14,140800,0.0,0.0
1980-05-16,0.0,0.15,0.14,0.14,116800,0.0,0.0
1980-05-19,0.0,0.15,0.14,0.14,44800,0.0,0.0
1980-05-20,0.0,0.15,0.14,0.14,134400,0.0,0.0
1980-05-21,0.0,0.15,0.14,0.14,76800,0.0,0.0
1980-05-22,0.0,0.15,0.14,0.14,49600,0.0,0.0
1980-05-23,0.0,0.15,0.15,0.15,38400,0.0,0.0
1980-05-27,0.0,0.15,0.15,0.15,12800,0.0,0.0
1980-05-28,0.0,0.16,0.15,0.15,83200,0.0,0.0
1980-05-29,0.0,0.15,0.15,0.15,57600,0.0,0.0
1980-05-30,0.0,0.15,0.15,0.15,24000,0.0,0.0
1980-06-02,0.0,0.15,0.15,0.15,22400,0.0,0.0
1980-06-03,0.0,0.15,0.15,0.15,22400,0.0,0.0
1980-06-04,0.0,0.15,0.15,0.15,30400,0.0,0.0
1980-06-05,0.0,0.15,0.15,0.15,57600,0.0,0.0
1980-06-06,0.0,0.15,0.15,0.15,11200,0.0,0.0
1980-06-09,0.0,0.15,0.15,0.15,38400,0.0,0.0
1980-06-10,0.0,0.15,0.15,0.15,44800,0.0,0.0
1980-06-11,0.0,0.16,0.15,0.15,96000,0.0,0.0
1980-06-12,0.0,0.16,0.15,0.15,16000,0.0,0.0
1980-06-13,0.0,0.16,0.15,0.15,12800,0.0,0.0
1980-06-16,0.0,0.16,0.16,0.16,32000,0.0,0.0
1980-06-17,0.0,0.16,0.16,0.16,6400,0.0,0.0
1980-06-18,0.0,0.16,0.16,0.16,11200,0.0,0.0
1980-06-19,0.0,0.16,0.16,0.16,56000,0.0,0.0
1980-06-20,0.0,0.16,0.16,0.16,49600,0.0,0.0
1980-06-23,0.0,0.16,0.16,0.16,36800,0.0,0.0
1980-06-24,0.0,0.16,0.16,0.16,25600,0.0,0.0
1980-06-25,0.0,0.16,0.16,0.16,3200,0.0,0.0
1980-06-26,0.0,0.16,0.16,0.16,94400,0.0,0.0
1980-06-27,0.0,0.16,0.16,0.16,12800,0.0,0.0
1980-06-30,0.0,0.16,0.16,0.16,20800,0.0,0.0
