Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,0.49,0.5,0.48,0.5,431600,0.0,0.0
1982-01-04,0.5,0.5,0.49,0.5,329500,0.0,0.0
1982-01-05,0.49,0.49,0.49,0.49,383200,0.0,0.0
1982-01-06,0.49,0.49,0.49,0.49,281700,0.0,0.0
1982-01-07,0.49,0.49,0.49,0.49,168500,0.0,0.0
1982-01-08,0.5,0.51,0.49,0.49,157900,0.0,0.0
1982-01-11,0.48,0.49,0.48,0.48,284600,0.0,0.0
1982-01-12,0.48,0.48,0.47,0.48,242100,0.0,0.0
1982-01-13,0.47,0.48,0.47,0.47,197400,0.0,0.0
1982-01-14,0.47,0.47,0.46,0.46,295800,0.0,0.0
1982-01-15,0.47,0.48,0.46,0.47,204500,0.0,0.0
1982-01-18,0.47,0.47,0.47,0.47,239200,0.0,0.0
1982-01-19,0.48,0.48,0.47,0.48,198200,0.0,0.0
1982-01-20,0.48,0.48,0.48,0.48,171700,0.0,0.0
1982-01-21,0.47,0.48,0.47,0.47,182000,0.0,0.0
1982-01-22,0.47,0.47,0.46,0.46,458500,0.0,0.0
1982-01-25,0.45,0.46,0.45,0.45,398800,0.0,0.0
1982-01-26,0.45,0.46,0.45,0.45,442500,0.0,0.0
1982-01-27,0.45,0.45,0.45,0.45,228700,0.0,0.0
1982-01-28,0.46,0.48,0.45,0.48,289000,0.0,0.0
1982-01-29,0.47,0.48,0.46,0.46,224300,0.0,0.0
1982-02-01,0.46,0.46,0.45,0.45,198400,0.0,0.0
1982-02-02,0.45,0.46,0.45,0.45,133700,0.0,0.0
1982-02-03,0.45,0.45,0.45,0.45,108800,0.0,0.0
1982-02-04,0.46,0.46,0.45,0.45,141400,0.0,0.0
1982-02-05,0.46,0.46,0.45,0.45,154400,0.0,0.0
1982-02-08,0.45,0.46,0.45,0.45,184500,0.0,0.0
1982-02-09,0.44,0.45,0.44,0.44,265200,0.0,0.0
1982-02-10,0.45,0.46,0.44,0.45,222600,0.0,0.0
1982-02-11,0.45,0.45,0.45,0.45,277500,0.0,0.0
1982-02-12,0.45,0.45,0.44,0.45,291700,0.0,0.0
1982-02-16,0.44,0.45,0.44,0.45,239400,0.0,0.0
1982-02-17,0.45,0.45,0.44,0.44,153300,0.0,0.0
1982-02-18,0.45,0.45,0.44,0.45,127100,0.0,0.0
1982-02-19,0.45,0.45,0.44,0.45,223200,0.0,0.0
1982-02-22,0.45,0.45,0.44,0.44,205300,0.0,0.0
1982-02-23,0.44,0.44,0.44,0.44,179500,0.0,0.0
1982-02-24,0.45,0.45,0.44,0.45,266300,0.0,0.0
1982-02-25,0.45,0.46,0.45,0.45,273400,0.0,0.0
1982-02-26,0.45,0.45,0.45,0.45,151700,0.0,0.0
1982-03-01,0.45,0.45,0.44,0.45,159200,0.0,0.0
1982-03-02,0.45,0.46,0.45,0.45,276100,0.0,0.0
1982-03-03,0.44,0.45,0.43,0.44,438700,0.0,0.0
1982-03-04,0.43,0.44,0.43,0.43,372800,0.29939,0.0
1982-03-05,0.42,0.43,0.42,0.42,503000,0.0,0.0
1982-03-08,0.41,0.42,0.4,0.4,500300,0.0,0.0
1982-03-09,0.41,0.42,0.4,0.41,655600,0.0,0.0
1982-03-10,0.42,0.42,0.41,0.42,376700,0.0,0.0
1982-03-11,0.42,0.42,0.42,0.42,264600,0.0,0.0
1982-03-12,0.41,0.42,0.4,0.4,467000,0.0,0.0
1982-03-15,0.4,0.41,0.4,0.4,684400,0.0,0.0
1982-03-16,0.41,0.41,0.4,0.41,320300,0.0,0.0
1982-03-17,0.41,0.42,0.41,0.41,206100,0.0,0.0
1982-03-18,0.42,0.42,0.41,0.42,193200,0.0,0.0
1982-03-19,0.43,0.43,0.42,0.43,173500,0.0,0.0
1982-03-22,0.44,0.44,0.43,0.44,414300,0.0,0.0
1982-03-23,0.44,0.44,0.43,0.44,219300,0.0,0.0
1982-03-24,0.44,0.44,0.43,0.44,313100,0.0,0.0
1982-03-25,0.43,0.44,0.43,0.43,160000,0.0,0.0
1982-03-26,0.44,0.44,0.43,0.43,191100,0.0,0.0
1982-03-29,0.43,0.44,0.43,0.44,174000,0.0,0.0
1982-03-30,0.44,0.44,0.43,0.44,165400,0.0,0.0
1982-03-31,0.44,0.44,0.43,0.43,631600,0.0,0.0
1982-04-01,0.43,0.43,0.43,0.43,177200,0.0,0.0
1982-04-02,0.44,0.44,0.43,0.44,373800,0.0,0.0
1982-04-05,0.43,0.44,0.43,0.44,112800,0.0,0.0
1982-04-06,0.43,0.44,0.43,0.43,194900,0.0,0.0
1982-04-07,0.43,0.43,0.43,0.43,187600,0.0,0.0
1982-04-08,0.43,0.43,0.43,0.43,111800,0.0,0.0
1982-04-12,0.43,0.43,0.43,0.43,140600,0.0,0.0
1982-04-13,0.43,0.43,0.43,0.43,132100,0.0,0.0
1982-04-14,0.43,0.43,0.43,0.43,114300,0.0,0.0
1982-04-15,0.43,0.44,0.43,0.44,318900,0.0,0.0
1982-04-16,0.44,0.44,0.43,0.44,264400,0.0,0.0
1982-04-19,0.43,0.44,0.43,0.43,1217100,0.0,0.0
1982-04-20,0.43,0.43,0.42,0.42,473400,0.0,0.0
1982-04-21,0.42,0.43,0.42,0.43,356300,0.0,0.0
1982-04-22,0.43,0.43,0.43,0.43,218400,0.0,0.0
1982-04-23,0.43,0.44,0.43,0.43,460400,0.0,0.0
1982-04-26,0.42,0.43,0.42,0.42,572900,0.0,0.0
1982-04-27,0.42,0.42,0.41,0.42,342400,0.0,0.0
1982-04-28,0.41,0.42,0.41,0.41,337400,0.0,0.0
1982-04-29,0.41,0.41,0.41,0.41,234700,0.0,0.0
1982-04-30,0.41,0.41,0.41,0.41,125200,0.0,0.0
1982-05-03,0.41,0.42,0.41,0.42,220900,0.0,0.0
1982-05-04,0.42,0.42,0.41,0.42,259400,0.0,0.0
1982-05-05,0.42,0.42,0.42,0.42,199300,0.0,0.0
1982-05-06,0.42,0.42,0.41,0.42,372500,0.0,0.0
1982-05-07,0.43,0.43,0.42,0.43,500900,0.0,0.0
1982-05-10,0.43,0.43,0.43,0.43,436200,0.0,0.0
1982-05-11,0.43,0.44,0.43,0.44,326800,0.0,0.0
1982-05-12,0.44,0.44,0.43,0.44,334500,0.0,0.0
1982-05-13,0.44,0.44,0.43,0.43,182200,0.0,0.0
1982-05-14,0.43,0.44,0.43,0.44,193600,0.0,0.0
1982-05-17,0.43,0.44,0.43,0.43,161700,0.0,0.0
1982-05-18,0.43,0.43,0.43,0.43,174000,0.0,0.0
1982-05-19,0.43,0.43,0.43,0.43,145800,0.0,0.0
1982-05-20,0.43,0.43,0.43,0.43,148900,0.0,0.0
1982-05-21,0.43,0.43,0.43,0.43,418100,0.0,0.0
1982-05-24,0.43,0.44,0.43,0.43,285000,0.0,0.0
1982-05-25,0.44,0.44,0.43,0.43,229300,0.0,0.0
1982-05-26,0.43,0.44,0.43,0.43,155200,0.0,0.0
1982-05-27,0.43,0.44,0.43,0.43,193600,0.0,0.0
1982-05-28,0.43,0.44,0.43,0.43,270200,0.0,0.0
