Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.04,0.04,0.04,81000,0.0,0.0
1980-03-18,0.0,0.04,0.04,0.04,238900,0.0,0.0
1980-03-19,0.0,0.04,0.04,0.04,141700,0.0,0.0
1980-03-20,0.0,0.04,0.04,0.04,267300,0.0,0.0
1980-03-21,0.0,0.04,0.04,0.04,113400,0.0,0.0
1980-03-24,0.0,0.04,0.04,0.04,291600,0.0,0.0
1980-03-25,0.0,0.04,0.04,0.04,166000,0.0,0.0
1980-03-26,0.0,0.04,0.04,0.04,52600,0.0,0.0
1980-03-27,0.0,0.04,0.04,0.04,700600,0.0,0.0
1980-03-28,0.0,0.04,0.04,0.04,133600,0.0,0.0
1980-03-31,0.0,0.04,0.04,0.04,93100,0.0,0.0
1980-04-01,0.0,0.04,0.04,0.04,44500,0.0,0.0
1980-04-02,0.0,0.04,0.04,0.04,170100,0.0,0.0
1980-04-03,0.0,0.04,0.04,0.04,101200,0.0,0.0
1980-04-07,0.0,0.04,0.04,0.04,838300,0.0,0.0
1980-04-08,0.0,0.04,0.04,0.04,854500,0.0,0.0
1980-04-09,0.0,0.04,0.04,0.04,2709400,0.0,0.0
1980-04-10,0.0,0.04,0.04,0.04,32400,0.0,0.0
1980-04-11,0.0,0.04,0.04,0.04,141700,0.0,0.0
1980-04-14,0.0,0.04,0.04,0.04,56700,0.0,0.0
1980-04-15,0.0,0.04,0.04,0.04,28300,0.0,0.0
1980-04-16,0.0,0.04,0.04,0.04,490000,0.0,0.0
1980-04-17,0.0,0.04,0.04,0.04,93100,0.0,0.0
1980-04-18,0.0,0.04,0.04,0.04,153900,0.0,0.0
1980-04-21,0.0,0.04,0.04,0.04,36400,0.0,0.0
1980-04-22,0.0,0.04,0.04,0.04,89100,0.0,0.0
1980-04-23,0.0,0.03,0.03,0.03,660100,0.0,0.0
1980-04-24,0.0,0.03,0.03,0.03,546700,0.0,0.0
1980-04-25,0.0,0.03,0.03,0.03,198400,0.0,0.0
1980-04-28,0.0,0.03,0.03,0.03,76900,0.0,0.0
1980-04-29,0.0,0.03,0.03,0.03,336100,0.0,0.0
1980-04-30,0.0,0.04,0.03,0.03,198400,0.0,0.0
1980-05-01,0.0,0.03,0.03,0.03,1073200,0.0,0.0
1980-05-02,0.0,0.03,0.03,0.03,627700,0.0,0.0
1980-05-05,0.0,0.03,0.03,0.03,413100,0.0,0.0
1980-05-06,0.0,0.04,0.03,0.03,226800,0.0,0.0
1980-05-07,0.0,0.04,0.04,0.04,149800,0.0,0.0
1980-05-08,0.0,0.04,0.04,0.04,121500,0.0,0.0
1980-05-09,0.0,0.04,0.04,0.04,113400,0.0,0.0
1980-05-12,0.0,0.04,0.04,0.04,137700,0.0,0.0
1980-05-13,0.0,0.04,0.04,0.04,433300,0.0,0.0
1980-05-14,0.0,0.04,0.04,0.04,166000,0.0,0.0
1980-05-15,0.0,0.04,0.04,0.04,109300,0.0,0.0
1980-05-16,0.0,0.04,0.04,0.04,52600,0.0,0.0
1980-05-19,0.0,0.04,0.04,0.04,166000,0.0,0.0
1980-05-20,0.0,0.04,0.04,0.04,226800,0.0,0.0
1980-05-21,0.0,0.04,0.04,0.04,149800,0.0,0.0
1980-05-22,0.0,0.04,0.04,0.04,469800,0.0,0.0
1980-05-23,0.0,0.04,0.04,0.04,141700,0.0,0.0
1980-05-27,0.0,0.04,0.04,0.04,157900,0.0,0.0
1980-05-28,0.0,0.04,0.04,0.04,153900,0.0,0.0
1980-05-29,0.0,0.04,0.04,0.04,113400,0.0,0.0
1980-05-30,0.0,0.04,0.04,0.04,56700,0.0,0.0
1980-06-02,0.0,0.04,0.04,0.04,16200,0.0,0.0
1980-06-03,0.0,0.04,0.04,0.04,182200,0.0,0.0
1980-06-04,0.0,0.04,0.04,0.04,105300,0.0,0.0
1980-06-05,0.0,0.04,0.04,0.04,76900,0.0,0.0
1980-06-06,0.0,0.04,0.04,0.04,166000,0.0,0.0
1980-06-09,0.0,0.04,0.04,0.04,178200,0.0,0.0
1980-06-10,0.0,0.04,0.04,0.04,32400,0.0,0.0
1980-06-11,0.0,0.04,0.04,0.04,222700,0.0,0.0
1980-06-12,0.0,0.04,0.04,0.04,97200,0.0,0.0
1980-06-13,0.0,0.04,0.04,0.04,52600,0.0,0.0
1980-06-16,0.0,0.04,0.04,0.04,48600,0.0,0.0
1980-06-17,0.0,0.04,0.04,0.04,32400,0.0,0.0
1980-06-18,0.0,0.04,0.04,0.04,113400,0.0,0.0
1980-06-19,0.0,0.04,0.04,0.04,44500,0.0,0.0
1980-06-20,0.0,0.04,0.04,0.04,113400,0.0,0.0
1980-06-23,0.0,0.04,0.04,0.04,20200,0.0,0.0
1980-06-24,0.0,0.04,0.04,0.04,72900,0.0,0.0
1980-06-25,0.0,0.04,0.04,0.04,109300,0.0,0.0
1980-06-26,0.0,0.04,0.04,0.04,141700,0.0,0.0
1980-06-27,0.0,0.04,0.04,0.04,72900,0.0,0.0
1980-06-30,0.0,0.04,0.04,0.04,60700,0.0,0.0
1980-07-01,0.0,0.04,0.04,0.04,76900,0.0,0.0
1980-07-02,0.0,0.04,0.04,0.04,60700,0.0,0.0
1980-07-03,0.0,0.04,0.04,0.04,315900,0.0,0.0
1980-07-07,0.0,0.04,0.04,0.04,64800,0.0,0.0
1980-07-08,0.0,0.04,0.04,0.04,109300,0.0,0.0
1980-07-09,0.0,0.04,0.04,0.04,247000,0.0,0.0
1980-07-10,0.0,0.04,0.04,0.04,93100,0.0,0.0
1980-07-11,0.0,0.04,0.04,0.04,117400,0.0,0.0
1980-07-14,0.0,0.04,0.04,0.04,303700,0.0,0.0
1980-07-15,0.0,0.04,0.04,0.04,384700,0.0,0.0
1980-07-16,0.0,0.04,0.04,0.04,93100,0.0,0.0
1980-07-17,0.0,0.04,0.04,0.04,668200,0.0,0.0
1980-07-18,0.0,0.04,0.04,0.04,518400,0.0,0.0
1980-07-21,0.0,0.04,0.04,0.04,433300,0.0,0.0
1980-07-22,0.0,0.04,0.04,0.04,271300,0.0,0.0
1980-07-23,0.0,0.04,0.04,0.04,170100,0.0,0.0
1980-07-24,0.0,0.04,0.04,0.04,89100,0.0,0.0
1980-07-25,0.0,0.04,0.04,0.04,101200,0.0,0.0
1980-07-28,0.0,0.04,0.04,0.04,137700,0.0,0.0
1980-07-29,0.0,0.04,0.04,0.04,113400,0.0,0.0
1980-07-30,0.0,0.04,0.04,0.04,1101600,0.0,0.0
1980-07-31,0.0,0.04,0.04,0.04,157900,0.0,0.0
1980-08-01,0.0,0.04,0.04,0.04,113400,0.0,0.0
1980-08-04,0.0,0.04,0.04,0.04,105300,0.0,0.0
1980-08-05,0.0,0.04,0.04,0.04,182200,0.0,0.0
1980-08-06,0.0,0.04,0.04,0.04,133600,0.0,0.0
1980-08-07,0.0,0.05,0.05,0.05,510300,0.0,0.0
1980-08-08,0.0,0.05,0.05,0.05,668200,0.0,0.0
1980-08-11,0.0,0.05,0.05,0.05,238900,0.0,0.0
1980-08-12,0.0,0.05,0.05,0.05,190300,0.0,0.0
1980-08-13,0.0,0.05,0.05,0.05,518400,0.0,0.0
1980-08-14,0.0,0.05,0.05,0.05,518400,0.0,0.0
1980-08-15,0.0,0.05,0.05,0.05,522400,0.0,0.0
1980-08-18,0.0,0.05,0.05,0.05,490000,0.0,0.0
1980-08-19,0.0,0.05,0.05,0.05,226800,0.0,0.0
1980-08-20,0.0,0.05,0.05,0.05,28300,0.0,0.0
1980-08-21,0.0,0.05,0.05,0.05,490000,0.0,0.0
1980-08-22,0.0,0.05,0.05,0.05,1263600,0.0,0.0
1980-08-25,0.0,0.05,0.05,0.05,214600,0.0,0.0
1980-08-26,0.0,0.05,0.05,0.05,117400,0.0,0.0
