Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.86,0.85,0.86,40400,0.0,0.0
1972-06-02,0.86,0.86,0.85,0.86,25400,0.0,0.0
1972-06-05,0.86,0.86,0.85,0.85,142800,0.0,0.0
1972-06-06,0.85,0.85,0.85,0.85,63000,0.0,0.0
1972-06-07,0.85,0.85,0.84,0.85,48000,0.0,0.0
1972-06-08,0.85,0.85,0.84,0.84,17800,0.0,0.0
1972-06-09,0.84,0.85,0.83,0.84,71600,0.0,0.0
1972-06-12,0.84,0.84,0.83,0.83,30600,0.0,0.0
1972-06-13,0.83,0.83,0.82,0.83,47800,0.0,0.0
1972-06-14,0.83,0.83,0.81,0.81,49400,0.0,0.0
1972-06-15,0.82,0.83,0.82,0.83,42400,0.0,0.0
1972-06-16,0.83,0.84,0.83,0.83,33800,0.0,0.0
1972-06-19,0.84,0.84,0.83,0.84,11400,0.215,0.0
1972-06-20,0.84,0.86,0.84,0.85,27600,0.0,0.0
1972-06-21,0.85,0.86,0.85,0.85,36200,0.0,0.0
1972-06-22,0.85,0.86,0.84,0.85,48400,0.0,0.0
1972-06-23,0.85,0.86,0.84,0.84,37800,0.0,0.0
1972-06-26,0.84,0.84,0.82,0.83,43000,0.0,0.0
1972-06-27,0.83,0.84,0.82,0.82,37400,0.0,0.0
1972-06-28,0.82,0.83,0.82,0.82,62200,0.0,0.0
1972-06-29,0.82,0.83,0.82,0.83,36200,0.0,0.0
1972-06-30,0.83,0.83,0.82,0.82,27400,0.0,0.0
1972-07-03,0.82,0.84,0.82,0.84,97200,0.0,0.0
1972-07-05,0.84,0.85,0.84,0.84,111000,0.0,0.0
1972-07-06,0.84,0.85,0.84,0.85,99200,0.0,0.0
1972-07-07,0.85,0.86,0.85,0.86,23600,0.0,0.0
1972-07-10,0.86,0.87,0.85,0.86,41400,0.0,0.0
1972-07-11,0.86,0.87,0.85,0.85,28800,0.0,0.0
1972-07-12,0.85,0.85,0.85,0.85,34800,0.0,0.0
1972-07-13,0.85,0.85,0.84,0.85,39800,0.0,0.0
1972-07-14,0.85,0.85,0.84,0.84,15800,0.0,0.0
1972-07-17,0.84,0.85,0.83,0.84,24800,0.0,0.0
1972-07-18,0.84,0.84,0.82,0.83,27800,0.0,0.0
1972-07-19,0.83,0.84,0.83,0.83,24200,0.0,0.0
1972-07-20,0.83,0.83,0.81,0.82,33800,0.0,0.0
1972-07-21,0.82,0.83,0.82,0.83,80800,0.0,0.0
1972-07-24,0.83,0.83,0.82,0.83,33200,0.0,0.0
1972-07-25,0.83,0.83,0.82,0.83,46000,0.0,0.0
1972-07-26,0.83,0.83,0.82,0.82,65600,0.0,0.0
1972-07-27,0.82,0.83,0.82,0.82,26200,0.0,0.0
1972-07-28,0.82,0.82,0.82,0.82,28400,0.0,0.0
1972-07-31,0.82,0.84,0.82,0.83,37400,0.0,0.0
1972-08-01,0.83,0.84,0.82,0.84,49400,0.0,0.0
1972-08-02,0.84,0.85,0.83,0.83,48600,0.0,0.0
1972-08-03,0.83,0.84,0.83,0.84,27800,0.0,0.0
1972-08-04,0.84,0.84,0.83,0.84,36600,0.0,0.0
1972-08-07,0.84,0.84,0.83,0.84,19600,0.0,0.0
1972-08-08,0.84,0.84,0.83,0.83,23200,0.0,0.0
1972-08-09,0.83,0.84,0.83,0.83,24600,0.0,0.0
1972-08-10,0.83,0.84,0.82,0.83,31200,0.0,0.0
1972-08-11,0.83,0.84,0.83,0.84,67200,0.0,0.0
1972-08-14,0.84,0.84,0.84,0.84,17000,0.0,0.0
1972-08-15,0.84,0.86,0.84,0.85,46200,0.0,0.0
1972-08-16,0.85,0.85,0.85,0.85,17400,0.0,0.0
1972-08-17,0.85,0.87,0.85,0.87,10600,0.0,0.0
1972-08-18,0.88,0.92,0.88,0.91,44000,0.0,0.0
1972-08-21,0.91,0.93,0.9,0.91,37000,0.0,0.0
1972-08-22,0.91,0.92,0.91,0.92,37200,0.0,0.0
1972-08-23,0.92,0.93,0.92,0.92,39600,0.0,0.0
1972-08-24,0.92,0.94,0.92,0.92,53200,0.0,0.0
1972-08-25,0.92,0.92,0.9,0.9,268200,0.0,0.0
1972-08-28,0.9,0.91,0.89,0.89,21400,0.0,0.0
1972-08-29,0.89,0.9,0.88,0.9,42400,0.0,0.0
1972-08-30,0.9,0.9,0.89,0.9,94200,0.0,0.0
1972-08-31,0.9,0.91,0.9,0.9,13600,0.0,0.0
1972-09-01,0.9,0.9,0.9,0.9,20000,0.0,0.0
1972-09-05,0.9,0.91,0.9,0.91,46000,0.0,0.0
1972-09-06,0.91,0.91,0.9,0.9,20400,0.0,0.0
1972-09-07,0.9,0.91,0.9,0.9,12000,0.0,0.0
1972-09-08,0.9,0.9,0.9,0.9,8200,0.0,0.0
1972-09-11,0.9,0.9,0.89,0.9,17800,0.0,0.0
1972-09-12,0.9,0.9,0.89,0.9,41200,0.0,0.0
1972-09-13,0.9,0.9,0.89,0.89,82800,0.0,0.0
1972-09-14,0.89,0.89,0.87,0.87,127600,0.0,0.0
1972-09-15,0.87,0.88,0.87,0.88,13200,0.0,0.0
1972-09-18,0.89,0.89,0.89,0.89,15000,0.215,0.0
1972-09-19,0.89,0.89,0.88,0.89,122400,0.0,0.0
1972-09-20,0.89,0.9,0.88,0.89,34600,0.0,0.0
1972-09-21,0.89,0.91,0.89,0.9,134600,0.0,0.0
1972-09-22,0.9,0.91,0.9,0.91,51800,0.0,0.0
1972-09-25,0.91,0.93,0.91,0.91,19800,0.0,0.0
1972-09-26,0.91,0.93,0.91,0.91,20000,0.0,0.0
1972-09-27,0.91,0.93,0.91,0.93,41800,0.0,0.0
1972-09-28,0.93,0.93,0.92,0.93,10600,0.0,0.0
1972-09-29,0.93,0.93,0.91,0.92,123800,0.0,0.0
