Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-10-28,1.62,1.64,1.54,1.54,19343200,0.0,0.0
1992-10-29,1.54,1.6,1.54,1.56,4667200,0.0,0.0
1992-10-30,1.54,1.58,1.51,1.51,4562800,0.0,0.0
1992-11-02,1.51,1.54,1.45,1.45,3475600,0.0,0.0
1992-11-03,1.45,1.49,1.45,1.47,1044000,0.0,0.0
1992-11-04,1.48,1.51,1.45,1.49,896800,0.0,0.0
1992-11-05,1.47,1.51,1.47,1.51,490000,0.0,0.0
1992-11-06,1.51,1.62,1.47,1.56,1603600,0.0,0.0
1992-11-09,1.6,1.67,1.58,1.62,2086000,0.0,0.0
1992-11-10,1.67,1.75,1.64,1.69,848400,0.0,0.0
1992-11-11,1.75,1.84,1.69,1.8,1459600,0.0,0.0
1992-11-12,1.8,1.8,1.75,1.77,655200,0.0,0.0
1992-11-13,1.75,1.8,1.75,1.8,531600,0.0,0.0
1992-11-16,1.8,1.8,1.62,1.69,1015200,0.0,0.0
1992-11-17,1.69,1.77,1.62,1.71,716400,0.0,0.0
1992-11-18,1.77,1.82,1.71,1.77,412800,0.0,0.0
1992-11-19,1.86,1.86,1.75,1.75,795600,0.0,0.0
1992-11-20,1.8,1.8,1.71,1.77,808800,0.0,0.0
1992-11-23,1.8,1.8,1.75,1.75,218400,0.0,0.0
1992-11-24,1.84,1.86,1.77,1.82,1695600,0.0,0.0
1992-11-25,1.82,1.84,1.77,1.84,716400,0.0,0.0
1992-11-27,1.84,1.84,1.77,1.84,412800,0.0,0.0
1992-11-30,1.84,1.84,1.77,1.82,1309200,0.0,0.0
1992-12-01,1.84,1.89,1.82,1.89,348000,0.0,0.0
1992-12-02,1.9,1.99,1.84,1.95,443200,0.0,0.0
1992-12-03,1.95,1.99,1.92,1.95,439200,0.0,0.0
1992-12-04,1.99,1.99,1.92,1.99,88000,0.0,0.0
1992-12-07,1.92,1.99,1.92,1.92,797200,0.0,0.0
1992-12-08,1.99,2.01,1.92,2.01,448000,0.0,0.0
1992-12-09,2.01,2.03,1.95,2.03,280800,0.0,0.0
1992-12-10,1.97,2.03,1.97,2.01,211200,0.0,0.0
1992-12-11,1.97,2.01,1.97,2.01,468400,0.0,0.0
1992-12-14,1.97,2.03,1.97,2.03,500400,0.0,0.0
1992-12-15,2.03,2.03,1.95,1.95,528000,0.0,0.0
1992-12-16,1.95,2.01,1.95,1.96,473200,0.0,0.0
1992-12-17,2.01,2.03,1.97,2.03,205600,0.0,0.0
1992-12-18,2.05,2.18,2.01,2.18,522000,0.0,0.0
1992-12-21,2.16,2.18,2.08,2.1,448000,0.0,0.0
1992-12-22,2.08,2.14,2.03,2.1,2104000,0.0,0.0
1992-12-23,2.1,2.1,2.03,2.1,97200,0.0,0.0
1992-12-24,2.1,2.12,2.03,2.12,245200,0.0,0.0
1992-12-28,2.12,2.16,2.08,2.16,144000,0.0,0.0
1992-12-29,2.12,2.16,2.12,2.12,36400,0.0,0.0
1992-12-30,2.12,2.21,2.12,2.16,115600,0.0,0.0
1992-12-31,2.12,2.21,2.12,2.21,338800,0.0,0.0
1993-01-04,2.18,2.27,2.16,2.21,306400,0.0,0.0
1993-01-05,2.21,2.27,2.14,2.21,148000,0.0,0.0
1993-01-06,2.18,2.21,2.05,2.1,463200,0.0,0.0
1993-01-07,2.03,2.08,1.82,1.84,1692400,0.0,0.0
1993-01-08,1.86,1.86,1.75,1.8,885600,0.0,0.0
1993-01-11,1.8,1.82,1.75,1.81,554400,0.0,0.0
1993-01-12,1.82,1.84,1.78,1.82,471600,0.0,0.0
1993-01-13,1.84,1.84,1.8,1.8,259200,0.0,0.0
1993-01-14,1.84,1.84,1.8,1.84,313200,0.0,0.0
1993-01-15,1.84,1.84,1.8,1.84,97600,0.0,0.0
1993-01-18,1.84,1.84,1.71,1.77,596400,0.0,0.0
1993-01-19,1.77,1.77,1.71,1.77,214800,0.0,0.0
1993-01-20,1.77,1.82,1.67,1.81,2341600,0.0,0.0
1993-01-21,1.82,1.82,1.75,1.82,608400,0.0,0.0
1993-01-22,1.82,1.82,1.75,1.82,812400,0.0,0.0
1993-01-25,1.82,1.82,1.75,1.8,675600,0.0,0.0
1993-01-26,1.82,1.82,1.75,1.77,979200,0.0,0.0
1993-01-27,1.82,1.88,1.75,1.87,941200,0.0,0.0
1993-01-28,1.9,1.97,1.88,1.95,523600,0.0,0.0
1993-01-29,1.95,1.95,1.88,1.95,2851200,0.0,0.0
1993-02-01,1.95,1.95,1.88,1.95,610800,0.0,0.0
1993-02-02,1.97,1.97,1.9,1.97,230400,0.0,0.0
1993-02-03,1.9,2.01,1.9,2.0,1307200,0.0,0.0
1993-02-04,2.01,2.03,1.99,2.01,351600,0.0,0.0
1993-02-05,1.97,2.01,1.9,2.01,666400,0.0,0.0
1993-02-08,1.97,2.03,1.95,1.99,349200,0.0,0.0
1993-02-09,1.99,2.05,1.97,1.99,448000,0.0,0.0
1993-02-10,1.99,2.01,1.97,2.01,430000,0.0,0.0
1993-02-11,2.01,2.05,1.97,2.01,117600,0.0,0.0
1993-02-12,2.01,2.03,1.97,1.99,135600,0.0,0.0
1993-02-16,2.03,2.03,1.67,1.69,852000,0.0,0.0
1993-02-17,1.77,1.8,1.69,1.8,995200,0.0,0.0
1993-02-18,1.86,1.86,1.8,1.81,560400,0.0,0.0
1993-02-19,1.86,1.88,1.8,1.86,82800,0.0,0.0
1993-02-22,1.77,1.84,1.77,1.77,99600,0.0,0.0
1993-02-23,1.77,1.8,1.67,1.73,356800,0.0,0.0
1993-02-24,1.67,1.73,1.64,1.71,633600,0.0,0.0
1993-02-25,1.75,1.8,1.73,1.73,1766400,0.0,0.0
1993-02-26,1.8,1.8,1.73,1.75,140400,0.0,0.0
1993-03-01,1.69,1.73,1.69,1.69,116800,0.0,0.0
1993-03-02,1.69,1.75,1.69,1.75,93600,0.0,0.0
1993-03-03,1.77,1.82,1.73,1.81,248400,0.0,0.0
1993-03-04,1.82,1.82,1.77,1.81,163600,0.0,0.0
1993-03-05,1.82,1.82,1.75,1.77,443200,0.0,0.0
1993-03-08,1.75,1.8,1.73,1.77,155200,0.0,0.0
1993-03-09,1.77,1.77,1.73,1.74,209200,0.0,0.0
1993-03-10,1.75,1.75,1.69,1.74,126000,0.0,0.0
1993-03-11,1.77,1.8,1.73,1.8,168000,0.0,0.0
1993-03-12,1.77,1.77,1.71,1.73,246400,0.0,0.0
1993-03-15,1.71,1.77,1.71,1.73,361600,0.0,0.0
1993-03-16,1.71,1.75,1.67,1.67,324000,0.0,0.0
1993-03-17,1.67,1.71,1.64,1.69,3598000,0.0,0.0
1993-03-18,1.69,1.71,1.64,1.71,313600,0.0,0.0
1993-03-19,1.75,1.82,1.73,1.77,1231600,0.0,0.0
1993-03-22,1.75,1.8,1.71,1.71,292000,0.0,0.0
1993-03-23,1.75,1.75,1.69,1.69,805200,0.0,0.0
1993-03-24,1.71,1.71,1.64,1.67,109600,0.0,0.0
1993-03-25,1.67,1.71,1.64,1.71,92400,0.0,0.0
1993-03-26,1.71,1.71,1.64,1.64,91600,0.0,0.0
1993-03-29,1.71,1.73,1.64,1.73,248800,0.0,0.0
1993-03-30,1.7,1.73,1.69,1.73,180400,0.0,0.0
1993-03-31,1.75,1.75,1.69,1.69,101200,0.0,0.0
1993-04-01,1.75,1.75,1.67,1.69,149200,0.0,0.0
1993-04-02,1.73,1.73,1.64,1.69,384000,0.0,0.0
1993-04-05,1.69,1.69,1.64,1.64,1152400,0.0,0.0
1993-04-06,1.69,1.69,1.56,1.57,1537600,0.0,0.0
1993-04-07,1.56,1.6,1.36,1.47,1333600,0.0,0.0
1993-04-08,1.47,1.56,1.43,1.51,680400,0.0,0.0
1993-04-12,1.51,1.51,1.47,1.47,587200,0.0,0.0
1993-04-13,1.48,1.54,1.47,1.49,412800,0.0,0.0
1993-04-14,1.54,1.56,1.49,1.54,774400,0.0,0.0
1993-04-15,1.54,1.56,1.49,1.49,121200,0.0,0.0
1993-04-16,1.49,1.58,1.49,1.54,198400,0.0,0.0
1993-04-19,1.51,1.58,1.51,1.56,54000,0.0,0.0
1993-04-20,1.58,1.64,1.56,1.64,326400,0.0,0.0
1993-04-21,1.64,1.69,1.62,1.64,198000,0.0,0.0
1993-04-22,1.64,1.64,1.56,1.57,1273200,0.0,0.0
1993-04-23,1.51,1.54,1.47,1.51,676800,0.0,0.0
1993-04-26,1.51,1.56,1.49,1.49,1184400,0.0,0.0
1993-04-27,1.47,1.56,1.47,1.55,122400,0.0,0.0
1993-04-28,1.58,1.58,1.51,1.58,16000,0.0,0.0
1993-04-29,1.56,1.6,1.51,1.6,56400,0.0,0.0
1993-04-30,1.6,1.65,1.54,1.65,288400,0.0,0.0
1993-05-03,1.6,1.67,1.6,1.67,858400,0.0,0.0
1993-05-04,1.6,1.67,1.6,1.62,115600,0.0,0.0
1993-05-05,1.67,1.71,1.64,1.69,695200,0.0,0.0
1993-05-06,1.71,1.72,1.67,1.72,446800,0.0,0.0
1993-05-07,1.73,1.73,1.69,1.73,605200,0.0,0.0
1993-05-10,1.73,1.75,1.69,1.75,392800,0.0,0.0
1993-05-11,1.71,1.75,1.71,1.71,38400,0.0,0.0
1993-05-12,1.75,1.75,1.71,1.73,95200,0.0,0.0
1993-05-13,1.71,1.75,1.71,1.72,61600,0.0,0.0
1993-05-14,1.73,1.73,1.71,1.71,39600,0.0,0.0
1993-05-17,1.69,1.75,1.69,1.7,217600,0.0,0.0
1993-05-18,1.75,1.75,1.69,1.73,194400,0.0,0.0
1993-05-19,1.69,1.75,1.69,1.69,374400,0.0,0.0
1993-05-20,1.75,1.75,1.71,1.71,65200,0.0,0.0
1993-05-21,1.71,1.75,1.71,1.71,31200,0.0,0.0
1993-05-24,1.71,1.75,1.71,1.73,52000,0.0,0.0
1993-05-25,1.69,1.75,1.69,1.69,144000,0.0,0.0
1993-05-26,1.71,1.82,1.71,1.82,2164000,0.0,0.0
1993-05-27,1.84,1.84,1.77,1.8,2095600,0.0,0.0
1993-05-28,1.84,1.84,1.77,1.84,130000,0.0,0.0
1993-06-01,1.86,1.9,1.82,1.84,1706800,0.0,0.0
1993-06-02,1.88,1.9,1.84,1.9,468400,0.0,0.0
1993-06-03,1.9,1.9,1.84,1.86,389200,0.0,0.0
1993-06-04,1.84,1.86,1.75,1.75,751200,0.0,0.0
1993-06-07,1.75,1.82,1.75,1.75,115600,0.0,0.0
1993-06-08,1.77,1.8,1.75,1.77,257200,0.0,0.0
1993-06-09,1.8,1.82,1.73,1.73,310000,0.0,0.0
1993-06-10,1.77,1.8,1.74,1.8,900000,0.0,0.0
1993-06-11,1.82,1.82,1.77,1.78,637200,0.0,0.0
1993-06-14,1.8,1.8,1.77,1.8,133600,0.0,0.0
1993-06-15,1.8,1.82,1.77,1.82,1127200,0.0,0.0
1993-06-16,1.84,1.84,1.8,1.82,1428000,0.0,0.0
1993-06-17,1.84,1.92,1.82,1.91,889200,0.0,0.0
1993-06-18,1.92,2.18,1.9,2.14,5843200,0.0,0.0
1993-06-21,2.18,2.25,2.14,2.16,2774400,0.0,0.0
1993-06-22,2.21,2.21,2.08,2.14,1792800,0.0,0.0
1993-06-23,2.08,2.14,2.08,2.1,675600,0.0,0.0
1993-06-24,2.16,2.21,2.1,2.21,1269600,0.0,0.0
1993-06-25,2.21,2.21,2.14,2.2,3927600,0.0,0.0
1993-06-28,2.16,2.23,2.16,2.18,700000,0.0,0.0
1993-06-29,2.18,2.23,2.18,2.23,396000,0.0,0.0
1993-06-30,2.18,2.25,2.18,2.25,313200,0.0,0.0
1993-07-01,2.25,2.27,2.18,2.21,673600,0.0,0.0
1993-07-02,2.21,2.31,2.21,2.29,366000,0.0,0.0
1993-07-06,2.25,2.29,2.25,2.27,1451200,0.0,0.0
1993-07-07,2.29,2.29,2.23,2.23,122400,0.0,0.0
1993-07-08,2.29,2.29,2.23,2.29,57600,0.0,0.0
