Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-01-02,0.11,0.11,0.11,0.11,61800,0.0,0.0
1980-01-03,0.11,0.11,0.11,0.11,82400,0.0,0.0
1980-01-04,0.11,0.11,0.11,0.11,41000,0.0,0.0
1980-01-07,0.11,0.11,0.11,0.11,36600,0.0,0.0
1980-01-08,0.11,0.12,0.11,0.11,46200,0.0,0.0
1980-01-09,0.11,0.11,0.11,0.11,288200,0.0,0.0
1980-01-10,0.11,0.11,0.11,0.11,35000,0.0,0.0
1980-01-11,0.11,0.11,0.11,0.11,59400,0.0,0.0
1980-01-14,0.11,0.11,0.11,0.11,52400,0.0,0.0
1980-01-15,0.11,0.11,0.11,0.11,62000,0.0,0.0
1980-01-16,0.11,0.11,0.11,0.11,72800,0.0,0.0
1980-01-17,0.11,0.11,0.11,0.11,218600,0.0,0.0
1980-01-18,0.11,0.11,0.11,0.11,157200,0.0,0.0
1980-01-21,0.11,0.11,0.11,0.11,132800,0.0,0.0
1980-01-22,0.11,0.11,0.11,0.11,86000,0.0,0.0
1980-01-23,0.11,0.11,0.11,0.11,46200,0.0,0.0
1980-01-24,0.11,0.11,0.11,0.11,83400,0.0,0.0
1980-01-25,0.11,0.11,0.11,0.11,239600,0.0,0.0
1980-01-28,0.11,0.11,0.11,0.11,127200,0.0,0.0
1980-01-29,0.11,0.11,0.11,0.11,80000,0.0,0.0
1980-01-30,0.11,0.11,0.1,0.1,314600,0.0,0.0
1980-01-31,0.1,0.11,0.1,0.11,62000,0.0,0.0
1980-02-01,0.11,0.11,0.1,0.11,55400,0.0,0.0
1980-02-04,0.11,0.11,0.11,0.11,220200,0.0,0.0
1980-02-05,0.11,0.11,0.1,0.1,178400,0.0,0.0
1980-02-06,0.1,0.11,0.1,0.11,54800,0.0,0.0
1980-02-07,0.11,0.11,0.1,0.11,142200,0.0,0.0
1980-02-08,0.11,0.11,0.1,0.11,129600,0.0,0.0
1980-02-11,0.11,0.11,0.1,0.1,115400,0.0,0.0
1980-02-12,0.1,0.1,0.1,0.1,169400,0.0,0.0
1980-02-13,0.1,0.1,0.1,0.1,289200,0.0,0.0
1980-02-14,0.1,0.1,0.1,0.1,57600,0.0,0.0
1980-02-15,0.1,0.1,0.1,0.1,161600,0.0,0.0
1980-02-19,0.1,0.1,0.1,0.1,209000,0.0,0.0
1980-02-20,0.1,0.1,0.1,0.1,179600,0.0,0.0
1980-02-21,0.1,0.1,0.1,0.1,145400,0.0,0.0
1980-02-22,0.1,0.1,0.1,0.1,150800,0.0,0.0
1980-02-25,0.1,0.1,0.1,0.1,112200,0.18333,0.0
1980-02-26,0.1,0.1,0.1,0.1,88800,0.0,0.0
1980-02-27,0.1,0.1,0.1,0.1,183800,0.0,0.0
1980-02-28,0.1,0.1,0.1,0.1,99800,0.0,0.0
1980-02-29,0.1,0.1,0.1,0.1,98600,0.0,0.0
1980-03-03,0.1,0.1,0.1,0.1,88400,0.0,0.0
1980-03-04,0.1,0.1,0.1,0.1,112200,0.0,0.0
1980-03-05,0.1,0.1,0.1,0.1,174600,0.0,0.0
1980-03-06,0.1,0.1,0.09,0.1,97800,0.0,0.0
1980-03-07,0.1,0.1,0.09,0.1,103800,0.0,0.0
1980-03-10,0.1,0.1,0.1,0.1,98000,0.0,0.0
1980-03-11,0.1,0.1,0.1,0.1,83400,0.0,0.0
1980-03-12,0.1,0.1,0.1,0.1,237000,0.0,0.0
1980-03-13,0.1,0.1,0.1,0.1,88800,0.0,0.0
1980-03-14,0.1,0.1,0.1,0.1,113400,0.0,0.0
1980-03-17,0.1,0.1,0.1,0.1,69200,0.0,0.0
1980-03-18,0.1,0.1,0.1,0.1,82200,0.0,0.0
1980-03-19,0.1,0.1,0.1,0.1,122600,0.0,0.0
1980-03-20,0.1,0.1,0.1,0.1,58800,0.0,0.0
1980-03-21,0.1,0.1,0.1,0.1,57800,0.0,0.0
1980-03-24,0.1,0.1,0.1,0.1,87800,0.0,0.0
1980-03-25,0.1,0.1,0.1,0.1,64200,0.0,0.0
1980-03-26,0.1,0.1,0.1,0.1,63000,0.0,0.0
1980-03-27,0.1,0.1,0.09,0.1,180600,0.0,0.0
1980-03-28,0.1,0.1,0.1,0.1,76400,0.0,0.0
1980-03-31,0.1,0.1,0.1,0.1,139400,0.0,0.0
1980-04-01,0.1,0.1,0.1,0.1,161400,0.0,0.0
1980-04-02,0.1,0.11,0.1,0.1,117000,0.0,0.0
1980-04-03,0.1,0.11,0.1,0.11,89000,0.0,0.0
1980-04-07,0.11,0.11,0.11,0.11,53600,0.0,0.0
1980-04-08,0.11,0.11,0.11,0.11,53000,0.0,0.0
1980-04-09,0.11,0.11,0.11,0.11,310400,0.0,0.0
1980-04-10,0.11,0.11,0.11,0.11,229400,0.0,0.0
1980-04-11,0.11,0.11,0.11,0.11,55800,0.0,0.0
1980-04-14,0.11,0.11,0.11,0.11,123200,0.0,0.0
1980-04-15,0.11,0.11,0.11,0.11,61200,0.0,0.0
1980-04-16,0.11,0.12,0.11,0.11,345000,0.0,0.0
1980-04-17,0.11,0.12,0.11,0.12,85400,0.0,0.0
1980-04-18,0.12,0.12,0.11,0.12,208800,0.0,0.0
1980-04-21,0.12,0.12,0.12,0.12,343200,0.0,0.0
1980-04-22,0.12,0.12,0.12,0.12,186200,0.0,0.0
1980-04-23,0.12,0.12,0.12,0.12,300800,0.0,0.0
1980-04-24,0.12,0.13,0.12,0.12,407000,0.0,0.0
1980-04-25,0.12,0.12,0.12,0.12,86000,0.0,0.0
1980-04-28,0.12,0.12,0.12,0.12,74000,0.0,0.0
1980-04-29,0.12,0.12,0.12,0.12,81800,0.0,0.0
1980-04-30,0.12,0.12,0.12,0.12,52200,0.0,0.0
1980-05-01,0.12,0.12,0.12,0.12,162800,0.0,0.0
1980-05-02,0.12,0.12,0.12,0.12,114000,0.0,0.0
1980-05-05,0.12,0.12,0.12,0.12,1952000,0.0,0.0
1980-05-06,0.12,0.12,0.12,0.12,441800,0.0,0.0
1980-05-07,0.12,0.12,0.12,0.12,80400,0.0,0.0
1980-05-08,0.12,0.13,0.12,0.13,588200,0.0,0.0
1980-05-09,0.13,0.13,0.12,0.12,627000,0.0,0.0
1980-05-12,0.12,0.13,0.12,0.13,220800,0.0,0.0
1980-05-13,0.13,0.13,0.12,0.13,253400,0.0,0.0
1980-05-14,0.13,0.13,0.13,0.13,383000,0.0,0.0
1980-05-15,0.13,0.13,0.13,0.13,186200,0.0,0.0
1980-05-16,0.13,0.13,0.13,0.13,137600,0.0,0.0
1980-05-19,0.13,0.13,0.12,0.12,416600,0.0,0.0
1980-05-20,0.12,0.12,0.12,0.12,113600,0.0,0.0
1980-05-21,0.12,0.12,0.12,0.12,144000,0.0,0.0
1980-05-22,0.12,0.12,0.12,0.12,75000,0.0,0.0
1980-05-23,0.12,0.12,0.12,0.12,158000,0.0,0.0
1980-05-27,0.12,0.12,0.12,0.12,93800,0.19333,0.0
1980-05-28,0.12,0.13,0.12,0.13,725000,0.0,0.0
1980-05-29,0.13,0.13,0.12,0.13,121400,0.0,0.0
1980-05-30,0.13,0.13,0.12,0.13,213000,0.0,0.0
1980-06-02,0.13,0.13,0.12,0.13,110400,0.0,0.0
1980-06-03,0.13,0.13,0.12,0.12,58400,0.0,0.0
1980-06-04,0.12,0.13,0.12,0.13,163200,0.0,0.0
1980-06-05,0.13,0.13,0.12,0.12,81200,0.0,0.0
1980-06-06,0.12,0.12,0.12,0.12,129000,0.0,0.0
1980-06-09,0.12,0.12,0.12,0.12,69200,0.0,0.0
1980-06-10,0.12,0.12,0.12,0.12,123600,0.0,0.0
1980-06-11,0.12,0.12,0.12,0.12,66600,0.0,0.0
1980-06-12,0.12,0.13,0.12,0.13,81000,0.0,0.0
1980-06-13,0.13,0.13,0.13,0.13,356000,0.0,0.0
1980-06-16,0.13,0.13,0.13,0.13,208800,0.0,0.0
1980-06-17,0.13,0.13,0.13,0.13,417600,0.0,0.0
1980-06-18,0.13,0.13,0.13,0.13,447600,0.0,0.0
1980-06-19,0.13,0.13,0.13,0.13,138600,0.0,0.0
1980-06-20,0.13,0.13,0.13,0.13,172400,0.0,0.0
1980-06-23,0.13,0.13,0.13,0.13,505800,0.0,0.0
1980-06-24,0.13,0.13,0.13,0.13,239600,0.0,0.0
1980-06-25,0.13,0.13,0.13,0.13,97400,0.0,0.0
1980-06-26,0.13,0.13,0.13,0.13,860600,0.0,0.0
1980-06-27,0.13,0.13,0.13,0.13,109200,0.0,0.0
1980-06-30,0.13,0.13,0.13,0.13,133200,0.0,0.0
1980-07-01,0.13,0.13,0.13,0.13,95000,0.0,0.0
1980-07-02,0.13,0.13,0.13,0.13,67400,0.0,0.0
1980-07-03,0.13,0.13,0.13,0.13,115400,0.0,0.0
1980-07-07,0.13,0.13,0.13,0.13,109400,0.0,0.0
1980-07-08,0.13,0.13,0.13,0.13,94400,0.0,0.0
1980-07-09,0.13,0.13,0.13,0.13,114800,0.0,0.0
1980-07-10,0.13,0.13,0.13,0.13,70400,0.0,0.0
1980-07-11,0.13,0.13,0.13,0.13,91200,0.0,0.0
1980-07-14,0.13,0.13,0.13,0.13,69800,0.0,0.0
1980-07-15,0.13,0.13,0.13,0.13,98000,0.0,0.0
1980-07-16,0.13,0.13,0.13,0.13,183200,0.0,0.0
1980-07-17,0.13,0.13,0.13,0.13,2199000,0.0,0.0
1980-07-18,0.13,0.13,0.13,0.13,63800,0.0,0.0
1980-07-21,0.13,0.13,0.13,0.13,104600,0.0,0.0
1980-07-22,0.13,0.13,0.13,0.13,170600,0.0,0.0
1980-07-23,0.13,0.13,0.13,0.13,135000,0.0,0.0
1980-07-24,0.13,0.13,0.13,0.13,138800,0.0,0.0
1980-07-25,0.13,0.13,0.13,0.13,90600,0.0,0.0
1980-07-28,0.13,0.13,0.13,0.13,86400,0.0,0.0
1980-07-29,0.13,0.13,0.13,0.13,120600,0.0,0.0
1980-07-30,0.13,0.13,0.13,0.13,87800,0.0,0.0
1980-07-31,0.13,0.13,0.12,0.13,628200,0.0,0.0
1980-08-01,0.12,0.12,0.12,0.12,110600,0.0,0.0
1980-08-04,0.12,0.12,0.12,0.12,131600,0.0,0.0
1980-08-05,0.12,0.12,0.12,0.12,165000,0.0,0.0
1980-08-06,0.12,0.12,0.12,0.12,168000,0.0,0.0
1980-08-07,0.12,0.12,0.12,0.12,629600,0.0,0.0
1980-08-08,0.12,0.12,0.12,0.12,140000,0.0,0.0
1980-08-11,0.12,0.12,0.12,0.12,74400,0.0,0.0
1980-08-12,0.12,0.12,0.12,0.12,297800,0.0,0.0
1980-08-13,0.12,0.12,0.12,0.12,159800,0.0,0.0
1980-08-14,0.12,0.12,0.12,0.12,93200,0.0,0.0
1980-08-15,0.12,0.12,0.12,0.12,52200,0.0,0.0
1980-08-18,0.12,0.12,0.12,0.12,112200,0.0,0.0
1980-08-19,0.12,0.12,0.12,0.12,437000,0.0,0.0
1980-08-20,0.12,0.12,0.12,0.12,106800,0.0,0.0
1980-08-21,0.12,0.12,0.12,0.12,103400,0.0,0.0
1980-08-22,0.12,0.12,0.12,0.12,61800,0.0,0.0
1980-08-25,0.12,0.12,0.12,0.12,277800,0.0,0.0
1980-08-26,0.12,0.12,0.12,0.12,53400,0.0,0.0
1980-08-27,0.12,0.12,0.12,0.12,141000,0.0,0.0
1980-08-28,0.12,0.12,0.12,0.12,56400,0.0,0.0
1980-08-29,0.12,0.12,0.12,0.12,237200,0.0,0.0
1980-09-02,0.12,0.12,0.12,0.12,57000,0.19333,0.0
1980-09-03,0.12,0.13,0.12,0.13,69200,0.0,0.0
1980-09-04,0.13,0.13,0.13,0.13,194600,0.0,0.0
1980-09-05,0.13,0.13,0.12,0.12,309000,0.0,0.0
1980-09-08,0.12,0.13,0.12,0.12,95000,0.0,0.0
1980-09-09,0.12,0.12,0.12,0.12,111600,0.0,0.0
1980-09-10,0.12,0.12,0.12,0.12,45800,0.0,0.0
1980-09-11,0.12,0.12,0.12,0.12,48000,0.0,0.0
1980-09-12,0.12,0.12,0.12,0.12,171000,0.0,0.0
1980-09-15,0.12,0.12,0.12,0.12,200000,0.0,0.0
1980-09-16,0.12,0.12,0.12,0.12,54600,0.0,0.0
1980-09-17,0.12,0.12,0.12,0.12,145800,0.0,0.0
1980-09-18,0.12,0.12,0.12,0.12,693200,0.0,0.0
1980-09-19,0.12,0.12,0.12,0.12,97800,0.0,0.0
1980-09-22,0.12,0.12,0.12,0.12,51200,0.0,0.0
1980-09-23,0.12,0.12,0.12,0.12,95400,0.0,0.0
1980-09-24,0.12,0.12,0.12,0.12,177200,0.0,0.0
1980-09-25,0.12,0.12,0.12,0.12,89400,0.0,0.0
1980-09-26,0.12,0.12,0.12,0.12,192000,0.0,0.0
1980-09-29,0.12,0.12,0.11,0.12,98000,0.0,0.0
1980-09-30,0.12,0.12,0.11,0.12,168200,0.0,0.0
1980-10-01,0.12,0.12,0.12,0.12,161600,0.0,0.0
1980-10-02,0.12,0.12,0.11,0.12,132000,0.0,0.0
1980-10-03,0.12,0.12,0.11,0.12,247200,0.0,0.0
1980-10-06,0.12,0.12,0.12,0.12,143400,0.0,0.0
1980-10-07,0.12,0.12,0.12,0.12,102600,0.0,0.0
1980-10-08,0.12,0.12,0.12,0.12,76800,0.0,0.0
1980-10-09,0.12,0.12,0.12,0.12,77600,0.0,0.0
1980-10-10,0.12,0.12,0.12,0.12,264000,0.0,0.0
1980-10-13,0.12,0.12,0.12,0.12,102000,0.0,0.0
1980-10-14,0.12,0.12,0.12,0.12,66600,0.0,0.0
1980-10-15,0.12,0.12,0.12,0.12,51800,0.0,0.0
1980-10-16,0.12,0.12,0.12,0.12,107400,0.0,0.0
1980-10-17,0.12,0.12,0.12,0.12,150000,0.0,0.0
1980-10-20,0.12,0.12,0.12,0.12,119400,0.0,0.0
1980-10-21,0.12,0.12,0.12,0.12,57200,0.0,0.0
1980-10-22,0.12,0.12,0.12,0.12,1071600,0.0,0.0
1980-10-23,0.12,0.12,0.12,0.12,49800,0.0,0.0
1980-10-24,0.12,0.12,0.12,0.12,210000,0.0,0.0
1980-10-27,0.12,0.12,0.12,0.12,143000,0.0,0.0
1980-10-28,0.12,0.12,0.11,0.11,577400,0.0,0.0
1980-10-29,0.11,0.12,0.11,0.11,126200,0.0,0.0
1980-10-30,0.11,0.12,0.11,0.11,272400,0.0,0.0
1980-10-31,0.11,0.11,0.11,0.11,141200,0.0,0.0
1980-11-03,0.11,0.11,0.11,0.11,191600,0.0,0.0
1980-11-05,0.11,0.11,0.11,0.11,146600,0.0,0.0
1980-11-06,0.11,0.11,0.11,0.11,204800,0.0,0.0
1980-11-07,0.11,0.11,0.11,0.11,100400,0.0,0.0
1980-11-10,0.11,0.11,0.11,0.11,296600,0.0,0.0
1980-11-11,0.11,0.12,0.11,0.12,84800,0.0,0.0
