Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-10-23,13.5,14.09,13.43,13.83,32584000,0.0,0
2001-10-24,13.89,14.62,13.83,14.59,5847500,0.0,0
2001-10-25,14.49,14.59,14.26,14.45,2038800,0.0,0
2001-10-26,14.45,14.49,14.09,14.16,3339100,0.0,0
2001-10-29,14.49,14.49,13.83,13.96,1758700,0.0,0
2001-10-30,14.09,14.65,13.83,14.51,2225300,0.0,0
2001-10-31,14.75,15.8,14.45,14.82,5101800,0.0,0
2001-11-01,14.9,14.9,14.29,14.45,2747400,0.0,0
2001-11-02,14.55,14.65,14.45,14.61,1183800,0.0,0
2001-11-05,14.55,14.62,14.32,14.49,1144000,0.0,0
2001-11-06,14.43,14.95,14.39,14.88,695100,0.0,0
2001-11-07,14.91,14.91,14.26,14.39,1002900,0.0,0
2001-11-08,14.45,14.49,14.22,14.37,1642800,0.0,0
2001-11-09,14.16,14.34,14.16,14.22,1601000,0.0,0
2001-11-12,14.23,14.49,14.03,14.47,1101400,0.0,0
2001-11-13,14.49,14.49,14.32,14.39,687300,0.0,0
2001-11-14,14.55,14.55,14.09,14.32,1964000,0.0,0
2001-11-15,14.26,14.48,14.22,14.44,867300,0.0,0
2001-11-16,14.49,15.07,14.47,14.65,1851600,0.0,0
2001-11-19,14.49,14.97,14.49,14.7,1231800,0.0,0
2001-11-20,14.65,14.98,14.65,14.96,1182300,0.0,0
2001-11-21,15.01,15.08,14.91,15.06,1016400,0.0,0
2001-11-23,15.07,15.07,14.62,14.74,328800,0.0,0
2001-11-26,14.55,14.8,14.47,14.7,2417500,0.0,0
2001-11-27,14.65,14.88,14.65,14.75,1536000,0.0,0
2001-11-28,15.1,15.1,14.8,15.01,871900,0.0,0
2001-11-29,15.01,15.11,14.82,15.07,523100,0.0,0
2001-11-30,15.08,15.15,14.95,15.11,2255100,0.0,0
2001-12-03,15.13,15.28,14.65,15.11,1037600,0.0,0
2001-12-04,15.11,15.14,14.91,15.11,578700,0.0,0
2001-12-05,15.16,15.34,15.11,15.28,1370400,0.0,0
2001-12-06,15.28,15.68,15.22,15.44,509400,0.0,0
2001-12-07,15.34,15.66,15.28,15.44,1175600,0.0,0
2001-12-10,15.43,15.43,15.28,15.38,1396900,0.0,0
2001-12-11,15.38,15.7,15.38,15.47,1376300,0.0,0
2001-12-12,15.57,15.77,15.47,15.57,1933800,0.0,0
2001-12-13,15.64,15.7,15.38,15.46,1813400,0.0,0
2001-12-14,15.41,16.03,15.41,15.86,2133900,0.0,0
2001-12-17,15.99,16.3,15.49,15.6,1285500,0.0,0
2001-12-18,15.74,15.86,15.47,15.6,1949800,0.0,0
2001-12-19,15.72,15.88,15.15,15.48,3143500,0.0,0
2001-12-20,15.48,15.61,15.15,15.53,3660000,0.0,0
2001-12-21,15.21,15.51,15.2,15.39,2871400,0.0,0
2001-12-24,15.41,15.47,15.34,15.41,1578200,0.0,0
2001-12-26,15.47,15.61,15.31,15.34,2152100,0.0,0
2001-12-27,15.44,15.74,15.28,15.51,1772400,0.0,0
