Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-28,6.94,7.05,6.94,6.94,11192000,0.0,0
2000-01-31,6.94,6.98,6.94,6.98,1880900,0.0,0
2000-02-01,6.94,6.98,6.94,6.94,367100,0.0,0
2000-02-02,6.94,6.98,6.94,6.98,697400,0.0,0
2000-02-03,6.94,6.98,6.94,6.94,579800,0.0,0
2000-02-04,6.94,6.98,6.51,6.58,1681900,0.0,0
2000-02-07,6.44,6.44,6.08,6.26,927200,0.0,0
2000-02-08,6.22,6.29,5.64,5.71,795400,0.0,0
2000-02-09,5.71,5.93,5.64,5.86,1710100,0.0,0
2000-02-10,6.08,6.51,6.04,6.15,571500,0.0,0
2000-02-11,6.22,6.33,5.79,5.82,1062000,0.0,0
2000-02-14,5.9,5.97,5.64,5.68,289000,0.0,0
2000-02-15,5.79,6.15,5.75,6.04,541400,0.0,0
2000-02-16,6.11,6.15,5.93,6.11,360700,0.0,0
2000-02-17,6.29,6.29,5.93,6.0,291600,0.0,0
2000-02-18,6.08,6.22,5.97,6.08,330700,0.0,0
2000-02-22,5.93,6.15,5.71,5.97,314500,0.0,0
2000-02-23,5.75,5.97,5.68,5.86,494300,0.0,0
2000-02-24,5.86,5.97,5.71,5.75,919900,0.0,0
2000-02-25,5.97,6.15,5.79,6.04,1095500,0.0,0
2000-02-28,5.93,5.97,5.79,5.86,366800,0.0,0
2000-02-29,5.86,6.51,5.79,6.29,1652500,0.0,0
2000-03-01,6.29,6.51,6.29,6.37,266700,0.0,0
2000-03-02,6.29,6.91,6.26,6.65,890300,0.0,0
2000-03-03,6.65,6.65,6.29,6.33,160300,0.0,0
2000-03-06,6.08,6.26,6.0,6.22,242800,0.0,0
2000-03-07,6.15,6.22,5.82,5.93,393500,0.0,0
2000-03-08,5.9,6.08,5.71,6.0,424200,0.0,0
2000-03-09,5.97,6.26,5.93,6.08,310100,0.0,0
2000-03-10,6.08,6.08,5.79,5.93,168900,0.0,0
2000-03-13,5.79,5.86,5.53,5.64,1767400,0.0,0
2000-03-14,5.64,5.86,5.64,5.71,660500,0.0,0
2000-03-15,5.71,5.71,5.35,5.57,1231100,0.0,0
2000-03-16,5.68,5.93,5.5,5.64,404100,0.0,0
2000-03-17,5.64,5.75,5.35,5.53,814800,0.0,0
2000-03-20,5.61,5.71,5.5,5.57,473200,0.0,0
2000-03-21,5.53,5.68,5.5,5.57,176200,0.0,0
2000-03-22,5.57,5.64,5.5,5.53,430300,0.0,0
2000-03-23,5.5,5.68,5.5,5.61,477400,0.0,0
2000-03-24,5.53,5.71,5.53,5.64,236700,0.0,0
2000-03-27,5.64,5.79,5.64,5.71,67600,0.0,0
2000-03-28,5.71,5.79,5.64,5.68,157900,0.0,0
2000-03-29,5.68,5.75,5.68,5.68,253000,0.0,0
2000-03-30,5.68,5.86,5.68,5.68,235200,0.0,0
2000-03-31,5.68,6.08,5.64,6.08,627300,0.0,0
2000-04-03,6.0,6.0,5.82,5.97,108400,0.0,0
2000-04-04,6.0,6.0,5.79,5.82,411000,0.0,0
2000-04-05,5.75,6.0,5.71,5.93,196100,0.0,0
2000-04-06,5.93,6.44,5.86,6.26,296700,0.0,0
2000-04-07,6.08,6.15,5.93,6.08,262800,0.0,0
2000-04-10,6.08,6.22,5.93,5.97,139400,0.0,0
2000-04-11,5.93,6.15,5.93,6.11,315000,0.0,0
2000-04-12,6.11,6.37,6.11,6.26,392000,0.0,0
2000-04-13,6.18,6.26,6.15,6.15,243200,0.0,0
2000-04-14,6.08,6.15,5.79,5.86,269900,0.0,0
2000-04-17,5.79,6.0,5.79,6.0,321300,0.0,0
2000-04-18,6.0,6.26,5.93,6.15,862200,0.0,0
2000-04-19,6.08,6.51,6.08,6.33,531900,0.0,0
2000-04-20,6.33,6.37,6.15,6.15,193500,0.0,0
2000-04-24,6.22,6.58,6.22,6.29,355700,0.0,0
2000-04-25,6.4,6.69,6.37,6.51,621900,0.0,0
2000-04-26,6.51,6.58,6.37,6.37,391800,0.0,0
2000-04-27,6.37,6.51,6.26,6.26,246300,0.0,0
2000-04-28,6.44,6.87,6.37,6.87,284100,0.0,0
2000-05-01,6.8,6.91,6.58,6.73,138900,0.0,0
2000-05-02,6.87,6.87,6.69,6.8,159200,0.0,0
2000-05-03,6.73,6.76,6.65,6.69,105600,0.0,0
2000-05-04,6.69,6.8,6.65,6.8,180500,0.0,0
2000-05-05,6.73,6.94,6.69,6.91,240000,0.0,0
2000-05-08,6.87,6.94,6.8,6.87,117900,0.0,0
2000-05-09,6.8,6.87,6.73,6.84,87000,0.0,0
2000-05-10,6.8,6.98,6.69,6.94,383700,0.0,0
2000-05-11,6.87,6.98,6.8,6.94,404400,0.0,0
2000-05-12,6.94,7.02,6.91,6.94,171600,0.0,0
2000-05-15,6.94,7.38,6.94,7.31,227300,0.0,0
2000-05-16,7.23,7.31,7.02,7.16,251500,0.0,0
2000-05-17,7.12,7.2,7.09,7.16,195300,0.0,0
2000-05-18,7.09,7.12,6.91,6.94,94500,0.0,0
2000-05-19,6.94,7.09,6.94,7.02,334900,0.0,0
2000-05-22,6.98,7.05,6.84,6.84,522400,0.0,0
2000-05-23,6.8,6.87,6.58,6.73,258000,0.0,0
2000-05-24,6.65,6.69,6.51,6.58,209300,0.0,0
2000-05-25,6.51,6.65,6.51,6.62,526000,0.0,0
2000-05-26,6.62,6.87,6.58,6.87,159000,0.0,0
2000-05-30,6.65,6.76,6.51,6.76,217400,0.0,0
2000-05-31,6.69,6.8,6.65,6.65,204900,0.0,0
2000-06-01,6.58,6.8,6.37,6.51,359100,0.0,0
2000-06-02,6.51,6.58,6.37,6.4,183500,0.0,0
2000-06-05,6.4,6.58,6.37,6.44,102800,0.0,0
2000-06-06,6.44,6.55,6.44,6.55,353700,0.0,0
2000-06-07,6.55,6.58,6.37,6.51,303500,0.0,0
2000-06-08,6.47,6.51,6.4,6.4,279300,0.0,0
2000-06-09,6.4,6.58,6.37,6.51,136600,0.0,0
2000-06-12,6.44,6.58,6.37,6.58,215100,0.0,0
2000-06-13,6.58,6.65,6.44,6.65,128400,0.0,0
2000-06-14,6.65,6.76,6.55,6.69,137200,0.0,0
2000-06-15,6.69,6.84,6.44,6.51,140000,0.0,0
2000-06-16,6.44,6.44,6.18,6.18,417700,0.0,0
2000-06-19,6.22,6.44,6.15,6.37,178200,0.0,0
2000-06-20,6.26,6.29,5.86,6.08,183500,0.0,0
2000-06-21,5.93,6.37,5.93,6.37,122900,0.0,0
2000-06-22,6.29,6.37,5.93,6.18,205200,0.0,0
2000-06-23,6.04,6.15,5.97,6.08,69700,0.0,0
2000-06-26,6.0,6.18,5.93,6.15,307100,0.0,0
2000-06-27,6.08,6.37,6.08,6.37,203500,0.0,0
2000-06-28,6.29,6.87,6.26,6.73,199200,0.0,0
2000-06-29,6.73,7.16,6.58,7.02,292900,0.0,0
2000-06-30,7.09,7.23,5.86,5.86,1202100,0.0,0
2000-07-03,6.29,6.58,6.29,6.55,174800,0.0,0
2000-07-05,6.58,6.58,6.37,6.51,161500,0.0,0
2000-07-06,6.44,6.51,6.29,6.51,58700,0.0,0
2000-07-07,6.44,6.51,6.29,6.44,82700,0.0,0
2000-07-10,6.44,6.55,6.37,6.37,103000,0.0,0
2000-07-11,6.37,6.55,6.29,6.51,206700,0.0,0
2000-07-12,6.51,6.65,6.51,6.65,54300,0.0,0
2000-07-13,6.62,6.87,6.62,6.76,146800,0.0,0
2000-07-14,6.73,6.91,6.69,6.87,173100,0.0,0
2000-07-17,6.84,6.94,6.8,6.91,148600,0.0,0
2000-07-18,6.87,6.94,6.84,6.94,123100,0.0,0
2000-07-19,6.87,6.87,6.51,6.65,143900,0.0,0
2000-07-20,6.8,6.8,6.69,6.73,80600,0.0,0
2000-07-21,6.73,6.87,6.73,6.73,118300,0.0,0
2000-07-24,6.65,6.65,6.37,6.44,259700,0.0,0
2000-07-25,6.37,6.47,6.29,6.29,32300,0.0,0
2000-07-26,6.29,6.33,6.22,6.26,38800,0.0,0
2000-07-27,6.22,6.37,6.22,6.29,195300,0.0,0
2000-07-28,6.26,6.33,6.22,6.22,97900,0.0,0
2000-07-31,6.26,6.58,6.26,6.58,55200,0.0,0
2000-08-01,6.51,6.51,6.26,6.33,57000,0.0,0
2000-08-02,6.29,6.37,6.15,6.37,105500,0.0,0
2000-08-03,6.37,6.4,6.15,6.22,99200,0.0,0
2000-08-04,6.18,6.33,6.15,6.33,40500,0.0,0
2000-08-07,6.29,6.51,6.22,6.44,40400,0.0,0
2000-08-08,6.4,6.47,6.18,6.18,52700,0.0,0
2000-08-09,6.18,6.8,6.15,6.73,151500,0.0,0
2000-08-10,6.65,6.65,6.37,6.37,68300,0.0,0
2000-08-11,6.29,6.65,6.29,6.65,53900,0.0,0
2000-08-14,6.58,6.8,6.4,6.62,92700,0.0,0
2000-08-15,6.65,6.65,6.44,6.55,59000,0.0,0
2000-08-16,6.62,6.8,6.51,6.73,87800,0.0,0
2000-08-17,6.65,6.76,6.65,6.69,160800,0.0,0
2000-08-18,6.62,6.62,6.37,6.51,69500,0.0,0
2000-08-21,6.44,6.44,6.22,6.22,337400,0.0,0
2000-08-22,6.29,6.8,6.29,6.73,78100,0.0,0
2000-08-23,6.65,6.65,6.51,6.55,74200,0.0,0
2000-08-24,6.55,6.58,6.47,6.51,104800,0.0,0
2000-08-25,6.58,6.8,6.55,6.8,270800,0.0,0
2000-08-28,6.94,6.94,6.73,6.87,178400,0.0,0
2000-08-29,6.84,6.87,6.8,6.8,95800,0.0,0
2000-08-30,6.8,6.8,6.76,6.76,106500,0.0,0
2000-08-31,6.76,6.8,6.73,6.76,131800,0.0,0
2000-09-01,6.87,6.98,6.8,6.98,141300,0.0,0
2000-09-05,7.02,7.63,6.98,7.38,535000,0.0,0
2000-09-06,7.31,7.41,7.2,7.38,120600,0.0,0
2000-09-07,7.38,7.45,7.23,7.27,90400,0.0,0
2000-09-08,7.23,7.49,7.16,7.23,284900,0.0,0
2000-09-11,7.23,7.23,7.09,7.16,202700,0.0,0
2000-09-12,7.16,7.2,7.09,7.12,36300,0.0,0
2000-09-13,7.09,7.34,7.09,7.34,77900,0.0,0
2000-09-14,7.34,7.38,7.12,7.23,184000,0.0,0
2000-09-15,7.16,7.16,6.94,7.02,380000,0.0,0
2000-09-18,6.98,7.09,6.94,6.98,68900,0.0,0
2000-09-19,7.02,7.05,6.98,7.02,76900,0.0,0
2000-09-20,6.94,7.05,6.8,6.87,263600,0.0,0
2000-09-21,6.65,6.73,6.44,6.55,83000,0.0,0
2000-09-22,6.33,6.37,6.22,6.26,97000,0.0,0
2000-09-25,6.22,6.29,6.08,6.08,31300,0.0,0
2000-09-26,6.08,6.08,5.97,6.04,46500,0.0,0
2000-09-27,6.04,6.08,5.93,6.08,143000,0.0,0
2000-09-28,6.15,6.8,6.11,6.55,1865000,0.0,0
2000-09-29,6.55,6.58,6.26,6.4,75800,0.0,0
2000-10-02,6.37,6.58,6.29,6.51,72700,0.0,0
2000-10-03,6.51,6.62,6.37,6.37,179500,0.0,0
2000-10-04,6.44,6.58,6.4,6.58,75700,0.0,0
2000-10-05,6.51,6.58,6.29,6.29,24700,0.0,0
2000-10-06,6.37,7.02,6.37,7.02,529200,0.0,0
2000-10-09,6.98,7.16,6.87,7.02,370100,0.0,0
2000-10-10,7.02,7.02,6.94,7.02,116900,0.0,0
2000-10-11,7.02,7.16,6.84,6.98,386500,0.0,0
2000-10-12,6.91,6.91,6.73,6.87,118300,0.0,0
2000-10-13,6.87,7.16,6.84,7.12,186100,0.0,0
2000-10-16,7.05,7.16,6.87,7.12,97400,0.0,0
2000-10-17,7.16,7.23,6.98,7.05,197800,0.0,0
2000-10-18,7.09,7.38,6.98,7.38,103500,0.0,0
2000-10-19,7.38,7.88,7.38,7.56,204400,0.0,0
2000-10-20,7.49,7.56,7.38,7.49,75400,0.0,0
