Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-11-21,9.1,9.1,8.81,8.91,3821400,0.0,0
1997-11-24,8.91,8.91,8.62,8.81,541600,0.0,0
1997-11-25,8.86,8.91,8.79,8.91,425000,0.0,0
1997-11-26,8.91,8.91,8.81,8.81,165200,0.0,0
1997-11-28,8.81,8.91,8.81,8.91,60500,0.0,0
1997-12-01,8.93,8.96,8.91,8.93,120300,0.0,0
1997-12-02,8.96,8.96,8.86,8.91,164200,0.0,0
1997-12-03,8.93,8.93,8.88,8.91,540000,0.0,0
1997-12-04,8.91,8.93,8.91,8.91,43800,0.0,0
1997-12-05,8.86,9.05,8.86,8.93,147500,0.0,0
1997-12-08,8.91,9.01,8.91,8.98,74900,0.0,0
1997-12-09,8.96,8.98,8.91,8.98,61000,0.0,0
1997-12-10,8.96,9.01,8.93,8.93,104500,0.0,0
1997-12-11,8.91,8.96,8.91,8.93,153600,0.0,0
1997-12-12,8.93,8.98,8.93,8.98,59900,0.0,0
1997-12-15,8.96,8.98,8.93,8.98,24400,0.0,0
1997-12-16,9.03,9.25,9.03,9.2,107900,0.134,0
1997-12-17,9.25,9.45,9.23,9.42,63900,0.0,0
1997-12-18,9.4,9.45,9.4,9.45,35700,0.0,0
1997-12-19,9.45,9.45,9.25,9.3,134400,0.0,0
1997-12-22,9.33,9.4,9.3,9.35,34400,0.0,0
1997-12-23,9.35,9.42,9.35,9.35,88500,0.0,0
1997-12-24,9.33,9.35,9.28,9.35,63300,0.0,0
1997-12-26,9.3,9.3,9.18,9.23,34600,0.0,0
1997-12-29,9.3,9.37,9.25,9.28,159600,0.0,0
1997-12-30,9.35,9.47,9.23,9.47,52400,0.0,0
1997-12-31,9.5,9.79,9.5,9.79,215700,0.0,0
1998-01-02,9.74,9.74,9.59,9.69,52000,0.0,0
1998-01-05,9.64,9.72,9.59,9.59,42300,0.0,0
1998-01-06,9.64,9.64,9.59,9.62,26900,0.0,0
1998-01-07,9.62,9.64,9.52,9.59,49500,0.0,0
1998-01-08,9.54,9.64,9.5,9.57,95700,0.0,0
1998-01-09,9.54,9.54,9.4,9.5,37800,0.0,0
1998-01-12,9.4,9.52,9.25,9.52,24500,0.0,0
1998-01-13,9.54,9.59,9.52,9.57,190300,0.0,0
1998-01-14,9.54,9.64,9.45,9.64,201800,0.0,0
1998-01-15,9.64,9.64,9.54,9.54,39200,0.0,0
1998-01-16,9.57,9.57,9.5,9.54,13600,0.0,0
1998-01-20,9.59,9.64,9.57,9.59,63200,0.0,0
1998-01-21,9.62,9.69,9.57,9.64,90400,0.0,0
1998-01-22,9.69,9.69,9.59,9.62,99600,0.0,0
1998-01-23,9.64,9.64,9.52,9.52,11200,0.0,0
1998-01-26,9.47,9.5,9.4,9.4,50500,0.0,0
1998-01-27,9.45,9.54,9.35,9.45,17300,0.0,0
1998-01-28,9.4,9.4,9.3,9.35,68700,0.0,0
1998-01-29,9.25,9.4,9.25,9.35,67700,0.0,0
1998-01-30,9.35,9.54,9.35,9.54,33000,0.0,0
1998-02-02,9.54,9.64,9.52,9.64,31000,0.0,0
1998-02-03,9.59,9.64,9.54,9.54,18300,0.0,0
1998-02-04,9.57,9.57,9.5,9.5,29200,0.0,0
1998-02-05,9.5,9.59,9.5,9.54,10900,0.0,0
1998-02-06,9.54,9.54,9.4,9.54,129200,0.0,0
1998-02-09,9.42,9.47,9.33,9.47,101100,0.0,0
1998-02-10,9.5,9.59,9.47,9.59,35000,0.0,0
