Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-03-17,28.99,30.52,28.55,28.63,1988000,0.0,0
2008-03-18,28.9,30.15,27.68,28.75,8067600,0.0,0
2008-03-19,28.75,29.57,27.19,29.04,3007700,0.0,0
2008-03-20,29.1,29.1,28.33,28.49,3007700,0.0,0
2008-03-24,28.88,29.57,28.88,29.57,1437000,0.0,0
2008-03-25,29.8,30.0,29.33,30.0,1100800,0.0,0
2008-03-26,29.97,30.42,29.16,29.16,2023200,0.0,0
2008-03-27,29.54,30.16,28.99,29.38,8653300,0.0,0
2008-03-28,29.54,30.44,29.31,29.6,9961200,0.0,0
2008-03-31,30.38,31.71,28.99,29.32,19408900,0.0,0
2008-04-01,29.62,30.26,28.41,29.32,23322500,0.0,0
2008-04-02,29.66,30.19,29.07,29.69,12944700,0.0,0
2008-04-03,29.57,29.86,29.22,29.6,12439100,0.0,0
2008-04-04,29.84,29.84,29.45,29.78,6651000,0.0,0
2008-04-07,29.91,29.91,29.28,29.38,7099300,0.0,0
2008-04-08,29.22,29.57,29.11,29.33,8283300,0.0,0
2008-04-09,29.28,29.33,28.49,28.63,8916200,0.0,0
2008-04-10,28.69,28.93,28.12,28.21,14321900,0.0,0
2008-04-11,28.11,28.34,27.87,28.02,11400700,0.0,0
2008-04-14,28.0,28.03,27.5,27.83,11532500,0.0,0
2008-04-15,27.7,28.03,27.7,27.94,9603400,0.0,0
2008-04-16,28.06,28.76,28.03,28.67,14837600,0.0,0
2008-04-17,28.82,28.99,28.65,28.9,6660700,0.0,0
2008-04-18,29.27,29.53,28.63,28.96,9630700,0.0,0
2008-04-21,29.1,29.5,28.48,29.35,6528300,0.0,0
2008-04-22,29.33,29.51,28.94,29.03,5504900,0.0,0
2008-04-23,29.57,30.34,29.51,30.15,13532300,0.0,0
2008-04-24,30.15,30.4,29.86,30.15,5847500,0.0,0
2008-04-25,30.23,30.25,29.42,29.74,11399700,0.0,0
2008-04-28,29.53,29.74,29.42,29.61,8382500,0.0,0
2008-04-29,29.82,30.26,29.14,30.15,12325300,0.0,0
2008-04-30,29.97,30.15,29.51,29.58,8733100,0.0,0
2008-05-01,29.47,29.66,29.35,29.42,7120800,0.0,0
2008-05-02,29.51,29.62,29.22,29.58,9291100,0.0,0
2008-05-05,29.49,29.93,29.35,29.46,8398500,0.0,0
2008-05-06,29.51,30.12,29.48,30.08,7588300,0.0,0
2008-05-07,30.13,30.26,29.75,29.97,6391400,0.0,0
2008-05-08,29.94,30.27,29.86,30.26,6669700,0.0,0
2008-05-09,30.09,30.41,29.87,30.05,5491700,0.0,0
2008-05-12,30.13,30.46,29.74,30.42,5851300,0.0,0
2008-05-13,30.39,30.63,30.17,30.41,5986600,0.0,0
2008-05-14,30.44,30.64,30.38,30.53,5381500,0.0,0
2008-05-15,30.44,30.91,30.2,30.87,8376500,0.0,0
2008-05-16,30.86,31.02,30.35,30.95,7172600,0.0,0
2008-05-19,31.01,31.28,30.69,31.09,6580200,0.0,0
2008-05-20,30.9,31.27,30.62,30.67,6887400,0.0,0
2008-05-21,30.75,30.83,30.05,30.13,6784200,0.0,0
2008-05-22,30.04,30.59,30.02,30.31,5135200,0.0,0
2008-05-23,30.2,30.71,30.0,30.03,5197400,0.0,0
2008-05-27,30.1,30.11,29.64,29.93,6505400,0.0,0
2008-05-28,29.97,30.09,29.47,29.66,13524100,0.0,0
2008-05-29,29.54,30.24,29.53,30.16,7386900,0.0,0
2008-05-30,30.19,30.72,30.04,30.53,7047800,0.0,0
2008-06-02,30.23,30.55,30.1,30.21,8668100,0.0,0
2008-06-03,30.2,30.51,29.95,29.95,6552400,0.0,0
2008-06-04,29.97,30.3,29.86,30.12,6407400,0.0,0
2008-06-05,30.16,30.29,29.88,30.04,6407400,0.0,0
2008-06-06,29.86,29.86,29.22,29.28,10198500,0.0,0
2008-06-09,29.45,29.54,28.51,28.69,9937000,0.0,0
2008-06-10,28.41,28.78,28.13,28.69,8847000,0.0,0
2008-06-11,28.69,29.33,28.48,28.91,12367200,0.0,0
2008-06-12,28.91,29.79,28.91,29.73,11782900,0.0,0
2008-06-13,29.73,30.08,29.39,29.92,7365600,0.0,0
2008-06-16,29.66,29.66,29.13,29.41,8251100,0.0,0
2008-06-17,29.31,29.55,29.06,29.35,5633800,0.0,0
2008-06-18,29.11,29.31,28.88,28.93,9967500,0.0,0
2008-06-19,28.87,29.32,28.81,29.22,9591400,0.0,0
2008-06-20,29.03,29.33,28.85,29.11,11448200,0.0,0
2008-06-23,29.18,29.39,28.93,29.36,6625800,0.0,0
2008-06-24,29.13,29.88,29.02,29.66,8976600,0.0,0
2008-06-25,29.83,30.58,29.71,30.01,10334100,0.0,0
2008-06-26,29.89,30.15,29.33,29.33,12055000,0.46,0
2008-06-27,29.31,29.39,28.79,29.15,15397700,0.0,0
2008-06-30,29.13,29.35,28.57,28.89,9972600,0.0,0
2008-07-01,28.68,29.59,28.5,29.47,11092000,0.0,0
2008-07-02,29.52,29.87,29.17,29.6,7956400,0.0,0
2008-07-03,29.58,30.13,29.42,30.11,5151300,0.0,0
2008-07-07,30.11,30.61,29.89,30.33,8395000,0.0,0
2008-07-08,30.26,31.59,30.16,31.45,13977700,0.0,0
2008-07-09,31.42,31.84,31.15,31.59,10411300,0.0,0
2008-07-10,31.52,31.58,30.83,31.26,11581100,0.0,0
2008-07-11,30.96,31.49,30.56,31.22,6588500,0.0,0
2008-07-14,31.15,31.52,30.86,31.33,8298900,0.0,0
2008-07-15,30.94,31.51,30.6,31.18,8306600,0.0,0
2008-07-16,30.87,31.22,30.26,30.95,6910000,0.0,0
2008-07-17,31.12,31.12,29.77,29.81,10317300,0.0,0
2008-07-18,29.89,30.11,29.32,29.67,9559600,0.0,0
2008-07-21,29.73,29.83,29.39,29.53,4370800,0.0,0
2008-07-22,29.39,30.47,29.28,30.45,8926900,0.0,0
2008-07-23,30.76,30.76,29.77,30.11,7943800,0.0,0
2008-07-24,30.07,31.05,30.07,30.69,8717600,0.0,0
2008-07-25,30.57,31.32,30.57,31.03,8066100,0.0,0
2008-07-28,30.87,31.15,30.62,30.78,5131000,0.0,0
2008-07-29,30.85,31.24,30.78,31.2,7257600,0.0,0
2008-07-30,31.33,31.6,30.81,31.22,7355800,0.0,0
2008-07-31,31.22,31.46,30.03,30.21,10498800,0.0,0
2008-08-01,30.27,30.77,30.27,30.46,6718500,0.0,0
2008-08-04,30.47,31.63,30.0,31.42,8962600,0.0,0
2008-08-05,31.41,32.49,31.35,32.29,12884400,0.0,0
2008-08-06,32.09,32.84,32.0,32.48,12660800,0.0,0
2008-08-07,32.25,32.35,31.76,31.96,9282200,0.0,0
2008-08-08,31.88,32.46,31.88,32.29,9266200,0.0,0
2008-08-11,32.0,32.61,31.96,32.61,9724400,0.0,0
2008-08-12,32.53,32.91,32.48,32.73,6690400,0.0,0
2008-08-13,32.67,32.75,32.39,32.49,7810200,0.0,0
2008-08-14,32.31,32.62,32.14,32.45,5723200,0.0,0
2008-08-15,32.47,32.58,32.32,32.5,6561300,0.0,0
2008-08-18,32.56,32.58,32.12,32.18,5742800,0.0,0
2008-08-19,32.03,32.28,31.85,31.88,5712500,0.0,0
2008-08-20,31.91,32.0,31.63,31.94,4411500,0.0,0
2008-08-21,31.7,32.2,31.32,32.07,4693100,0.0,0
2008-08-22,32.17,32.48,31.83,32.48,4342600,0.0,0
2008-08-25,32.35,32.56,31.91,32.1,4400200,0.0,0
2008-08-26,32.05,32.23,31.71,31.96,6995000,0.0,0
2008-08-27,32.02,32.11,31.42,31.64,5459100,0.0,0
2008-08-28,31.59,31.74,31.32,31.54,5426100,0.0,0
2008-08-29,31.45,31.86,31.39,31.41,6060100,0.0,0
2008-09-02,31.44,32.36,31.41,32.06,8835700,0.0,0
2008-09-03,32.02,32.45,31.59,31.63,8236900,0.0,0
2008-09-04,31.59,31.7,31.12,31.22,7565900,0.0,0
2008-09-05,31.21,31.71,31.14,31.59,7810500,0.0,0
2008-09-08,31.59,32.41,31.4,32.16,16614500,0.0,0
2008-09-09,32.19,32.6,32.04,32.04,11236800,0.0,0
2008-09-10,32.11,32.28,31.77,31.95,9203000,0.0,0
2008-09-11,32.07,32.38,31.75,32.38,8566700,0.54,0
2008-09-12,32.13,32.29,31.46,31.71,8564300,0.0,0
2008-09-15,31.39,31.97,31.2,31.2,10481900,0.0,0
2008-09-16,30.7,32.05,29.22,31.77,15648800,0.0,0
2008-09-17,31.6,31.6,28.39,28.94,22145900,0.0,0
2008-09-18,29.37,31.16,29.37,29.54,22618300,0.0,0
2008-09-19,30.82,30.98,29.54,30.38,16822000,0.0,0
2008-09-22,30.02,30.71,29.3,29.56,10379600,0.0,0
2008-09-23,29.47,30.01,29.1,29.1,8218900,0.0,0
2008-09-24,29.27,29.65,28.92,29.41,9164800,0.0,0
2008-09-25,29.53,30.72,29.34,30.49,12454800,0.0,0
2008-09-26,29.99,30.35,29.54,30.07,9314100,0.0,0
2008-09-29,29.95,30.06,27.65,27.65,14648300,0.0,0
2008-09-30,28.42,29.39,28.17,28.42,14356400,0.0,0
2008-10-01,28.33,30.02,27.97,30.0,11718100,0.0,0
2008-10-02,29.77,30.69,28.8,28.99,11218400,0.0,0
2008-10-03,29.48,30.59,29.21,29.34,12181100,0.0,0
2008-10-06,28.62,29.24,25.99,27.25,25421600,0.0,0
2008-10-07,28.15,28.24,25.83,26.21,14791700,0.0,0
2008-10-08,24.78,26.74,24.44,25.43,18701800,0.0,0
2008-10-09,25.88,26.58,22.72,23.04,17782900,0.0,0
2008-10-10,21.86,26.58,19.67,23.48,29162700,0.0,0
2008-10-13,24.81,27.18,24.49,26.58,19808100,0.0,0
2008-10-14,27.69,27.74,24.92,26.02,18448000,0.0,0
2008-10-15,25.92,26.29,23.45,24.12,14561500,0.0,0
2008-10-16,24.31,25.92,23.28,25.41,17459500,0.0,0
2008-10-17,25.28,26.87,25.05,25.58,14269900,0.0,0
2008-10-20,25.86,26.64,25.4,25.63,11162500,0.0,0
2008-10-21,25.46,25.93,24.62,24.91,9769500,0.0,0
2008-10-22,25.11,25.62,23.81,24.12,14755100,0.0,0
2008-10-23,24.32,25.83,23.63,25.38,11903100,0.0,0
2008-10-24,23.56,24.52,23.04,23.93,13534300,0.0,0
2008-10-27,23.64,23.78,22.96,23.08,11106600,0.0,0
2008-10-28,23.78,25.39,22.61,25.15,15876000,0.0,0
2008-10-29,25.08,25.89,22.57,24.55,12468400,0.0,0
2008-10-30,25.27,25.66,24.07,25.28,8336900,0.0,0
2008-10-31,25.07,26.18,24.74,25.68,11919800,0.0,0
2008-11-03,25.54,25.61,25.08,25.17,6143200,0.0,0
2008-11-04,25.85,26.55,25.64,26.44,9852900,0.0,0
2008-11-05,25.95,27.45,25.7,26.01,10004000,0.0,0
2008-11-06,25.7,25.99,23.84,24.15,11733200,0.0,0
2008-11-07,24.31,25.33,24.23,24.93,6935200,0.0,0
2008-11-10,25.33,25.56,24.4,24.88,6064100,0.0,0
2008-11-11,24.69,24.97,23.82,24.41,6880000,0.0,0
2008-11-12,24.22,24.22,22.89,23.1,13244600,0.0,0
2008-11-13,22.79,23.57,21.86,23.54,16381800,0.0,0
2008-11-14,23.28,23.43,22.45,22.69,15140300,0.0,0
2008-11-17,21.96,23.62,21.95,22.66,10496100,0.0,0
2008-11-18,22.64,23.04,21.62,22.77,16243100,0.0,0
2008-11-19,22.63,22.9,21.4,21.65,13955700,0.0,0
2008-11-20,21.4,23.29,21.3,21.64,19557600,0.0,0
2008-11-21,22.14,22.67,21.27,22.6,19190300,0.0,0
2008-11-24,23.03,25.54,22.59,24.71,19287100,0.0,0
2008-11-25,24.98,25.59,23.88,24.34,18246400,0.0,0
2008-11-26,23.88,25.14,23.52,25.11,8658000,0.0,0
2008-11-28,25.01,25.37,24.61,24.91,4651400,0.0,0
2008-12-01,24.17,24.6,23.26,23.44,11708900,0.0,0
2008-12-02,23.84,23.98,23.1,23.65,12697300,0.0,0
2008-12-03,23.04,24.78,23.04,24.58,9148700,0.0,0
2008-12-04,24.34,24.78,23.87,24.14,10659500,0.0,0
2008-12-05,23.8,25.05,23.61,25.03,11548000,0.0,0
2008-12-08,25.55,25.7,24.66,25.2,10048200,0.0,0
2008-12-09,24.69,25.05,24.68,24.79,12248300,0.0,0
2008-12-10,24.78,25.22,24.47,24.99,10514500,0.0,0
2008-12-11,24.76,25.25,24.52,24.78,10582000,0.0,0
2008-12-12,24.07,24.64,23.75,24.43,8789500,0.0,0
2008-12-15,24.25,24.75,23.7,24.54,10763100,0.0,0
2008-12-16,24.3,24.58,23.63,24.23,16539600,0.0,0
2008-12-17,23.93,25.29,23.93,24.83,12391700,0.0,0
2008-12-18,24.95,25.39,24.57,24.79,13240600,0.0,0
2008-12-19,25.06,25.4,24.65,24.72,23861000,0.0,0
2008-12-22,24.76,24.98,24.48,24.91,9734300,0.0,0
2008-12-23,24.75,25.62,24.75,24.97,7614700,0.54,0
2008-12-24,25.12,25.48,24.78,25.39,2736400,0.0,0
2008-12-26,25.48,25.69,25.28,25.41,2911500,0.0,0
2008-12-29,25.43,25.83,25.15,25.83,10159000,0.0,0
2008-12-30,25.97,26.42,25.74,26.28,8737700,0.0,0
2008-12-31,26.29,26.63,25.92,26.04,7886100,0.0,0
2009-01-02,26.01,26.93,25.9,26.4,7250900,0.0,0
2009-01-05,26.21,26.77,26.04,26.61,6636900,0.0,0
2009-01-06,26.61,26.94,25.69,25.88,14051200,0.0,0
2009-01-07,25.77,26.12,25.36,25.55,9346100,0.0,0
2009-01-08,25.48,25.67,25.13,25.55,8728300,0.0,0
2009-01-09,25.65,25.93,25.2,25.33,8594600,0.0,0
2009-01-12,25.32,25.75,24.92,25.03,8829000,0.0,0
2009-01-13,25.07,25.61,24.91,25.25,9938300,0.0,0
2009-01-14,24.8,24.98,24.33,24.87,10078000,0.0,0
2009-01-15,24.73,25.1,24.36,24.82,9398100,0.0,0
2009-01-16,25.09,25.4,24.5,25.21,9670400,0.0,0
2009-01-20,25.12,25.65,24.73,24.82,9878900,0.0,0
2009-01-21,25.15,25.15,24.18,24.78,10609200,0.0,0
2009-01-22,24.6,24.67,24.18,24.51,9756100,0.0,0
2009-01-23,24.25,24.8,23.79,24.67,9972300,0.0,0
2009-01-26,24.73,25.36,24.46,24.61,9750300,0.0,0
2009-01-27,24.7,25.03,23.95,24.03,11807500,0.0,0
2009-01-28,24.42,24.44,23.7,23.93,9369300,0.0,0
2009-01-29,23.76,24.06,23.14,23.19,9528900,0.0,0
2009-01-30,23.32,23.34,22.14,22.23,19184600,0.0,0
2009-02-02,21.95,22.58,21.93,22.39,11974800,0.0,0
2009-02-03,22.73,23.13,22.42,22.93,11844600,0.0,0
2009-02-04,23.05,23.17,21.03,22.01,20294800,0.0,0
2009-02-05,21.61,22.32,21.44,22.3,14638200,0.0,0
2009-02-06,22.27,22.42,21.85,22.04,12779500,0.0,0
2009-02-09,21.99,22.16,21.86,21.97,8706900,0.0,0
2009-02-10,21.93,22.08,21.48,21.57,12692000,0.0,0
2009-02-11,21.73,21.88,21.51,21.76,10399900,0.0,0
2009-02-12,21.55,21.82,21.42,21.63,11930000,0.0,0
2009-02-13,21.6,21.7,21.35,21.54,11326400,0.0,0
2009-02-17,21.14,21.18,20.65,20.78,12750800,0.0,0
2009-02-18,20.92,21.32,20.82,21.18,13314100,0.0,0
2009-02-19,21.44,21.57,21.19,21.49,9859700,0.0,0
2009-02-20,21.12,21.5,21.09,21.32,13236100,0.0,0
2009-02-23,21.59,21.59,20.96,21.01,10778400,0.0,0
2009-02-24,21.15,21.15,20.71,20.89,12551600,0.0,0
2009-02-25,20.81,21.06,20.65,20.83,26323300,0.0,0
2009-02-26,20.99,21.21,20.47,20.47,10910900,0.0,0
2009-02-27,20.14,20.41,20.0,20.03,13862200,0.0,0
2009-03-02,19.62,20.05,19.47,19.6,16290300,0.0,0
2009-03-03,19.51,19.78,19.3,19.35,14967700,0.0,0
2009-03-04,19.66,20.18,19.51,20.04,14920300,0.0,0
2009-03-05,19.62,19.81,19.17,19.72,16889400,0.0,0
2009-03-06,19.86,20.02,19.46,19.95,15374600,0.0,0
2009-03-09,19.75,20.51,19.72,20.39,12549200,0.0,0
2009-03-10,20.7,20.7,19.96,20.38,11017200,0.0,0
2009-03-11,20.54,20.61,20.02,20.14,9251500,0.0,0
2009-03-12,20.2,20.77,19.92,20.73,7669500,0.0,0
2009-03-13,20.86,21.63,20.8,21.55,11342200,0.0,0
2009-03-16,21.68,22.41,21.65,22.24,9206700,0.0,0
2009-03-17,22.06,23.21,21.82,23.1,13755200,0.0,0
2009-03-18,22.87,23.49,22.71,22.91,12208500,0.0,0
2009-03-19,22.9,22.98,22.23,22.27,12822800,0.0,0
2009-03-20,22.38,23.15,22.38,22.96,18304800,0.0,0
2009-03-23,23.46,23.46,22.8,23.14,13056400,0.54,0
2009-03-24,22.9,23.73,22.9,23.55,13010100,0.0,0
2009-03-25,23.73,23.84,23.18,23.42,7969300,0.0,0
2009-03-26,23.56,23.58,23.05,23.25,12736300,0.0,0
2009-03-27,23.28,23.3,22.62,22.81,8728900,0.0,0
2009-03-30,22.76,22.99,22.12,22.29,8717500,0.0,0
2009-03-31,22.22,22.42,21.54,21.6,14856400,0.0,0
2009-04-01,21.38,22.08,21.34,21.98,10944400,0.0,0
2009-04-02,22.12,22.23,21.66,21.91,13244100,0.0,0
2009-04-03,21.88,22.09,21.73,21.97,10122200,0.0,0
2009-04-06,22.03,22.73,21.83,22.66,8652200,0.0,0
2009-04-07,22.37,22.76,22.22,22.45,11754800,0.0,0
2009-04-08,22.57,23.28,22.25,23.22,8867500,0.0,0
2009-04-09,23.65,23.65,22.73,22.89,7901000,0.0,0
2009-04-13,22.77,22.96,22.44,22.51,6492600,0.0,0
2009-04-14,22.3,22.34,21.8,22.12,8350900,0.0,0
2009-04-15,21.98,22.99,21.98,22.94,8083600,0.0,0
2009-04-16,23.11,23.11,22.47,23.07,7073300,0.0,0
2009-04-17,23.12,23.17,22.57,22.65,8923900,0.0,0
2009-04-20,22.39,22.84,22.27,22.4,8869300,0.0,0
2009-04-21,22.34,22.54,22.13,22.39,7414300,0.0,0
2009-04-22,22.25,22.59,22.0,22.0,9480500,0.0,0
2009-04-23,22.11,22.67,21.87,22.46,8630200,0.0,0
2009-04-24,22.62,23.04,22.49,22.72,9252600,0.0,0
2009-04-27,22.44,22.85,22.44,22.57,7162400,0.0,0
2009-04-28,22.34,22.68,22.25,22.35,7996400,0.0,0
2009-04-29,22.37,22.84,22.2,22.36,9783500,0.0,0
2009-04-30,22.49,22.66,21.97,21.97,18185200,0.0,0
