Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-03,0.11,0.12,0.11,0.11,35700,0.0,0.0
1973-05-04,0.12,0.13,0.12,0.12,59500,0.0,0.0
1973-05-07,0.11,0.12,0.11,0.11,66100,0.0,0.0
1973-05-08,0.11,0.12,0.11,0.11,23800,0.0,0.0
1973-05-09,0.12,0.12,0.12,0.12,32100,0.0,0.0
1973-05-10,0.12,0.12,0.12,0.12,9500,0.0,0.0
1973-05-11,0.12,0.12,0.12,0.12,14200,0.0,0.0
1973-05-14,0.12,0.12,0.12,0.12,23800,0.0,0.0
1973-05-15,0.12,0.12,0.12,0.12,34500,0.0,0.0
1973-05-16,0.11,0.12,0.11,0.11,20200,0.0,0.0
1973-05-17,0.12,0.12,0.12,0.12,32700,0.0,0.0
1973-05-18,0.11,0.12,0.11,0.11,32700,0.0,0.0
1973-05-21,0.1,0.11,0.1,0.1,76800,0.0,0.0
1973-05-22,0.1,0.11,0.1,0.1,10700,0.0,0.0
1973-05-23,0.1,0.1,0.1,0.1,30300,0.0,0.0
1973-05-24,0.09,0.1,0.09,0.09,55300,0.0,0.0
1973-05-25,0.1,0.1,0.1,0.1,43400,0.0,0.0
1973-05-29,0.1,0.1,0.1,0.1,16000,0.0,0.0
1973-05-30,0.09,0.1,0.09,0.09,500,0.0,0.0
1973-05-31,0.09,0.1,0.09,0.09,30300,0.0,0.0
1973-06-01,0.09,0.1,0.09,0.09,5900,0.0,0.0
1973-06-04,0.09,0.1,0.09,0.09,2300,0.0,0.0
1973-06-05,0.09,0.1,0.09,0.09,30900,0.0,0.0
1973-06-06,0.09,0.1,0.09,0.09,16000,0.0,0.0
1973-06-07,0.09,0.1,0.09,0.09,7700,0.0,0.0
1973-06-08,0.1,0.1,0.1,0.1,9500,0.0,0.0
1973-06-11,0.1,0.11,0.1,0.1,22000,0.0,0.0
1973-06-12,0.1,0.11,0.1,0.1,23200,0.0,0.0
1973-06-13,0.1,0.11,0.1,0.1,5300,0.0,0.0
1973-06-14,0.1,0.11,0.1,0.1,16000,0.0,0.0
1973-06-15,0.1,0.11,0.1,0.1,13100,0.0,0.0
1973-06-18,0.09,0.1,0.09,0.09,20200,0.0,0.0
1973-06-19,0.09,0.1,0.09,0.09,7700,0.0,0.0
1973-06-20,0.1,0.1,0.1,0.1,5900,0.0,0.0
1973-06-21,0.09,0.1,0.09,0.09,14200,0.0,0.0
1973-06-22,0.09,0.1,0.09,0.09,28500,0.0,0.0
1973-06-25,0.09,0.1,0.09,0.09,7700,0.0,0.0
1973-06-26,0.09,0.1,0.09,0.09,11300,0.0,0.0
1973-06-27,0.09,0.1,0.09,0.09,16000,0.0,0.0
1973-06-28,0.09,0.09,0.09,0.09,22000,0.0,0.0
1973-06-29,0.09,0.09,0.09,0.09,13100,0.0,0.0
1973-07-02,0.09,0.09,0.09,0.09,5300,0.0,0.0
1973-07-03,0.09,0.09,0.09,0.09,2300,0.0,0.0
1973-07-05,0.09,0.09,0.09,0.09,500,0.0,0.0
1973-07-06,0.09,0.09,0.09,0.09,5300,0.0,0.0
1973-07-09,0.09,0.1,0.09,0.09,5900,0.0,0.0
1973-07-10,0.09,0.1,0.09,0.09,5900,0.0,0.0
1973-07-11,0.09,0.1,0.09,0.09,500,0.0,0.0
1973-07-12,0.09,0.1,0.09,0.09,7700,0.0,0.0
1973-07-13,0.09,0.1,0.09,0.09,1700,0.0,0.0
1973-07-16,0.09,0.1,0.09,0.09,5900,0.0,0.0
1973-07-17,0.09,0.1,0.09,0.09,11300,0.0,0.0
1973-07-18,0.09,0.1,0.09,0.09,9500,0.0,0.0
1973-07-19,0.09,0.1,0.09,0.09,5300,0.0,0.0
1973-07-20,0.09,0.1,0.09,0.09,5300,0.0,0.0
1973-07-23,0.09,0.1,0.09,0.09,16000,0.0,0.0
1973-07-24,0.1,0.1,0.1,0.1,14800,0.0,0.0
1973-07-25,0.1,0.11,0.1,0.1,42800,0.0,0.0
1973-07-26,0.11,0.12,0.11,0.11,48200,0.0,0.0
1973-07-27,0.11,0.12,0.11,0.11,16000,0.0,0.0
1973-07-30,0.11,0.12,0.11,0.11,38100,0.0,0.0
1973-07-31,0.12,0.12,0.12,0.12,17800,0.0,0.0
1973-08-01,0.11,0.12,0.11,0.11,27300,0.0,0.0
1973-08-02,0.11,0.12,0.11,0.11,26800,0.0,0.0
1973-08-03,0.11,0.11,0.11,0.11,28500,0.0,0.0
1973-08-06,0.11,0.11,0.11,0.11,11300,0.0,0.0
1973-08-07,0.11,0.11,0.11,0.11,16000,0.0,0.0
1973-08-08,0.11,0.11,0.11,0.11,500,0.0,0.0
1973-08-09,0.11,0.11,0.11,0.11,5900,0.0,0.0
1973-08-10,0.11,0.11,0.11,0.11,8900,0.0,0.0
1973-08-13,0.1,0.1,0.1,0.1,41000,0.0,0.0
1973-08-14,0.09,0.1,0.09,0.09,10700,0.0,0.0
1973-08-15,0.09,0.09,0.09,0.09,0,0.0,0.0
1973-08-16,0.1,0.1,0.1,0.1,500,0.0,0.0
1973-08-17,0.1,0.1,0.1,0.1,1700,0.0,0.0
1973-08-20,0.1,0.1,0.1,0.1,10700,0.0,0.0
1973-08-21,0.1,0.1,0.1,0.1,500,0.0,0.0
1973-08-22,0.09,0.09,0.09,0.09,16000,0.0,0.0
1973-08-23,0.09,0.1,0.09,0.09,9500,0.0,0.0
1973-08-24,0.09,0.1,0.09,0.09,7700,0.0,0.0
1973-08-27,0.09,0.09,0.09,0.09,0,0.0,0.0
1973-08-28,0.09,0.09,0.09,0.09,0,0.0,0.0
1973-08-29,0.09,0.1,0.09,0.09,17800,0.0,0.0
1973-08-30,0.09,0.1,0.09,0.09,11300,0.0,0.0
1973-08-31,0.09,0.1,0.09,0.09,16000,0.0,0.0
1973-09-04,0.1,0.1,0.1,0.1,29100,0.0,0.0
1973-09-05,0.1,0.1,0.1,0.1,11300,0.0,0.0
1973-09-06,0.11,0.12,0.11,0.11,48200,0.0,0.0
1973-09-07,0.11,0.12,0.11,0.11,20200,0.0,0.0
1973-09-10,0.11,0.12,0.11,0.11,55300,0.0,0.0
1973-09-11,0.11,0.12,0.11,0.11,9500,0.0,0.0
1973-09-12,0.11,0.12,0.11,0.11,30900,0.0,0.0
1973-09-13,0.11,0.12,0.11,0.11,5300,0.0,0.0
1973-09-14,0.11,0.12,0.11,0.11,17800,0.0,0.0
1973-09-17,0.12,0.12,0.12,0.12,55300,0.0,0.0
1973-09-18,0.12,0.12,0.12,0.12,32700,0.0,0.0
1973-09-19,0.12,0.12,0.12,0.12,22000,0.0,0.0
1973-09-20,0.12,0.12,0.12,0.12,21400,0.0,0.0
1973-09-21,0.12,0.12,0.12,0.12,26800,0.0,0.0
1973-09-24,0.12,0.12,0.12,0.12,9500,0.0,0.0
1973-09-25,0.12,0.13,0.12,0.12,63100,0.0,0.0
1973-09-26,0.12,0.13,0.12,0.12,73200,0.0,0.0
1973-09-27,0.12,0.13,0.12,0.12,30300,0.0,0.0
1973-09-28,0.12,0.13,0.12,0.12,27300,0.0,0.0
1973-10-01,0.13,0.13,0.13,0.13,32700,0.0,0.0
1973-10-02,0.13,0.13,0.13,0.13,35700,0.0,0.0
1973-10-03,0.13,0.14,0.13,0.13,84500,0.0,0.0
1973-10-04,0.13,0.14,0.13,0.13,59500,0.0,0.0
1973-10-05,0.14,0.14,0.14,0.14,66100,0.0,0.0
1973-10-08,0.14,0.15,0.14,0.14,61300,0.0,0.0
1973-10-09,0.14,0.15,0.14,0.14,85700,0.0,0.0
1973-10-10,0.16,0.16,0.16,0.16,134000,0.0,0.0
1973-10-11,0.18,0.19,0.18,0.18,349000,0.0,0.0
1973-10-12,0.18,0.18,0.18,0.18,168500,0.0,0.0
1973-10-15,0.18,0.19,0.18,0.18,114300,0.0,0.0
1973-10-16,0.17,0.17,0.17,0.17,88100,0.0,0.0
1973-10-17,0.17,0.17,0.17,0.17,41600,0.0,0.0
1973-10-18,0.17,0.17,0.17,0.17,69600,0.0,0.0
1973-10-19,0.17,0.18,0.17,0.17,77400,0.0,0.0
1973-10-22,0.17,0.18,0.17,0.17,57100,0.0,0.0
1973-10-23,0.17,0.18,0.17,0.17,19600,0.0,0.0
1973-10-24,0.16,0.16,0.16,0.16,75000,0.0,0.0
1973-10-25,0.16,0.17,0.16,0.16,60700,0.0,0.0
1973-10-26,0.16,0.17,0.16,0.16,55300,0.0,0.0
1973-10-29,0.16,0.17,0.16,0.16,30300,0.0,0.0
1973-10-30,0.16,0.17,0.16,0.16,82100,0.0,0.0
1973-10-31,0.16,0.17,0.16,0.16,34500,0.0,0.0
1973-11-01,0.16,0.17,0.16,0.16,9500,0.0,0.0
