Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,4.56,4.46,4.51,4300,0.0,0
1973-02-22,0.0,4.53,4.46,4.53,4000,0.0,0
1973-02-23,0.0,4.53,4.43,4.43,3500,0.0,0
1973-02-26,0.0,4.46,4.38,4.41,2200,0.0,0
1973-02-27,0.0,4.41,4.33,4.33,6400,0.0,0
1973-02-28,0.0,4.38,4.33,4.36,2200,0.0,0
1973-03-01,0.0,4.41,4.33,4.36,6200,0.0,0
1973-03-02,0.0,4.41,4.36,4.38,3100,0.0,0
1973-03-05,0.0,4.43,4.13,4.18,27800,0.0,0
1973-03-06,0.0,4.26,4.21,4.21,7900,0.0,0
1973-03-07,0.0,4.31,4.23,4.28,4400,0.0,0
1973-03-08,0.0,4.36,4.23,4.28,14200,0.0,0
1973-03-09,0.0,4.31,4.21,4.21,3600,0.0,0
1973-03-12,0.0,4.21,4.13,4.13,4800,0.0,0
1973-03-13,0.0,4.31,4.13,4.26,8400,0.0,0
1973-03-14,0.0,4.28,4.18,4.23,9500,0.0,0
1973-03-15,0.0,4.31,4.23,4.23,6600,0.0,0
1973-03-16,0.0,4.31,4.18,4.18,5900,0.0,0
1973-03-19,0.0,4.23,4.16,4.16,5900,0.0,0
1973-03-20,0.0,4.13,4.08,4.11,6300,0.0,0
1973-03-21,0.0,4.11,4.08,4.11,5700,0.0,0
1973-03-22,0.0,4.11,4.01,4.01,7000,0.0,0
1973-03-23,0.0,4.03,3.96,4.03,10400,0.0,0
1973-03-26,0.0,4.08,4.03,4.08,5700,0.0,0
1973-03-27,0.0,4.11,4.03,4.08,8300,0.0,0
1973-03-28,0.0,4.13,4.06,4.08,3500,0.0,0
1973-03-29,0.0,4.16,4.03,4.13,34400,0.0,0
1973-03-30,0.0,4.18,4.13,4.16,3400,0.0,0
1973-04-02,0.0,4.18,4.01,4.01,19000,0.0,0
1973-04-03,0.0,4.01,3.98,4.01,7700,0.0,0
1973-04-04,0.0,4.01,3.93,3.93,17200,0.0,0
1973-04-05,0.0,3.96,3.88,3.96,7400,0.0,0
1973-04-06,0.0,3.96,3.88,3.9,9300,0.0,0
1973-04-09,0.0,4.06,3.93,4.03,5500,0.0,0
1973-04-10,0.0,4.06,3.96,4.01,22500,0.0,0
1973-04-11,0.0,4.03,4.01,4.01,10800,0.0,0
1973-04-12,0.0,4.06,3.98,4.03,22900,0.0,0
