Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1991-12-17,8.83,10.37,8.83,10.26,15815400,0.0,0.0
1991-12-18,10.15,10.26,10.04,10.15,2662600,0.0,0.0
1991-12-19,10.04,10.15,9.82,9.93,1017600,0.0,0.0
1991-12-20,10.15,10.26,9.93,10.15,513800,0.0,0.0
1991-12-23,10.04,10.49,10.04,10.49,493200,0.0,0.0
1991-12-24,10.49,10.71,10.26,10.6,492400,0.0,0.0
1991-12-26,10.49,12.14,10.49,11.92,582600,0.0,0.0
1991-12-27,11.92,12.03,11.37,11.92,720800,0.0,0.0
1991-12-30,11.81,13.58,11.81,12.58,1435000,0.0,0.0
1991-12-31,12.8,13.13,12.58,13.13,440800,0.0,0.0
1992-01-02,12.8,13.02,12.25,12.58,1389600,0.0,0.0
1992-01-03,12.58,13.47,12.58,13.35,353800,0.0,0.0
1992-01-06,13.35,13.69,13.13,13.69,442800,0.0,0.0
1992-01-07,13.58,13.58,13.13,13.24,666200,0.0,0.0
1992-01-08,13.02,13.58,12.91,13.24,975000,0.0,0.0
1992-01-09,13.35,13.35,12.8,12.8,376800,0.0,0.0
1992-01-10,13.02,13.13,12.8,13.13,426600,0.0,0.0
1992-01-13,13.24,13.47,12.91,13.47,62600,0.0,0.0
1992-01-14,13.47,13.52,13.13,13.35,56800,0.0,0.0
1992-01-15,13.24,13.47,13.13,13.24,251600,0.0,0.0
1992-01-16,13.13,13.35,12.69,13.02,801000,0.0,0.0
1992-01-17,12.8,12.91,12.58,12.69,288400,0.0,0.0
1992-01-20,12.69,12.91,12.03,12.03,242800,0.0,0.0
1992-01-21,11.92,12.03,10.71,11.92,823200,0.0,0.0
1992-01-22,11.81,12.25,11.81,12.14,171400,0.0,0.0
1992-01-23,12.58,13.13,12.36,13.02,578800,0.0,0.0
1992-01-24,13.24,13.8,12.91,13.69,591600,0.0,0.0
1992-01-27,13.58,13.91,13.58,13.69,484800,0.0,0.0
1992-01-28,13.91,13.91,13.58,13.8,556200,0.0,0.0
1992-01-29,13.91,14.35,13.8,14.02,410000,0.0,0.0
1992-01-30,13.8,14.13,13.8,14.07,195000,0.0,0.0
1992-01-31,13.91,14.35,13.91,14.13,194600,0.0,0.0
1992-02-03,14.13,14.35,14.13,14.35,70600,0.0,0.0
1992-02-04,14.35,14.68,14.13,14.46,494600,0.0,0.0
1992-02-05,14.46,14.57,14.35,14.35,196400,0.0,0.0
1992-02-06,14.35,14.57,14.35,14.57,524000,0.0,0.0
1992-02-07,14.57,14.68,14.35,14.68,183600,0.0,0.0
1992-02-10,14.68,14.9,14.46,14.9,125000,0.0,0.0
1992-02-11,14.9,15.12,14.13,14.68,517400,0.0,0.0
1992-02-12,14.79,14.9,14.57,14.68,153800,0.0,0.0
1992-02-13,14.96,15.01,14.46,14.57,292800,0.0,0.0
1992-02-14,14.46,14.57,14.24,14.35,234400,0.0,0.0
1992-02-18,14.35,14.57,14.24,14.46,171800,0.0,0.0
1992-02-19,14.57,14.57,14.02,14.13,278200,0.0,0.0
1992-02-20,14.35,14.79,14.13,14.46,613600,0.0,0.0
1992-02-21,14.79,15.78,14.68,15.67,600800,0.0,0.0
1992-02-24,15.67,15.67,14.68,14.68,348800,0.0,0.0
1992-02-25,14.79,14.79,13.8,14.24,304600,0.0,0.0
1992-02-26,14.02,14.46,14.02,14.35,104800,0.0,0.0
1992-02-27,14.35,14.35,13.58,13.91,199400,0.0,0.0
1992-02-28,13.58,13.91,13.58,13.91,106200,0.0,0.0
1992-03-02,13.91,13.91,13.24,13.47,503600,0.0,0.0
1992-03-03,13.24,13.47,12.91,13.13,274000,0.0,0.0
1992-03-04,13.02,13.02,12.69,12.97,810200,0.0,0.0
