Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2001-12-13,18.72,19.3,18.66,18.85,49466000,0.0,0
2001-12-14,19.24,19.37,19.0,19.1,9676300,0.0,0
2001-12-17,19.27,19.27,18.92,18.95,5110900,0.0,0
2001-12-18,18.98,19.27,18.91,19.27,5167700,0.0,0
2001-12-19,19.21,19.43,19.06,19.4,3693200,0.0,0
2001-12-20,19.46,19.93,19.38,19.41,3914200,0.0,0
2001-12-21,19.56,19.94,19.46,19.94,3429100,0.0,0
2001-12-24,19.79,20.26,19.79,20.24,976900,0.0,0
2001-12-26,20.27,21.07,20.27,20.72,2456300,0.0,0
2001-12-27,20.72,21.22,20.28,21.14,4447500,0.0,0
2001-12-28,21.14,21.3,20.96,21.2,4174800,0.0,0
2001-12-31,21.31,21.71,21.05,21.36,5532800,0.0,0
2002-01-02,20.98,21.11,20.02,20.14,5168900,0.0,0
2002-01-03,20.14,21.07,19.83,20.11,2906500,0.0,0
2002-01-04,20.08,20.59,20.01,20.56,3086000,0.0,0
2002-01-07,20.43,20.62,20.19,20.56,2449300,0.0,0
2002-01-08,20.11,20.49,20.11,20.45,1766500,0.0,0
2002-01-09,20.56,20.56,20.11,20.14,1639100,0.0,0
2002-01-10,20.02,20.39,19.95,19.95,1689400,0.0,0
2002-01-11,19.95,20.04,19.79,19.88,1966200,0.0,0
2002-01-14,19.79,19.79,19.0,19.34,3160000,0.0,0
2002-01-15,19.56,20.02,19.25,19.81,1962400,0.0,0
2002-01-16,19.68,20.04,19.59,19.74,1881100,0.0,0
2002-01-17,19.87,19.95,19.5,19.64,1739800,0.0,0
2002-01-18,19.56,19.59,19.14,19.46,1531400,0.0,0
2002-01-22,19.62,20.11,19.56,20.11,2322700,0.0,0
2002-01-23,20.37,20.4,19.64,19.64,2460800,0.0,0
2002-01-24,19.69,19.74,19.3,19.46,3064100,0.0,0
2002-01-25,19.3,19.63,19.24,19.58,2373600,0.0,0
2002-01-28,19.72,19.97,19.66,19.9,2450800,0.0,0
2002-01-29,19.3,19.88,19.3,19.56,2512800,0.0,0
2002-01-30,19.63,19.67,19.18,19.4,3533700,0.0,0
2002-01-31,19.61,20.06,19.52,19.98,3986900,0.0,0
2002-02-01,19.92,19.92,19.56,19.69,3200100,0.0,0
2002-02-04,19.69,19.93,19.63,19.87,3193400,0.0,0
2002-02-05,19.85,20.33,19.79,19.98,2397200,0.0,0
2002-02-06,20.08,20.08,19.88,20.04,2107700,0.0,0
2002-02-07,19.92,19.98,19.64,19.7,1801500,0.0,0
2002-02-08,19.67,19.97,19.66,19.97,1399300,0.0,0
2002-02-11,19.75,20.52,19.74,20.44,1904300,0.0,0
2002-02-12,20.21,20.49,20.11,20.27,2038700,0.0,0
2002-02-13,20.08,20.73,19.86,20.65,3779900,0.0,0
2002-02-14,20.62,20.77,20.53,20.61,2200800,0.0,0
2002-02-15,20.48,20.55,19.97,20.27,1649600,0.0,0
2002-02-19,19.95,20.01,19.3,19.47,2983900,0.0,0
2002-02-20,19.63,19.77,19.37,19.72,2283100,0.0,0
2002-02-21,19.59,19.86,19.59,19.84,1929100,0.0,0
2002-02-22,19.66,19.72,19.3,19.46,1655900,0.0,0
2002-02-25,19.46,19.51,19.35,19.48,2355800,0.0,0
2002-02-26,19.55,19.75,19.52,19.63,2309100,0.0,0
2002-02-27,19.69,19.7,19.5,19.53,2937000,0.0,0
2002-02-28,19.53,19.79,19.53,19.67,2012600,0.0,0
2002-03-01,19.75,19.88,19.56,19.85,2189500,0.0,0
2002-03-04,19.87,20.26,19.75,19.75,2321500,0.0,0
2002-03-05,19.75,20.26,19.57,20.23,3350200,0.0,0
2002-03-06,19.95,20.2,19.95,20.2,1593000,0.0,0
2002-03-07,20.08,20.38,20.01,20.31,2412800,0.0,0
2002-03-08,20.49,20.63,20.24,20.43,2561600,0.0,0
2002-03-11,20.49,20.53,20.08,20.17,2237500,0.0,0
2002-03-12,19.95,20.17,19.75,19.88,2054000,0.0,0
2002-03-13,19.71,19.88,19.69,19.71,2077400,0.0,0
2002-03-14,19.75,19.95,19.75,19.93,2493400,0.0,0
2002-03-15,19.75,20.19,19.75,20.01,3211200,0.0,0
2002-03-18,20.3,20.33,19.92,20.2,2275600,0.0,0
2002-03-19,20.14,20.45,20.13,20.2,2259500,0.0,0
2002-03-20,20.11,20.26,20.09,20.17,2410100,0.0,0
2002-03-21,20.06,20.17,19.94,20.11,2524800,0.0,0
