Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-11-18,2.15,2.21,2.15,2.15,3200.0,0.0,0
1980-11-19,2.17,2.23,2.17,2.17,8000.0,0.0,0
1980-11-20,2.17,2.17,2.15,2.15,16600.0,0.0,0
1980-11-21,2.23,2.26,2.23,2.23,18700.0,0.0,0
1980-11-24,2.21,2.21,2.15,2.15,40900.0,0.0,0
1980-11-25,2.09,2.09,2.06,2.06,25800.0,0.0,0
1980-11-26,2.15,2.21,2.15,2.15,75000.0,0.0,0
1980-11-28,2.19,2.21,2.19,2.19,19300.0,0.0,0
1980-12-01,2.19,2.19,2.13,2.13,26200.0,0.0,0
1980-12-02,2.06,2.06,1.98,1.98,20000.0,0.0,0
1980-12-03,2.0,2.06,2.0,2.0,10500.0,0.0,0
1980-12-04,2.0,2.02,1.94,1.94,13700.0,0.0,0
1980-12-05,1.94,2.02,1.94,1.94,11000.0,0.0,0
1980-12-08,1.86,1.86,1.79,1.79,8700.0,0.0,0
1980-12-09,1.79,1.9,1.79,1.79,38700.0,0.0,0
1980-12-10,1.94,2.06,1.94,1.94,10800.0,0.0,0
1980-12-11,1.94,2.02,1.9,1.9,10800.0,0.0,0
1980-12-12,1.94,2.02,1.94,1.94,4500.0,0.0,0
1980-12-15,1.94,1.94,1.83,1.83,8000.0,0.0,0
1980-12-16,1.83,1.9,1.83,1.83,7500.0,0.0,0
1980-12-17,1.83,1.9,1.83,1.83,7000.0,0.0,0
1980-12-18,1.83,1.9,1.79,1.79,10600.0,0.0,0
1980-12-19,1.83,1.9,1.83,1.83,18700.0,0.0,0
1980-12-22,1.86,1.94,1.86,1.86,16800.0,0.0,0
1980-12-23,1.86,1.9,1.86,1.86,8600.0,0.0,0
1980-12-24,1.86,1.94,1.86,1.86,9200.0,0.0,0
1980-12-26,1.9,1.98,1.9,1.9,3900.0,0.0,0
1980-12-29,1.9,1.98,1.9,1.9,4400.0,0.0,0
1980-12-30,1.9,1.98,1.9,1.9,13400.0,0.0,0
1980-12-31,1.9,1.94,1.86,1.86,7800.0,0.0,0
1981-01-02,1.94,1.98,1.94,1.94,8000.0,0.0,0
1981-01-05,1.98,2.06,1.98,1.98,9400.0,0.0,0
1981-01-06,1.98,2.06,1.98,1.98,10200.0,0.0,0
1981-01-07,1.98,1.98,1.86,1.86,17100.0,0.0,0
1981-01-08,1.9,1.98,1.9,1.9,7800.0,0.0,0
1981-01-09,1.98,2.06,1.98,1.98,5600.0,0.0,0
1981-01-12,1.98,2.06,1.98,1.98,11400.0,0.0,0
1981-01-13,2.06,2.13,2.06,2.06,5000.0,0.0,0
1981-01-14,2.09,2.17,2.09,2.09,7100.0,0.0,0
1981-01-15,2.09,2.17,2.09,2.09,3300.0,0.0,0
1981-01-16,2.09,2.17,2.09,2.09,6800.0,0.0,0
1981-01-19,2.09,2.17,2.09,2.09,7600.0,0.0,0
1981-01-20,2.09,2.17,2.06,2.06,6800.0,0.0,0
1981-01-21,2.09,2.17,2.09,2.09,2600.0,0.0,0
1981-01-22,2.09,2.13,2.06,2.06,7700.0,0.0,0
1981-01-23,2.09,2.17,2.09,2.09,7900.0,0.0,0
1981-01-26,2.09,2.13,2.06,2.06,3200.0,0.0,0
1981-01-27,2.09,2.17,2.09,2.09,4100.0,0.0,0
