Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-04-12,26.65,27.42,25.65,27.25,654700,0.0,0
2012-04-13,27.25,30.02,27.18,29.65,1685000,0.0,0
2012-04-16,29.65,29.65,28.85,29.29,550200,0.0,0
2012-04-17,29.17,29.45,28.85,28.85,179600,0.0,0
2012-04-18,28.85,29.21,27.65,28.85,207100,0.0,0
2012-04-19,28.85,29.83,28.69,28.85,598100,0.0,0
2012-04-20,28.93,29.65,28.93,29.11,149700,0.0,0
2012-04-23,29.05,29.05,28.39,28.6,95700,0.0,0
2012-04-24,28.85,28.85,27.8,27.85,124500,0.0,0
2012-04-25,27.89,28.45,27.65,27.85,266200,0.0,0
2012-04-26,27.74,28.04,27.6,28.01,183900,0.0,0
2012-04-27,28.25,28.25,27.23,27.34,536000,0.0,0
2012-04-30,27.52,27.97,27.25,27.29,4105700,0.0,0
2012-05-01,27.04,27.33,26.11,26.26,6878600,0.0,0
2012-05-02,26.13,26.18,25.35,25.65,11287600,0.0,0
2012-05-03,25.59,25.63,24.89,25.16,11800000,0.0,0
2012-05-04,24.73,24.92,24.14,24.17,10881000,0.0,0
2012-05-07,24.12,24.49,23.44,23.52,12257200,0.0,0
2012-05-08,23.32,24.37,23.04,24.12,14601300,0.0,0
2012-05-09,23.89,26.36,23.83,26.04,13990000,0.0,0
2012-05-10,26.49,26.73,25.26,26.03,8862000,0.0,0
2012-05-11,25.43,25.77,25.17,25.51,4460100,0.0,0
2012-05-14,25.0,25.31,24.66,25.1,6398200,0.0,0
2012-05-15,25.13,25.9,24.89,25.38,6362800,0.0,0
2012-05-16,25.21,25.96,25.05,25.73,6118600,0.0,0
2012-05-17,25.56,25.65,25.01,25.05,5850500,0.0,0
2012-05-18,25.19,25.4,24.84,25.15,7940800,0.0,0
2012-05-21,25.03,25.92,24.81,25.8,5480100,0.0,0
2012-05-22,25.55,25.86,25.11,25.35,5415000,0.0,0
2012-05-23,25.13,25.24,24.75,25.17,5268900,0.0,0
2012-05-24,25.18,25.2,24.65,24.95,4210400,0.0,0
2012-05-25,24.85,25.17,24.71,25.09,3217900,0.0,0
2012-05-29,25.07,25.42,24.73,24.85,3979600,0.0,0
2012-05-30,24.68,24.71,24.19,24.4,6000600,0.0,0
2012-05-31,24.25,24.32,23.82,24.07,8098000,0.0,0
2012-06-01,23.64,24.18,23.55,23.98,5701700,0.0,0
2012-06-04,23.48,24.2,23.44,23.67,4844900,0.0,0
2012-06-05,23.54,24.12,23.5,23.96,4046500,0.0,0
2012-06-06,24.07,25.65,23.9,25.27,8609400,0.0,0
2012-06-07,25.7,26.25,25.44,25.51,7694300,0.0,0
2012-06-08,25.37,25.93,25.25,25.74,4302100,0.0,0
2012-06-11,26.01,26.49,25.83,26.13,5999000,0.0,0
2012-06-12,26.1,27.04,26.04,26.84,6809900,0.0,0
2012-06-13,26.67,26.84,26.08,26.26,2876200,0.0,0
2012-06-14,26.26,26.96,25.9,26.87,4460000,0.0,0
2012-06-15,26.93,27.98,26.75,27.97,9892400,0.0,0
2012-06-18,27.55,27.65,27.11,27.14,4254400,0.0,0
2012-06-19,27.3,27.68,27.03,27.14,4873500,0.0,0
2012-06-20,27.08,27.93,26.83,27.78,4628400,0.0,0
2012-06-21,27.81,27.86,26.5,26.83,3489900,0.0,0
2012-06-22,26.97,27.82,26.47,27.38,4359500,0.0,0
2012-06-25,27.0,27.0,26.26,26.34,3518600,0.0,0
2012-06-26,26.3,27.23,25.97,26.11,3274700,0.0,0
2012-06-27,26.14,26.77,25.18,25.56,3615600,0.0,0
2012-06-28,25.28,25.97,25.08,25.9,3115900,0.0,0
2012-06-29,26.27,26.75,26.17,26.64,4599500,0.0,0
2012-07-02,26.92,27.51,26.75,27.25,3868500,0.0,0
2012-07-03,27.27,27.76,27.11,27.44,3647400,0.0,0
2012-07-05,27.11,27.44,26.88,27.09,2711300,0.0,0
2012-07-06,26.77,26.99,26.38,26.75,1907800,0.0,0
2012-07-09,26.51,27.06,26.17,26.65,2264600,0.0,0
2012-07-10,26.83,26.83,26.05,26.19,2972900,0.0,0
2012-07-11,26.18,26.96,25.93,26.83,2583000,0.0,0
2012-07-12,26.57,26.6,26.09,26.46,3505600,0.0,0
2012-07-13,26.94,28.12,26.86,28.0,4801300,0.0,0
2012-07-16,27.8,28.95,27.7,28.93,4895700,0.0,0
2012-07-17,28.98,29.49,28.74,29.41,3604100,0.0,0
2012-07-18,29.37,30.19,29.33,29.73,2839200,0.0,0
2012-07-19,29.75,29.82,28.61,28.69,3758600,0.2,0
2012-07-20,28.35,28.56,28.13,28.46,3290000,0.0,0
2012-07-23,28.03,28.43,27.8,28.22,3245900,0.0,0
2012-07-24,28.41,28.54,27.89,28.39,2351600,0.0,0
2012-07-25,28.69,28.92,28.1,28.53,3551300,0.0,0
2012-07-26,28.82,29.06,28.68,28.98,2951300,0.0,0
2012-07-27,29.19,29.74,28.93,29.43,6158600,0.0,0
2012-07-30,29.7,30.34,29.68,30.34,2830300,0.0,0
2012-07-31,30.41,30.91,30.23,30.3,6958400,0.0,0
2012-08-01,31.49,32.38,30.44,30.84,6639700,0.0,0
2012-08-02,30.57,31.48,30.49,30.86,4434800,0.0,0
2012-08-03,31.1,32.11,31.1,31.97,4516000,0.0,0
2012-08-06,32.18,32.51,32.05,32.29,3405100,0.0,0
2012-08-07,32.55,32.9,31.9,32.05,4636800,0.0,0
2012-08-08,31.91,32.39,31.8,32.35,4002600,0.0,0
2012-08-09,32.15,32.72,32.14,32.49,2888200,0.0,0
2012-08-10,32.44,32.58,32.03,32.23,2107700,0.0,0
2012-08-13,32.12,32.51,32.05,32.35,2213500,0.0,0
2012-08-14,32.39,32.6,32.07,32.18,2533900,0.0,0
2012-08-15,32.67,32.76,32.18,32.52,4009400,0.0,0
2012-08-16,32.66,33.25,32.53,33.18,3862100,0.0,0
2012-08-17,33.54,34.59,33.42,34.47,5536300,0.0,0
2012-08-20,34.55,35.01,34.45,34.71,3809500,0.0,0
2012-08-21,34.96,34.96,33.43,33.48,4469400,0.0,0
2012-08-22,33.33,33.47,32.57,33.43,4384500,0.0,0
2012-08-23,33.43,33.55,33.08,33.3,1996300,0.0,0
2012-08-24,33.16,33.47,32.83,33.33,2562300,0.0,0
2012-08-27,33.39,34.16,33.01,33.1,3779200,0.0,0
2012-08-28,32.96,34.22,32.96,33.81,3770300,0.0,0
2012-08-29,33.76,34.16,33.56,33.83,2674300,0.0,0
2012-08-30,33.68,34.41,33.54,34.23,2523800,0.0,0
2012-08-31,34.41,34.65,33.12,33.84,5791200,0.0,0
2012-09-04,33.9,34.21,33.43,34.17,2620700,0.0,0
2012-09-05,34.24,34.31,33.39,33.64,2881800,0.0,0
2012-09-06,33.97,35.25,33.97,34.99,4222200,0.0,0
2012-09-07,35.04,35.71,34.94,35.67,3458100,0.0,0
2012-09-10,35.4,36.14,35.4,35.89,4417300,0.0,0
2012-09-11,35.97,37.15,35.83,36.74,6304700,0.0,0
2012-09-12,37.18,38.2,37.1,37.29,5269800,0.0,0
2012-09-13,37.31,37.75,36.56,37.58,5292000,0.0,0
2012-09-14,38.0,38.86,37.08,37.66,6718600,0.0,0
