Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-02-12,7.29,7.79,7.29,7.46,3903700,0.0,0.0
1998-02-13,7.54,7.62,7.37,7.46,504000,0.0,0.0
1998-02-17,7.71,7.87,7.71,7.79,132600,0.0,0.0
1998-02-18,7.87,8.29,7.83,8.29,140700,0.0,0.0
1998-02-19,8.37,8.62,8.12,8.12,235000,0.0,0.0
1998-02-20,8.04,8.12,7.54,7.75,204700,0.0,0.0
1998-02-23,7.79,7.87,7.58,7.87,60600,0.0,0.0
1998-02-24,7.83,7.87,7.5,7.62,261300,0.0,0.0
1998-02-25,7.71,7.71,7.46,7.62,129000,0.0,0.0
1998-02-26,7.54,8.04,7.54,7.91,87000,0.0,0.0
1998-02-27,7.91,7.95,7.79,7.91,29100,0.0,0.0
1998-03-02,7.87,7.95,7.87,7.91,151000,0.0,0.0
1998-03-03,7.95,8.29,7.87,8.29,71800,0.0,0.0
1998-03-04,8.2,8.29,7.87,8.12,31000,0.0,0.0
1998-03-05,8.04,8.04,7.79,8.0,51600,0.0,0.0
1998-03-06,8.0,8.04,7.87,8.04,15000,0.0,0.0
1998-03-09,8.04,8.2,7.87,7.87,30600,0.0,0.0
1998-03-10,7.87,8.04,7.62,7.87,208000,0.0,0.0
1998-03-11,7.87,8.2,7.87,7.91,77400,0.0,0.0
1998-03-12,7.95,8.29,7.87,8.24,100900,0.0,0.0
1998-03-13,8.37,8.78,8.37,8.62,163900,0.0,0.0
1998-03-16,8.62,8.62,8.37,8.45,191700,0.0,0.0
1998-03-17,8.37,8.37,8.12,8.12,31900,0.0,0.0
1998-03-18,8.12,8.37,8.12,8.2,26200,0.0,0.0
1998-03-19,8.37,8.37,8.2,8.37,112200,0.0,0.0
1998-03-20,8.29,8.62,8.29,8.58,29100,0.0,0.0
1998-03-23,9.11,10.11,8.95,9.94,497800,0.0,0.0
1998-03-24,10.11,10.27,9.53,9.61,100000,0.0,0.0
1998-03-25,9.69,10.52,9.61,10.52,198700,0.0,0.0
1998-03-26,10.61,10.61,10.11,10.61,104800,0.0,0.0
1998-03-27,10.65,10.73,10.27,10.61,72600,0.0,0.0
1998-03-30,10.44,10.56,10.36,10.48,62700,0.0,0.0
1998-03-31,10.56,11.1,10.56,11.1,124200,0.0,0.0
1998-04-01,11.02,11.27,11.02,11.27,226300,0.0,0.0
1998-04-02,11.43,11.68,11.27,11.52,54900,0.0,0.0
1998-04-03,11.6,11.68,11.27,11.48,58900,0.0,0.0
1998-04-06,11.6,11.77,11.19,11.23,30300,0.0,0.0
1998-04-07,11.06,11.1,10.69,10.69,35200,0.0,0.0
1998-04-08,10.61,11.1,10.36,11.1,27700,0.0,0.0
1998-04-09,11.02,11.06,10.9,10.94,20200,0.0,0.0
1998-04-13,10.85,10.85,10.77,10.85,7000,0.0,0.0
1998-04-14,10.85,11.02,10.77,11.02,13800,0.0,0.0
1998-04-15,11.1,11.19,11.06,11.06,27700,0.0,0.0
1998-04-16,11.1,11.1,10.94,10.94,21900,0.0,0.0
1998-04-17,10.85,11.02,10.85,10.9,27000,0.0,0.0
1998-04-20,10.81,11.19,10.81,11.19,45700,0.0,0.0
1998-04-21,11.27,11.27,11.1,11.19,124500,0.0,0.0
1998-04-22,11.19,11.23,10.94,10.94,15100,0.0,0.0
1998-04-23,10.85,10.85,10.52,10.52,33100,0.0,0.0
1998-04-24,10.44,10.61,10.19,10.19,18000,0.0,0.0
1998-04-27,10.03,10.03,9.61,9.69,53800,0.0,0.0
1998-04-28,9.61,9.78,9.61,9.69,14400,0.0,0.0
1998-04-29,9.69,9.69,9.2,9.32,28200,0.0,0.0
1998-04-30,9.36,9.74,9.28,9.74,40500,0.0,0.0
1998-05-01,9.86,9.86,9.78,9.78,4200,0.0,0.0
1998-05-04,9.69,9.74,9.36,9.45,15100,0.0,0.0
1998-05-05,9.36,9.4,9.11,9.2,17400,0.0,0.0
1998-05-06,9.16,9.2,8.87,8.95,78400,0.0,0.0
1998-05-07,8.95,9.61,8.95,9.2,110100,0.0,0.0
1998-05-08,9.2,9.2,8.87,9.16,22800,0.0,0.0
1998-05-11,9.07,9.36,8.95,9.03,74800,0.0,0.0
1998-05-12,9.2,9.2,9.07,9.07,86500,0.0,0.0
1998-05-13,9.11,9.24,9.11,9.2,88200,0.0,0.0
1998-05-14,9.2,9.2,9.16,9.2,31000,0.0,0.0
1998-05-15,9.11,9.16,9.03,9.11,13200,0.0,0.0
1998-05-18,9.03,9.03,8.78,8.82,6000,0.0,0.0
1998-05-19,8.62,8.62,8.33,8.62,192100,0.0,0.0
1998-05-20,8.62,8.62,8.53,8.58,148600,0.0,0.0
1998-05-21,8.53,8.53,8.12,8.37,160900,0.0,0.0
1998-05-22,8.33,8.78,8.33,8.66,9900,0.0,0.0
1998-05-26,8.62,9.03,8.62,8.99,34000,0.0,0.0
1998-05-27,9.03,9.2,8.7,8.87,228900,0.0,0.0
1998-05-28,8.91,8.95,8.62,8.66,623500,0.0,0.0
1998-05-29,8.7,8.74,8.41,8.45,111100,0.0,0.0
1998-06-01,8.53,8.62,8.37,8.45,67300,0.0,0.0
1998-06-02,8.37,8.62,8.33,8.62,17100,0.0,0.0
1998-06-03,8.53,8.74,8.53,8.74,10000,0.0,0.0
1998-06-04,8.7,9.11,8.66,9.03,28900,0.0,0.0
1998-06-05,9.07,9.07,8.91,8.95,76500,0.0,0.0
1998-06-08,8.99,9.2,8.99,9.2,74200,0.0,0.0
1998-06-09,9.28,10.19,9.28,10.19,36100,0.0,0.0
1998-06-10,10.36,10.36,9.94,9.94,150400,0.0,0.0
1998-06-11,9.86,10.03,9.78,9.86,4200,0.0,0.0
1998-06-12,9.78,9.78,9.49,9.61,11100,0.0,0.0
1998-06-15,9.45,9.49,9.45,9.45,4300,0.0,0.0
1998-06-16,9.53,10.19,9.53,10.07,55500,0.0,0.0
1998-06-17,10.19,10.61,10.19,10.44,29700,0.0,0.0
1998-06-18,10.44,10.44,10.27,10.27,9300,0.0,0.0
1998-06-19,10.11,10.11,9.86,9.86,20700,0.0,0.0
1998-06-22,9.86,9.86,9.78,9.82,11400,0.0,0.0
1998-06-23,9.74,9.86,9.74,9.82,11500,0.0,0.0
1998-06-24,9.86,9.94,9.78,9.82,3900,0.0,0.0
1998-06-25,9.9,9.9,9.82,9.86,4500,0.0,0.0
1998-06-26,9.9,9.9,9.82,9.82,31300,0.0,0.0
1998-06-29,9.86,9.86,9.78,9.78,19900,0.0,0.0
1998-06-30,9.78,9.78,9.69,9.74,8200,0.0,0.0
1998-07-01,9.65,9.65,9.2,9.2,35700,0.0,0.0
1998-07-02,9.28,9.53,9.28,9.53,9000,0.0,0.0
1998-07-06,9.57,9.94,9.57,9.69,48600,0.0,0.0
1998-07-07,9.78,9.78,9.36,9.57,15400,0.0,0.0
1998-07-08,9.65,9.65,9.61,9.61,21900,0.0,0.0
1998-07-09,9.61,9.61,9.36,9.4,16200,0.0,0.0
1998-07-10,9.45,9.49,9.32,9.4,18600,0.0,0.0
1998-07-13,9.32,9.36,9.24,9.36,4600,0.0,0.0
1998-07-14,9.36,9.49,9.28,9.36,13500,0.0,0.0
1998-07-15,9.28,9.28,9.11,9.11,20400,0.0,0.0
1998-07-16,9.03,9.2,8.95,9.11,11200,0.0,0.0
1998-07-17,9.2,9.4,9.2,9.4,14100,0.0,0.0
1998-07-20,9.4,9.4,9.28,9.4,7500,0.0,0.0
1998-07-21,9.32,9.36,9.28,9.36,7300,0.0,0.0
1998-07-22,9.32,9.4,9.32,9.36,5500,0.0,0.0
1998-07-23,9.32,9.32,9.28,9.32,26200,0.0,0.0
1998-07-24,9.4,9.4,9.28,9.28,21700,0.0,0.0
1998-07-27,9.2,9.2,9.03,9.07,3300,0.0,0.0
1998-07-28,8.99,9.03,8.53,8.78,32700,0.0,0.0
1998-07-29,8.74,8.78,8.29,8.29,15900,0.0,0.0
1998-07-30,8.37,8.45,8.12,8.12,226800,0.0,0.0
1998-07-31,8.2,8.53,8.16,8.37,38200,0.0,0.0
1998-08-03,8.45,8.95,8.29,8.53,25300,0.0,0.0
1998-08-04,8.53,8.53,8.08,8.16,25500,0.0,0.0
1998-08-05,8.16,8.24,8.12,8.24,6700,0.0,0.0
1998-08-06,8.29,9.78,8.27,9.65,86800,0.0,0.0
1998-08-07,9.74,10.03,9.07,9.07,54900,0.0,0.0
1998-08-10,9.16,9.53,9.16,9.28,33000,0.0,0.0
1998-08-11,9.36,9.36,9.16,9.2,29400,0.0,0.0
1998-08-12,9.28,9.36,9.16,9.28,33700,0.0,0.0
1998-08-13,9.2,9.36,9.2,9.28,63300,0.0,0.0
1998-08-14,9.24,9.28,9.16,9.2,81300,0.0,0.0
1998-08-17,9.11,9.2,9.11,9.16,11700,0.0,0.0
1998-08-18,9.94,10.19,9.61,9.65,78300,0.0,0.0
1998-08-19,9.86,9.98,9.86,9.86,25500,0.0,0.0
1998-08-20,9.86,9.86,9.78,9.82,3100,0.0,0.0
1998-08-21,9.65,9.78,9.61,9.69,90300,0.0,0.0
1998-08-24,9.78,10.03,9.53,9.61,51000,0.0,0.0
1998-08-25,9.61,9.78,9.61,9.69,30400,0.0,0.0
1998-08-26,9.61,9.78,9.53,9.61,13500,0.0,0.0
1998-08-27,9.53,9.53,9.32,9.36,5400,0.0,0.0
1998-08-28,9.36,9.53,9.24,9.45,53100,0.0,0.0
1998-08-31,9.53,9.53,8.7,8.7,30000,0.0,0.0
1998-09-01,8.62,8.78,8.45,8.7,26200,0.0,0.0
1998-09-02,8.62,8.7,8.53,8.66,24900,0.0,0.0
1998-09-03,8.62,8.66,8.53,8.53,12300,0.0,0.0
1998-09-04,8.58,8.58,8.45,8.49,9700,0.0,0.0
1998-09-08,8.58,8.7,8.53,8.62,8500,0.0,0.0
1998-09-09,8.62,8.62,8.58,8.62,2100,0.0,0.0
1998-09-10,8.58,8.58,8.29,8.29,11200,0.0,0.0
1998-09-11,8.24,8.62,8.24,8.58,13800,0.0,0.0
1998-09-14,8.62,8.74,8.62,8.7,17800,0.0,0.0
1998-09-15,8.7,8.78,8.62,8.78,22000,0.0,0.0
1998-09-16,8.78,8.78,8.29,8.45,31600,0.0,0.0
1998-09-17,8.53,8.53,7.95,8.2,20200,0.0,0.0
1998-09-18,8.29,8.62,8.29,8.45,35700,0.0,0.0
1998-09-21,8.37,8.37,8.24,8.29,25600,0.0,0.0
1998-09-22,8.37,8.37,8.29,8.29,7000,0.0,0.0
1998-09-23,8.2,8.2,8.04,8.16,8400,0.0,0.0
1998-09-24,8.16,8.16,8.08,8.16,4600,0.0,0.0
1998-09-25,8.16,8.16,8.04,8.12,4500,0.0,0.0
1998-09-28,8.2,8.29,8.2,8.29,3700,0.0,0.0
1998-09-29,8.2,8.24,8.2,8.2,4800,0.0,0.0
1998-09-30,8.2,8.2,8.12,8.16,9900,0.0,0.0
1998-10-01,8.12,8.16,8.12,8.16,45600,0.0,0.0
1998-10-02,8.12,8.16,8.12,8.16,25300,0.0,0.0
1998-10-05,8.08,8.08,7.95,7.95,46600,0.0,0.0
1998-10-06,8.04,8.2,8.04,8.2,37300,0.0,0.0
1998-10-07,8.16,8.16,8.16,8.16,900,0.0,0.0
1998-10-08,8.12,8.12,7.46,7.79,93600,0.0,0.0
1998-10-09,7.87,7.87,7.66,7.66,46200,0.0,0.0
1998-10-12,7.66,7.91,7.66,7.87,5500,0.0,0.0
1998-10-13,7.95,8.0,7.91,8.0,5100,0.0,0.0
1998-10-14,7.95,8.08,7.71,7.79,16900,0.0,0.0
1998-10-15,7.83,7.83,7.83,7.83,900,0.0,0.0
1998-10-16,7.79,7.83,7.62,7.83,6100,0.0,0.0
1998-10-19,7.75,7.79,7.71,7.79,4000,0.0,0.0
1998-10-20,7.87,8.33,7.87,8.29,32100,0.0,0.0
1998-10-21,8.29,8.62,8.29,8.62,14500,0.0,0.0
1998-10-22,8.58,8.58,8.58,8.58,100,0.0,0.0
1998-10-23,8.53,8.53,8.45,8.45,31300,0.0,0.0
1998-10-26,8.37,8.78,8.37,8.78,8100,0.0,0.0
1998-10-27,8.78,8.78,8.53,8.53,18000,0.0,0.0
1998-10-28,8.45,8.49,8.45,8.49,8700,0.0,0.0
1998-10-29,8.58,8.87,8.58,8.87,356500,0.0,0.0
1998-10-30,8.87,9.57,8.87,9.57,66000,0.0,0.0
1998-11-02,9.65,11.02,9.65,10.69,165900,0.0,0.0
1998-11-03,10.85,11.52,10.61,10.61,108900,0.0,0.0
1998-11-04,10.61,10.61,10.11,10.15,79600,0.0,0.0
1998-11-05,10.23,10.61,10.23,10.36,76900,0.0,0.0
1998-11-06,10.52,10.94,10.52,10.81,261300,0.0,0.0
1998-11-09,10.98,12.01,10.98,11.6,118600,0.0,0.0
1998-11-10,11.6,12.43,11.6,11.6,307900,0.0,0.0
1998-11-11,11.68,11.93,11.68,11.85,16500,0.0,0.0
1998-11-12,11.85,11.93,11.6,11.64,27400,0.0,0.0
1998-11-13,11.6,11.6,11.52,11.52,99400,0.0,0.0
1998-11-16,11.52,11.52,11.23,11.35,131800,0.0,0.0
1998-11-17,11.31,11.43,11.27,11.27,42700,0.0,0.0
1998-11-18,11.19,11.19,10.94,11.19,87000,0.0,0.0
1998-11-19,11.27,11.52,11.19,11.48,21700,0.0,0.0
1998-11-20,11.52,12.06,11.52,11.93,41700,0.0,0.0
1998-11-23,11.93,12.01,11.52,11.52,28200,0.0,0.0
1998-11-24,11.6,12.26,11.27,12.22,150100,0.0,0.0
1998-11-25,12.26,13.09,12.26,12.76,75600,0.0,0.0
1998-11-27,12.8,12.84,12.76,12.76,4200,0.0,0.0
1998-11-30,12.59,12.84,12.43,12.68,48000,0.0,0.0
1998-12-01,12.68,13.05,12.68,13.05,73300,0.0,0.0
1998-12-02,13.13,13.38,13.09,13.38,146700,0.0,0.0
1998-12-03,13.34,13.59,13.17,13.26,242100,0.0,0.0
1998-12-04,13.26,13.34,13.26,13.34,162300,0.0,0.0
1998-12-07,13.34,14.75,13.26,14.62,140200,0.0,0.0
1998-12-08,14.67,15.25,14.5,14.67,79500,0.0,0.0
1998-12-09,14.67,14.75,14.46,14.58,77200,0.0,0.0
1998-12-10,14.5,14.83,14.33,14.5,98100,0.0,0.0
1998-12-11,14.42,14.42,14.0,14.0,130500,0.0,0.0
1998-12-14,14.0,14.0,13.84,13.84,24900,0.0,0.0
1998-12-15,13.75,13.75,13.59,13.71,8400,0.0,0.0
1998-12-16,13.71,14.09,13.71,14.0,75400,0.0,0.0
1998-12-17,14.09,14.5,13.92,13.92,95500,0.0,0.0
1998-12-18,14.0,14.42,14.0,14.29,66400,0.0,0.0
1998-12-21,14.17,14.17,13.88,14.0,42100,0.0,0.0
1998-12-22,14.04,14.04,13.51,13.59,84400,0.0,0.0
1998-12-23,13.59,13.59,13.59,13.59,6000,0.0,0.0
1998-12-24,13.59,14.13,13.59,13.96,118800,0.0,0.0
1998-12-28,13.96,14.33,13.96,14.25,39900,0.0,0.0
1998-12-29,14.17,14.58,14.17,14.5,65100,0.0,0.0
1998-12-30,14.5,14.58,14.42,14.58,16600,0.0,0.0
1998-12-31,14.67,15.25,14.62,14.62,39600,0.0,0.0
1999-01-04,14.67,14.75,14.5,14.62,61600,0.0,0.0
1999-01-05,14.62,14.62,14.33,14.42,40800,0.0,0.0
1999-01-06,14.46,14.75,14.42,14.75,70300,0.0,0.0
1999-01-07,14.83,14.83,14.75,14.83,21700,0.0,0.0
1999-01-08,14.75,14.91,14.67,14.67,49000,0.0,0.0
1999-01-11,14.62,14.75,14.58,14.75,16000,0.0,0.0
1999-01-12,14.75,14.87,14.67,14.75,58600,0.0,0.0
1999-01-13,14.67,14.75,14.58,14.67,6000,0.0,0.0
1999-01-14,14.67,14.75,14.58,14.62,9300,0.0,0.0
1999-01-15,14.71,15.0,14.71,15.0,52000,0.0,0.0
1999-01-19,15.12,15.87,15.12,15.87,59100,0.0,0.0
1999-01-20,15.91,16.41,15.83,16.32,77700,0.0,0.0
1999-01-21,16.41,16.49,16.32,16.32,19900,0.0,0.0
1999-01-22,16.36,16.41,16.36,16.36,18400,0.0,0.0
1999-01-25,16.32,16.36,15.83,15.83,27100,0.0,0.0
1999-01-26,15.87,15.87,15.25,15.41,203800,0.0,0.0
1999-01-27,15.74,17.23,15.74,16.86,3580900,0.0,0.0
1999-01-28,16.94,17.86,16.82,17.77,319900,0.0,0.0
1999-01-29,17.86,19.72,17.57,18.64,283500,0.0,0.0
1999-02-01,18.6,19.14,18.39,18.6,272800,0.0,0.0
1999-02-02,18.73,18.81,18.06,18.06,378900,0.0,0.0
1999-02-03,18.06,19.06,17.73,19.06,132400,0.0,0.0
1999-02-04,18.48,19.31,18.48,18.89,116100,0.0,0.0
1999-02-05,18.97,19.72,18.97,19.22,246100,0.0,0.0
1999-02-08,19.31,19.43,18.89,19.18,90600,0.0,0.0
1999-02-09,19.22,19.22,17.4,17.4,141600,0.0,0.0
1999-02-10,17.32,17.9,16.99,17.81,103000,0.0,0.0
1999-02-11,17.98,18.73,17.9,18.23,171000,0.0,0.0
1999-02-12,18.31,18.56,17.73,17.81,133500,0.0,0.0
1999-02-16,17.81,17.9,16.9,17.07,47800,0.0,0.0
1999-02-17,17.32,17.98,17.07,17.4,78100,0.0,0.0
1999-02-18,17.23,17.4,17.23,17.32,33100,0.0,0.0
1999-02-19,17.32,17.98,17.32,17.81,48000,0.0,0.0
1999-02-22,17.9,18.35,17.86,18.06,65700,0.0,0.0
1999-02-23,17.98,18.06,17.86,17.98,189400,0.0,0.0
1999-02-24,17.94,18.48,17.94,18.44,229200,0.0,0.0
1999-02-25,18.31,18.31,17.71,17.81,256800,0.0,0.0
1999-02-26,17.98,18.06,17.81,17.9,121200,0.0,0.0
1999-03-01,17.98,18.06,17.4,17.9,143500,0.0,0.0
1999-03-02,17.9,17.9,17.73,17.9,54900,0.0,0.0
1999-03-03,17.98,18.15,17.94,18.06,57000,0.0,0.0
1999-03-04,18.06,18.06,17.81,17.9,106000,0.0,0.0
1999-03-05,17.81,17.9,17.69,17.81,85900,0.0,0.0
1999-03-08,17.98,17.98,17.4,17.4,176200,0.0,0.0
1999-03-09,17.4,17.4,16.9,17.23,217800,0.0,0.0
1999-03-10,17.32,17.32,16.99,16.99,40900,0.0,0.0
1999-03-11,16.9,16.9,16.65,16.74,55200,0.0,0.0
1999-03-12,16.65,16.65,16.32,16.45,26500,0.0,0.0
1999-03-15,16.53,16.86,16.53,16.86,22800,0.0,0.0
1999-03-16,16.99,16.99,16.9,16.94,230400,0.0,0.0
1999-03-17,16.94,17.23,16.94,17.19,65500,0.0,0.0
1999-03-18,17.11,17.19,16.99,16.99,4900,0.0,0.0
1999-03-19,17.07,17.23,16.99,17.11,34000,0.0,0.0
1999-03-22,17.19,17.19,17.07,17.07,7500,0.0,0.0
1999-03-23,16.99,16.99,16.65,16.65,11400,0.0,0.0
1999-03-24,16.82,16.86,16.12,16.16,37200,0.0,0.0
1999-03-25,16.07,16.07,15.08,15.2,191700,0.0,0.0
1999-03-26,15.08,15.29,14.58,15.25,122200,0.0,0.0
1999-03-29,15.25,15.66,15.25,15.66,41700,0.0,0.0
1999-03-30,15.74,15.74,15.49,15.62,27100,0.0,0.0
1999-03-31,15.78,17.07,15.78,16.86,148500,0.0,0.0
1999-04-01,16.86,16.86,16.57,16.65,36400,0.0,0.0
1999-04-05,16.57,16.57,16.32,16.32,64200,0.0,0.0
1999-04-06,16.41,16.41,16.28,16.28,11800,0.0,0.0
1999-04-07,16.36,16.41,16.07,16.07,79500,0.0,0.0
1999-04-08,16.07,16.07,15.74,15.83,33000,0.0,0.0
1999-04-09,15.74,16.16,15.66,16.16,102000,0.0,0.0
1999-04-12,16.24,16.24,16.03,16.03,17700,0.0,0.0
1999-04-13,15.99,16.65,15.99,16.41,12400,0.0,0.0
1999-04-14,16.41,16.7,16.16,16.7,19800,0.0,0.0
1999-04-15,16.57,17.77,16.49,17.77,73800,0.0,0.0
