Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-03-15,6.14,6.18,6.08,6.1,2171600,0,0
2018-03-16,6.13,6.13,6.08,6.1,77100,0,0
2018-03-19,6.1,6.13,6.06,6.06,149000,0,0
2018-03-20,6.06,6.08,6.0,6.0,752500,0,0
2018-03-21,6.0,6.0,5.81,5.82,436700,0,0
2018-03-22,5.84,5.95,5.84,5.95,110300,0,0
2018-03-23,5.95,6.13,5.89,5.97,392800,0,0
2018-03-26,6.02,6.02,5.9,6.02,195100,0,0
2018-03-27,5.93,6.03,5.93,6.01,1047800,0,0
2018-03-28,6.01,6.17,6.01,6.09,804200,0,0
2018-03-29,6.09,6.09,6.09,6.09,0,0,0
2018-04-02,6.08,6.15,6.08,6.1,57400,0,0
2018-04-03,6.11,6.15,6.11,6.12,92600,0,0
2018-04-04,6.16,6.16,6.09,6.1,388600,0,0
2018-04-05,6.09,6.1,6.07,6.1,1238500,0,0
2018-04-06,6.1,6.15,6.06,6.06,1149900,0,0
2018-04-09,6.06,6.06,6.06,6.06,0,0,0
2018-04-10,6.06,6.06,5.93,5.95,1157200,0,0
2018-04-11,5.95,6.0,5.95,5.95,819200,0,0
2018-04-12,5.95,6.01,5.94,5.95,1367600,0,0
2018-04-13,5.98,6.0,5.95,5.98,75000,0,0
2018-04-16,5.98,5.98,5.96,5.97,430900,0,0
2018-04-17,5.97,5.97,5.78,5.78,2226900,0,0
2018-04-18,5.75,5.75,5.63,5.65,1655300,0,0
2018-04-19,5.65,5.65,5.58,5.6,1198800,0,0
2018-04-20,5.6,5.6,5.56,5.56,672600,0,0
2018-04-23,5.56,5.6,5.56,5.57,196300,0,0
2018-04-24,5.58,5.69,5.58,5.61,24000,0,0
2018-04-25,5.7,5.7,5.62,5.62,57200,0,0
2018-04-26,5.62,5.64,5.57,5.58,64600,0,0
2018-04-27,5.58,5.62,5.55,5.6,88100,0,0
2018-04-30,5.58,5.74,5.58,5.65,511500,0,0
2018-05-01,5.65,5.65,5.65,5.65,0,0,0
2018-05-02,5.65,5.75,5.64,5.75,55700,0,0
2018-05-03,5.76,5.8,5.75,5.75,58500,0,0
2018-05-04,5.75,5.75,5.71,5.72,17900,0,0
2018-05-07,5.71,5.71,5.66,5.66,56400,0,0
2018-05-08,5.66,5.66,5.6,5.65,1043800,0,0
2018-05-09,5.65,5.76,5.59,5.6,335700,0,0
2018-05-10,5.61,5.61,5.58,5.6,127300,0,0
2018-05-11,5.58,5.6,5.55,5.6,342000,0,0
2018-05-14,5.6,5.6,5.6,5.6,0,0,0
2018-05-15,5.6,5.6,5.5,5.55,536700,0,0
2018-05-16,5.5,5.6,5.5,5.6,1143600,0,0
2018-05-17,5.6,5.6,5.5,5.5,369300,0,0
2018-05-18,5.49,5.49,5.42,5.43,292600,0,0
2018-05-21,5.43,5.59,5.39,5.39,458400,0,0
2018-05-22,5.39,5.4,5.31,5.38,511200,0,0
2018-05-23,5.3,5.32,5.2,5.22,707000,0,0
2018-05-24,5.22,5.22,5.1,5.11,364100,0,0
2018-05-25,5.17,5.17,5.1,5.11,233100,0,0
2018-05-29,5.12,5.14,5.1,5.12,349300,0,0
2018-05-30,5.12,5.14,5.12,5.14,81700,0,0
2018-05-31,5.14,5.5,5.12,5.5,258100,0,0
2018-06-01,5.44,5.44,5.21,5.28,368800,0,0
2018-06-04,5.29,5.4,5.29,5.31,44300,0,0
2018-06-05,5.31,5.31,5.28,5.28,181900,0,0
2018-06-06,5.28,5.28,5.28,5.28,25900,0,0
2018-06-07,5.27,5.31,5.27,5.28,45200,0,0
2018-06-08,5.31,5.48,5.3,5.3,27100,0,0
2018-06-11,5.3,5.3,5.21,5.21,144700,0,0
2018-06-12,5.21,5.21,5.21,5.21,0,0,0
2018-06-13,5.21,5.25,5.2,5.2,179900,0,0
2018-06-14,5.18,5.25,4.92,4.92,899200,0,0
2018-06-18,5.0,5.0,4.81,4.81,325000,0,0
2018-06-19,4.81,4.81,4.8,4.8,662000,0,0
2018-06-20,4.8,4.85,4.8,4.85,23000,0,0
2018-06-21,4.81,4.81,4.78,4.78,148000,0,0
2018-06-22,4.81,4.98,4.78,4.98,87000,0,0
2018-06-25,4.9,4.9,4.7,4.7,508000,0,0
2018-06-26,4.7,4.7,4.5,4.51,1105000,0,0
2018-06-27,4.51,4.55,4.5,4.5,362000,0,0
2018-06-28,4.5,4.51,4.48,4.48,114000,0,0
2018-06-29,4.48,4.51,4.48,4.5,1591000,0,0
2018-07-02,4.49,4.99,4.48,4.7,64000,0,0
2018-07-03,4.79,4.8,4.7,4.7,64000,0,0
2018-07-05,4.51,4.51,4.48,4.48,47000,0,0
2018-07-06,4.47,4.48,4.43,4.43,167000,0,0
2018-07-09,4.41,4.42,4.36,4.37,725000,0,0
2018-07-10,4.4,4.5,4.36,4.38,95000,0,0
2018-07-11,4.36,4.53,4.36,4.38,28000,0,0
2018-07-12,4.38,4.4,4.37,4.37,92000,0,0
2018-07-13,4.35,4.49,4.34,4.35,327000,0,0
2018-07-16,4.36,4.45,4.29,4.45,505000,0,0
2018-07-17,4.43,4.45,4.35,4.36,175000,0,0
2018-07-18,4.36,4.36,4.35,4.35,78000,0,0
2018-07-19,4.34,4.34,4.29,4.34,414000,0,0
2018-07-20,4.3,4.3,4.29,4.3,53000,0,0
2018-07-23,4.3,4.3,4.28,4.3,190000,0,0
2018-07-24,4.3,4.3,4.3,4.3,0,0,0
2018-07-25,4.32,4.44,4.32,4.43,25000,0,0
2018-07-26,4.44,4.55,4.44,4.5,252000,0,0
2018-07-27,4.5,4.55,4.48,4.5,281000,0,0
2018-07-30,4.5,4.5,4.49,4.49,50000,0,0
2018-07-31,4.49,4.49,4.35,4.43,234000,0,0
2018-08-01,4.43,4.63,4.43,4.55,1882000,0,0
2018-08-02,4.58,4.58,4.42,4.42,773000,0,0
2018-08-03,4.42,4.5,4.38,4.39,565000,0,0
2018-08-06,4.39,4.45,4.34,4.4,592000,0,0
2018-08-07,4.4,4.44,4.38,4.39,363000,0,0
2018-08-08,4.38,4.48,4.35,4.36,744000,0,0
2018-08-09,4.35,4.44,4.24,4.28,1571000,0,0
2018-08-10,4.29,4.43,4.29,4.29,423000,0,0
2018-08-13,4.3,4.32,4.28,4.28,183000,0,0
2018-08-14,4.29,4.29,4.24,4.25,548000,0,0
2018-08-15,4.25,4.25,4.18,4.18,1778000,0,0
2018-08-16,4.18,4.18,4.05,4.09,1172000,0,0
2018-08-17,4.08,4.12,4.05,4.1,456000,0,0
2018-08-20,4.08,4.24,4.06,4.13,649000,0,0
2018-08-21,4.13,4.13,4.13,4.13,0,0,0
2018-08-22,4.08,4.13,4.08,4.08,557000,0,0
2018-08-23,4.06,4.1,4.04,4.04,1531000,0,0
2018-08-24,4.04,4.08,4.04,4.05,1459000,0,0
2018-08-27,4.05,4.05,4.05,4.05,0,0,0
2018-08-28,4.04,4.2,4.04,4.1,821000,0,0
2018-08-29,4.18,4.35,4.15,4.15,1995000,0,0
2018-08-30,4.15,4.17,4.1,4.13,1028000,0,0
2018-08-31,4.1,4.15,4.09,4.1,681000,0,0
2018-09-04,4.1,4.11,4.1,4.1,755000,0,0
2018-09-05,4.1,4.15,4.07,4.08,688000,0,0
2018-09-06,4.1,4.1,4.01,4.02,923000,0,0
2018-09-07,4.01,4.08,4.01,4.04,124000,0,0
2018-09-10,4.04,4.05,4.03,4.05,259000,0,0
2018-09-11,4.06,4.06,4.03,4.04,658000,0,0
2018-09-12,4.03,4.04,3.99,3.99,1126000,0,0
2018-09-13,4.0,4.01,3.95,3.97,1527000,0,0
2018-09-14,4.03,4.03,3.97,4.0,124000,0,0
2018-09-17,3.97,3.97,3.79,3.85,1045000,0,0
2018-09-18,3.83,3.84,3.74,3.76,720000,0,0
2018-09-19,3.77,3.77,3.49,3.51,6359000,0,0
2018-09-20,3.53,3.54,3.4,3.4,1269000,0,0
2018-09-21,3.41,3.48,3.38,3.38,1614000,0,0
2018-09-24,3.37,3.4,3.37,3.39,1017000,0,0
2018-09-25,3.39,3.4,3.36,3.39,713000,0,0
2018-09-26,3.39,3.4,3.36,3.39,2019000,0,0
2018-09-27,3.38,3.45,3.33,3.33,1224000,0,0
2018-09-28,3.32,3.34,3.32,3.34,498000,0,0
