Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-08-08,35.68,35.68,34.5,35.03,245500,0.0,0
1997-08-11,35.03,35.27,34.21,34.86,243600,0.0,0
1997-08-12,34.8,35.03,34.74,34.97,405500,0.0,0
1997-08-13,35.03,35.51,33.85,35.51,405700,0.0,0
1997-08-14,35.27,35.39,34.44,34.92,195600,0.0,0
1997-08-15,34.68,34.8,33.85,34.15,260500,0.0,0
1997-08-18,34.26,34.32,33.73,34.15,180600,0.0,0
1997-08-19,34.09,34.21,32.9,34.21,703300,0.0,0
1997-08-20,34.09,34.32,33.38,33.67,1029500,0.0,0
1997-08-21,33.61,33.85,33.26,33.44,1406500,0.0,0
1997-08-22,33.02,33.44,32.9,33.44,157300,0.0,0
1997-08-25,34.09,34.92,34.03,34.8,1698400,0.0,0
1997-08-26,35.03,36.34,35.03,35.98,589700,0.0,0
1997-08-27,35.98,36.28,35.63,35.68,716300,0.0,0
1997-08-28,35.74,37.1,35.45,37.05,1333100,0.0,0
1997-08-29,37.16,37.87,37.16,37.82,1840400,0.0,0
1997-09-02,37.82,39.77,37.64,39.53,1023700,0.0,0
1997-09-03,39.77,40.48,39.77,40.3,788200,0.0,0
1997-09-04,39.77,42.02,39.29,41.66,3477000,0.0,0
1997-09-05,41.66,41.9,41.42,41.72,907200,0.0,0
1997-09-08,41.66,41.66,41.31,41.42,728300,0.0,0
1997-09-09,41.42,41.42,40.48,40.6,669300,0.0,0
1997-09-10,40.36,40.54,39.95,40.06,329500,0.0,0
1997-09-11,39.95,40.0,39.47,39.53,221600,0.0,0
1997-09-12,39.52,39.58,39.28,39.46,85400,0.05,0
1997-09-15,39.7,39.82,38.87,39.1,228600,0.0,0
1997-09-16,39.34,39.52,38.99,39.1,348400,0.0,0
1997-09-17,39.1,39.1,37.98,38.22,285100,0.0,0
1997-09-18,38.22,38.75,38.1,38.57,459400,0.0,0
1997-09-19,38.16,38.63,38.16,38.22,137500,0.0,0
1997-09-22,38.22,38.22,37.45,37.62,188700,0.0,0
1997-09-23,37.62,37.62,36.5,37.45,450700,0.0,0
