Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-04-28,5.3,5.44,5.22,5.3,7821000.0,0.0,0.0
1993-04-29,5.3,5.41,5.3,5.41,2118800.0,0.0,0.0
1993-04-30,5.44,5.44,5.3,5.33,536800.0,0.0,0.0
1993-05-03,5.3,5.33,5.26,5.33,509600.0,0.0,0.0
1993-05-04,5.33,5.33,5.19,5.26,787400.0,0.0,0.0
1993-05-05,5.22,5.26,5.15,5.15,747200.0,0.0,0.0
1993-05-06,5.19,5.22,5.12,5.12,392800.0,0.0,0.0
1993-05-07,5.15,5.19,5.12,5.15,180000.0,0.0,0.0
1993-05-10,5.19,5.26,5.15,5.15,269600.0,0.0,0.0
1993-05-11,5.19,5.19,5.15,5.19,109400.0,0.0,0.0
1993-05-12,5.15,5.15,5.04,5.12,110800.0,0.0,0.0
1993-05-13,5.12,5.12,5.08,5.08,171000.0,0.0,0.0
1993-05-14,5.08,5.15,5.08,5.08,166800.0,0.0,0.0
1993-05-17,5.08,5.08,4.97,5.01,132000.0,0.0,0.0
1993-05-18,5.01,5.01,4.64,4.79,534400.0,0.0,0.0
1993-05-19,4.86,4.97,4.86,4.9,203600.0,0.0,0.0
1993-05-20,4.83,4.86,4.61,4.72,1189000.0,0.0,0.0
1993-05-21,4.75,4.79,4.64,4.75,475600.0,0.0,0.0
1993-05-24,4.79,4.79,4.64,4.72,719200.0,0.0,0.0
1993-05-25,4.64,4.68,4.53,4.61,326600.0,0.0,0.0
1993-05-26,4.64,4.83,4.64,4.79,209200.0,0.0,0.0
1993-05-27,4.86,4.97,4.79,4.93,307800.0,0.0,0.0
1993-05-28,5.01,5.12,4.9,5.04,986400.0,0.0,0.0
1993-06-01,5.08,5.08,4.9,4.93,116800.0,0.0,0.0
1993-06-02,4.93,5.04,4.9,5.04,205200.0,0.0,0.0
1993-06-03,5.04,5.04,4.93,4.93,92000.0,0.0,0.0
1993-06-04,4.97,5.01,4.93,4.97,118200.0,0.0,0.0
1993-06-07,4.93,5.04,4.93,5.01,60000.0,0.0,0.0
1993-06-08,5.01,5.01,4.93,4.97,298200.0,0.0,0.0
1993-06-09,4.97,4.97,4.9,4.9,27400.0,0.0,0.0
1993-06-10,4.9,5.01,4.9,4.97,153600.0,0.0,0.0
1993-06-11,5.04,5.12,4.97,5.12,84200.0,0.0,0.0
1993-06-14,5.19,5.22,5.08,5.19,434000.0,0.0,0.0
1993-06-15,5.15,5.3,5.12,5.15,169600.0,0.0,0.0
1993-06-16,5.15,5.26,5.15,5.19,288200.0,0.0,0.0
