Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1995-10-03,13.23,14.03,13.06,13.85,10364800,0.0,0
1995-10-04,13.76,13.85,13.23,13.23,1810800,0.0,0
1995-10-05,13.5,13.76,13.41,13.68,1216500,0.0,0
1995-10-06,13.85,14.03,13.68,14.03,1538100,0.0,0
1995-10-09,14.03,14.03,13.68,13.68,869200,0.0,0
1995-10-10,13.68,13.76,13.41,13.59,840800,0.0,0
1995-10-11,13.68,13.76,13.59,13.68,630400,0.0,0
1995-10-12,13.68,13.76,13.5,13.68,519700,0.0,0
1995-10-13,13.76,14.12,13.76,14.12,557300,0.0,0
1995-10-16,14.2,14.2,13.85,13.94,188700,0.0,0
1995-10-17,13.94,14.03,13.85,13.94,244600,0.0,0
1995-10-18,13.85,13.94,13.76,13.85,152500,0.0,0
1995-10-19,13.76,13.85,13.76,13.85,180400,0.0,0
1995-10-20,13.85,13.94,13.68,13.76,298900,0.0,0
1995-10-23,13.59,13.68,13.5,13.59,731100,0.0,0
1995-10-24,13.68,13.68,13.41,13.41,670500,0.0,0
1995-10-25,13.5,13.59,13.41,13.41,749900,0.0,0
1995-10-26,13.5,13.5,13.41,13.41,810900,0.0,0
1995-10-27,13.41,13.59,13.41,13.59,460500,0.0,0
1995-10-30,13.68,13.68,13.59,13.59,76200,0.0,0
1995-10-31,14.65,14.65,14.03,14.38,2034100,0.0,0
1995-11-01,14.29,14.47,14.12,14.38,398600,0.0,0
1995-11-02,14.38,14.47,14.38,14.47,221200,0.0,0
1995-11-03,14.47,14.73,14.38,14.65,306800,0.0,0
1995-11-06,14.56,15.0,14.56,14.56,137200,0.0,0
1995-11-07,14.56,14.56,14.38,14.56,566300,0.0,0
1995-11-08,14.47,14.73,14.47,14.65,264700,0.0,0
1995-11-09,14.56,14.65,14.56,14.65,70700,0.0,0
1995-11-10,14.56,14.56,14.38,14.38,190500,0.0,0
1995-11-13,14.38,14.56,14.38,14.47,135900,0.0,0
1995-11-14,14.56,14.65,14.47,14.56,206900,0.0,0
1995-11-15,14.47,14.56,14.29,14.47,615500,0.0,0
1995-11-16,14.67,14.84,14.4,14.4,381400,0.03,0
1995-11-17,14.49,14.76,14.4,14.58,178000,0.0,0
1995-11-20,14.67,15.11,14.49,14.49,377000,0.0,0
1995-11-21,14.58,14.67,14.49,14.67,391400,0.0,0
1995-11-22,14.49,14.76,14.49,14.76,92600,0.0,0
1995-11-24,14.76,14.76,14.67,14.76,7900,0.0,0
1995-11-27,14.67,14.93,14.58,14.67,455000,0.0,0
1995-11-28,14.84,14.84,14.67,14.67,130200,0.0,0
1995-11-29,14.67,14.76,14.67,14.67,59500,0.0,0
1995-11-30,14.58,14.84,14.58,14.76,180100,0.0,0
1995-12-01,14.84,15.02,14.76,15.02,94400,0.0,0
1995-12-04,15.02,15.02,14.84,14.84,228600,0.0,0
1995-12-05,14.84,14.93,14.76,14.93,251400,0.0,0
1995-12-06,15.02,15.02,14.84,14.84,109900,0.0,0
1995-12-07,15.02,15.29,15.02,15.11,171800,0.0,0
1995-12-08,14.93,15.11,14.84,15.02,224000,0.0,0
1995-12-11,15.02,15.37,15.02,15.2,123800,0.0,0
1995-12-12,15.2,15.29,15.02,15.2,192100,0.0,0
1995-12-13,15.2,15.46,15.11,15.29,81800,0.0,0
1995-12-14,15.46,15.82,15.46,15.46,251200,0.0,0
1995-12-15,15.55,15.9,15.55,15.73,220800,0.0,0
1995-12-18,15.64,15.64,15.46,15.64,320900,0.0,0
1995-12-19,15.55,16.26,15.46,16.26,361400,0.0,0
1995-12-20,16.43,16.52,15.82,15.82,168300,0.0,0
1995-12-21,15.82,16.26,15.82,16.17,90300,0.0,0
1995-12-22,16.26,16.26,15.99,16.17,104500,0.0,0
1995-12-26,15.99,16.26,15.99,16.26,109100,0.0,0
1995-12-27,16.26,16.26,16.08,16.17,108400,0.0,0
1995-12-28,16.26,16.26,15.99,15.99,74100,0.0,0
1995-12-29,15.99,16.61,15.99,16.52,230800,0.0,0
1996-01-02,16.43,16.43,15.73,16.17,237100,0.0,0
1996-01-03,16.08,16.17,15.9,16.08,249500,0.0,0
1996-01-04,15.9,15.9,15.55,15.73,276800,0.0,0
1996-01-05,15.73,15.9,15.73,15.9,171100,0.0,0
1996-01-08,15.9,15.9,15.73,15.82,62200,0.0,0
1996-01-09,15.9,15.9,15.55,15.82,65300,0.0,0
1996-01-10,15.73,15.99,15.64,15.82,535400,0.0,0
1996-01-11,15.82,15.82,15.55,15.73,83400,0.0,0
1996-01-12,15.73,15.9,15.73,15.82,60200,0.0,0
1996-01-15,15.9,15.99,15.73,15.73,76800,0.0,0
1996-01-16,15.82,15.99,15.64,15.73,81000,0.0,0
1996-01-17,15.9,15.99,15.73,15.82,50800,0.0,0
1996-01-18,15.64,15.82,15.55,15.55,972000,0.0,0
1996-01-19,15.46,15.55,15.11,15.55,102800,0.0,0
1996-01-22,15.37,15.37,14.4,14.67,449000,0.0,0
1996-01-23,14.84,15.73,14.84,15.46,798600,0.0,0
1996-01-24,15.46,15.99,15.46,15.9,269500,0.0,0
1996-01-25,16.08,16.08,15.55,15.55,181200,0.0,0
1996-01-26,15.55,15.55,15.46,15.46,136500,0.0,0
1996-01-29,15.46,15.99,15.46,15.9,102200,0.0,0
1996-01-30,15.9,15.99,15.64,15.82,315200,0.0,0
1996-01-31,15.64,15.73,15.29,15.37,607200,0.0,0
1996-02-01,15.46,15.55,15.37,15.55,363500,0.0,0
1996-02-02,15.55,15.55,15.46,15.55,124700,0.0,0
1996-02-05,15.55,15.55,15.02,15.02,206800,0.0,0
1996-02-06,14.93,15.11,14.23,14.76,648100,0.0,0
1996-02-07,14.67,14.93,14.49,14.67,454500,0.0,0
1996-02-08,15.02,15.2,14.67,15.2,757100,0.0,0
1996-02-09,15.2,15.55,15.11,15.46,531000,0.0,0
1996-02-12,15.46,15.99,15.46,15.99,315400,0.0,0
1996-02-13,15.99,15.99,15.82,15.9,123600,0.0,0
1996-02-14,15.93,15.93,15.66,15.75,175900,0.03,0
1996-02-15,15.77,16.04,15.77,15.95,143600,0.03,0
1996-02-16,15.95,16.48,15.86,16.48,83500,0.0,0
1996-02-20,16.3,16.3,16.12,16.12,819300,0.0,0
1996-02-21,16.3,16.3,16.04,16.12,953000,0.0,0
1996-02-22,16.21,16.39,16.21,16.39,600900,0.0,0
1996-02-23,16.48,16.57,16.3,16.39,254900,0.0,0
1996-02-26,16.3,16.3,16.12,16.3,177500,0.0,0
1996-02-27,16.39,16.83,16.39,16.66,176400,0.0,0
1996-02-28,16.66,17.54,16.66,17.36,599900,0.0,0
1996-02-29,17.36,17.45,17.28,17.36,246500,0.0,0
1996-03-01,17.45,17.45,16.83,16.92,214200,0.0,0
1996-03-04,16.92,17.81,16.92,17.72,224200,0.0,0
1996-03-05,17.81,17.81,17.54,17.63,32900,0.0,0
1996-03-06,17.54,17.81,17.36,17.72,413900,0.0,0
