Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1993-10-29,4.45,4.48,4.45,4.45,1381000,0.0,0
1993-11-01,4.45,4.48,4.45,4.48,136800,0.0,0
1993-11-02,4.45,4.48,4.31,4.34,182600,0.0,0
1993-11-03,4.28,4.39,4.25,4.36,146300,0.0,0
1993-11-04,4.34,4.36,4.34,4.34,48300,0.0,0
1993-11-05,4.34,4.36,4.34,4.34,13900,0.0,0
1993-11-08,4.34,4.36,4.34,4.36,22800,0.0,0
1993-11-09,4.36,4.39,4.34,4.34,10600,0.0,0
1993-11-10,4.36,4.39,4.36,4.36,143900,0.0,0
1993-11-11,4.36,4.36,4.36,4.36,29800,0.0,0
1993-11-12,4.36,4.39,4.36,4.39,10500,0.0,0
1993-11-15,4.34,4.34,4.25,4.28,181600,0.0,0
1993-11-16,4.25,4.28,4.25,4.25,33400,0.0,0
1993-11-17,4.28,4.28,4.22,4.22,73900,0.0,0
1993-11-18,4.22,4.22,4.07,4.07,75900,0.0,0
1993-11-19,3.93,3.96,3.79,3.9,126700,0.0,0
1993-11-22,3.84,3.9,3.81,3.9,32100,0.0,0
1993-11-23,3.87,3.96,3.87,3.96,20300,0.0,0
1993-11-24,3.9,3.96,3.9,3.9,9800,0.0,0
1993-11-26,3.93,3.93,3.93,3.93,2500,0.0,0
1993-11-29,3.96,3.96,3.9,3.96,48100,0.0,0
1993-11-30,3.96,3.99,3.9,3.96,38500,0.0,0
1993-12-01,3.96,3.96,3.93,3.93,12700,0.0,0
1993-12-02,3.93,3.96,3.9,3.96,14800,0.0,0
1993-12-03,3.96,4.07,3.96,4.05,19600,0.0,0
1993-12-06,4.05,4.05,3.99,4.05,6000,0.0,0
1993-12-07,4.05,4.05,3.93,3.99,25100,0.0,0
1993-12-08,3.99,3.99,3.9,3.96,8500,0.0,0
1993-12-09,3.99,3.99,3.84,3.9,10600,0.0,0
1993-12-10,3.9,3.9,3.87,3.9,9500,0.0,0
1993-12-13,3.84,3.84,3.79,3.81,69000,0.0,0
1993-12-14,3.84,3.93,3.81,3.87,18000,0.0,0
1993-12-15,3.84,3.9,3.81,3.84,36100,0.0,0
1993-12-16,3.84,3.84,3.81,3.81,7900,0.0,0
1993-12-17,3.81,3.84,3.79,3.81,9600,0.0,0
1993-12-20,3.81,3.81,3.64,3.7,58500,0.0,0
1993-12-21,3.64,3.76,3.64,3.73,54400,0.0,0
1993-12-22,3.76,3.81,3.76,3.81,21800,0.0,0
