Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-06-12,26.91,27.64,25.86,26.38,19963800,0.0,0
1997-06-13,26.59,27.53,26.59,27.12,3661100,0.0,0
1997-06-16,27.01,27.22,25.65,25.86,2481700,0.0,0
1997-06-17,25.23,25.34,24.39,24.92,2283800,0.0,0
1997-06-18,24.92,24.92,23.56,23.77,1749900,0.0,0
1997-06-19,23.87,24.81,23.66,24.6,1269900,0.0,0
1997-06-20,24.71,25.34,24.6,24.71,859100,0.0,0
1997-06-23,25.02,25.02,23.56,23.66,725000,0.0,0
1997-06-24,23.87,24.81,22.72,24.18,1212100,0.0,0
1997-06-25,24.39,24.39,23.56,24.03,726600,0.0,0
1997-06-26,23.56,23.87,23.14,23.66,534500,0.0,0
1997-06-27,23.56,23.77,22.77,22.82,441500,0.0,0
1997-06-30,22.72,23.14,21.99,22.93,796900,0.0,0
1997-07-01,22.82,22.88,22.19,22.56,621300,0.0,0
1997-07-02,22.56,23.4,22.3,23.29,818700,0.0,0
1997-07-03,23.08,23.61,22.4,23.5,696800,0.0,0
1997-07-07,23.87,23.97,22.61,22.72,1180500,0.0,0
1997-07-08,22.82,23.19,22.72,23.19,595000,0.0,0
1997-07-09,23.19,23.19,22.09,22.3,958000,0.0,0
1997-07-10,21.99,22.04,21.04,21.36,1069200,0.0,0
1997-07-11,21.46,21.88,21.25,21.72,674600,0.0,0
1997-07-14,21.93,21.99,21.3,21.51,471200,0.0,0
1997-07-15,21.2,21.41,20.94,21.3,513000,0.0,0
1997-07-16,21.41,21.41,19.89,19.94,899600,0.0,0
1997-07-17,20.1,21.99,20.05,21.83,1286200,0.0,0
1997-07-18,21.88,22.19,21.2,21.67,346200,0.0,0
1997-07-21,21.62,21.62,20.94,21.2,216600,0.0,0
1997-07-22,21.04,21.67,21.04,21.46,351200,0.0,0
1997-07-23,21.46,21.88,20.94,20.94,507100,0.0,0
1997-07-24,20.94,21.57,20.31,20.62,412800,0.0,0
1997-07-25,20.83,20.94,20.26,20.62,253000,0.0,0
1997-07-28,20.83,21.3,20.42,21.15,953700,0.0,0
1997-07-29,21.36,22.35,21.36,22.35,1028100,0.0,0
1997-07-30,22.46,23.4,22.35,23.24,801700,0.0,0
1997-07-31,23.35,23.45,22.35,22.46,458400,0.0,0
1997-08-01,22.04,22.61,21.99,22.3,250100,0.0,0
1997-08-04,22.09,23.35,21.99,23.14,629700,0.0,0
1997-08-05,23.56,23.82,22.19,22.67,1157400,0.0,0
1997-08-06,22.67,22.72,21.99,22.19,350500,0.0,0
1997-08-07,22.19,22.35,21.57,21.57,456200,0.0,0
1997-08-08,21.36,21.51,20.73,21.15,576100,0.0,0
1997-08-11,21.25,21.25,20.52,20.73,370400,0.0,0
1997-08-12,20.94,21.3,20.36,20.36,910300,0.0,0
1997-08-13,20.52,21.1,19.94,20.42,416500,0.0,0
1997-08-14,20.62,20.73,20.05,20.1,309000,0.0,0
1997-08-15,20.1,20.1,19.16,19.32,1385300,0.0,0
1997-08-18,19.73,19.84,19.21,19.68,551500,0.0,0
1997-08-19,19.58,20.31,19.58,20.31,380800,0.0,0
1997-08-20,20.83,21.46,20.68,21.46,621500,0.0,0
1997-08-21,21.25,21.41,20.52,20.73,479600,0.0,0
1997-08-22,20.21,20.62,20.1,20.52,408100,0.0,0
1997-08-25,20.94,20.99,20.26,20.36,230200,0.0,0
1997-08-26,20.31,20.89,20.21,20.68,296300,0.0,0
1997-08-27,20.89,20.94,20.31,20.52,619500,0.0,0
1997-08-28,20.52,21.25,20.42,21.2,492400,0.0,0
1997-08-29,21.2,22.51,21.15,21.99,686100,0.0,0
1997-09-02,22.09,22.14,21.36,21.99,414700,0.0,0
1997-09-03,21.99,22.09,21.78,21.83,265000,0.0,0
1997-09-04,21.78,22.04,21.36,21.57,237400,0.0,0
1997-09-05,21.99,22.14,21.41,21.67,151100,0.0,0
1997-09-08,21.57,21.78,21.2,21.25,91200,0.0,0
1997-09-09,21.15,21.36,20.62,20.83,318400,0.0,0
1997-09-10,20.83,20.83,20.26,20.31,365900,0.0,0
1997-09-11,20.1,20.73,20.1,20.31,721200,0.0,0
1997-09-12,20.42,20.62,20.1,20.47,234000,0.0,0
1997-09-15,20.68,21.67,20.52,21.1,855800,0.0,0
1997-09-16,21.46,21.72,21.15,21.36,384100,0.0,0
1997-09-17,21.57,22.14,21.46,22.14,922000,0.0,0
1997-09-18,22.46,22.67,21.78,21.83,1183200,0.0,0
1997-09-19,21.67,22.35,21.3,22.3,430300,0.0,0
1997-09-22,22.19,23.24,21.88,23.14,754400,0.0,0
1997-09-23,23.08,23.14,22.51,22.88,507200,0.0,0
1997-09-24,22.61,22.61,21.78,21.88,827400,0.0,0
1997-09-25,21.67,21.99,20.83,21.2,1051200,0.0,0
