Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,0.67,0.68,0.66,0.67,109600,0.0,0.0
1982-01-04,0.67,0.67,0.67,0.67,80800,0.0,0.0
1982-01-05,0.66,0.67,0.65,0.65,138400,0.0,0.0
1982-01-06,0.64,0.65,0.63,0.63,151600,0.0,0.0
1982-01-07,0.63,0.63,0.63,0.63,96800,0.0,0.0
1982-01-08,0.63,0.64,0.63,0.63,258800,0.0,0.0
1982-01-11,0.62,0.63,0.61,0.61,160000,0.0,0.0
1982-01-12,0.6,0.61,0.59,0.6,249200,0.0,0.0
1982-01-13,0.59,0.6,0.59,0.59,227200,0.0,0.0
1982-01-14,0.59,0.6,0.59,0.59,52800,0.0,0.0
1982-01-15,0.6,0.6,0.59,0.6,75200,0.0,0.0
1982-01-18,0.59,0.6,0.58,0.58,243200,0.0,0.0
1982-01-19,0.6,0.6,0.59,0.6,395600,0.0,0.0
1982-01-20,0.62,0.63,0.6,0.62,548000,0.0,0.0
1982-01-21,0.64,0.64,0.63,0.64,395600,0.0,0.0
1982-01-22,0.63,0.64,0.63,0.63,341600,0.0,0.0
1982-01-25,0.63,0.63,0.63,0.63,253600,0.0,0.0
1982-01-26,0.64,0.64,0.63,0.63,262800,0.0,0.0
1982-01-27,0.62,0.63,0.62,0.62,349600,0.0,0.0
1982-01-28,0.62,0.62,0.61,0.62,154000,0.0,0.0
1982-01-29,0.63,0.64,0.62,0.64,309600,0.0,0.0
1982-02-01,0.63,0.64,0.63,0.63,272000,0.0,0.0
1982-02-02,0.63,0.63,0.62,0.63,140400,0.0,0.0
1982-02-03,0.63,0.64,0.62,0.62,142000,0.0,0.0
1982-02-04,0.62,0.63,0.62,0.62,93600,0.0,0.0
1982-02-05,0.64,0.65,0.63,0.65,149600,0.0,0.0
1982-02-08,0.66,0.66,0.65,0.65,177200,0.0,0.0
1982-02-09,0.66,0.66,0.65,0.66,108400,0.0,0.0
1982-02-10,0.66,0.67,0.65,0.65,299200,0.0,0.0
1982-02-11,0.65,0.65,0.65,0.65,138800,0.0,0.0
1982-02-12,0.65,0.65,0.65,0.65,42400,0.0,0.0
1982-02-16,0.64,0.64,0.64,0.64,258400,0.0975,0.0
1982-02-17,0.64,0.65,0.63,0.63,221200,0.0,0.0
1982-02-18,0.63,0.64,0.62,0.63,101200,0.0,0.0
1982-02-19,0.62,0.63,0.62,0.62,254400,0.0,0.0
1982-02-22,0.62,0.63,0.62,0.62,174800,0.0,0.0
1982-02-23,0.61,0.62,0.6,0.61,281200,0.0,0.0
1982-02-24,0.6,0.61,0.6,0.6,208000,0.0,0.0
1982-02-25,0.6,0.6,0.6,0.6,405200,0.0,0.0
1982-02-26,0.6,0.6,0.6,0.6,72000,0.0,0.0
1982-03-01,0.6,0.61,0.59,0.59,287200,0.0,0.0
1982-03-02,0.6,0.6,0.59,0.59,124400,0.0,0.0
1982-03-03,0.59,0.59,0.59,0.59,262800,0.0,0.0
1982-03-04,0.59,0.59,0.58,0.58,157600,0.0,0.0
1982-03-05,0.58,0.58,0.57,0.57,179200,0.0,0.0
1982-03-08,0.54,0.56,0.52,0.52,782800,0.0,0.0
1982-03-09,0.54,0.55,0.52,0.54,776400,0.0,0.0
1982-03-10,0.56,0.57,0.55,0.57,308000,0.0,0.0
1982-03-11,0.57,0.58,0.55,0.55,330800,0.0,0.0
1982-03-12,0.55,0.55,0.54,0.55,127200,0.0,0.0
1982-03-15,0.55,0.55,0.55,0.55,90400,0.0,0.0
1982-03-16,0.56,0.57,0.55,0.56,618800,0.0,0.0
1982-03-17,0.56,0.57,0.56,0.56,107200,0.0,0.0
