Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-06-19,0.0,9.7062,6.4708,6.4708,6100,0.0,0.0
1980-06-20,0.0,9.7062,6.4708,6.4708,2800,0.0,0.0
1980-06-23,0.0,8.6278,5.3923,5.3923,0,0.0,0.0
1980-06-24,0.0,7.5493,5.3923,5.3923,1300,0.0,0.0
1980-06-25,0.0,8.6278,6.4708,6.4708,700,0.0,0.0
1980-06-26,0.0,8.6278,6.4708,6.4708,6400,0.0,0.0
1980-06-27,0.0,8.6278,6.4708,6.4708,1900,0.0,0.0
1980-06-30,0.0,8.6278,6.4708,6.4708,1200,0.0,0.0
1980-07-01,0.0,9.7062,7.5493,7.5493,7000,0.0,0.0
1980-07-02,0.0,9.7062,7.5493,7.5493,3100,0.0,0.0
1980-07-03,0.0,10.7847,8.6278,8.6278,19000,0.0,0.0
1980-07-07,0.0,9.7062,8.6278,8.6278,2700,0.0,0.0
1980-07-08,0.0,9.7062,9.7062,9.7062,5100,0.0,0.0
1980-07-09,0.0,9.7062,9.7062,9.7062,6300,0.0,0.0
1980-07-10,0.0,10.7847,9.7062,9.7062,9300,0.0,0.0
1980-07-11,0.0,10.7847,9.7062,9.7062,3900,0.0,0.0
1980-07-14,0.0,9.7062,8.6278,8.6278,2100,0.0,0.0
1980-07-15,0.0,9.7062,8.6278,8.6278,900,0.0,0.0
1980-07-16,0.0,9.7062,8.6278,8.6278,2800,0.0,0.0
1980-07-17,0.0,11.8632,10.7847,10.7847,23100,0.0,0.0
1980-07-18,0.0,10.7847,10.7847,10.7847,4600,0.0,0.0
1980-07-21,0.0,10.7847,10.7847,10.7847,2100,0.0,0.0
1980-07-22,0.0,10.7847,10.7847,10.7847,2400,0.0,0.0
1980-07-23,0.0,10.7847,9.7062,9.7062,2700,0.0,0.0
1980-07-24,0.0,10.7847,10.7847,10.7847,4300,0.0,0.0
1980-07-25,0.0,10.7847,9.7062,9.7062,2500,0.0,0.0
1980-07-28,0.0,10.7847,9.7062,9.7062,900,0.0,0.0
1980-07-29,0.0,10.7847,9.7062,9.7062,3900,0.0,0.0
1980-07-30,0.0,10.7847,9.7062,9.7062,1200,0.0,0.0
1980-07-31,0.0,10.7847,9.7062,9.7062,2700,0.0,0.0
1980-08-01,0.0,10.7847,9.7062,9.7062,600,0.0,0.0
1980-08-04,0.0,10.7847,9.7062,9.7062,2100,0.0,0.0
1980-08-05,0.0,10.7847,9.7062,9.7062,300,0.0,0.0
1980-08-06,0.0,10.7847,9.7062,9.7062,1600,0.0,0.0
1980-08-07,0.0,10.7847,9.7062,9.7062,6600,0.0,0.0
1980-08-08,0.0,10.7847,10.7847,10.7847,4900,0.0,0.0
1980-08-11,0.0,10.7847,10.7847,10.7847,600,0.0,0.0
1980-08-12,0.0,10.7847,9.7062,9.7062,1500,0.0,0.0
1980-08-13,0.0,10.7847,8.6278,8.6278,600,0.0,0.0
1980-08-14,0.0,10.7847,9.7062,9.7062,1200,0.0,0.0
1980-08-15,0.0,10.7847,9.7062,9.7062,700,0.0,0.0
1980-08-18,0.0,9.7062,8.6278,8.6278,2100,0.0,0.0
1980-08-19,0.0,9.7062,8.6278,8.6278,2700,0.0,0.0
1980-08-20,0.0,9.7062,8.6278,8.6278,4000,0.0,0.0
1980-08-21,0.0,9.7062,9.7062,9.7062,5500,0.0,0.0
1980-08-22,0.0,9.7062,9.7062,9.7062,6300,0.0,0.0
1980-08-25,0.0,10.7847,9.7062,9.7062,4600,0.0,0.0
1980-08-26,0.0,10.7847,9.7062,9.7062,4200,0.0,0.0
1980-08-27,0.0,12.9416,11.8632,11.8632,12000,0.0,0.0
1980-08-28,0.0,15.0986,15.0986,15.0986,24600,0.0,0.0
1980-08-29,0.0,15.0986,14.0201,14.0201,12300,0.0,0.0
1980-09-02,0.0,15.0986,14.0201,14.0201,2800,0.0,0.0
1980-09-03,0.0,14.0201,12.9416,12.9416,2200,0.0,0.0
1980-09-04,0.0,12.9416,11.8632,11.8632,4600,0.0,0.0
1980-09-05,0.0,12.9416,11.8632,11.8632,700,0.0,0.0
