Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-07-01,11.17,11.36,11.03,11.28,20818600,0.0,0.0
1998-07-02,11.31,11.39,11.28,11.36,3037200,0.0,0.0
1998-07-06,11.36,11.5,11.28,11.44,1737700,0.0,0.0
1998-07-07,11.5,11.5,11.28,11.28,1077000,0.0,0.0
1998-07-08,11.33,11.39,11.28,11.36,1180500,0.0,0.0
1998-07-09,11.33,11.47,11.28,11.44,1443900,0.0,0.0
1998-07-10,11.5,11.69,11.42,11.42,1117300,0.0,0.0
1998-07-13,11.39,11.42,11.28,11.39,790800,0.0,0.0
1998-07-14,11.39,11.44,11.31,11.31,1276300,0.0,0.0
1998-07-15,11.28,11.5,11.28,11.5,863400,0.0,0.0
1998-07-16,11.39,11.47,11.28,11.36,1084500,0.0,0.0
1998-07-17,11.28,11.55,11.22,11.5,1201600,0.0,0.0
1998-07-20,11.5,12.11,11.5,12.11,995500,0.0,0.0
1998-07-21,12.11,12.14,11.61,11.75,784600,0.0,0.0
1998-07-22,11.61,11.72,11.25,11.33,1497900,0.0,0.0
1998-07-23,11.39,11.42,10.95,11.28,1248300,0.0,0.0
1998-07-24,11.39,11.53,11.33,11.5,1009800,0.0,0.0
1998-07-27,11.5,11.64,11.39,11.44,843600,0.0,0.0
1998-07-28,11.47,11.53,11.06,11.06,2081800,0.0,0.0
1998-07-29,11.06,11.17,10.84,10.89,1331400,0.0,0.0
1998-07-30,10.97,11.06,10.84,11.06,1982400,0.0,0.0
1998-07-31,11.06,11.33,11.0,11.06,1093600,0.0,0.0
1998-08-03,11.06,11.06,10.75,10.78,1009000,0.0,0.0
1998-08-04,10.75,10.75,10.12,10.17,1245900,0.0,0.0
1998-08-05,10.06,10.23,9.7,9.7,654100,0.0,0.0
1998-08-06,9.76,9.81,9.68,9.68,589200,0.0,0.0
1998-08-07,9.73,10.01,9.68,9.79,1100200,0.0,0.0
1998-08-10,9.79,10.59,9.73,10.23,321700,0.0,0.0
1998-08-11,10.06,10.06,9.73,9.73,334000,0.0,0.0
1998-08-12,10.06,10.06,9.7,9.73,513600,0.0,0.0
1998-08-13,9.73,9.76,9.62,9.62,969000,0.0,0.0
1998-08-14,9.95,9.95,9.7,9.73,229300,0.0,0.0
1998-08-17,9.84,9.9,9.73,9.73,319900,0.0,0.0
1998-08-18,9.73,9.76,9.68,9.73,211900,0.0,0.0
1998-08-19,9.79,9.84,9.7,9.7,97800,0.0,0.0
1998-08-20,9.81,9.9,9.7,9.73,378700,0.0,0.0
1998-08-21,9.68,9.68,8.9,9.07,514000,0.0,0.0
1998-08-24,9.12,9.29,9.12,9.15,274000,0.0,0.0
1998-08-25,9.26,9.59,9.18,9.21,280900,0.0,0.0
1998-08-26,9.18,9.29,9.12,9.26,63600,0.0,0.0
1998-08-27,9.18,9.18,8.35,8.35,367200,0.0,0.0
1998-08-28,8.4,8.74,7.41,7.46,671200,0.0,0.0
1998-08-31,7.63,7.85,6.97,7.13,2184900,0.0,0.0
1998-09-01,7.13,7.41,7.02,7.19,931500,0.0,0.0
1998-09-02,7.19,7.24,6.91,7.02,238800,0.0,0.0
1998-09-03,6.99,7.02,5.97,7.02,2830200,0.0,0.0
1998-09-04,7.02,7.16,6.74,7.02,182700,0.0,0.0
1998-09-08,7.3,7.52,7.3,7.41,617100,0.0,0.0
1998-09-09,7.41,7.41,7.13,7.13,258300,0.0,0.0
1998-09-10,7.08,7.08,6.52,6.55,134400,0.0,0.0
1998-09-11,6.55,6.74,6.52,6.61,492100,0.0,0.0
1998-09-14,6.86,6.86,6.61,6.61,515800,0.0,0.0
1998-09-15,6.61,6.63,6.08,6.08,655900,0.0,0.0
1998-09-16,6.19,6.52,5.92,6.41,1600200,0.0,0.0
1998-09-17,6.3,6.88,6.19,6.72,260100,0.0,0.0
1998-09-18,6.72,6.88,6.58,6.74,454500,0.0,0.0
1998-09-21,6.52,6.8,6.52,6.77,898000,0.0,0.0
1998-09-22,6.88,8.07,6.88,7.63,436800,0.0,0.0
1998-09-23,8.07,9.45,8.07,8.82,828000,0.0,0.0
1998-09-24,8.85,9.34,8.62,8.62,578100,0.0,0.0
1998-09-25,8.51,9.01,8.4,8.71,540100,0.0,0.0
1998-09-28,9.45,9.51,8.79,8.79,432000,0.0,0.0
1998-09-29,8.68,8.74,8.13,8.51,791100,0.0,0.0
