Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,1.46,1.48,1.45,1.47,382000.0,0.0,0.0
1982-01-04,1.46,1.48,1.44,1.45,271200.0,0.0875,0.0
1982-01-05,1.42,1.45,1.37,1.4,903200.0,0.0,0.0
1982-01-06,1.39,1.4,1.37,1.4,726800.0,0.0,0.0
1982-01-07,1.41,1.42,1.39,1.4,432000.0,0.0,0.0
1982-01-08,1.39,1.41,1.38,1.39,693600.0,0.0,0.0
1982-01-11,1.39,1.41,1.35,1.35,930800.0,0.0,0.0
1982-01-12,1.37,1.4,1.34,1.39,714000.0,0.0,0.0
1982-01-13,1.4,1.42,1.38,1.39,761600.0,0.0,0.0
1982-01-14,1.39,1.4,1.37,1.4,367200.0,0.0,0.0
1982-01-15,1.4,1.41,1.39,1.39,456400.0,0.0,0.0
1982-01-18,1.39,1.41,1.37,1.41,1110000.0,0.0,0.0
1982-01-19,1.39,1.41,1.36,1.37,669200.0,0.0,0.0
1982-01-20,1.38,1.38,1.37,1.38,352400.0,0.0,0.0
1982-01-21,1.37,1.38,1.36,1.37,324800.0,0.0,0.0
1982-01-22,1.37,1.38,1.36,1.37,539200.0,0.0,0.0
1982-01-25,1.36,1.37,1.35,1.37,286800.0,0.0,0.0
1982-01-26,1.38,1.4,1.37,1.38,553200.0,0.0,0.0
1982-01-27,1.37,1.38,1.35,1.36,830800.0,0.0,0.0
1982-01-28,1.41,1.44,1.37,1.44,1855200.0,0.0,0.0
1982-01-29,1.44,1.44,1.43,1.44,802000.0,0.0,0.0
1982-02-01,1.41,1.43,1.38,1.38,390800.0,0.0,0.0
1982-02-02,1.41,1.42,1.4,1.42,547200.0,0.0,0.0
1982-02-03,1.42,1.43,1.4,1.4,492000.0,0.0,0.0
1982-02-04,1.41,1.42,1.4,1.41,345600.0,0.0,0.0
1982-02-05,1.44,1.44,1.42,1.44,424800.0,0.0,0.0
1982-02-08,1.43,1.44,1.41,1.41,699200.0,0.0,0.0
1982-02-09,1.41,1.42,1.4,1.4,518400.0,0.0,0.0
1982-02-10,1.41,1.42,1.4,1.42,378800.0,0.0,0.0
1982-02-11,1.42,1.44,1.4,1.41,487200.0,0.0,0.0
1982-02-12,1.41,1.42,1.39,1.39,420000.0,0.0,0.0
1982-02-16,1.37,1.38,1.36,1.38,800800.0,0.0,0.0
1982-02-17,1.37,1.38,1.35,1.36,437200.0,0.0,0.0
1982-02-18,1.36,1.37,1.35,1.37,796800.0,0.0,0.0
1982-02-19,1.37,1.38,1.36,1.36,363200.0,0.0,0.0
1982-02-22,1.29,1.35,1.23,1.23,2474800.0,0.0,0.0
1982-02-23,1.24,1.26,1.22,1.26,1851600.0,0.0,0.0
1982-02-24,1.24,1.28,1.19,1.23,1086000.0,0.0,0.0
1982-02-25,1.26,1.28,1.25,1.25,1173600.0,0.0,0.0
1982-02-26,1.25,1.26,1.24,1.25,206000.0,0.0,0.0
1982-03-01,1.26,1.27,1.24,1.27,606000.0,0.0,0.0
1982-03-02,1.29,1.31,1.28,1.28,963600.0,0.0,0.0
1982-03-03,1.26,1.28,1.25,1.25,1002400.0,0.0,0.0
1982-03-04,1.25,1.26,1.24,1.24,864800.0,0.0,0.0
1982-03-05,1.23,1.26,1.2,1.21,705600.0,0.0,0.0
