Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-06-26,0.28,0.3,0.27,0.29,224358400,0.0,0.0
1992-06-29,0.29,0.31,0.28,0.31,58732800,0.0,0.0
1992-06-30,0.31,0.32,0.29,0.3,34777600,0.0,0.0
1992-07-01,0.3,0.31,0.29,0.3,18316800,0.0,0.0
1992-07-02,0.31,0.31,0.3,0.3,13996800,0.0,0.0
1992-07-06,0.3,0.3,0.3,0.3,5753600,0.0,0.0
1992-07-07,0.3,0.3,0.3,0.3,10662400,0.0,0.0
1992-07-08,0.3,0.3,0.29,0.3,15500800,0.0,0.0
1992-07-09,0.3,0.31,0.3,0.31,3923200,0.0,0.0
1992-07-10,0.31,0.31,0.3,0.31,11040000,0.0,0.0
1992-07-13,0.31,0.32,0.31,0.32,5996800,0.0,0.0
1992-07-14,0.32,0.33,0.31,0.32,17062400,0.0,0.0
1992-07-15,0.32,0.33,0.32,0.33,4992000,0.0,0.0
1992-07-16,0.33,0.35,0.32,0.35,17062400,0.0,0.0
1992-07-17,0.35,0.37,0.34,0.36,15667200,0.0,0.0
1992-07-20,0.36,0.37,0.35,0.37,19744000,0.0,0.0
1992-07-21,0.37,0.38,0.36,0.37,7782400,0.0,0.0
1992-07-22,0.37,0.37,0.36,0.37,10892800,0.0,0.0
1992-07-23,0.37,0.37,0.36,0.37,10387200,0.0,0.0
1992-07-24,0.37,0.38,0.36,0.38,7052800,0.0,0.0
1992-07-27,0.38,0.39,0.38,0.39,11430400,0.0,0.0
1992-07-28,0.39,0.39,0.36,0.37,18009600,0.0,0.0
1992-07-29,0.37,0.37,0.34,0.35,30848000,0.0,0.0
1992-07-30,0.35,0.35,0.34,0.35,11737600,0.0,0.0
1992-07-31,0.35,0.35,0.34,0.35,6886400,0.0,0.0
1992-08-03,0.35,0.36,0.35,0.36,4832000,0.0,0.0
1992-08-04,0.36,0.36,0.35,0.36,6822400,0.0,0.0
1992-08-05,0.36,0.36,0.34,0.35,9516800,0.0,0.0
1992-08-06,0.34,0.35,0.34,0.35,3673600,0.0,0.0
1992-08-07,0.35,0.36,0.34,0.36,8825600,0.0,0.0
1992-08-10,0.35,0.37,0.35,0.36,5888000,0.0,0.0
1992-08-11,0.37,0.37,0.36,0.36,4147200,0.0,0.0
1992-08-12,0.36,0.36,0.34,0.35,12736000,0.0,0.0
1992-08-13,0.35,0.35,0.34,0.35,48320000,0.0,0.0
1992-08-14,0.34,0.35,0.33,0.33,17849600,0.0,0.0
1992-08-17,0.33,0.33,0.33,0.33,2681600,0.0,0.0
1992-08-18,0.33,0.33,0.33,0.33,2860800,0.0,0.0
1992-08-19,0.33,0.33,0.33,0.33,2380800,0.0,0.0
1992-08-20,0.33,0.34,0.32,0.33,2489600,0.0,0.0
1992-08-21,0.33,0.33,0.32,0.32,2048000,0.0,0.0
1992-08-24,0.33,0.33,0.32,0.33,6905600,0.0,0.0
1992-08-25,0.32,0.33,0.32,0.32,4128000,0.0,0.0
1992-08-26,0.32,0.33,0.31,0.32,19385600,0.0,0.0
1992-08-27,0.32,0.33,0.32,0.33,6169600,0.0,0.0
1992-08-28,0.33,0.33,0.32,0.33,3417600,0.0,0.0
1992-08-31,0.33,0.33,0.33,0.33,4441600,0.0,0.0
1992-09-01,0.33,0.34,0.33,0.33,2387200,0.0,0.0
1992-09-02,0.34,0.37,0.33,0.37,11692800,0.0,0.0
1992-09-03,0.36,0.38,0.36,0.38,16480000,0.0,0.0
1992-09-04,0.38,0.38,0.37,0.38,4249600,0.0,0.0
1992-09-08,0.38,0.42,0.38,0.41,17139200,0.0,0.0
1992-09-09,0.39,0.41,0.38,0.41,25299200,0.0,0.0
1992-09-10,0.4,0.41,0.39,0.4,8889600,0.0,0.0
1992-09-11,0.4,0.42,0.4,0.41,13036800,0.0,0.0
1992-09-14,0.42,0.44,0.42,0.43,13068800,0.0,0.0
1992-09-15,0.43,0.44,0.41,0.41,18099200,0.0,0.0
1992-09-16,0.39,0.4,0.39,0.39,14963200,0.0,0.0
1992-09-17,0.4,0.4,0.37,0.38,13459200,0.0,0.0
1992-09-18,0.37,0.38,0.35,0.36,17260800,0.0,0.0
1992-09-21,0.36,0.4,0.35,0.39,24012800,0.0,0.0
1992-09-22,0.39,0.41,0.38,0.41,19206400,0.0,0.0
1992-09-23,0.41,0.41,0.39,0.4,26912000,0.0,0.0
1992-09-24,0.41,0.41,0.4,0.41,5459200,0.0,0.0
1992-09-25,0.4,0.41,0.4,0.4,12102400,0.0,0.0
1992-09-28,0.41,0.43,0.4,0.43,7532800,0.0,0.0
1992-09-29,0.42,0.43,0.41,0.41,9593600,0.0,0.0
1992-09-30,0.41,0.41,0.4,0.4,11123200,0.0,0.0
1992-10-01,0.41,0.41,0.39,0.39,4556800,0.0,0.0
