Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-04,47.22,47.83,45.6,45.91,9295314.0,0.0,0
2018-03-05,39.25,40.59,39.24,40.36,1436360.0,0.0,0
2018-03-09,,,,,,0.6125,0
2018-03-13,38.96,39.09,38.27,38.65,1023856.0,0.0,0
2018-03-14,38.7,39.55,38.58,39.07,839311.0,0.0,0
2018-03-15,39.12,40.31,39.06,40.02,1159910.0,0.0,0
2018-03-16,39.89,40.2,39.37,39.85,3975369.0,0.0,0
2018-03-19,39.92,40.07,37.93,38.77,1678125.0,0.0,0
2018-03-20,39.0,39.06,38.05,38.33,795489.0,0.0,0
2018-03-21,0.01,0.01,0.01,0.01,0.0,0.0,0
2018-03-22,37.2,38.55,36.93,37.4,1691229.0,0.0,0
2018-03-23,37.69,38.05,36.77,36.92,1192904.0,0.0,0
2018-03-26,37.07,37.12,36.43,36.67,851334.0,0.0,0
2018-03-27,36.68,37.91,36.55,36.89,1312578.0,0.0,0
2018-03-28,36.55,37.05,35.76,36.99,1794561.0,0.0,0
2018-03-29,36.08,37.41,35.04,37.21,4279662.0,0.0,0
2018-04-02,37.4,38.19,36.87,37.7,2729200.0,0.0,0
2018-04-03,37.89,38.3,36.82,37.96,2268316.0,0.0,0
2018-04-04,37.78,37.87,36.44,37.57,1529770.0,0.0,0
2018-04-05,37.49,38.63,36.71,38.34,1511640.0,0.0,0
2018-04-06,38.37,38.4,36.92,37.13,1549721.0,0.0,0
2018-04-09,37.31,37.38,36.69,36.77,670292.0,0.0,0
2018-04-10,36.88,36.88,35.81,35.97,1016056.0,0.0,0
2018-04-11,35.97,36.51,35.88,36.04,923213.0,0.0,0
2018-04-12,36.18,36.28,35.36,35.58,1196732.0,0.0,0
2018-04-13,35.78,36.04,35.43,35.58,1112452.0,0.0,0
2018-04-16,35.78,36.84,35.75,36.28,1451434.0,0.0,0
2018-04-17,36.31,37.13,35.78,35.89,1676646.0,0.0,0
2018-04-18,35.92,37.98,35.92,36.88,2293813.0,0.0,0
2018-04-19,35.68,36.04,35.13,35.67,2302102.0,0.0,0
2018-04-20,35.71,36.47,35.43,35.6,926857.0,0.0,0
2018-04-23,35.68,36.89,35.63,36.14,2086467.0,0.0,0
2018-04-24,36.26,36.43,35.34,35.44,1404599.0,0.0,0
2018-04-25,35.48,36.85,35.4,36.22,1498716.0,0.0,0
2018-04-26,36.22,36.49,34.89,36.06,1588521.0,0.0,0
2018-04-27,35.87,37.28,35.77,37.18,1365097.0,0.0,0
2018-04-30,37.0,37.2,36.24,36.44,1121312.0,0.0,0
2018-05-01,36.44,37.29,36.34,37.03,1930551.0,0.0,0
2018-05-02,36.79,37.03,36.25,36.44,1127917.0,0.0,0
2018-05-03,36.3,36.59,35.33,35.82,863452.0,0.0,0
2018-05-04,35.96,36.72,35.83,36.17,624253.0,0.0,0
2018-05-07,36.0,36.28,35.5,36.1,1486953.0,0.0,0
2018-05-08,35.83,36.1,34.47,34.92,2326883.0,0.0,0
2018-05-09,35.11,35.13,33.66,34.81,1595468.0,0.0,0
2018-05-10,35.09,35.59,34.78,35.35,1130440.0,0.0,0
2018-05-11,35.41,35.83,34.89,34.97,617133.0,0.0,0
2018-05-14,34.93,35.07,34.34,34.63,1235967.0,0.0,0
2018-05-15,34.35,34.5,33.89,34.37,1196686.0,0.0,0
2018-05-16,34.46,34.6,33.83,34.09,626766.0,0.0,0
2018-05-17,34.14,34.14,33.45,33.71,1344173.0,0.0,0
2018-05-18,33.69,34.1,33.69,34.01,876600.0,0.0,0
2018-05-21,34.16,34.52,33.84,34.33,1112657.0,0.0,0
2018-05-22,34.49,35.58,34.49,34.97,1501904.0,0.0,0
2018-05-23,0.01,0.01,0.01,0.01,0.0,0.0,0
2018-05-24,0.01,0.01,0.01,0.01,0.0,0.0,0
2018-05-25,35.15,35.68,35.15,35.49,513404.0,0.0,0
2018-05-29,34.68,35.56,33.89,35.32,1292960.0,0.0,0
2018-05-30,0.01,0.01,0.01,0.01,0.0,0.0,0
2018-05-31,0.01,0.01,0.01,0.01,0.0,0.0,0
2018-06-01,35.9,35.94,35.01,35.03,1652194.0,0.0,0
2018-06-04,35.03,35.3,34.55,34.69,737979.0,0.0,0
2018-06-05,35.23,36.83,34.8,36.38,2803396.0,0.0,0
2018-06-06,36.36,36.36,35.0,35.21,1273621.0,0.0,0
2018-06-07,35.28,36.13,35.0,35.59,1286084.0,0.0,0
2018-06-08,35.68,36.11,35.4,35.82,1177018.0,0.0,0
2018-06-11,35.83,36.7,35.69,36.54,861240.0,0.0,0
2018-06-12,36.39,37.26,36.38,36.93,1079164.0,0.0,0
2018-06-13,36.95,37.03,36.0,36.1,1227679.0,0.0,0
2018-06-14,36.24,36.81,35.75,36.57,1722397.0,0.0,0
2018-06-15,36.55,37.05,36.41,36.97,2586311.0,0.0,0
2018-06-18,36.91,37.17,36.51,36.59,1458714.0,0.0,0
2018-06-19,36.6,37.25,36.6,37.21,951273.0,0.0,0
2018-06-20,37.16,37.25,36.68,37.03,755741.0,0.0,0
2018-06-21,0.01,0.01,0.01,0.01,0.0,0.0,0
2018-06-22,36.25,36.76,36.04,36.68,2621830.0,0.0,0
2018-06-25,36.7,38.19,36.7,38.05,2122716.0,0.0,0
2018-06-26,37.91,38.7,37.78,38.12,1585547.0,0.0,0
2018-06-27,37.95,39.65,36.29,36.46,6000506.0,0.0,0
2018-06-28,35.39,38.76,35.39,38.15,4260734.0,0.0,0
2018-06-29,38.98,39.05,37.59,38.17,2089328.0,0.0,0
2018-07-02,38.09,38.54,37.42,38.44,1154435.0,0.0,0
2018-07-03,0.01,0.01,0.01,0.01,0.0,0.0,0
2018-07-05,39.57,40.39,39.12,40.19,1411903.0,0.0,0
2018-07-06,40.18,40.44,39.81,40.26,937709.0,0.0,0
2018-07-09,40.24,40.55,39.16,39.25,1750764.0,0.1237,0
2018-07-10,38.95,39.76,38.83,39.38,848006.0,0.0,0
2018-07-11,39.15,39.55,39.02,39.16,892756.0,0.0,0
2018-07-12,39.16,39.21,38.37,38.61,1914241.0,0.0,0
2018-07-13,38.49,38.87,38.01,38.83,1403988.0,0.0,0
2018-07-16,39.0,39.0,37.71,37.87,1179942.0,0.0,0
2018-07-17,37.87,39.01,37.75,38.87,1121657.0,0.0,0
2018-07-18,38.76,38.98,38.23,38.6,580063.0,0.0,0
2018-07-19,38.74,39.99,38.46,39.96,907513.0,0.0,0
2018-07-20,39.75,40.23,39.36,39.88,869883.0,0.0,0
2018-07-23,39.95,40.08,39.53,40.02,691462.0,0.0,0
2018-07-24,39.79,40.35,39.11,40.24,1664299.0,0.0,0
2018-07-25,40.06,40.06,39.28,39.96,2274987.0,0.0,0
2018-07-26,40.15,40.15,39.46,39.94,1149799.0,0.0,0
2018-07-27,39.94,40.76,39.86,40.69,2021072.0,0.0,0
2018-07-30,40.81,40.81,39.43,40.11,1841333.0,0.0,0
2018-07-31,40.19,40.83,39.59,39.75,6412831.0,0.0,0
2018-08-01,39.75,40.21,39.0,40.04,1784840.0,0.0,0
2018-08-02,39.76,42.16,39.75,41.09,2653112.0,0.0,0
2018-08-03,41.07,41.98,40.62,41.87,774314.0,0.0,0
2018-08-06,41.68,42.68,41.68,41.93,926320.0,0.0,0
2018-08-07,39.23,40.32,39.1,39.78,1925912.0,0.0,0
2018-08-08,39.83,39.91,38.48,38.5,952822.0,0.0,0
2018-08-09,38.68,38.84,37.96,38.05,1349024.0,0.0,0
2018-08-10,38.03,38.31,37.65,37.79,546459.0,0.0,0
2018-08-13,37.65,37.82,36.71,36.91,1549539.0,0.0,0
2018-08-14,36.87,37.33,36.7,36.98,1022537.0,0.0,0
2018-08-15,36.99,37.19,36.75,36.95,1344737.0,0.0,0
2018-08-16,36.84,37.42,36.63,37.34,856793.0,0.0,0
2018-08-17,37.34,38.45,37.34,38.27,728999.0,0.0,0
2018-08-20,38.24,38.81,37.92,38.67,686876.0,0.0,0
2018-08-21,38.49,38.6,37.78,37.78,985459.0,0.0,0
2018-08-22,37.86,38.21,37.23,37.48,610626.0,0.0,0
2018-08-23,37.54,37.8,37.22,37.37,515646.0,0.0,0
2018-08-24,37.44,38.76,37.37,38.72,997910.0,0.0,0
2018-08-27,0.01,0.01,0.01,0.01,0.0,0.0,0
2018-08-28,38.9,39.29,38.48,38.59,658458.0,0.0,0
2018-08-29,38.79,38.8,38.33,38.63,539206.0,0.0,0
2018-08-30,38.61,38.99,38.25,38.41,625678.0,0.0,0
2018-08-31,38.41,38.77,37.83,38.11,1389922.0,0.0,0
2018-09-04,38.07,38.26,37.07,37.14,821800.0,0.0,0
2018-09-05,37.27,37.74,37.27,37.46,1526351.0,0.0,0
2018-09-06,37.42,37.72,36.45,36.46,1049622.0,0.0,0
2018-09-07,36.18,36.91,36.12,36.5,1030334.0,0.1237,0
2018-09-10,36.49,36.92,35.55,35.58,1171265.0,0.0,0
2018-09-11,35.6,35.95,35.15,35.5,1214458.0,0.0,0
2018-09-12,35.54,35.91,35.23,35.62,654814.0,0.0,0
2018-09-13,35.56,35.86,35.22,35.39,894071.0,0.0,0
2018-09-14,35.24,35.52,35.1,35.38,1172604.0,0.0,0
2018-09-17,35.49,36.04,35.38,35.8,1162451.0,0.0,0
2018-09-18,35.66,35.99,35.57,35.77,1340844.0,0.0,0
2018-09-19,35.86,35.93,34.75,34.82,1063765.0,0.0,0
2018-09-20,34.97,35.05,34.61,34.84,900073.0,0.0,0
2018-09-21,34.66,34.9,34.23,34.77,1988742.0,0.0,0
2018-09-24,34.82,35.19,34.71,34.81,1098941.0,0.0,0
2018-09-25,34.6,35.88,34.46,35.16,1691615.0,0.0,0
2018-09-26,35.31,37.82,35.21,36.53,2892466.0,0.0,0
2018-09-27,36.87,37.72,36.42,37.33,2137117.0,0.0,0
2018-09-28,37.76,38.9,37.46,38.79,2285518.0,0.0,0
2018-10-01,38.65,38.73,37.27,37.44,1346526.0,0.0,0
2018-10-02,37.58,38.49,37.38,38.06,2105503.0,0.0,0
2018-10-03,38.06,38.58,37.79,38.2,1226698.0,0.0,0
2018-10-04,37.93,38.78,37.8,38.66,1054521.0,0.0,0
2018-10-05,38.97,39.31,38.62,38.65,703491.0,0.0,0
2018-10-08,38.41,39.64,38.4,39.16,1450208.0,0.0,0
2018-10-09,39.84,40.23,39.31,39.81,1268095.0,0.0,0
2018-10-10,39.67,40.53,39.5,39.85,1461233.0,0.0,0
2018-10-11,39.91,39.91,39.07,39.67,1171047.0,0.0,0
2018-10-12,39.62,39.96,38.87,39.18,1679037.0,0.0,0
2018-10-15,39.17,39.17,38.26,38.66,1716807.0,0.0,0
2018-10-16,38.39,39.7,38.29,39.68,1035597.0,0.0,0
2018-10-17,39.65,40.04,39.55,39.98,639471.0,0.0,0
2018-10-18,39.96,40.36,39.78,40.15,770295.0,0.0,0
2018-10-19,40.12,40.95,39.91,40.78,778780.0,0.0,0
2018-10-22,40.8,40.86,34.71,36.3,5187263.0,0.0,0
2018-10-23,36.21,38.26,36.11,37.36,2878564.0,0.0,0
2018-10-24,37.54,38.44,36.91,37.19,1668662.0,0.0,0
2018-10-25,36.96,38.2,35.6,37.27,1579473.0,0.0,0
2018-10-26,38.82,39.08,35.29,36.47,3095880.0,0.0,0
2018-10-29,36.63,37.46,36.37,37.03,929097.0,0.0,0
2018-10-30,37.29,41.73,37.25,40.78,4223848.0,0.0,0
2018-10-31,40.3,40.92,39.92,39.95,1411112.0,0.0,0
2018-11-01,39.9,40.7,38.65,39.95,1460788.0,0.0,0
2018-11-02,39.88,40.23,38.83,39.91,1177920.0,0.0,0
2018-11-05,40.08,40.51,39.52,39.72,705500.0,0.0,0
2018-11-06,39.76,40.07,39.58,39.95,524365.0,0.0,0
2018-11-07,39.94,40.6,39.57,40.54,673029.0,0.0,0
2018-11-08,40.53,40.53,39.65,39.9,837769.0,0.0,0
2018-11-09,39.71,40.88,39.59,40.08,635009.0,0.0,0
2018-11-12,40.06,40.94,39.88,40.52,828167.0,0.0,0
2018-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0
2018-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0
2018-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0
2018-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0
2018-11-19,42.8,43.73,42.8,43.6,757761.0,0.0,0
2018-11-20,43.64,44.45,42.4,44.38,2357399.0,0.0,0
2018-11-21,43.52,44.0,42.27,43.52,2164019.0,0.0,0
2018-11-23,43.59,44.3,43.36,43.94,431291.0,0.0,0
2018-11-26,45.17,46.69,45.08,46.51,2244425.0,0.0,0
2018-11-27,46.44,46.87,45.86,46.87,1688041.0,0.0,0
2018-11-28,46.83,46.83,45.32,45.41,1436853.0,0.0,0
2018-11-29,45.41,46.02,44.09,45.99,1694414.0,0.0,0
2018-11-30,45.86,46.69,45.86,46.54,1509370.0,0.0,0
2018-12-03,46.24,47.45,46.19,47.11,2000182.0,0.0,0
2018-12-04,47.06,48.8,46.73,47.18,2974082.0,0.0,0
2018-12-06,47.03,47.36,45.62,47.23,1448147.0,0.0,0
2018-12-07,47.19,47.98,46.63,46.86,1659314.0,0.1237,0
