Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,-0.0,-0.38,-0.35,-0.35,211200,0.0,0.0
1980-03-18,-0.0,-0.36,-0.34,-0.35,1280000,0.0,0.0
1980-03-19,-0.0,-0.35,-0.35,-0.35,204800,0.0,0.0
1980-03-20,-0.0,-0.35,-0.34,-0.34,230400,0.0,0.0
1980-03-21,-0.0,-0.34,-0.33,-0.33,204800,0.0,0.0
1980-03-24,-0.0,-0.33,-0.33,-0.33,454400,0.0,0.0
1980-03-25,-0.0,-0.33,-0.31,-0.31,460800,0.0,0.0
1980-03-26,-0.0,-0.33,-0.32,-0.32,192000,0.0,0.0
1980-03-27,-0.0,-0.33,-0.31,-0.31,774400,0.0,0.0
1980-03-28,-0.0,-0.32,-0.31,-0.31,876800,0.0,0.0
1980-03-31,-0.0,-0.33,-0.32,-0.33,140800,0.0,0.0
1980-04-01,-0.0,-0.34,-0.33,-0.34,172800,0.0,0.0
1980-04-02,-0.0,-0.35,-0.34,-0.35,768000,0.0,0.0
1980-04-03,-0.0,-0.35,-0.34,-0.34,192000,0.0,0.0
1980-04-07,-0.0,-0.35,-0.34,-0.34,172800,0.0,0.0
1980-04-08,-0.0,-0.34,-0.33,-0.34,89600,0.0,0.0
1980-04-09,-0.0,-0.36,-0.34,-0.35,563200,0.0,0.0
1980-04-10,-0.0,-0.4,-0.36,-0.4,550400,0.0,0.0
1980-04-11,-0.0,-0.41,-0.39,-0.39,147200,0.0,0.0
1980-04-14,-0.0,-0.4,-0.39,-0.39,140800,0.0,0.0
1980-04-15,-0.0,-0.39,-0.38,-0.38,172800,0.0,0.0
1980-04-16,-0.0,-0.39,-0.39,-0.39,281600,0.0,0.0
1980-04-17,-0.0,-0.39,-0.38,-0.38,985600,0.0,0.0
1980-04-18,-0.0,-0.39,-0.38,-0.38,115200,0.0,0.0
1980-04-21,-0.0,-0.39,-0.38,-0.38,128000,0.0,0.0
1980-04-22,-0.0,-0.4,-0.39,-0.4,326400,0.0,0.0
1980-04-23,-0.0,-0.4,-0.39,-0.39,665600,0.0,0.0
1980-04-24,-0.0,-0.4,-0.39,-0.4,89600,0.0,0.0
1980-04-25,-0.0,-0.4,-0.4,-0.4,70400,0.0,0.0
