Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.31,0.3,0.3,467200,0.0,0.0
1980-03-18,0.0,0.29,0.28,0.29,486400,0.0,0.0
1980-03-19,0.0,0.29,0.29,0.29,432000,0.0,0.0
1980-03-20,0.0,0.29,0.29,0.29,140800,0.0,0.0
1980-03-21,0.0,0.29,0.28,0.29,73600,0.0,0.0
1980-03-24,0.0,0.28,0.28,0.28,172800,0.0,0.0
1980-03-25,0.0,0.28,0.27,0.28,140800,0.0,0.0
1980-03-26,0.0,0.27,0.27,0.27,172800,0.0,0.0
1980-03-27,0.0,0.27,0.25,0.26,297600,0.0,0.0
1980-03-28,0.0,0.27,0.26,0.27,384000,0.0,0.0
1980-03-31,0.0,0.29,0.29,0.29,473600,0.0,0.0
1980-04-01,0.0,0.3,0.29,0.3,288000,0.0,0.0
1980-04-02,0.0,0.3,0.3,0.3,115200,0.0,0.0
1980-04-03,0.0,0.3,0.29,0.3,124800,0.0,0.0
1980-04-07,0.0,0.3,0.3,0.3,118400,0.0,0.0
1980-04-08,0.0,0.3,0.3,0.3,9600,0.0,0.0
1980-04-09,0.0,0.3,0.3,0.3,38400,0.0,0.0
1980-04-10,0.0,0.3,0.3,0.3,121600,0.0,0.0
1980-04-11,0.0,0.3,0.3,0.3,41600,0.0,0.0
1980-04-14,0.0,0.3,0.29,0.3,220800,0.0,0.0
1980-04-15,0.0,0.29,0.29,0.29,83200,0.0,0.0
1980-04-16,0.0,0.29,0.28,0.28,137600,0.0,0.0
1980-04-17,0.0,0.28,0.27,0.27,131200,0.0,0.0
1980-04-18,0.0,0.28,0.28,0.28,108800,0.0,0.0
1980-04-21,0.0,0.29,0.28,0.29,124800,0.0,0.0
1980-04-22,0.0,0.3,0.29,0.3,108800,0.0,0.0
1980-04-23,0.0,0.31,0.3,0.31,156800,0.0,0.0
1980-04-24,0.0,0.32,0.31,0.32,160000,0.0,0.0
1980-04-25,0.0,0.31,0.31,0.31,105600,0.0,0.0
1980-04-28,0.0,0.32,0.31,0.31,96000,0.0,0.0
1980-04-29,0.0,0.31,0.31,0.31,214400,0.0,0.0
1980-04-30,0.0,0.32,0.31,0.32,224000,0.0,0.0
1980-05-01,0.0,0.33,0.31,0.32,105600,0.0,0.0
1980-05-02,0.0,0.32,0.32,0.32,38400,0.0,0.0
