Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-07-14,0.0,57.98,57.98,57.98,100,0.0,0.0
1988-07-15,0.0,56.39,56.39,56.39,300,0.0,0.0
1988-07-18,0.0,54.79,54.79,54.79,300,0.0,0.0
1988-07-19,0.0,55.32,55.32,55.32,300,0.0,0.0
1988-07-20,0.0,55.32,54.79,55.32,300,0.0,0.0
1988-07-21,0.0,55.32,55.32,55.32,600,0.0,0.0
1988-07-22,0.0,54.79,54.79,54.79,600,0.0,0.0
1988-07-25,0.0,54.79,54.79,54.79,0,0.0,0.0
1988-07-26,0.0,54.79,54.79,54.79,0,0.0,0.0
1988-07-27,0.0,54.79,54.79,54.79,0,0.0,0.0
1988-07-28,54.79,54.79,54.79,54.79,0,0.0,0.0
1988-07-29,0.0,54.79,54.26,54.79,300,0.0,0.0
1988-08-01,0.0,55.32,55.32,55.32,0,0.0,0.0
1988-08-02,0.0,54.26,54.26,54.26,400,0.0,0.0
1988-08-03,54.26,54.26,54.26,54.26,0,0.0,0.0
1988-08-04,0.0,55.32,55.32,55.32,0,0.0,0.0
1988-08-05,55.32,55.32,55.32,55.32,0,0.0,0.0
1988-08-08,55.32,55.32,55.32,55.32,0,0.0,0.0
1988-08-09,0.0,53.73,53.19,53.19,1600,0.0,0.0
1988-08-10,0.0,52.13,51.6,51.6,300,0.0,0.0
1988-08-11,0.0,52.13,52.13,52.13,300,0.0,0.0
1988-08-12,0.0,52.13,52.13,52.13,100,0.0,0.0
1988-08-15,0.0,51.07,51.07,51.07,300,0.0,0.0
1988-08-16,51.07,51.07,51.07,51.07,0,0.0,0.0
1988-08-17,0.0,51.6,51.07,51.07,900,0.0,0.0
1988-08-18,51.07,51.07,51.07,51.07,0,0.0,0.0
1988-08-19,0.0,51.07,51.07,51.07,0,0.0,0.0
1988-08-22,51.07,51.07,51.07,51.07,0,0.0,0.0
1988-08-23,0.0,51.6,51.6,51.6,0,0.0,0.0
1988-08-24,51.6,51.6,51.6,51.6,0,0.0,0.0
1988-08-25,51.6,51.6,51.6,51.6,0,0.0,0.0
1988-08-26,51.6,51.6,51.6,51.6,0,0.0,0.0
1988-08-29,51.6,51.6,51.6,51.6,0,0.0,0.0
1988-08-30,0.0,46.81,46.81,46.81,0,0.0,0.0
1988-08-31,0.0,46.81,46.81,46.81,0,0.0,0.0
1988-09-01,46.81,46.81,46.81,46.81,0,0.0,0.0
1988-09-02,46.81,46.81,46.81,46.81,0,0.0,0.0
1988-09-06,46.81,46.81,46.81,46.81,0,0.0,0.0
1988-09-07,46.81,46.81,46.81,46.81,0,0.0,0.0
1988-09-08,46.81,46.81,46.81,46.81,0,0.0,0.0
1988-09-09,0.0,45.75,45.75,45.75,300,0.0,0.0
1988-09-12,45.75,45.75,45.75,45.75,0,0.0,0.0
1988-09-13,45.75,45.75,45.75,45.75,0,0.0,0.0
1988-09-14,45.75,45.75,45.75,45.75,0,0.0,0.0
1988-09-15,45.75,45.75,45.75,45.75,0,0.0,0.0
1988-09-16,0.0,47.34,47.34,47.34,0,0.0,0.0
1988-09-19,47.34,47.34,47.34,47.34,0,0.0,0.0
1988-09-20,47.34,47.34,47.34,47.34,0,0.0,0.0
1988-09-21,47.34,47.34,47.34,47.34,0,0.0,0.0
1988-09-22,47.34,47.34,47.34,47.34,0,0.0,0.0
1988-09-23,47.34,47.34,47.34,47.34,0,0.0,0.0
1988-09-26,0.0,45.75,45.75,45.75,0,0.0,0.0
1988-09-27,45.75,45.75,45.75,45.75,0,0.0,0.0
1988-09-28,0.0,45.21,44.68,44.68,0,0.0,0.0
1988-09-29,44.68,44.68,44.68,44.68,0,0.0,0.0
1988-09-30,0.0,45.21,44.68,44.68,700,0.0,0.0
1988-10-03,44.69,44.69,44.69,44.69,0,0.00999,0.0
1988-10-04,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-10-05,0.0,45.75,45.75,45.75,0,0.0,0.0
1988-10-06,45.75,45.75,45.75,45.75,0,0.0,0.0
1988-10-07,45.75,45.75,45.75,45.75,0,0.0,0.0
1988-10-10,0.0,46.82,46.82,46.82,0,0.0,0.0
1988-10-11,0.0,43.09,43.09,43.09,100,0.0,0.0
1988-10-12,43.09,43.09,43.09,43.09,0,0.0,0.0
1988-10-13,43.09,43.09,43.09,43.09,0,0.0,0.0
1988-10-14,0.0,43.62,43.62,43.62,300,0.0,0.0
1988-10-17,43.62,43.62,43.62,43.62,0,0.0,0.0
1988-10-18,0.0,45.22,44.16,45.22,1000,0.0,0.0
1988-10-19,0.0,45.22,45.22,45.22,300,0.0,0.0
1988-10-20,45.22,45.22,45.22,45.22,0,0.0,0.0
1988-10-21,0.0,45.75,45.75,45.75,100,0.0,0.0
1988-10-24,0.0,44.69,44.69,44.69,0,0.0,0.0
1988-10-25,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-10-26,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-10-27,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-10-28,0.0,44.16,44.16,44.16,100,0.0,0.0
1988-10-31,44.16,44.16,44.16,44.16,0,0.0,0.0
1988-11-01,0.0,44.69,44.69,44.69,100,0.0,0.0
1988-11-02,0.0,45.22,44.16,44.69,300,0.0,0.0
1988-11-03,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-11-04,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-11-07,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-11-08,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-11-09,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-11-10,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-11-11,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-11-14,44.69,44.69,44.69,44.69,0,0.0,0.0
1988-11-15,0.0,45.22,45.22,45.22,0,0.0,0.0
1988-11-16,45.22,45.22,45.22,45.22,0,0.0,0.0
1988-11-17,0.0,46.82,46.82,46.82,0,0.0,0.0
1988-11-18,0.0,47.35,46.82,46.82,100,0.0,0.0
1988-11-21,46.82,46.82,46.82,46.82,0,0.0,0.0
1988-11-22,46.82,46.82,46.82,46.82,0,0.0,0.0
1988-11-23,0.0,47.88,47.88,47.88,0,0.0,0.0
1988-11-25,47.88,47.88,47.88,47.88,0,0.0,0.0
1988-11-28,47.88,47.88,47.88,47.88,0,0.0,0.0
1988-11-29,0.0,44.16,44.16,44.16,100,0.0,0.0
1988-11-30,44.16,44.16,44.16,44.16,0,0.0,0.0
1988-12-01,0.0,43.09,43.09,43.09,100,0.0,0.0
1988-12-02,0.0,43.62,43.09,43.62,300,0.0,0.0
1988-12-05,43.62,43.62,43.62,43.62,0,0.0,0.0
1988-12-06,43.62,43.62,43.62,43.62,0,0.0,0.0
1988-12-07,43.64,43.64,43.64,43.64,0,0.03021,0.0
1988-12-08,43.64,43.64,43.64,43.64,0,0.0,0.0
1988-12-09,0.0,40.45,40.45,40.45,100,0.0,0.0
1988-12-12,40.45,40.45,40.45,40.45,0,0.0,0.0
1988-12-13,0.0,38.85,38.85,38.85,300,0.0,0.0
1988-12-14,38.85,38.85,38.85,38.85,0,0.0,0.0
1988-12-15,0.0,38.32,36.72,37.79,400,0.0,0.0
1988-12-16,37.79,37.79,37.79,37.79,0,0.0,0.0
1988-12-19,37.79,37.79,37.79,37.79,0,0.0,0.0
1988-12-20,37.79,37.79,37.79,37.79,0,0.0,0.0
1988-12-21,37.79,37.79,37.79,37.79,0,0.0,0.0
1988-12-22,37.79,37.79,37.79,37.79,0,0.0,0.0
1988-12-23,37.79,37.79,37.79,37.79,0,0.0,0.0
1988-12-27,0.0,37.79,37.79,37.79,100,0.0,0.0
1988-12-28,0.0,38.85,38.85,38.85,100,0.0,0.0
1988-12-29,0.0,39.39,39.39,39.39,0,0.0,0.0
1988-12-30,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-03,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-04,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-05,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-06,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-09,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-10,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-11,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-12,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-13,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-16,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-17,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-18,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-19,39.39,39.39,39.39,39.39,0,0.0,0.0
1989-01-20,0.0,42.58,42.05,42.05,600,0.0,0.0
1989-01-23,42.05,42.05,42.05,42.05,0,0.0,0.0
1989-01-24,42.05,42.05,42.05,42.05,0,0.0,0.0
1989-01-25,0.0,43.11,43.11,43.11,0,0.0,0.0
1989-01-26,43.11,43.11,43.11,43.11,0,0.0,0.0
1989-01-27,43.11,43.11,43.11,43.11,0,0.0,0.0
1989-01-30,43.11,43.11,43.11,43.11,0,0.0,0.0
1989-01-31,0.0,48.43,48.43,48.43,0,0.0,0.0
1989-02-01,0.0,47.37,47.37,47.37,0,0.0,0.0
1989-02-02,47.37,47.37,47.37,47.37,0,0.0,0.0
1989-02-03,47.37,47.37,47.37,47.37,0,0.0,0.0
1989-02-06,47.37,47.37,47.37,47.37,0,0.0,0.0
1989-02-07,47.37,47.37,47.37,47.37,0,0.0,0.0
1989-02-08,47.37,47.37,47.37,47.37,0,0.0,0.0
1989-02-09,47.37,47.37,47.37,47.37,0,0.0,0.0
1989-02-10,47.37,47.37,47.37,47.37,0,0.0,0.0
1989-02-13,0.0,46.84,45.77,46.84,100,0.0,0.0
1989-02-14,0.0,46.84,46.84,46.84,0,0.0,0.0
1989-02-15,46.84,46.84,46.84,46.84,0,0.0,0.0
1989-02-16,46.84,46.84,46.84,46.84,0,0.0,0.0
