Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-10-31,11.23,11.65,11.23,11.41,32800,0.0,0.0
1994-11-01,11.41,11.41,11.23,11.23,13200,0.0,0.0
1994-11-02,11.23,11.41,11.17,11.41,7000,0.0,0.0
1994-11-03,11.41,11.47,11.35,11.35,5400,0.0,0.0
1994-11-04,11.35,11.41,11.11,11.11,9800,0.0,0.0
1994-11-07,11.11,11.17,11.05,11.17,7200,0.0,0.0
1994-11-08,11.17,11.17,11.05,11.05,2200,0.0,0.0
1994-11-09,11.11,11.17,11.11,11.11,5600,0.0,0.0
1994-11-10,11.17,11.17,11.11,11.17,82800,0.12502,0.0
1994-11-11,11.17,11.23,11.11,11.17,16400,0.0,0.0
1994-11-14,11.17,11.23,11.11,11.17,54600,0.0,0.0
1994-11-15,11.11,11.11,11.11,11.11,1800,0.0,0.0
1994-11-16,11.11,11.17,11.11,11.17,4600,0.0,0.0
1994-11-17,11.17,11.53,11.11,11.53,10600,0.0,0.0
1994-11-18,11.53,11.53,11.35,11.41,8400,0.0,0.0
1994-11-21,11.41,11.53,11.35,11.47,7000,0.0,0.0
1994-11-22,11.47,11.59,11.35,11.35,14800,0.0,0.0
1994-11-23,11.35,11.41,11.35,11.41,8000,0.0,0.0
1994-11-25,11.35,11.35,11.35,11.35,2000,0.0,0.0
1994-11-28,11.35,11.47,11.35,11.35,1400,0.0,0.0
1994-11-29,11.35,11.35,11.29,11.29,1800,0.0,0.0
1994-11-30,11.29,11.41,11.29,11.29,6000,0.0,0.0
1994-12-01,11.29,11.35,10.99,10.99,35400,0.0,0.0
1994-12-02,10.99,10.99,10.93,10.99,12600,0.0,0.0
1994-12-05,10.99,10.99,10.93,10.93,5400,0.0,0.0
1994-12-06,10.87,10.87,10.69,10.69,16000,0.0,0.0
1994-12-07,10.69,10.75,10.57,10.69,11600,0.0,0.0
1994-12-08,10.69,10.75,10.69,10.75,6000,0.0,0.0
1994-12-09,10.75,10.87,10.63,10.63,9000,0.0,0.0
1994-12-12,10.63,10.75,10.51,10.69,7600,0.0,0.0
1994-12-13,10.69,10.93,10.69,10.93,4600,0.0,0.0
1994-12-14,10.99,11.53,10.99,11.53,10800,0.0,0.0
1994-12-15,11.53,11.96,11.53,11.96,13400,0.0,0.0
1994-12-16,11.96,12.02,11.71,11.78,20400,0.0,0.0
1994-12-19,11.78,11.9,11.59,11.59,10000,0.0,0.0
1994-12-20,11.65,11.78,11.65,11.78,8000,0.0,0.0
1994-12-21,11.78,12.02,11.78,12.02,7800,0.0,0.0
1994-12-22,12.02,12.08,12.02,12.02,9000,0.0,0.0
1994-12-23,12.02,12.08,12.02,12.08,5400,0.0,0.0
1994-12-27,12.02,12.02,11.9,11.96,6000,0.0,0.0
1994-12-28,11.96,12.02,11.9,11.96,3200,0.0,0.0
1994-12-29,11.9,11.9,11.35,11.47,9600,0.0,0.0
1994-12-30,11.47,11.65,11.23,11.59,28000,0.0,0.0
1995-01-03,11.59,11.84,11.47,11.47,4600,0.0,0.0
1995-01-04,11.65,11.71,11.65,11.71,3000,0.0,0.0
1995-01-05,11.65,11.65,11.65,11.65,1600,0.0,0.0
1995-01-06,11.65,11.71,11.59,11.71,3200,0.0,0.0
1995-01-09,11.71,11.71,11.59,11.65,5600,0.0,0.0
