Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1981-12-31,1.82,1.83,1.81,1.82,449200,0.0,0.0
1982-01-04,1.79,1.82,1.76,1.79,630400,0.0,0.0
1982-01-05,1.73,1.76,1.7,1.7,1076800,0.0,0.0
1982-01-06,1.68,1.69,1.66,1.68,1560400,0.0,0.0
1982-01-07,1.66,1.69,1.63,1.65,1303600,0.0,0.0
1982-01-08,1.67,1.68,1.66,1.67,991200,0.0,0.0
1982-01-11,1.64,1.69,1.6,1.61,1479600,0.0,0.0
1982-01-12,1.63,1.66,1.6,1.65,1089600,0.0,0.0
1982-01-13,1.65,1.7,1.59,1.61,1231200,0.0,0.0
1982-01-14,1.63,1.65,1.61,1.65,1068400,0.0,0.0
1982-01-15,1.66,1.66,1.64,1.66,724400,0.0,0.0
1982-01-18,1.64,1.67,1.62,1.67,897600,0.0,0.0
1982-01-19,1.64,1.67,1.62,1.62,722000,0.0,0.0
1982-01-20,1.59,1.62,1.56,1.59,1852800,0.0,0.0
1982-01-21,1.58,1.61,1.56,1.57,1187200,0.0,0.0
1982-01-22,1.57,1.59,1.54,1.54,868000,0.0,0.0
1982-01-25,1.58,1.63,1.52,1.63,1900800,0.0,0.0
1982-01-26,1.61,1.63,1.59,1.59,1143200,0.0,0.0
1982-01-27,1.63,1.66,1.6,1.63,1310800,0.0,0.0
1982-01-28,1.68,1.71,1.65,1.7,1169200,0.0,0.0
1982-01-29,1.75,1.77,1.73,1.76,2861600,0.0,0.0
1982-02-01,1.69,1.72,1.65,1.66,1345200,0.0,0.0
1982-02-02,1.67,1.68,1.65,1.66,1434400,0.0,0.0
1982-02-03,1.63,1.68,1.58,1.59,1294800,0.0,0.0
1982-02-04,1.61,1.63,1.58,1.63,1818000,0.0,0.0
1982-02-05,1.65,1.68,1.62,1.65,1472000,0.0,0.0
1982-02-08,1.59,1.62,1.57,1.57,1396400,0.0,0.0
1982-02-09,1.58,1.61,1.55,1.59,1279200,0.0,0.0
1982-02-10,1.61,1.64,1.59,1.6,1146000,0.0,0.0
1982-02-11,1.58,1.61,1.55,1.56,1359200,0.0,0.0
1982-02-12,1.57,1.58,1.55,1.57,1182800,0.0,0.0
1982-02-16,1.58,1.62,1.53,1.62,1678400,0.0,0.0
1982-02-17,1.61,1.62,1.59,1.6,1125200,0.0,0.0
1982-02-18,1.61,1.62,1.59,1.61,765200,0.0,0.0
1982-02-19,1.6,1.62,1.58,1.59,774800,0.0,0.0
1982-02-22,1.57,1.62,1.52,1.52,1422000,0.0,0.0
1982-02-23,1.52,1.55,1.49,1.53,1600800,0.0,0.0
1982-02-24,1.57,1.61,1.54,1.6,1030000,0.0,0.0
