Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1997-08-15,11.21,11.38,11.04,11.21,6245900,0.0,0
1997-08-18,11.16,11.32,10.65,11.16,687700,0.0,0
1997-08-19,11.1,11.13,10.9,10.93,205500,0.0,0
1997-08-20,10.88,10.88,10.6,10.65,264700,0.0,0
1997-08-21,10.71,10.76,10.31,10.34,302400,0.0,0
1997-08-22,10.15,10.54,10.09,10.54,363700,0.0,0
1997-08-25,10.54,10.54,10.31,10.54,176400,0.0,0
1997-08-26,10.57,10.74,10.54,10.6,293400,0.0,0
1997-08-27,10.65,10.65,10.54,10.54,31200,0.0,0
1997-08-28,10.54,10.62,10.54,10.62,87000,0.0,0
1997-08-29,10.62,10.76,10.57,10.71,139000,0.0,0
1997-09-02,10.68,10.93,10.68,10.93,134700,0.0,0
1997-09-03,10.9,10.93,10.82,10.9,144600,0.0,0
1997-09-04,10.82,10.99,10.82,10.99,76500,0.0,0
1997-09-05,10.96,10.99,10.82,10.93,65100,0.0,0
1997-09-08,10.85,10.88,10.85,10.88,108800,0.0,0
1997-09-09,10.85,11.1,10.85,10.99,169500,0.0,0
1997-09-10,10.93,11.1,10.88,11.07,112600,0.0,0
1997-09-11,11.04,11.04,10.88,10.9,69400,0.0,0
1997-09-12,10.9,11.02,10.9,10.9,74500,0.0,0
1997-09-15,10.88,10.99,10.65,10.76,180500,0.0,0
1997-09-16,10.93,11.44,10.88,11.32,182600,0.0,0
1997-09-17,11.44,11.44,11.02,11.1,97600,0.0,0
1997-09-18,11.16,11.3,11.07,11.27,49700,0.0,0
1997-09-19,11.16,11.27,11.1,11.24,95500,0.0,0
1997-09-22,11.38,11.38,11.32,11.32,85600,0.0,0
1997-09-23,11.32,11.44,11.18,11.18,95600,0.0,0
1997-09-24,11.21,11.24,11.1,11.13,41000,0.0,0
1997-09-25,11.16,11.32,11.16,11.32,66900,0.0,0
1997-09-26,11.27,11.46,11.27,11.44,164600,0.0,0
1997-09-29,11.49,11.6,11.46,11.52,60200,0.0,0
