Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,3.03,3.03,3.03,3.03,27000,0.0,0.0
1973-02-22,3.01,3.01,3.01,3.01,36000,0.0,0.0
1973-02-23,2.84,2.84,2.84,2.84,64800,0.0,0.0
1973-02-26,2.82,2.82,2.82,2.82,42600,0.0,0.0
1973-02-27,2.75,2.75,2.75,2.75,70200,0.0,0.0
1973-02-28,2.88,2.88,2.88,2.88,115800,0.0,0.0
1973-03-01,2.91,2.91,2.91,2.91,96600,0.0,0.0
1973-03-02,2.99,2.99,2.99,2.99,81000,0.0,0.0
1973-03-05,2.96,2.96,2.96,2.96,163800,0.0,0.0
1973-03-06,2.94,2.94,2.94,2.94,278400,0.0,0.0
1973-03-07,2.99,2.99,2.99,2.99,177000,0.0,0.0
1973-03-08,3.01,3.01,3.01,3.01,85200,0.0,0.0
1973-03-09,2.99,2.99,2.99,2.99,145800,0.0,0.0
1973-03-12,2.98,2.98,2.98,2.98,39000,0.0,0.0
1973-03-13,2.98,2.98,2.98,2.98,90600,0.0,0.0
1973-03-14,2.99,2.99,2.99,2.99,101400,0.0,0.0
1973-03-15,3.01,3.01,3.01,3.01,32400,0.0,0.0
1973-03-16,3.03,3.03,3.03,3.03,45600,0.0,0.0
1973-03-19,3.01,3.01,3.01,3.01,31200,0.0,0.0
1973-03-20,3.01,3.01,3.01,3.01,33000,0.0,0.0
1973-03-21,2.98,2.98,2.98,2.98,54600,0.0,0.0
1973-03-22,2.89,2.89,2.89,2.89,57000,0.0,0.0
1973-03-23,2.91,2.91,2.91,2.91,108600,0.0,0.0
1973-03-26,2.88,2.88,2.88,2.88,100200,0.0,0.0
1973-03-27,2.91,2.91,2.91,2.91,81600,0.0,0.0
1973-03-28,2.96,2.96,2.96,2.96,60600,0.0,0.0
1973-03-29,3.03,3.03,3.03,3.03,58200,0.0,0.0
1973-03-30,3.03,3.03,3.03,3.03,44400,0.0,0.0
1973-04-02,2.98,2.98,2.98,2.98,69000,0.0,0.0
1973-04-03,3.02,3.02,3.02,3.02,54600,0.0,0.0
1973-04-04,3.03,3.03,3.03,3.03,196800,0.0,0.0
1973-04-05,3.01,3.01,3.01,3.01,68400,0.0,0.0
1973-04-06,3.06,3.06,3.06,3.06,43800,0.0,0.0
1973-04-09,3.08,3.08,3.08,3.08,46800,0.0,0.0
1973-04-10,3.1,3.1,3.1,3.1,49800,0.0,0.0
1973-04-11,3.16,3.16,3.16,3.16,55200,0.0,0.0
1973-04-12,3.15,3.15,3.15,3.15,136200,0.0,0.0
1973-04-13,3.26,3.26,3.26,3.26,115200,0.0,0.0
1973-04-16,3.33,3.33,3.33,3.33,229200,0.0,0.0
1973-04-17,3.23,3.23,3.23,3.23,108600,0.0,0.0
1973-04-18,3.2,3.2,3.2,3.2,598800,0.0,0.0
1973-04-19,3.23,3.23,3.23,3.23,43800,0.0,0.0
1973-04-23,3.19,3.19,3.19,3.19,52200,0.0,0.0
1973-04-24,3.01,3.01,3.01,3.01,118800,0.0,0.0
1973-04-25,2.95,2.95,2.95,2.95,252600,0.0,0.0
1973-04-26,2.92,2.92,2.92,2.92,105600,0.0,0.0
1973-04-27,2.78,2.78,2.78,2.78,123000,0.0,0.0
1973-04-30,2.84,2.84,2.84,2.84,102600,0.0,0.0
1973-05-01,2.94,2.94,2.94,2.94,81600,0.0,0.0
1973-05-02,3.01,3.01,3.01,3.01,100800,0.0,0.0
1973-05-03,0.0,3.12,3.06,3.06,52800,0.0,0.0
1973-05-04,0.0,3.1,3.05,3.05,84600,0.0,0.0
1973-05-07,0.0,3.03,2.98,2.98,42000,0.0,0.0
1973-05-08,0.0,3.03,2.98,2.98,46800,0.0,0.0
1973-05-09,0.0,3.09,3.03,3.03,148800,0.0,0.0
1973-05-10,0.0,3.09,3.03,3.03,64800,0.0,0.0
1973-05-11,0.0,3.05,2.99,2.99,37200,0.0,0.0
1973-05-14,0.0,2.92,2.87,2.87,81000,0.0,0.0
1973-05-15,0.0,3.01,2.95,2.95,71400,0.0,0.0
1973-05-16,0.0,3.01,2.95,2.95,47400,0.0,0.0
1973-05-17,0.0,2.99,2.94,2.94,48600,0.0,0.0
1973-05-18,0.0,2.99,2.94,2.94,60600,0.0,0.0
1973-05-21,0.0,2.99,2.94,2.94,60000,0.0,0.0
1973-05-22,0.0,2.98,2.92,2.92,131400,0.0,0.0
1973-05-23,0.0,2.96,2.91,2.91,89400,0.0,0.0
1973-05-24,0.0,2.95,2.89,2.89,27000,0.0,0.0
1973-05-25,0.0,2.98,2.92,2.92,179400,0.0,0.0
1973-05-29,0.0,2.94,2.88,2.88,79800,0.0,0.0
1973-05-30,0.0,2.92,2.87,2.87,100200,0.0,0.0
1973-05-31,0.0,2.92,2.87,2.87,94800,0.0,0.0
1973-06-01,0.0,2.91,2.85,2.85,60000,0.0,0.0
1973-06-04,0.0,2.78,2.73,2.73,157200,0.0,0.0
1973-06-05,0.0,2.87,2.81,2.81,103200,0.0,0.0
1973-06-06,0.0,2.91,2.85,2.85,199200,0.0,0.0
1973-06-07,0.0,2.98,2.92,2.92,75000,0.0,0.0
1973-06-08,0.0,3.12,3.06,3.06,168000,0.0,0.0
1973-06-11,0.0,3.09,3.03,3.03,28800,0.0,0.0
1973-06-12,0.0,3.12,3.06,3.06,81600,0.0,0.0
1973-06-13,0.0,3.08,3.02,3.02,46800,0.0,0.0
1973-06-14,0.0,3.08,3.02,3.02,68400,0.0,0.0
1973-06-15,0.0,3.03,2.98,2.98,59400,0.0,0.0
1973-06-18,0.0,2.96,2.91,2.91,73200,0.0,0.0
1973-06-19,0.0,3.01,2.95,2.95,37200,0.0,0.0
1973-06-20,0.0,3.06,3.01,3.01,112200,0.0,0.0
1973-06-21,0.0,3.1,3.05,3.05,115800,0.0,0.0
1973-06-22,0.0,3.18,3.12,3.12,132600,0.0,0.0
1973-06-25,0.0,3.1,3.05,3.05,67800,0.0,0.0
1973-06-26,0.0,3.19,3.13,3.13,75000,0.0,0.0
1973-06-27,0.0,3.2,3.15,3.15,84600,0.0,0.0
