Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.02,0.02,0.02,0.02,78400,0.0,0.0
1973-02-22,0.02,0.02,0.02,0.02,198400,0.0,0.0
1973-02-23,0.02,0.02,0.02,0.02,56000,0.0,0.0
1973-02-26,0.02,0.02,0.02,0.02,211200,0.0,0.0
1973-02-27,0.02,0.02,0.02,0.02,110400,0.0,0.0
1973-02-28,0.02,0.02,0.02,0.02,40000,0.0,0.0
1973-03-01,0.02,0.02,0.02,0.02,289600,0.0,0.0
1973-03-02,0.02,0.02,0.02,0.02,94400,0.0,0.0
1973-03-05,0.02,0.02,0.02,0.02,593600,0.0,0.0
1973-03-06,0.02,0.02,0.02,0.02,656000,0.0,0.0
1973-03-07,0.02,0.02,0.02,0.02,86400,0.0,0.0
1973-03-08,0.02,0.02,0.02,0.02,433600,0.0,0.0
1973-03-09,0.02,0.02,0.02,0.02,88000,0.0,0.0
1973-03-12,0.02,0.02,0.02,0.02,46400,0.0,0.0
1973-03-13,0.02,0.02,0.02,0.02,97600,0.0,0.0
1973-03-14,0.02,0.02,0.02,0.02,288000,0.0,0.0
1973-03-15,0.02,0.02,0.02,0.02,251200,0.0,0.0
1973-03-16,0.02,0.02,0.02,0.02,291200,0.0,0.0
1973-03-19,0.02,0.02,0.02,0.02,113600,0.0,0.0
1973-03-20,0.02,0.02,0.02,0.02,208000,0.0,0.0
1973-03-21,0.02,0.02,0.02,0.02,147200,0.0,0.0
1973-03-22,0.02,0.02,0.02,0.02,179200,0.0,0.0
1973-03-23,0.02,0.02,0.02,0.02,113600,0.0,0.0
1973-03-26,0.02,0.02,0.02,0.02,108800,0.0,0.0
1973-03-27,0.02,0.02,0.02,0.02,251200,0.0,0.0
1973-03-28,0.02,0.02,0.02,0.02,78400,0.0,0.0
1973-03-29,0.02,0.02,0.02,0.02,169600,0.0,0.0
1973-03-30,0.02,0.02,0.02,0.02,236800,0.0,0.0
1973-04-02,0.02,0.02,0.02,0.02,121600,0.0,0.0
1973-04-03,0.02,0.02,0.02,0.02,372800,0.0,0.0
1973-04-04,0.02,0.02,0.02,0.02,48000,0.0,0.0
1973-04-05,0.02,0.02,0.02,0.02,78400,0.0,0.0
1973-04-06,0.02,0.02,0.02,0.02,1032000,0.0,0.0
1973-04-09,0.02,0.02,0.02,0.02,89600,0.0,0.0
