Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-06-29,12.75,13.03,12.61,12.89,6307500,0.0,0
1998-06-30,12.84,12.84,12.52,12.55,1537600,0.0,0
1998-07-01,12.52,12.64,12.24,12.58,593100,0.0,0
1998-07-02,12.52,12.52,12.3,12.5,563600,0.0,0
1998-07-06,12.5,12.5,12.24,12.27,616800,0.0,0
1998-07-07,12.27,12.3,12.16,12.21,623500,0.0,0
1998-07-08,12.21,12.3,12.19,12.3,392300,0.0,0
1998-07-09,12.24,12.27,12.07,12.19,293100,0.0,0
1998-07-10,12.19,12.19,11.88,12.19,384300,0.0,0
1998-07-13,12.07,12.16,11.88,12.13,385500,0.0,0
1998-07-14,12.1,12.24,11.96,12.19,668400,0.0,0
1998-07-15,12.13,12.16,11.99,12.16,232800,0.0,0
1998-07-16,12.1,12.13,11.96,12.02,403600,0.0,0
1998-07-17,12.02,12.02,11.88,11.96,543500,0.0,0
1998-07-20,11.88,11.9,11.73,11.88,542000,0.0,0
1998-07-21,11.82,11.88,11.68,11.73,218800,0.0,0
1998-07-22,11.76,11.76,11.62,11.76,506500,0.0,0
1998-07-23,11.76,11.9,11.76,11.88,446200,0.0,0
1998-07-24,11.79,11.82,11.73,11.79,515800,0.0,0
1998-07-27,11.73,11.85,11.65,11.82,384800,0.0,0
1998-07-28,11.76,11.82,11.45,11.62,816900,0.0,0
1998-07-29,11.54,11.62,11.31,11.51,522200,0.0,0
1998-07-30,11.45,11.71,11.42,11.62,467900,0.0,0
1998-07-31,11.62,11.62,11.28,11.37,386800,0.0,0
1998-08-03,11.28,11.34,11.09,11.23,649200,0.0,0
1998-08-04,11.14,11.14,10.72,10.86,617600,0.0,0
1998-08-05,10.95,11.34,10.89,11.34,501300,0.0,0
1998-08-06,11.34,11.34,11.06,11.17,568500,0.0,0
1998-08-07,11.11,11.2,10.95,11.03,351500,0.0,0
1998-08-10,11.06,11.28,11.06,11.17,749400,0.0,0
1998-08-11,11.06,11.09,10.83,10.92,358400,0.0,0
1998-08-12,10.92,11.34,10.89,11.34,399000,0.0,0
1998-08-13,11.23,11.31,11.14,11.26,206500,0.0,0
1998-08-14,11.14,11.23,11.06,11.17,195700,0.0,0
1998-08-17,11.28,11.42,11.2,11.4,520500,0.0,0
1998-08-18,11.37,11.4,11.17,11.28,450900,0.0,0
1998-08-19,11.26,11.26,11.11,11.23,302700,0.0,0
1998-08-20,11.28,11.34,11.23,11.31,631900,0.0,0
1998-08-21,11.23,11.4,11.2,11.4,459000,0.0,0
1998-08-24,11.45,11.57,11.42,11.45,377900,0.0,0
1998-08-25,11.48,11.62,11.45,11.62,585800,0.0,0
1998-08-26,11.57,11.59,11.51,11.57,346000,0.0,0
1998-08-27,11.57,11.68,11.54,11.54,723600,0.0,0
1998-08-28,11.57,11.57,11.48,11.57,346100,0.0,0
1998-08-31,11.54,11.54,11.23,11.48,1312100,0.0,0
1998-09-01,11.37,11.42,11.09,11.42,446000,0.0,0
1998-09-02,11.31,11.34,11.11,11.31,1301000,0.0,0
1998-09-03,11.2,11.31,11.09,11.28,267200,0.0,0
1998-09-04,11.34,11.4,11.2,11.34,359300,0.0,0
1998-09-08,11.31,11.42,11.17,11.42,198700,0.0,0
