Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.48,0.47,0.47,34000,0.0,0.0
1980-03-18,0.0,0.48,0.47,0.47,26800,0.0,0.0
1980-03-19,0.0,0.48,0.47,0.47,44800,0.0,0.0
1980-03-20,0.0,0.47,0.45,0.45,52000,0.0,0.0
1980-03-21,0.0,0.47,0.45,0.45,25200,0.0,0.0
1980-03-24,0.0,0.45,0.44,0.44,28800,0.0,0.0
1980-03-25,0.0,0.45,0.43,0.43,37600,0.0,0.0
1980-03-26,0.0,0.44,0.43,0.43,25200,0.0,0.0
1980-03-27,0.0,0.43,0.41,0.41,39600,0.0,0.0
1980-03-28,0.0,0.43,0.42,0.42,5200,0.0,0.0
1980-03-31,0.0,0.44,0.42,0.42,37600,0.0,0.0
1980-04-01,0.0,0.45,0.44,0.44,126000,0.0,0.0
1980-04-02,0.0,0.46,0.45,0.45,30400,0.0,0.0
1980-04-03,0.0,0.46,0.45,0.45,122400,0.0,0.0
1980-04-07,0.0,0.45,0.44,0.44,79200,0.0,0.0
1980-04-08,0.0,0.46,0.45,0.45,136800,0.0,0.0
1980-04-09,0.45,0.45,0.45,0.45,0,0.0,0.0
1980-04-10,0.0,0.47,0.45,0.45,14400,0.0,0.0
1980-04-11,0.0,0.47,0.45,0.45,10800,0.0,0.0
1980-04-14,0.0,0.47,0.45,0.45,30400,0.0,0.0
1980-04-15,0.0,0.47,0.45,0.45,23200,0.0,0.0
1980-04-16,0.0,0.47,0.45,0.45,64800,0.0,0.0
1980-04-17,0.0,0.46,0.44,0.44,43200,0.0,0.0
1980-04-18,0.0,0.45,0.44,0.44,34000,0.0,0.0
1980-04-21,0.0,0.45,0.43,0.43,48400,0.0,0.0
1980-04-22,0.0,0.45,0.43,0.43,156400,0.0,0.0
1980-04-23,0.0,0.44,0.43,0.43,18000,0.0,0.0
1980-04-24,0.0,0.44,0.43,0.43,23200,0.0,0.0
1980-04-25,0.0,0.44,0.42,0.42,14400,0.0,0.0
1980-04-28,0.0,0.44,0.43,0.43,19600,0.0,0.0
1980-04-29,0.0,0.45,0.43,0.43,21600,0.0,0.0
1980-04-30,0.0,0.45,0.43,0.43,25200,0.0,0.0
1980-05-01,0.0,0.45,0.43,0.43,50400,0.0,0.0
1980-05-02,0.0,0.45,0.43,0.43,26800,0.0,0.0
1980-05-05,0.0,0.45,0.43,0.43,55600,0.0,0.0
1980-05-06,0.0,0.45,0.44,0.44,116800,0.0,0.0
1980-05-07,0.0,0.47,0.45,0.45,68400,0.0,0.0
1980-05-08,0.0,0.49,0.47,0.47,151200,0.0,0.0
1980-05-09,0.0,0.49,0.48,0.48,32400,0.0,0.0
1980-05-12,0.48,0.48,0.48,0.48,0,0.0,0.0
1980-05-13,0.0,0.49,0.48,0.48,5200,0.0,0.0
1980-05-14,0.0,0.5,0.48,0.48,43200,0.0,0.0
1980-05-15,0.0,0.49,0.48,0.48,3600,0.0,0.0
1980-05-16,0.0,0.48,0.47,0.47,75600,0.0,0.0
1980-05-19,0.0,0.48,0.46,0.46,37600,0.0,0.0
1980-05-20,0.0,0.48,0.46,0.46,43200,0.0,0.0
1980-05-21,0.0,0.47,0.45,0.45,36000,0.0,0.0
1980-05-22,0.0,0.47,0.45,0.45,54000,0.0,0.0
1980-05-23,0.0,0.49,0.47,0.47,165600,0.0,0.0
1980-05-27,0.0,0.51,0.49,0.49,113200,0.0,0.0
1980-05-28,0.0,0.51,0.5,0.5,1600,0.0,0.0
1980-05-29,0.0,0.51,0.49,0.49,16000,0.0,0.0
1980-05-30,0.0,0.5,0.49,0.49,62800,0.0,0.0
1980-06-02,0.49,0.49,0.49,0.49,0,0.0,0.0
1980-06-03,0.0,0.5,0.49,0.49,14400,0.0,0.0
1980-06-04,0.0,0.51,0.49,0.49,61200,0.0,0.0
1980-06-05,0.0,0.51,0.49,0.49,14400,0.0,0.0
1980-06-06,0.0,0.51,0.49,0.49,12400,0.0,0.0
1980-06-09,0.0,0.51,0.49,0.49,12400,0.0,0.0
1980-06-10,0.0,0.51,0.49,0.49,7200,0.0,0.0
1980-06-11,0.0,0.51,0.49,0.49,18000,0.0,0.0
1980-06-12,0.0,0.51,0.49,0.49,3600,0.0,0.0
1980-06-13,0.0,0.52,0.5,0.5,44800,0.0,0.0
1980-06-16,0.0,0.52,0.5,0.5,37600,0.0,0.0
1980-06-17,0.0,0.52,0.5,0.5,8800,0.0,0.0
1980-06-18,0.0,0.51,0.49,0.49,28800,0.0,0.0
1980-06-19,0.0,0.51,0.49,0.49,7200,0.0,0.0
1980-06-20,0.49,0.49,0.49,0.49,0,0.0,0.0
1980-06-23,0.0,0.51,0.49,0.49,7200,0.0,0.0
1980-06-24,0.0,0.51,0.49,0.49,5200,0.0,0.0
1980-06-25,0.0,0.51,0.5,0.5,3600,0.0,0.0
1980-06-26,0.0,0.51,0.49,0.49,30400,0.0,0.0
1980-06-27,0.0,0.51,0.49,0.49,16000,0.0,0.0
1980-06-30,0.0,0.5,0.49,0.49,48400,0.0,0.0
1980-07-01,0.0,0.5,0.49,0.49,95200,0.0,0.0
1980-07-02,0.0,0.5,0.49,0.49,46800,0.0,0.0
1980-07-03,0.0,0.51,0.49,0.49,116800,0.0,0.0
1980-07-07,0.0,0.51,0.5,0.5,36000,0.0,0.0
1980-07-08,0.0,0.52,0.51,0.51,118800,0.0,0.0
1980-07-09,0.0,0.52,0.51,0.51,5200,0.0,0.0
1980-07-10,0.0,0.51,0.51,0.51,62800,0.0,0.0
1980-07-11,0.0,0.52,0.51,0.51,104400,0.0,0.0
1980-07-14,0.0,0.52,0.51,0.51,59200,0.0,0.0
1980-07-15,0.0,0.53,0.52,0.52,34000,0.0,0.0
1980-07-16,0.0,0.53,0.52,0.52,26800,0.0,0.0
1980-07-17,0.0,0.53,0.52,0.52,16000,0.0,0.0
1980-07-18,0.0,0.53,0.52,0.52,8800,0.0,0.0
1980-07-21,0.0,0.54,0.53,0.53,44800,0.0,0.0
1980-07-22,0.0,0.55,0.55,0.55,111600,0.0,0.0
1980-07-23,0.0,0.56,0.55,0.55,8800,0.0,0.0
1980-07-24,0.0,0.55,0.54,0.54,8800,0.0,0.0
1980-07-25,0.0,0.55,0.54,0.54,8800,0.0,0.0
1980-07-28,0.0,0.55,0.55,0.55,23200,0.0,0.0
1980-07-29,0.0,0.55,0.54,0.54,44800,0.0,0.0
1980-07-30,0.0,0.55,0.54,0.54,18000,0.0,0.0
1980-07-31,0.0,0.55,0.54,0.54,48400,0.0,0.0
1980-08-01,0.0,0.55,0.54,0.54,48400,0.0,0.0
1980-08-04,0.0,0.55,0.54,0.54,48400,0.0,0.0
1980-08-05,0.0,0.55,0.54,0.54,55600,0.0,0.0
1980-08-06,0.0,0.55,0.54,0.54,46800,0.0,0.0
