Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2002-12-11,6.5,6.78,6.36,6.5,36719700,0.0,0
2002-12-12,6.5,6.55,6.23,6.32,9195600,0.0,0
2002-12-13,6.27,6.5,6.19,6.46,7739400,0.0,0
2002-12-16,6.4,6.57,6.29,6.56,3836400,0.0,0
2002-12-17,6.56,6.66,6.47,6.5,2729900,0.0,0
2002-12-18,6.46,6.46,6.29,6.33,2152800,0.0,0
2002-12-19,6.3,6.33,6.05,6.08,6450800,0.0,0
2002-12-20,6.13,6.18,5.97,6.11,2930900,0.0,0
2002-12-23,6.05,6.05,5.77,5.88,3455900,0.0,0
2002-12-24,5.88,5.91,5.65,5.79,3302500,0.0,0
2002-12-26,5.68,5.77,5.65,5.67,2019200,0.0,0
2002-12-27,5.65,5.73,5.57,5.73,1639400,0.0,0
2002-12-30,5.78,5.96,5.65,5.92,2742800,0.0,0
2002-12-31,5.82,6.2,5.82,6.07,3730800,0.0,0
2003-01-02,6.08,6.08,5.79,5.94,3473000,0.0,0
2003-01-03,5.94,6.08,5.84,6.08,1716600,0.0,0
2003-01-06,6.16,6.54,6.13,6.46,4041400,0.0,0
2003-01-07,6.5,6.92,6.44,6.92,6823500,0.0,0
2003-01-08,6.81,6.92,6.76,6.9,4623100,0.0,0
2003-01-09,6.95,7.32,6.92,7.12,9553400,0.0,0
2003-01-10,6.5,6.76,6.05,6.27,7554700,0.0,0
2003-01-13,6.3,6.38,5.74,5.78,2834700,0.0,0
2003-01-14,5.78,5.85,5.65,5.79,1629200,0.0,0
2003-01-15,5.86,6.15,5.76,6.09,2588100,0.0,0
2003-01-16,6.21,6.27,6.09,6.22,1443400,0.0,0
2003-01-17,6.21,6.22,5.88,6.11,2000000,0.0,0
2003-01-21,6.16,6.21,5.77,5.79,1165700,0.0,0
2003-01-22,5.84,5.84,5.26,5.38,3488500,0.0,0
2003-01-23,5.51,5.74,5.43,5.65,2498200,0.0,0
2003-01-24,5.75,5.9,5.54,5.62,2772100,0.0,0
2003-01-27,5.54,5.6,5.27,5.29,1150600,0.0,0
2003-01-28,5.33,5.49,5.31,5.31,1267000,0.0,0
2003-01-29,5.32,5.61,5.31,5.5,1174400,0.0,0
2003-01-30,5.53,5.59,5.31,5.31,720700,0.0,0
2003-01-31,5.26,5.28,5.08,5.19,1402500,0.0,0
2003-02-03,5.22,5.34,5.18,5.18,1002400,0.0,0
2003-02-04,5.19,5.19,5.06,5.12,1087700,0.0,0
2003-02-05,5.16,5.21,5.08,5.12,1233500,0.0,0
2003-02-06,5.14,5.28,5.1,5.12,923500,0.0,0
2003-02-07,5.17,5.18,5.06,5.09,1069500,0.0,0
2003-02-10,4.95,4.95,4.4,4.92,10046400,0.0,0
2003-02-11,4.92,5.05,4.65,5.05,2238900,0.0,0
2003-02-12,5.08,5.08,4.64,4.73,1726000,0.03,0
2003-02-13,4.74,4.79,4.54,4.57,2111000,0.0,0
2003-02-14,4.57,4.76,4.57,4.76,881000,0.0,0
2003-02-18,4.76,4.96,4.76,4.96,2049100,0.0,0
2003-02-19,5.0,5.1,4.96,5.1,1506300,0.0,0
2003-02-20,5.04,5.19,5.03,5.11,760000,0.0,0
2003-02-21,5.12,5.31,5.12,5.22,1519300,0.0,0
2003-02-24,5.25,5.33,5.04,5.1,1055600,0.0,0
2003-02-25,5.1,5.53,5.09,5.49,3049400,0.0,0
2003-02-26,5.47,5.52,5.34,5.4,782300,0.0,0
2003-02-27,5.34,5.5,5.29,5.36,387000,0.0,0
2003-02-28,5.39,5.39,5.21,5.26,808500,0.0,0
2003-03-03,5.25,5.4,5.23,5.27,575800,0.0,0
2003-03-04,5.29,5.33,5.22,5.26,517600,0.0,0
2003-03-05,5.24,5.34,5.18,5.27,1017700,0.0,0
2003-03-06,5.21,5.53,5.21,5.43,1481100,0.0,0
2003-03-07,5.38,5.58,5.33,5.5,898800,0.0,0
2003-03-10,5.36,5.54,5.36,5.54,1837100,0.0,0
2003-03-11,5.5,5.53,5.36,5.42,1960400,0.0,0
2003-03-12,5.3,5.33,5.08,5.12,4556400,0.0,0
2003-03-13,5.12,5.19,5.04,5.13,4223600,0.0,0
2003-03-14,5.12,5.16,4.96,5.08,2401400,0.0,0
2003-03-17,5.08,5.35,5.02,5.3,994400,0.0,0
2003-03-18,5.3,5.42,5.3,5.41,782500,0.0,0
2003-03-19,5.36,5.39,5.21,5.3,874000,0.0,0
2003-03-20,5.25,5.36,5.22,5.35,1609600,0.0,0
2003-03-21,5.39,5.67,5.33,5.56,2559900,0.0,0
2003-03-24,5.36,5.54,5.35,5.42,1945600,0.0,0
2003-03-25,5.39,5.8,5.36,5.67,4664700,0.0,0
2003-03-26,5.59,5.78,5.53,5.73,2908700,0.0,0
2003-03-27,5.64,6.18,5.64,6.17,4410700,0.0,0
2003-03-28,6.06,6.13,5.87,5.87,2628000,0.0,0
2003-03-31,5.67,5.92,5.66,5.85,1127600,0.0,0
2003-04-01,5.91,6.06,5.86,6.0,1558200,0.0,0
2003-04-02,6.1,6.21,5.99,6.09,4117900,0.0,0
2003-04-03,6.15,6.15,5.9,6.08,1517100,0.0,0
2003-04-04,6.02,6.03,5.76,5.82,4553400,0.0,0
2003-04-07,5.84,5.94,5.79,5.85,3600200,0.0,0
2003-04-08,5.87,6.05,5.81,5.97,2169200,0.0,0
2003-04-09,6.02,6.13,5.96,6.08,1889300,0.0,0
2003-04-10,6.08,6.18,5.99,6.14,1988500,0.0,0
2003-04-11,6.15,6.21,6.14,6.21,1500200,0.0,0
2003-04-14,6.18,6.27,6.05,6.27,991300,0.0,0
2003-04-15,6.24,6.49,6.18,6.49,2470200,0.0,0
2003-04-16,6.58,7.0,6.58,6.75,8202400,0.0,0
2003-04-17,6.73,6.95,6.69,6.95,2437600,0.0,0
2003-04-21,6.86,6.98,6.81,6.95,1866600,0.0,0
2003-04-22,6.91,7.06,6.81,7.0,1270200,0.0,0
2003-04-23,7.0,7.0,6.49,6.66,2737800,0.0,0
2003-04-24,6.61,6.65,6.5,6.52,1244800,0.0,0
2003-04-25,6.52,6.52,6.3,6.44,1543400,0.0,0
2003-04-28,6.43,6.64,6.41,6.51,1635800,0.0,0
2003-04-29,6.58,6.87,6.58,6.83,1513300,0.0,0
2003-04-30,6.76,6.86,6.57,6.86,3005000,0.0,0
2003-05-01,6.82,6.98,6.78,6.95,1312200,0.0,0
2003-05-02,6.91,6.99,6.72,6.97,1900900,0.0,0
2003-05-05,6.94,7.14,6.92,7.11,2176000,0.0,0
2003-05-06,6.95,7.11,6.95,7.09,758600,0.0,0
2003-05-07,7.06,7.28,7.05,7.22,990300,0.03,0
2003-05-08,7.16,7.25,7.11,7.23,815300,0.0,0
2003-05-09,7.25,7.26,7.08,7.16,1157400,0.0,0
2003-05-12,7.11,7.65,6.96,7.6,3123000,0.0,0
2003-05-13,7.56,8.08,7.53,7.92,4718700,0.0,0
2003-05-14,7.94,7.96,7.6,7.76,1354100,0.0,0
2003-05-15,7.76,7.82,7.48,7.62,797300,0.0,0
2003-05-16,7.58,7.7,7.29,7.7,1493800,0.0,0
2003-05-19,7.65,7.72,7.56,7.59,1102300,0.0,0
2003-05-20,7.56,7.59,7.32,7.45,2152900,0.0,0
2003-05-21,7.39,7.72,7.39,7.55,930600,0.0,0
2003-05-22,7.49,7.67,7.48,7.64,1116600,0.0,0
2003-05-23,7.64,7.75,7.56,7.57,1287900,0.0,0
2003-05-27,7.63,7.98,7.58,7.93,2212300,0.0,0
2003-05-28,7.87,8.53,7.83,8.44,3516100,0.0,0
2003-05-29,8.7,9.04,8.59,8.61,5121900,0.0,0
2003-05-30,8.36,8.79,8.3,8.61,2465500,0.0,0
2003-06-02,8.81,8.95,8.8,8.84,1695100,0.0,0
2003-06-03,8.53,8.64,8.3,8.45,2191600,0.0,0
2003-06-04,8.51,8.61,8.3,8.51,2222300,0.0,0
2003-06-05,8.51,9.12,8.39,9.08,2316300,0.0,0
2003-06-06,9.08,9.4,8.7,8.76,3287000,0.0,0
2003-06-09,8.24,8.74,8.24,8.73,4232800,0.0,0
2003-06-10,8.74,8.87,8.44,8.54,4167600,0.0,0
2003-06-11,8.48,8.76,8.45,8.67,2929900,0.0,0
2003-06-12,8.63,8.87,8.53,8.87,2549600,0.0,0
2003-06-13,8.89,9.1,8.76,9.07,2168700,0.0,0
2003-06-16,9.1,9.72,8.97,9.67,3809400,0.0,0
2003-06-17,9.86,10.23,9.81,9.81,5949600,0.0,0
2003-06-18,9.81,10.02,9.72,10.02,2986600,0.0,0
2003-06-19,9.98,10.18,9.8,9.86,4029900,0.0,0
