Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-03-17,1.48,1.48,1.45,1.45,156000,0.0,0.0
1992-03-18,1.47,1.51,1.46,1.51,617600,0.0,0.0
1992-03-19,1.53,1.55,1.51,1.54,984000,0.0,0.0
1992-03-20,1.52,1.56,1.52,1.56,260000,0.0,0.0
1992-03-23,1.57,1.6,1.57,1.57,658400,0.0,0.0
1992-03-24,1.57,1.64,1.57,1.61,230400,0.0,0.0
1992-03-25,1.6,1.63,1.6,1.62,388800,0.0,0.0
1992-03-26,1.61,1.62,1.61,1.61,116000,0.0,0.0
1992-03-27,1.61,1.61,1.6,1.6,219200,0.0,0.0
1992-03-30,1.6,1.61,1.59,1.59,128000,0.0,0.0
1992-03-31,1.59,1.59,1.58,1.59,81600,0.0,0.0
1992-04-01,1.59,1.6,1.57,1.59,864800,0.0,0.0
1992-04-02,1.6,1.6,1.58,1.58,146400,0.0,0.0
1992-04-03,1.6,1.6,1.57,1.57,135200,0.0,0.0
1992-04-06,1.59,1.59,1.54,1.57,92000,0.0,0.0
1992-04-07,1.57,1.59,1.57,1.57,197600,0.0,0.0
1992-04-08,1.55,1.55,1.5,1.52,48800,0.0,0.0
1992-04-09,1.53,1.61,1.51,1.58,142400,0.0,0.0
1992-04-10,1.6,1.6,1.59,1.59,67200,0.0,0.0
1992-04-13,1.6,1.75,1.6,1.75,316800,0.0,0.0
1992-04-14,1.73,1.83,1.71,1.79,472800,0.0,0.0
1992-04-15,1.8,1.8,1.76,1.77,226400,0.0,0.0
1992-04-16,1.75,1.75,1.69,1.72,55200,0.0,0.0
1992-04-20,1.73,1.73,1.57,1.63,132000,0.0,0.0
1992-04-21,1.62,1.68,1.62,1.68,224000,0.0,0.0
1992-04-22,1.66,1.7,1.65,1.69,70400,0.0,0.0
1992-04-23,1.69,1.7,1.67,1.7,230400,0.0,0.0
1992-04-24,1.7,1.74,1.7,1.74,72000,0.0,0.0
1992-04-27,1.72,1.72,1.72,1.72,800,0.0,0.0
1992-04-28,1.72,1.72,1.71,1.72,159200,0.0,0.0
1992-04-29,1.72,1.73,1.71,1.73,142400,0.0,0.0
1992-04-30,1.73,1.8,1.73,1.79,413600,0.0,0.0
1992-05-01,1.79,1.83,1.77,1.83,484800,0.0,0.0
1992-05-04,1.82,1.83,1.8,1.83,159200,0.0,0.0
1992-05-05,1.83,1.83,1.83,1.83,0,0.0,0.0
1992-05-06,1.96,1.96,1.9,1.9,187200,0.0,0.0
1992-05-07,1.9,1.91,1.9,1.9,406400,0.0,0.0
1992-05-08,1.9,1.9,1.88,1.9,24000,0.0,0.0
1992-05-11,1.88,1.9,1.88,1.88,189600,0.0,0.0
1992-05-12,1.88,1.89,1.88,1.89,260000,0.0,0.0
1992-05-13,1.9,1.9,1.86,1.86,292800,0.0,0.0
1992-05-14,1.88,1.92,1.86,1.9,821600,0.0,0.0
1992-05-15,1.92,1.92,1.86,1.89,448800,0.0,0.0
1992-05-18,1.88,1.89,1.86,1.89,34400,0.0,0.0
1992-05-19,1.89,1.89,1.86,1.88,292800,0.0,0.0
1992-05-20,1.88,1.89,1.86,1.89,720800,0.0,0.0
1992-05-21,1.87,1.89,1.86,1.89,183200,0.0,0.0
1992-05-22,1.88,1.89,1.86,1.89,1551200,0.0,0.0
1992-05-26,1.88,1.88,1.86,1.87,473600,0.0,0.0
1992-05-27,1.86,1.86,1.86,1.86,171200,0.0,0.0
1992-05-28,1.86,1.86,1.75,1.79,513600,0.0,0.0
1992-05-29,1.79,1.82,1.79,1.82,681600,0.0,0.0
1992-06-01,1.79,1.82,1.79,1.82,280800,0.0,0.0
1992-06-02,1.82,1.82,1.79,1.82,84800,0.0,0.0
1992-06-03,1.8,1.86,1.8,1.86,977600,0.0,0.0
1992-06-04,1.86,1.88,1.84,1.88,688800,0.0,0.0
1992-06-05,1.88,1.88,1.84,1.88,852800,0.0,0.0
1992-06-08,1.88,1.92,1.87,1.9,955200,0.0,0.0
1992-06-09,1.9,1.9,1.84,1.86,783200,0.0,0.0
1992-06-10,1.88,1.9,1.86,1.88,1491200,0.0,0.0
1992-06-11,1.9,1.9,1.88,1.89,668000,0.0,0.0
1992-06-12,1.9,1.9,1.88,1.88,439200,0.0,0.0
1992-06-15,1.9,1.9,1.86,1.86,1444800,0.0,0.0
1992-06-16,1.88,1.88,1.86,1.86,250400,0.0,0.0
1992-06-17,1.86,1.86,1.77,1.82,761600,0.0,0.0
1992-06-18,1.77,1.82,1.71,1.73,926400,0.0,0.0
1992-06-19,1.73,1.77,1.73,1.75,36800,0.0,0.0
1992-06-22,1.75,1.75,1.69,1.73,172800,0.0,0.0
1992-06-23,1.71,1.71,1.67,1.71,106400,0.0,0.0
1992-06-24,1.65,1.65,1.65,1.65,28800,0.0,0.0
1992-06-25,1.65,1.65,1.63,1.63,77600,0.0,0.0
1992-06-26,1.63,1.67,1.61,1.63,255200,0.0,0.0
1992-06-29,1.64,1.73,1.64,1.73,1275200,0.0,0.0
1992-06-30,1.73,1.73,1.69,1.73,336800,0.0,0.0
1992-07-01,1.71,1.73,1.69,1.69,113600,0.0,0.0
1992-07-02,1.73,1.73,1.68,1.68,117600,0.0,0.0
1992-07-06,1.67,1.67,1.59,1.63,852800,0.0,0.0
