Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.48,1.43,1.43,70800,0.0,0.0
1980-03-18,0.0,1.42,1.38,1.42,100200,0.0,0.0
1980-03-19,0.0,1.44,1.43,1.43,45000,0.0,0.0
1980-03-20,0.0,1.44,1.43,1.43,79800,0.0,0.0
1980-03-21,0.0,1.44,1.42,1.44,288000,0.0,0.0
1980-03-24,0.0,1.43,1.39,1.39,72600,0.0,0.0
1980-03-25,0.0,1.4,1.38,1.38,82200,0.0,0.0
1980-03-26,0.0,1.39,1.36,1.36,62400,0.0,0.0
1980-03-27,0.0,1.36,1.22,1.25,517200,0.0,0.0
1980-03-28,0.0,1.34,1.27,1.27,299400,0.0,0.0
1980-03-31,0.0,1.31,1.27,1.31,85800,0.0,0.0
1980-04-01,0.0,1.35,1.31,1.35,36600,0.0,0.0
1980-04-02,0.0,1.42,1.35,1.42,133200,0.0,0.0
1980-04-03,0.0,1.45,1.43,1.44,60000,0.0,0.0
1980-04-07,0.0,1.4,1.38,1.38,239400,0.0,0.0
1980-04-08,0.0,1.39,1.37,1.37,29400,0.0,0.0
1980-04-09,0.0,1.37,1.31,1.36,423600,0.0,0.0
1980-04-10,0.0,1.38,1.37,1.37,49800,0.0,0.0
1980-04-11,0.0,1.38,1.32,1.35,122400,0.0,0.0
1980-04-14,0.0,1.36,1.34,1.35,176400,0.0,0.0
1980-04-15,0.0,1.35,1.31,1.31,141600,0.0,0.0
1980-04-16,0.0,1.34,1.31,1.32,105000,0.0,0.0
1980-04-17,0.0,1.32,1.3,1.32,97800,0.0,0.0
1980-04-18,0.0,1.35,1.32,1.34,45000,0.0,0.0
1980-04-21,0.0,1.32,1.29,1.29,55800,0.0,0.0
1980-04-22,0.0,1.35,1.31,1.34,36600,0.0,0.0
1980-04-23,0.0,1.37,1.32,1.32,38400,0.0,0.0
1980-04-24,0.0,1.34,1.31,1.32,28200,0.0,0.0
1980-04-25,0.0,1.32,1.3,1.32,49800,0.0,0.0
1980-04-28,0.0,1.32,1.31,1.32,20400,0.0,0.0
1980-04-29,0.0,1.32,1.3,1.32,95400,0.0,0.0
1980-04-30,0.0,1.31,1.28,1.29,36000,0.0,0.0
1980-05-01,0.0,1.31,1.29,1.3,79800,0.0,0.0
1980-05-02,0.0,1.31,1.29,1.31,205800,0.0,0.0
1980-05-05,0.0,1.31,1.29,1.31,46800,0.0,0.0
1980-05-06,0.0,1.31,1.29,1.3,62400,0.0,0.0
1980-05-07,0.0,1.31,1.28,1.31,64800,0.0,0.0
1980-05-08,0.0,1.38,1.31,1.37,176400,0.0,0.0
1980-05-09,0.0,1.38,1.36,1.37,19800,0.0,0.0
1980-05-12,0.0,1.36,1.31,1.32,156000,0.0,0.0
1980-05-13,0.0,1.35,1.29,1.29,88800,0.0,0.0
1980-05-14,0.0,1.32,1.29,1.31,241800,0.0,0.0
1980-05-15,0.0,1.32,1.31,1.31,123000,0.0,0.0
1980-05-16,0.0,1.36,1.32,1.34,85800,0.0,0.0
1980-05-19,0.0,1.36,1.33,1.36,42000,0.0,0.0
