Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-09-07,5.48,5.48,5.45,5.45,11400,0.0,0.0
1984-09-10,5.45,5.48,5.26,5.26,7400,0.0,0.0
1984-09-11,5.26,5.33,5.22,5.3,27000,0.0,0.0
1984-09-12,5.22,5.22,5.03,5.11,7800,0.0,0.0
1984-09-13,5.11,5.11,5.03,5.11,10400,0.0,0.0
1984-09-14,5.15,5.22,5.15,5.22,10800,0.0,0.0
1984-09-17,5.18,5.18,5.11,5.11,1200,0.0,0.0
1984-09-18,5.07,5.07,5.0,5.0,10400,0.0,0.0
1984-09-19,5.0,5.07,5.0,5.0,15200,0.0,0.0
1984-09-20,5.0,5.03,5.0,5.03,10800,0.0,0.0
1984-09-21,5.03,5.15,5.0,5.0,9600,0.0,0.0
1984-09-24,4.96,4.96,4.81,4.81,22400,0.0,0.0
1984-09-25,4.77,4.77,4.66,4.66,40800,0.0,0.0
1984-09-26,4.66,4.66,4.51,4.51,14000,0.0,0.0
1984-09-27,4.51,4.51,4.43,4.47,6800,0.0,0.0
1984-09-28,4.47,4.55,4.47,4.55,3600,0.0,0.0
1984-10-01,4.55,4.55,4.55,4.55,2400,0.0,0.0
1984-10-02,4.51,4.51,4.51,4.51,3800,0.0,0.0
1984-10-03,4.51,4.55,4.43,4.51,35400,0.0,0.0
1984-10-04,3.91,3.91,3.57,3.61,156600,0.0,0.0
1984-10-05,3.61,3.68,3.49,3.64,120000,0.0,0.0
1984-10-08,3.64,3.64,3.57,3.61,64200,0.0,0.0
1984-10-09,3.64,3.72,3.64,3.72,79800,0.0,0.0
1984-10-10,3.72,3.83,3.68,3.76,47000,0.0,0.0
1984-10-11,3.76,3.79,3.68,3.76,6600,0.0,0.0
1984-10-12,3.76,3.83,3.76,3.76,19400,0.0,0.0
1984-10-15,3.79,3.91,3.79,3.83,215400,0.0,0.0
1984-10-16,3.76,3.76,3.72,3.76,6600,0.0,0.0
1984-10-17,3.72,3.72,3.68,3.68,3800,0.0,0.0
1984-10-18,3.68,3.68,3.68,3.68,5400,0.0,0.0
1984-10-19,3.72,3.79,3.72,3.76,87800,0.0,0.0
1984-10-22,3.83,3.83,3.83,3.83,200,0.0,0.0
1984-10-23,3.76,3.76,3.76,3.76,800,0.0,0.0
1984-10-24,3.76,3.76,3.72,3.76,30600,0.0,0.0
1984-10-25,3.76,3.76,3.68,3.68,14600,0.0,0.0
1984-10-26,3.68,3.76,3.68,3.72,32000,0.0,0.0
1984-10-29,3.72,3.72,3.61,3.72,15600,0.0,0.0
1984-10-30,3.72,3.72,3.68,3.68,14000,0.0,0.0
1984-10-31,3.64,3.64,3.64,3.64,6000,0.0,0.0
1984-11-01,3.64,3.68,3.64,3.64,8400,0.0,0.0
1984-11-02,3.68,3.72,3.68,3.72,6000,0.0,0.0
1984-11-05,3.72,3.76,3.72,3.76,7400,0.0,0.0
1984-11-06,3.83,3.94,3.83,3.94,43200,0.0,0.0
1984-11-07,3.94,4.06,3.91,4.06,100800,0.0,0.0
1984-11-08,4.06,4.13,4.02,4.02,8600,0.0,0.0
1984-11-09,4.02,4.09,4.02,4.09,6000,0.0,0.0
1984-11-12,4.09,4.09,4.06,4.09,4800,0.0,0.0
1984-11-13,4.09,4.09,3.98,3.98,11400,0.0,0.0
1984-11-14,3.98,3.98,3.98,3.98,0,0.0,0.0
1984-11-15,3.98,3.98,3.98,3.98,6200,0.0,0.0
1984-11-16,4.02,4.02,4.02,4.02,800,0.0,0.0
1984-11-19,3.94,3.94,3.87,3.87,1400,0.0,0.0
1984-11-20,3.79,3.79,3.72,3.72,75800,0.0,0.0
1984-11-21,3.64,3.64,3.61,3.64,3200,0.0,0.0
1984-11-23,3.61,3.61,3.46,3.61,43200,0.0,0.0
1984-11-26,3.61,3.61,3.57,3.57,137600,0.0,0.0
1984-11-27,3.53,3.53,3.08,3.23,207600,0.0,0.0
1984-11-28,3.16,3.16,3.04,3.04,232800,0.0,0.0
1984-11-29,3.04,3.04,2.89,2.89,213600,0.0,0.0
1984-11-30,2.89,3.01,2.86,3.01,60800,0.0,0.0
1984-12-03,3.01,3.23,3.01,3.23,57000,0.0,0.0
1984-12-04,3.16,3.16,3.01,3.04,97200,0.0,0.0
1984-12-05,3.04,3.08,3.01,3.01,127200,0.0,0.0
1984-12-06,3.01,3.08,3.01,3.04,7800,0.0,0.0
1984-12-07,3.01,3.01,3.01,3.01,6000,0.0,0.0
1984-12-10,3.01,3.01,3.01,3.01,16800,0.0,0.0
1984-12-11,3.01,3.04,2.93,3.04,23000,0.0,0.0
1984-12-12,3.04,3.04,2.93,3.04,29600,0.0,0.0
1984-12-13,3.04,3.04,2.93,3.01,107400,0.0,0.0
1984-12-14,3.01,3.01,2.97,3.01,34400,0.0,0.0
1984-12-17,3.01,3.04,2.93,3.04,12000,0.0,0.0
1984-12-18,3.04,3.16,3.01,3.16,16400,0.0,0.0
1984-12-19,3.23,3.31,3.23,3.31,31200,0.0,0.0
1984-12-20,3.31,3.31,3.19,3.19,42000,0.0,0.0
1984-12-21,3.16,3.16,3.08,3.08,12000,0.0,0.0
1984-12-24,3.16,3.19,3.16,3.16,48600,0.0,0.0
1984-12-26,3.23,3.27,3.23,3.27,3600,0.0,0.0
1984-12-27,3.23,3.23,3.12,3.12,26000,0.0,0.0
1984-12-28,3.12,3.23,3.12,3.19,219800,0.0,0.0
1984-12-31,3.19,3.42,3.19,3.42,44400,0.0,0.0
1985-01-02,3.46,3.49,3.46,3.49,1800,0.0,0.0
1985-01-03,3.37,3.37,3.33,3.33,29000,0.025,0.0
1985-01-04,3.29,3.29,3.25,3.25,22400,0.0,0.0
1985-01-07,3.25,3.25,3.25,3.25,0,0.0,0.0
1985-01-08,3.25,3.25,3.06,3.06,6200,0.0,0.0
1985-01-09,3.02,3.02,3.02,3.02,19400,0.0,0.0
1985-01-10,3.02,3.1,2.99,3.1,9000,0.0,0.0
1985-01-11,3.1,3.18,3.1,3.14,9600,0.0,0.0
1985-01-14,3.18,3.37,3.18,3.33,23400,0.0,0.0
1985-01-15,3.4,3.63,3.4,3.59,58800,0.0,0.0
1985-01-16,3.59,3.63,3.59,3.59,5400,0.0,0.0
1985-01-17,3.55,3.55,3.52,3.52,3600,0.0,0.0
1985-01-18,3.52,3.59,3.52,3.59,8000,0.0,0.0
1985-01-21,3.59,3.67,3.44,3.44,12200,0.0,0.0
1985-01-22,3.37,3.37,3.14,3.14,189200,0.0,0.0
1985-01-23,3.14,3.29,3.1,3.29,97800,0.0,0.0
1985-01-24,3.29,3.52,3.29,3.52,54200,0.0,0.0
1985-01-25,3.52,3.52,3.48,3.48,19800,0.0,0.0
1985-01-28,3.48,3.59,3.4,3.59,51600,0.0,0.0
1985-01-29,3.59,3.59,3.4,3.52,42600,0.0,0.0
1985-01-30,3.55,3.71,3.55,3.63,124800,0.0,0.0
1985-01-31,3.63,3.67,3.55,3.55,134400,0.0,0.0
1985-02-01,3.48,3.48,3.33,3.44,489200,0.0,0.0
1985-02-04,3.44,3.44,3.18,3.33,218000,0.0,0.0
1985-02-05,3.4,3.59,3.4,3.52,53000,0.0,0.0
1985-02-06,3.55,3.86,3.55,3.86,69000,0.0,0.0
1985-02-07,3.86,4.23,3.86,4.16,79200,0.0,0.0
1985-02-08,4.16,4.16,4.08,4.16,32000,0.0,0.0
1985-02-11,4.16,4.16,4.05,4.08,44000,0.0,0.0
1985-02-12,4.05,4.05,3.86,3.97,46200,0.0,0.0
1985-02-13,4.01,4.16,4.01,4.05,28800,0.0,0.0
1985-02-14,4.05,4.08,3.97,3.97,10400,0.0,0.0
1985-02-15,3.97,4.08,3.93,4.08,57800,0.0,0.0
1985-02-19,4.08,4.12,4.01,4.12,19800,0.0,0.0
1985-02-20,4.12,4.12,4.01,4.05,44600,0.0,0.0
1985-02-21,4.05,4.05,3.93,4.05,53000,0.0,0.0
1985-02-22,4.08,4.16,4.08,4.08,23600,0.0,0.0
1985-02-25,4.08,4.16,4.05,4.12,20400,0.0,0.0
1985-02-26,4.12,4.23,4.05,4.23,54200,0.0,0.0
1985-02-27,4.23,4.23,4.16,4.2,42000,0.0,0.0
1985-02-28,4.16,4.16,4.08,4.16,24600,0.0,0.0
1985-03-01,4.16,4.2,4.16,4.2,6800,0.0,0.0
1985-03-04,4.2,4.27,4.16,4.16,31200,0.0,0.0
