Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-07-31,21.19,22.11,20.82,21.19,56477500,0.0,0
2014-08-01,21.1,21.19,20.89,21.19,6458900,0.0,0
2014-08-04,21.28,21.31,21.1,21.19,3455900,0.0,0
2014-08-05,21.18,21.2,20.89,21.19,4450200,0.0,0
2014-08-06,21.01,21.17,20.89,21.17,6993400,0.0,0
2014-08-07,21.09,21.19,21.01,21.13,3186900,0.0,0
2014-08-08,21.13,21.22,21.01,21.15,2855000,0.0,0
2014-08-11,21.1,21.13,21.01,21.13,1767500,0.0,0
2014-08-12,21.09,21.19,21.03,21.19,1549700,0.0,0
2014-08-13,21.19,21.4,21.08,21.36,1659100,0.0,0
2014-08-14,21.38,21.39,21.15,21.2,1391700,0.0,0
2014-08-15,21.21,21.27,21.19,21.19,1948100,0.0,0
2014-08-18,21.25,21.35,21.21,21.35,1073700,0.0,0
2014-08-19,21.38,22.51,21.38,22.49,2851800,0.0,0
2014-08-20,22.39,23.58,22.35,23.21,3544500,0.0,0
2014-08-21,23.47,23.51,22.96,23.39,2358000,0.0,0
2014-08-22,23.26,23.43,23.13,23.37,891600,0.0,0
2014-08-25,23.38,23.4,22.92,23.14,1185400,0.0,0
2014-08-26,23.03,23.13,22.98,23.08,951000,0.0,0
2014-08-27,23.03,23.53,22.99,23.47,1230600,0.0,0
2014-08-28,23.4,23.81,23.32,23.67,981700,0.0,0
2014-08-29,23.78,23.9,23.45,23.76,981200,0.0,0
2014-09-02,23.68,23.86,23.51,23.76,1873200,0.0,0
2014-09-03,23.95,23.95,23.61,23.76,996500,0.0,0
2014-09-04,23.52,23.73,23.5,23.68,1117500,0.0,0
2014-09-05,23.68,23.97,23.61,23.74,1089800,0.0,0
2014-09-08,23.79,23.94,22.68,22.89,2534800,0.0,0
2014-09-09,23.31,23.59,22.76,23.07,3608600,0.0,0
2014-09-10,23.21,23.32,22.75,22.76,1974600,0.0,0
2014-09-11,22.8,23.05,22.69,22.71,2029100,0.0,0
2014-09-12,22.6,22.8,22.52,22.57,1106800,0.0,0
2014-09-15,22.44,22.46,22.04,22.25,1125600,0.0,0
2014-09-16,22.33,22.44,22.0,22.4,1512100,0.0,0
2014-09-17,22.53,22.75,22.44,22.62,940400,0.0,0
2014-09-18,22.64,22.89,22.63,22.73,879100,0.0,0
2014-09-19,22.9,23.49,22.77,23.41,5257900,0.0,0
2014-09-22,23.29,23.37,22.8,22.89,737000,0.0,0
2014-09-23,22.72,22.76,22.28,22.65,940000,0.0,0
2014-09-24,22.79,23.03,22.73,22.96,964600,0.0,0
2014-09-25,23.02,23.02,22.67,22.69,1350800,0.0,0
2014-09-26,22.67,22.85,22.43,22.82,1252800,0.0,0
2014-09-29,22.64,22.83,22.43,22.76,1482000,0.0,0
2014-09-30,22.91,23.14,22.31,22.62,8795100,0.0,0
2014-10-01,22.52,22.66,22.28,22.32,1196600,0.0,0
2014-10-02,22.44,22.75,21.89,22.65,1253000,0.0,0
2014-10-03,22.83,23.12,22.49,22.88,1737500,0.0,0
2014-10-06,22.91,23.13,22.8,23.03,1057100,0.0,0
2014-10-07,22.98,23.0,22.62,22.9,803600,0.0,0
2014-10-08,22.86,23.05,22.76,23.05,1074500,0.0,0
2014-10-09,23.05,23.09,22.51,22.62,2536300,0.0,0
2014-10-10,22.57,22.78,22.24,22.3,1561700,0.0,0
2014-10-13,22.35,22.82,22.3,22.54,1726100,0.0,0
2014-10-14,22.69,22.99,22.65,22.9,1036400,0.0,0
2014-10-15,22.79,23.01,22.14,22.59,1529300,0.0,0
2014-10-16,22.3,22.85,22.23,22.67,1889000,0.0,0
2014-10-17,22.78,23.13,22.71,22.83,981700,0.0,0
2014-10-20,22.8,22.9,22.48,22.77,938300,0.0,0
2014-10-21,22.82,23.27,22.77,23.19,1699700,0.0,0
2014-10-22,23.26,23.45,23.17,23.38,1546100,0.0,0
2014-10-23,23.47,23.87,23.44,23.78,970100,0.0,0
2014-10-24,23.73,24.29,23.73,24.06,1223100,0.0,0
2014-10-27,24.03,24.69,23.97,24.44,1011400,0.0,0
2014-10-28,24.63,24.97,24.51,24.74,1002300,0.0,0
2014-10-29,24.7,24.95,24.57,24.88,730100,0.0,0
2014-10-30,24.95,25.29,24.43,24.68,1039100,0.0,0
2014-10-31,24.92,24.98,24.74,24.9,934600,0.0,0
2014-11-03,24.95,25.58,24.74,25.19,983700,0.0,0
2014-11-04,25.15,25.29,24.19,24.89,999300,0.0,0
2014-11-05,25.05,25.34,24.6,25.31,587300,0.0,0
2014-11-06,25.35,25.59,25.13,25.41,993100,0.0,0
2014-11-07,25.54,25.95,25.11,25.94,1165800,0.0,0
2014-11-10,26.01,26.6,25.8,26.51,1474200,0.0,0
2014-11-11,26.54,26.96,26.44,26.82,1643700,0.0,0
2014-11-12,26.72,26.87,26.39,26.75,1033700,0.0,0
2014-11-13,26.73,26.93,26.55,26.71,1656800,0.0,0
2014-11-14,26.65,27.24,26.58,26.77,1912000,0.0,0
2014-11-17,26.77,26.95,26.56,26.84,1010300,0.0,0
2014-11-18,26.91,27.12,26.52,26.67,948900,0.0,0
2014-11-19,26.71,26.72,26.4,26.66,2141800,0.0,0
2014-11-20,26.68,27.04,26.64,26.94,1300600,0.0,0
2014-11-21,27.0,27.09,26.73,26.88,1003900,0.0,0
2014-11-24,26.97,27.1,26.58,26.69,1177500,0.0,0
2014-11-25,26.66,27.01,25.83,26.41,5938500,0.0,0
2014-11-26,26.56,26.79,26.48,26.54,1327400,0.0,0
2014-11-28,26.49,26.75,26.49,26.73,425200,0.0,0
2014-12-01,26.72,26.84,26.47,26.61,1020800,0.0,0
2014-12-02,26.66,27.0,26.62,26.77,1091200,0.0,0
2014-12-03,26.83,26.85,26.63,26.72,730200,0.0,0
2014-12-04,26.73,27.03,26.64,26.86,829000,0.0,0
2014-12-05,26.98,26.99,26.66,26.95,818700,0.0,0
2014-12-08,26.99,27.49,26.74,27.19,1644100,0.0,0
2014-12-09,27.21,27.3,26.9,27.2,1085700,0.0,0
2014-12-10,27.23,27.55,27.18,27.32,760000,0.0,0
2014-12-11,27.34,27.64,27.12,27.2,1057900,0.0,0
2014-12-12,27.02,27.16,26.66,26.72,1632500,0.0,0
2014-12-15,26.86,26.91,25.95,26.38,1310500,0.0,0
