Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1975-06-12,0.0,4.69,4.62,4.62,680800,0.0,0.0
1975-06-13,0.0,4.75,4.67,4.67,434400,0.0,0.0
1975-06-16,0.0,4.69,4.62,4.62,195800,0.0,0.0
1975-06-17,0.0,4.6,4.52,4.52,278800,0.0,0.0
1975-06-18,0.0,4.73,4.66,4.66,178200,0.0,0.0
1975-06-19,0.0,4.81,4.73,4.73,190400,0.0,0.0
1975-06-20,0.0,4.83,4.75,4.75,304800,0.0,0.0
1975-06-23,0.0,4.79,4.71,4.71,119400,0.0,0.0
1975-06-24,0.0,4.69,4.62,4.62,240000,0.0,0.0
1975-06-25,0.0,4.66,4.58,4.58,158400,0.0,0.0
1975-06-26,0.0,4.62,4.54,4.54,121200,0.0,0.0
1975-06-27,0.0,4.6,4.52,4.52,88000,0.0,0.0
1975-06-30,0.0,4.69,4.62,4.62,123200,0.0,0.0
1975-07-01,0.0,4.64,4.56,4.56,87200,0.0,0.0
1975-07-02,0.0,4.6,4.52,4.52,139400,0.0,0.0
1975-07-03,0.0,4.79,4.71,4.71,158600,0.0,0.0
1975-07-07,0.0,4.67,4.6,4.6,112400,0.0,0.0
1975-07-08,0.0,4.66,4.58,4.58,144000,0.0,0.0
1975-07-09,0.0,4.77,4.69,4.69,223000,0.0,0.0
1975-07-10,0.0,4.75,4.67,4.67,227600,0.0,0.0
1975-07-11,0.0,4.92,4.84,4.84,293400,0.0,0.0
1975-07-14,0.0,5.17,5.09,5.09,371800,0.0,0.0
1975-07-15,0.0,5.15,5.07,5.07,281600,0.0,0.0
1975-07-16,0.0,5.13,5.05,5.05,364600,0.0,0.0
1975-07-17,0.0,5.2,5.13,5.13,222000,0.0,0.0
1975-07-18,0.0,5.45,5.37,5.37,351000,0.0,0.0
1975-07-21,0.0,5.39,5.32,5.32,204800,0.0,0.0
1975-07-22,0.0,5.2,5.13,5.13,234000,0.0,0.0
1975-07-23,0.0,5.11,5.03,5.03,176800,0.0,0.0
1975-07-24,0.0,5.03,4.96,4.96,143400,0.0,0.0
1975-07-25,0.0,4.9,4.83,4.83,102600,0.0,0.0
1975-07-28,0.0,4.88,4.81,4.81,96000,0.0,0.0
1975-07-29,0.0,4.73,4.66,4.66,160200,0.0,0.0
1975-07-30,0.0,4.79,4.71,4.71,118600,0.0,0.0
1975-07-31,0.0,4.69,4.62,4.62,88400,0.0,0.0
1975-08-01,0.0,4.6,4.52,4.52,101600,0.0,0.0
1975-08-04,4.52,4.52,4.52,4.52,0,0.0,0.0
1975-08-05,0.0,4.75,4.67,4.67,120200,0.0,0.0
1975-08-06,0.0,4.94,4.86,4.86,109800,0.0,0.0
1975-08-07,0.0,4.73,4.66,4.66,127200,0.0,0.0
1975-08-08,0.0,4.56,4.48,4.48,144600,0.0,0.0
1975-08-11,0.0,4.66,4.58,4.58,111400,0.0,0.0
1975-08-12,0.0,4.64,4.56,4.56,81600,0.0,0.0
1975-08-13,0.0,4.39,4.31,4.31,112400,0.0,0.0
1975-08-14,0.0,4.39,4.31,4.31,104200,0.0,0.0
1975-08-15,0.0,4.31,4.24,4.24,73600,0.0,0.0
1975-08-18,0.0,4.13,4.05,4.05,78400,0.0,0.0
1975-08-19,0.0,4.13,4.05,4.05,69800,0.0,0.0
1975-08-20,0.0,4.26,4.18,4.18,83600,0.0,0.0
1975-08-21,0.0,4.43,4.35,4.35,60400,0.0,0.0
1975-08-22,0.0,4.54,4.47,4.47,32200,0.0,0.0
1975-08-25,0.0,4.52,4.45,4.45,48000,0.0,0.0
1975-08-26,0.0,4.37,4.3,4.3,70200,0.0,0.0
1975-08-27,0.0,4.45,4.37,4.37,42400,0.0,0.0
1975-08-28,0.0,4.67,4.6,4.6,83600,0.0,0.0
1975-08-29,0.0,4.73,4.66,4.66,105200,0.0,0.0
1975-09-02,0.0,4.52,4.45,4.45,70800,0.0,0.0
1975-09-03,0.0,4.6,4.52,4.52,69400,0.0,0.0
1975-09-04,0.0,4.64,4.56,4.56,59600,0.0,0.0
1975-09-05,0.0,4.5,4.43,4.43,63600,0.0,0.0
1975-09-08,0.0,4.37,4.3,4.3,50400,0.0,0.0
1975-09-09,0.0,4.24,4.16,4.16,134600,0.0,0.0
1975-09-10,0.0,4.13,4.05,4.05,146600,0.0,0.0
1975-09-11,0.0,4.11,4.03,4.03,144800,0.0,0.0
1975-09-12,0.0,4.16,4.09,4.09,61000,0.0,0.0
1975-09-15,0.0,4.2,4.13,4.13,53000,0.0,0.0
1975-09-16,0.0,4.24,4.16,4.16,57000,0.0,0.0
1975-09-17,0.0,4.37,4.3,4.3,76000,0.0,0.0
1975-09-18,0.0,4.67,4.6,4.6,113000,0.0,0.0
1975-09-19,0.0,4.84,4.77,4.77,144400,0.0,0.0
1975-09-22,0.0,4.66,4.58,4.58,98400,0.0,0.0
1975-09-23,0.0,4.54,4.47,4.47,114800,0.0,0.0
1975-09-24,0.0,4.54,4.47,4.47,39000,0.0,0.0
1975-09-25,0.0,4.41,4.33,4.33,60000,0.0,0.0
1975-09-26,0.0,4.37,4.3,4.3,58200,0.0,0.0
1975-09-29,0.0,4.33,4.26,4.26,50400,0.0,0.0
1975-09-30,0.0,4.26,4.18,4.18,56000,0.0,0.0
1975-10-01,0.0,4.26,4.18,4.18,73800,0.0,0.0
1975-10-02,0.0,4.35,4.28,4.28,140000,0.0,0.0
1975-10-03,0.0,4.47,4.39,4.39,71000,0.0,0.0
1975-10-06,0.0,4.47,4.39,4.39,30000,0.0,0.0
1975-10-07,0.0,4.39,4.31,4.31,58800,0.0,0.0
1975-10-08,0.0,4.48,4.41,4.41,45600,0.0,0.0
1975-10-09,0.0,4.56,4.48,4.48,71200,0.0,0.0
1975-10-10,0.0,4.6,4.52,4.52,70200,0.0,0.0
1975-10-13,0.0,4.62,4.54,4.54,53800,0.0,0.0
1975-10-14,0.0,4.64,4.56,4.56,76800,0.0,0.0
1975-10-15,0.0,4.69,4.62,4.62,67600,0.0,0.0
1975-10-16,0.0,4.64,4.56,4.56,44600,0.0,0.0
1975-10-17,0.0,4.31,4.24,4.24,118800,0.0,0.0
1975-10-20,0.0,4.37,4.3,4.3,47600,0.0,0.0
1975-10-21,0.0,4.2,4.13,4.13,100800,0.0,0.0
1975-10-22,0.0,4.24,4.16,4.16,106400,0.0,0.0
1975-10-23,0.0,4.43,4.35,4.35,148200,0.0,0.0
1975-10-24,0.0,4.31,4.24,4.24,74200,0.0,0.0
1975-10-27,0.0,4.31,4.24,4.24,27800,0.0,0.0
1975-10-28,0.0,4.39,4.31,4.31,59000,0.0,0.0
1975-10-29,0.0,4.2,4.13,4.13,57000,0.0,0.0
1975-10-30,0.0,4.11,4.03,4.03,66200,0.0,0.0
1975-10-31,0.0,4.13,4.05,4.05,40400,0.0,0.0
1975-11-03,0.0,4.01,3.94,3.94,79600,0.0,0.0
1975-11-04,0.0,3.9,3.82,3.82,191800,0.0,0.0
1975-11-05,0.0,3.84,3.77,3.77,106600,0.0,0.0
1975-11-06,0.0,3.82,3.75,3.75,104000,0.0,0.0
1975-11-07,0.0,3.6,3.52,3.52,308600,0.0,0.0
1975-11-10,0.0,3.75,3.67,3.67,79400,0.0,0.0
1975-11-11,0.0,3.71,3.63,3.63,83400,0.0,0.0
1975-11-12,0.0,4.03,3.96,3.96,177800,0.0,0.0
1975-11-13,0.0,3.9,3.82,3.82,164000,0.0,0.0
1975-11-14,0.0,3.92,3.84,3.84,72400,0.0,0.0
