Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1987-05-05,0.0,0.81,0.81,0.81,13702400,0.0,0.0
1987-05-06,0.0,0.81,0.8,0.81,8601600,0.0,0.0
1987-05-07,0.0,0.8,0.78,0.79,1852800,0.0,0.0
1987-05-08,0.0,0.79,0.76,0.77,1464800,0.0,0.0
1987-05-11,0.0,0.79,0.76,0.76,852800,0.0,0.0
1987-05-12,0.0,0.77,0.74,0.75,684000,0.0,0.0
1987-05-13,0.0,0.78,0.75,0.78,739200,0.0,0.0
1987-05-14,0.0,0.81,0.78,0.8,1886400,0.0,0.0
1987-05-15,0.0,0.8,0.78,0.79,509600,0.0,0.0
1987-05-18,0.0,0.78,0.74,0.74,339200,0.0,0.0
1987-05-19,0.0,0.77,0.73,0.75,247200,0.0,0.0
1987-05-20,0.0,0.77,0.73,0.77,422400,0.0,0.0
1987-05-21,0.0,0.77,0.77,0.77,141600,0.0,0.0
1987-05-22,0.0,0.78,0.77,0.77,228000,0.0,0.0
1987-05-26,0.0,0.77,0.75,0.77,77600,0.0,0.0
1987-05-27,0.0,0.78,0.77,0.78,266400,0.0,0.0
1987-05-28,0.0,0.78,0.77,0.77,60000,0.0,0.0
1987-05-29,0.0,0.78,0.76,0.76,220800,0.0,0.0
1987-06-01,0.0,0.77,0.75,0.75,92000,0.0,0.0
1987-06-02,0.0,0.77,0.74,0.76,245600,0.0,0.0
1987-06-03,0.0,0.78,0.77,0.78,132800,0.0,0.0
1987-06-04,0.0,0.79,0.77,0.78,408000,0.0,0.0
1987-06-05,0.0,0.8,0.78,0.8,57600,0.0,0.0
1987-06-08,0.0,0.8,0.79,0.79,74400,0.0,0.0
1987-06-09,0.0,0.8,0.79,0.8,64800,0.0,0.0
1987-06-10,0.0,0.81,0.8,0.81,453600,0.0,0.0
1987-06-11,0.0,0.8,0.8,0.8,151200,0.0,0.0
1987-06-12,0.0,0.81,0.8,0.8,164000,0.0,0.0
1987-06-15,0.0,0.8,0.79,0.8,106400,0.0,0.0
1987-06-16,0.0,0.81,0.79,0.8,218400,0.0,0.0
1987-06-17,0.0,0.8,0.79,0.79,139200,0.0,0.0
1987-06-18,0.0,0.8,0.78,0.8,166400,0.0,0.0
1987-06-19,0.0,0.8,0.8,0.8,58400,0.0,0.0
1987-06-22,0.0,0.81,0.79,0.81,195200,0.0,0.0
1987-06-23,0.0,0.83,0.8,0.82,360800,0.0,0.0
1987-06-24,0.0,0.82,0.8,0.8,36800,0.0,0.0
1987-06-25,0.0,0.81,0.8,0.8,12800,0.0,0.0
1987-06-26,0.0,0.81,0.8,0.8,132800,0.0,0.0
1987-06-29,0.0,0.81,0.8,0.81,163200,0.0,0.0
1987-06-30,0.0,0.82,0.81,0.82,375200,0.0,0.0
1987-07-01,0.0,0.83,0.82,0.83,268800,0.0,0.0
1987-07-02,0.0,0.82,0.81,0.81,34400,0.0,0.0
1987-07-06,0.0,0.82,0.81,0.82,168800,0.0,0.0
1987-07-07,0.0,0.82,0.81,0.82,183200,0.0,0.0
1987-07-08,0.0,0.82,0.81,0.81,331200,0.0,0.0
1987-07-09,0.0,0.82,0.81,0.81,74400,0.0,0.0
1987-07-10,0.0,0.82,0.81,0.82,316800,0.0,0.0
1987-07-13,0.0,0.83,0.82,0.82,220800,0.0,0.0
1987-07-14,0.0,0.82,0.81,0.82,172800,0.0,0.0
1987-07-15,0.0,0.82,0.82,0.82,223200,0.0,0.0
1987-07-16,0.0,0.9,0.83,0.9,1736000,0.0,0.0
1987-07-17,0.0,0.93,0.89,0.91,1768800,0.0,0.0
1987-07-20,0.0,0.96,0.88,0.94,1204800,0.0,0.0
1987-07-21,0.0,0.96,0.93,0.94,604800,0.0,0.0
1987-07-22,0.0,0.96,0.92,0.94,376800,0.0,0.0
1987-07-23,0.0,0.95,0.93,0.94,147200,0.0,0.0
1987-07-24,0.0,0.96,0.92,0.96,604800,0.0,0.0
1987-07-27,0.0,0.96,0.95,0.95,802400,0.0,0.0
1987-07-28,0.0,1.03,0.94,1.03,1824000,0.0,0.0
1987-07-29,0.0,1.02,1.0,1.02,408800,0.0,0.0
1987-07-30,0.0,1.02,1.0,1.01,214400,0.0,0.0
1987-07-31,0.0,1.03,1.0,1.03,1058400,0.0,0.0
1987-08-03,0.0,1.07,1.02,1.05,1037600,0.0,0.0
1987-08-04,0.0,1.1,1.06,1.08,1436000,0.0,0.0
1987-08-05,0.0,1.08,1.06,1.07,389600,0.0,0.0
1987-08-06,0.0,1.07,1.05,1.06,232800,0.0,0.0
1987-08-07,0.0,1.05,1.02,1.04,400800,0.0,0.0
1987-08-10,0.0,1.06,1.04,1.05,475200,0.0,0.0
1987-08-11,0.0,1.05,1.04,1.05,259200,0.0,0.0
1987-08-12,0.0,1.05,1.03,1.04,470400,0.0,0.0
1987-08-13,0.0,1.14,1.05,1.12,2546400,0.0,0.0
1987-08-14,0.0,1.19,1.11,1.19,1385600,0.0,0.0
1987-08-17,0.0,1.23,1.19,1.22,588000,0.0,0.0
1987-08-18,0.0,1.23,1.2,1.22,440000,0.0,0.0
1987-08-19,0.0,1.22,1.2,1.22,936800,0.0,0.0
1987-08-20,0.0,1.26,1.22,1.25,447200,0.0,0.0
1987-08-21,0.0,1.31,1.26,1.3,441600,0.0,0.0
1987-08-24,0.0,1.32,1.29,1.31,368000,0.0,0.0
1987-08-25,0.0,1.44,1.32,1.38,1443200,0.0,0.0
1987-08-26,0.0,1.43,1.38,1.4,824000,0.0,0.0
1987-08-27,0.0,1.39,1.33,1.33,564800,0.0,0.0
1987-08-28,0.0,1.32,1.23,1.28,660800,0.0,0.0
1987-08-31,0.0,1.34,1.29,1.33,524000,0.0,0.0
1987-09-01,0.0,1.35,1.3,1.3,386400,0.0,0.0
1987-09-02,0.0,1.3,1.28,1.28,446400,0.0,0.0
1987-09-03,0.0,1.31,1.26,1.26,586400,0.0,0.0
1987-09-04,0.0,1.27,1.25,1.27,180000,0.0,0.0
1987-09-08,0.0,1.28,1.21,1.24,360000,0.0,0.0
1987-09-09,0.0,1.24,1.24,1.24,120000,0.0,0.0
1987-09-10,0.0,1.24,1.24,1.24,156800,0.0,0.0
1987-09-11,0.0,1.31,1.25,1.31,304800,0.0,0.0
1987-09-14,0.0,1.35,1.31,1.31,326400,0.0,0.0
1987-09-15,0.0,1.31,1.28,1.28,158400,0.0,0.0
1987-09-16,0.0,1.31,1.27,1.27,187200,0.0,0.0
1987-09-17,0.0,1.28,1.27,1.28,57600,0.0,0.0
1987-09-18,0.0,1.29,1.25,1.25,122400,0.0,0.0
1987-09-21,0.0,1.25,1.21,1.21,624800,0.0,0.0
1987-09-22,0.0,1.21,1.18,1.21,572000,0.0,0.0
1987-09-23,0.0,1.24,1.22,1.24,144800,0.0,0.0
1987-09-24,0.0,1.27,1.24,1.27,74400,0.0,0.0
1987-09-25,0.0,1.29,1.28,1.28,84000,0.0,0.0
1987-09-28,0.0,1.31,1.29,1.3,573600,0.0,0.0
1987-09-29,0.0,1.3,1.28,1.28,87200,0.0,0.0
1987-09-30,0.0,1.28,1.24,1.26,249600,0.0,0.0
1987-10-01,0.0,1.25,1.22,1.22,309600,0.0,0.0
1987-10-02,0.0,1.23,1.21,1.22,197600,0.0,0.0
1987-10-05,0.0,1.23,1.17,1.17,943200,0.0,0.0
1987-10-06,0.0,1.19,1.17,1.18,420000,0.0,0.0
1987-10-07,0.0,1.21,1.18,1.19,449600,0.0,0.0
1987-10-08,0.0,1.19,1.15,1.15,393600,0.0,0.0
1987-10-09,0.0,1.15,1.13,1.13,91200,0.0,0.0
1987-10-12,0.0,1.14,1.12,1.13,104000,0.0,0.0
1987-10-13,0.0,1.13,1.11,1.11,89600,0.0,0.0
1987-10-14,0.0,1.1,1.1,1.1,392000,0.0,0.0
1987-10-15,0.0,1.09,1.01,1.01,338400,0.0,0.0
1987-10-16,0.0,1.01,0.9,0.9,568800,0.0,0.0
1987-10-19,0.0,0.87,0.75,0.76,1210400,0.0,0.0
1987-10-20,0.0,0.8,0.63,0.64,878400,0.0,0.0
1987-10-21,0.0,0.75,0.68,0.7,3610400,0.0,0.0
1987-10-22,0.0,0.72,0.63,0.71,3105600,0.0,0.0
1987-10-23,0.0,0.71,0.67,0.67,316800,0.0,0.0
1987-10-26,0.0,0.64,0.55,0.57,556800,0.0,0.0
1987-10-27,0.0,0.6,0.54,0.54,317600,0.0,0.0
1987-10-28,0.0,0.56,0.51,0.54,487200,0.0,0.0
1987-10-29,0.0,0.58,0.53,0.58,245600,0.0,0.0
1987-10-30,0.0,0.66,0.59,0.64,706400,0.0,0.0
1987-11-02,0.0,0.65,0.62,0.64,519200,0.0,0.0
1987-11-03,0.0,0.64,0.59,0.6,428000,0.0,0.0
1987-11-04,0.0,0.6,0.59,0.59,127200,0.0,0.0
1987-11-05,0.0,0.63,0.59,0.62,232800,0.0,0.0
1987-11-06,0.0,0.65,0.63,0.64,614400,0.0,0.0
1987-11-09,0.0,0.64,0.6,0.64,470400,0.0,0.0
1987-11-10,0.0,0.64,0.61,0.63,317600,0.0,0.0
1987-11-11,0.0,0.71,0.64,0.7,375200,0.0,0.0
1987-11-12,0.0,0.73,0.7,0.71,566400,0.0,0.0
1987-11-13,0.0,0.71,0.69,0.7,221600,0.0,0.0
1987-11-16,0.0,0.7,0.68,0.69,254400,0.0,0.0
1987-11-17,0.0,0.7,0.67,0.67,194400,0.0,0.0
