Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,1.76,1.7,1.7,150700,0.0,0.0
1980-03-18,0.0,1.72,1.67,1.67,435600,0.0,0.0
1980-03-19,0.0,1.79,1.74,1.74,234100,0.0,0.0
1980-03-20,0.0,1.76,1.7,1.7,59500,0.0,0.0
1980-03-21,0.0,1.76,1.7,1.7,52800,0.0,0.0
1980-03-24,0.0,1.65,1.59,1.59,311800,0.0,0.0
1980-03-25,0.0,1.68,1.63,1.63,170200,0.0,0.0
1980-03-26,0.0,1.68,1.63,1.63,195700,0.0,0.0
1980-03-27,0.0,1.5,1.45,1.45,298900,0.0,0.0
1980-03-28,0.0,1.7,1.65,1.65,264600,0.0,0.0
1980-03-31,0.0,1.79,1.74,1.74,344400,0.0,0.0
1980-04-01,0.0,1.77,1.72,1.72,241800,0.0,0.0
1980-04-02,0.0,1.77,1.72,1.72,60900,0.0,0.0
1980-04-03,0.0,1.76,1.7,1.7,130500,0.0,0.0
1980-04-07,0.0,1.67,1.61,1.61,136900,0.0,0.0
1980-04-08,0.0,1.68,1.63,1.63,97300,0.0,0.0
1980-04-09,0.0,1.76,1.7,1.7,204700,0.0,0.0
1980-04-10,0.0,1.83,1.77,1.77,213900,0.0,0.0
1980-04-11,0.0,1.83,1.77,1.77,264100,0.0,0.0
1980-04-14,0.0,1.76,1.7,1.7,130500,0.0,0.0
1980-04-15,0.0,1.74,1.68,1.68,122800,0.0,0.0
1980-04-16,0.0,1.76,1.7,1.7,64000,0.0,0.0
1980-04-17,0.0,1.74,1.68,1.68,103200,0.0,0.0
1980-04-18,0.0,1.72,1.67,1.67,124800,0.0,0.0
1980-04-21,0.0,1.68,1.63,1.63,135000,0.0,0.0
1980-04-22,0.0,1.77,1.72,1.72,180400,0.0,0.0
1980-04-23,0.0,1.79,1.74,1.74,173400,0.0,0.0
1980-04-24,0.0,1.87,1.81,1.81,96000,0.0,0.0
1980-04-25,0.0,1.83,1.77,1.77,27100,0.0,0.0
1980-04-28,0.0,1.87,1.81,1.81,63600,0.0,0.0
1980-04-29,0.0,1.9,1.85,1.85,77100,0.0,0.0
1980-04-30,0.0,1.92,1.87,1.87,125700,0.0,0.0
1980-05-01,0.0,1.87,1.81,1.81,198600,0.0,0.0
1980-05-02,0.0,1.87,1.81,1.81,79200,0.0,0.0
1980-05-05,0.0,1.88,1.83,1.83,42700,0.0,0.0
1980-05-06,0.0,1.87,1.81,1.81,157900,0.0,0.0
1980-05-07,0.0,1.81,1.76,1.76,166000,0.0,0.0
1980-05-08,0.0,1.74,1.68,1.68,103200,0.0,0.0
1980-05-09,0.0,1.76,1.7,1.7,13500,0.0,0.0
1980-05-12,0.0,1.76,1.7,1.7,7300,0.0,0.0
1980-05-13,0.0,1.79,1.74,1.74,94000,0.0,0.0
1980-05-14,0.0,1.83,1.77,1.77,581400,0.0,0.0
1980-05-15,0.0,1.83,1.77,1.77,66700,0.0,0.0
1980-05-16,0.0,1.88,1.83,1.83,197700,0.0,0.0
1980-05-19,0.0,1.9,1.85,1.85,60900,0.0,0.0
1980-05-20,0.0,1.83,1.77,1.77,200700,0.0,0.0
1980-05-21,0.0,1.83,1.77,1.77,77100,0.0,0.0
1980-05-22,0.0,1.87,1.81,1.81,106600,0.0,0.0
1980-05-23,0.0,1.9,1.85,1.85,115600,0.0,0.0
1980-05-27,0.0,1.9,1.85,1.85,143100,0.0,0.0
1980-05-28,0.0,1.88,1.83,1.83,121500,0.0,0.0
1980-05-29,0.0,1.85,1.79,1.79,136500,0.0,0.0
1980-05-30,0.0,1.87,1.81,1.81,832200,0.0,0.0
1980-06-02,0.0,1.87,1.81,1.81,93100,0.0,0.0
1980-06-03,0.0,1.85,1.79,1.79,79200,0.0,0.0
1980-06-04,0.0,1.85,1.79,1.79,212500,0.0,0.0
1980-06-05,0.0,1.83,1.77,1.77,236800,0.0,0.0
1980-06-06,0.0,1.88,1.83,1.83,175000,0.0,0.0
