Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1975-11-17,0.0,0.98,0.98,0.98,53200,0.0,0.0
1975-11-18,0.0,1.01,1.01,1.01,106800,0.0,0.0
1975-11-19,0.0,0.96,0.96,0.96,170400,0.0,0.0
1975-11-20,0.0,0.95,0.95,0.95,61200,0.0,0.0
1975-11-21,0.0,0.95,0.95,0.95,64000,0.0,0.0
1975-11-24,0.0,0.94,0.94,0.94,88400,0.0,0.0
1975-11-25,0.0,0.94,0.94,0.94,75200,0.0,0.0
1975-11-26,0.0,0.95,0.95,0.95,89200,0.0,0.0
1975-11-28,0.0,0.95,0.95,0.95,95600,0.0,0.0
1975-12-01,0.0,0.93,0.93,0.93,102400,0.0,0.0
1975-12-02,0.0,0.88,0.88,0.88,78400,0.0,0.0
1975-12-03,0.0,0.84,0.84,0.84,86400,0.0,0.0
1975-12-04,0.0,0.84,0.84,0.84,48800,0.0,0.0
1975-12-05,0.0,0.83,0.83,0.83,62800,0.0,0.0
1975-12-08,0.0,0.83,0.83,0.83,87600,0.0,0.0
1975-12-09,0.0,0.83,0.83,0.83,158800,0.0,0.0
1975-12-10,0.0,0.84,0.84,0.84,99600,0.0,0.0
1975-12-11,0.0,0.84,0.84,0.84,62400,0.0,0.0
1975-12-12,0.0,0.88,0.88,0.88,116400,0.0,0.0
1975-12-15,0.0,0.88,0.88,0.88,170800,0.0,0.0
1975-12-16,0.0,0.89,0.89,0.89,110400,0.0,0.0
1975-12-17,0.0,0.9,0.9,0.9,92800,0.0,0.0
1975-12-18,0.0,0.9,0.9,0.9,81200,0.0,0.0
1975-12-19,0.0,0.9,0.9,0.9,130800,0.0,0.0
1975-12-22,0.0,0.9,0.9,0.9,67200,0.0,0.0
1975-12-23,0.0,0.9,0.9,0.9,59600,0.0,0.0
1975-12-24,0.0,0.88,0.88,0.88,135200,0.0,0.0
1975-12-26,0.0,0.88,0.88,0.88,46800,0.0,0.0
1975-12-29,0.0,0.87,0.87,0.87,52800,0.0,0.0
1975-12-30,0.0,0.87,0.87,0.87,54000,0.0,0.0
1975-12-31,0.0,0.87,0.87,0.87,34800,0.0,0.0
1976-01-02,0.0,0.88,0.88,0.88,71600,0.0,0.0
1976-01-05,0.0,0.89,0.89,0.89,104400,0.0,0.0
1976-01-06,0.0,0.93,0.93,0.93,132800,0.0,0.0
1976-01-07,0.0,0.91,0.91,0.91,120000,0.0,0.0
1976-01-08,0.0,0.91,0.91,0.91,85200,0.0,0.0
1976-01-09,0.0,0.91,0.91,0.91,59600,0.0,0.0
1976-01-12,0.0,0.91,0.91,0.91,48800,0.0,0.0
1976-01-13,0.0,0.9,0.9,0.9,112400,0.0,0.0
1976-01-14,0.0,0.91,0.91,0.91,90000,0.0,0.0
1976-01-15,0.0,0.9,0.9,0.9,174000,0.0,0.0
1976-01-16,0.0,0.9,0.9,0.9,14400,0.0,0.0
1976-01-19,0.0,0.9,0.9,0.9,56000,0.0,0.0
1976-01-20,0.0,0.9,0.9,0.9,59200,0.0,0.0
1976-01-21,0.0,0.9,0.9,0.9,62000,0.0,0.0
