Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1992-03-19,0.23,0.23,0.2,0.23,205745669,0,0.0
1992-03-20,0.25,0.25,0.23,0.25,32442246,0,0.0
1992-03-23,0.27,0.27,0.25,0.27,14843492,0,0.0
1992-03-24,0.25,0.27,0.24,0.25,19590822,0,0.0
1992-03-25,0.24,0.25,0.24,0.24,4158765,0,0.0
1992-03-26,0.23,0.25,0.23,0.23,8304594,0,0.0
1992-03-27,0.24,0.24,0.23,0.24,8175239,0,0.0
1992-03-30,0.24,0.24,0.24,0.24,3447312,0,0.0
1992-03-31,0.24,0.24,0.24,0.24,2063213,0,0.0
1992-04-01,0.24,0.24,0.24,0.24,3621941,0,0.0
1992-04-02,0.24,0.24,0.24,0.24,1319421,0,0.0
1992-04-03,0.23,0.24,0.23,0.23,4158765,0,0.0
1992-04-06,0.23,0.24,0.23,0.23,5083653,0,0.0
1992-04-07,0.23,0.24,0.23,0.23,4999573,0,0.0
1992-04-08,0.21,0.23,0.21,0.21,15186282,0,0.0
1992-04-09,0.22,0.22,0.21,0.22,15102202,0,0.0
1992-04-10,0.22,0.22,0.21,0.22,8013545,0,0.0
1992-04-13,0.21,0.22,0.21,0.21,4288120,0,0.0
1992-04-14,0.21,0.22,0.21,0.21,4352797,0,0.0
1992-04-15,0.21,0.22,0.21,0.21,2910489,0,0.0
1992-04-16,0.21,0.22,0.21,0.21,3453780,0,0.0
1992-04-20,0.21,0.21,0.21,0.21,1254744,0,0.0
1992-04-21,0.19,0.21,0.19,0.19,2211971,0,0.0
1992-04-22,0.17,0.19,0.17,0.17,15380315,0,0.0
1992-04-23,0.18,0.19,0.17,0.18,16337542,0,0.0
1992-04-24,0.18,0.18,0.17,0.18,1261212,0,0.0
1992-04-27,0.17,0.18,0.17,0.17,2690585,0,0.0
1992-04-28,0.18,0.18,0.17,0.18,2160229,0,0.0
1992-04-29,0.18,0.18,0.17,0.18,155226,0,0.0
1992-04-30,0.18,0.19,0.18,0.18,4242846,0,0.0
1992-05-01,0.19,0.2,0.19,0.19,1629874,0,0.0
1992-05-04,0.21,0.21,0.19,0.21,1345292,0,0.0
1992-05-05,0.2,0.21,0.2,0.2,1920922,0,0.0
1992-05-06,0.19,0.21,0.19,0.19,5141863,0,0.0
1992-05-07,0.19,0.19,0.19,0.19,2606504,0,0.0
1992-05-08,0.19,0.2,0.19,0.19,420404,0,0.0
1992-05-11,0.2,0.2,0.19,0.2,1306486,0,0.0
1992-05-12,0.19,0.2,0.19,0.19,1351760,0,0.0
1992-05-13,0.19,0.19,0.18,0.19,1099518,0,0.0
1992-05-14,0.18,0.19,0.18,0.18,4760266,0,0.0
1992-05-15,0.18,0.18,0.17,0.18,595033,0,0.0
1992-05-18,0.18,0.18,0.17,0.18,1785100,0,0.0
1992-05-19,0.17,0.18,0.17,0.17,1552261,0,0.0
1992-05-20,0.17,0.18,0.17,0.17,679114,0,0.0
1992-05-21,0.18,0.18,0.17,0.18,2296052,0,0.0
1992-05-22,0.18,0.18,0.17,0.18,763195,0,0.0
1992-05-26,0.17,0.18,0.17,0.17,3524925,0,0.0
1992-05-27,0.17,0.18,0.17,0.17,3945329,0,0.0
1992-05-28,0.17,0.17,0.17,0.17,19849532,0,0.0
1992-05-29,0.19,0.19,0.17,0.19,42286165,0,0.0
1992-06-01,0.21,0.21,0.19,0.21,1953261,0,0.0
1992-06-02,0.21,0.22,0.21,0.21,3337360,0,0.0
1992-06-03,0.21,0.22,0.21,0.21,743792,0,0.0
1992-06-04,0.22,0.22,0.21,0.22,3078650,0,0.0
1992-06-05,0.21,0.22,0.21,0.21,1933858,0,0.0
1992-06-08,0.21,0.21,0.21,0.21,6286655,0,0.0
1992-06-09,0.2,0.22,0.2,0.2,5200073,0,0.0
1992-06-10,0.21,0.21,0.2,0.21,1442309,0,0.0
1992-06-11,0.2,0.21,0.2,0.2,2774666,0,0.0
1992-06-12,0.2,0.21,0.2,0.2,905485,0,0.0
1992-06-15,0.21,0.21,0.2,0.21,2677649,0,0.0
1992-06-16,0.21,0.21,0.2,0.21,252242,0,0.0
1992-06-17,0.2,0.2,0.19,0.2,245775,0,0.0
1992-06-18,0.2,0.2,0.19,0.2,892550,0,0.0
1992-06-19,0.19,0.2,0.19,0.19,562694,0,0.0
1992-06-22,0.18,0.19,0.18,0.18,1364696,0,0.0
1992-06-23,0.19,0.2,0.19,0.19,4010006,0,0.0
1992-06-24,0.2,0.21,0.2,0.2,1701019,0,0.0
1992-06-25,0.21,0.21,0.2,0.21,174629,0,0.0
1992-06-26,0.21,0.21,0.2,0.21,1416438,0,0.0
1992-06-29,0.22,0.22,0.2,0.22,1623406,0,0.0
1992-06-30,0.21,0.22,0.21,0.21,840808,0,0.0
1992-07-01,0.23,0.23,0.21,0.23,2457746,0,0.0
1992-07-02,0.22,0.23,0.22,0.22,155226,0,0.0
1992-07-06,0.23,0.23,0.22,0.23,2671182,0,0.0
1992-07-07,0.21,0.22,0.21,0.21,3356763,0,0.0
1992-07-08,0.21,0.22,0.21,0.21,109952,0,0.0
1992-07-09,0.22,0.22,0.22,0.22,614436,0,0.0
1992-07-10,0.23,0.23,0.22,0.23,595033,0,0.0
1992-07-13,0.22,0.23,0.22,0.22,426872,0,0.0
1992-07-14,0.22,0.23,0.22,0.22,1041308,0,0.0
1992-07-15,0.22,0.22,0.22,0.22,187565,0,0.0
1992-07-16,0.22,0.22,0.22,0.22,1519922,0,0.0
1992-07-17,0.22,0.22,0.22,0.22,97016,0,0.0
1992-07-20,0.21,0.22,0.21,0.21,769663,0,0.0
1992-07-21,0.21,0.21,0.21,0.21,181097,0,0.0
1992-07-22,0.19,0.21,0.19,0.19,1785100,0,0.0
1992-07-23,0.19,0.2,0.19,0.19,4779669,0,0.0
1992-07-24,0.2,0.2,0.19,0.2,1177131,0,0.0
1992-07-27,0.2,0.2,0.2,0.2,142291,0,0.0
1992-07-28,0.21,0.21,0.2,0.21,1028373,0,0.0
1992-07-29,0.22,0.23,0.21,0.22,60130693,0,0.0
1992-07-30,0.22,0.22,0.21,0.22,659711,0,0.0
1992-07-31,0.22,0.22,0.21,0.22,2140826,0,0.0
1992-08-03,0.22,0.22,0.21,0.22,595033,0,0.0
1992-08-04,0.22,0.22,0.21,0.22,582098,0,0.0
