Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-06-01,0.0,0.77,0.76,0.77,825600.0,0.0,0.0
1972-06-02,0.78,0.78,0.78,0.78,2496000.0,0.0,0.0
1972-06-05,0.78,0.79,0.78,0.78,960000.0,0.0,0.0
1972-06-06,0.78,0.79,0.75,0.75,1824000.0,0.0,0.0
1972-06-07,0.75,0.75,0.75,0.75,604800.0,0.0,0.0
1972-06-08,0.75,0.76,0.75,0.75,1180800.0,0.0,0.0
1972-06-09,0.75,0.75,0.74,0.75,451200.0,0.0,0.0
1972-06-12,0.75,0.75,0.75,0.75,153600.0,0.0,0.0
1972-06-13,0.75,0.78,0.75,0.78,700800.0,0.0,0.0
1972-06-14,0.79,0.8,0.79,0.8,787200.0,0.0,0.0
1972-06-15,0.8,0.8,0.79,0.79,787200.0,0.0,0.0
1972-06-16,0.79,0.79,0.78,0.79,576000.0,0.0,0.0
1972-06-19,0.79,0.79,0.78,0.79,720000.0,0.0,0.0
1972-06-20,0.79,0.8,0.79,0.8,460800.0,0.0,0.0
1972-06-21,0.8,0.81,0.79,0.79,1872000.0,0.0,0.0
1972-06-22,0.79,0.8,0.79,0.79,604800.0,0.0,0.0
1972-06-23,0.8,0.8,0.8,0.8,787200.0,0.0,0.0
1972-06-26,0.8,0.8,0.8,0.8,470400.0,0.0,0.0
1972-06-27,0.8,0.8,0.79,0.8,1008000.0,0.0,0.0
1972-06-28,0.8,0.8,0.79,0.79,57600.0,0.0,0.0
1972-06-29,0.78,0.78,0.78,0.78,326400.0,0.0,0.0
1972-06-30,0.78,0.8,0.78,0.79,441600.0,0.0,0.0
1972-07-03,0.79,0.79,0.79,0.79,422400.0,0.00219,0.0
1972-07-05,0.79,0.82,0.79,0.82,1065600.0,0.0,0.0
1972-07-06,0.82,0.83,0.82,0.83,1008000.0,0.0,0.0
1972-07-07,0.83,0.84,0.83,0.84,1094400.0,0.0,0.0
1972-07-10,0.84,0.84,0.82,0.82,1344000.0,0.0,0.0
1972-07-11,0.82,0.83,0.82,0.82,739200.0,0.0,0.0
1972-07-12,0.82,0.83,0.82,0.82,604800.0,0.0,0.0
1972-07-13,0.82,0.82,0.81,0.81,422400.0,0.0,0.0
1972-07-14,0.81,0.82,0.81,0.81,364800.0,0.0,0.0
1972-07-17,0.81,0.81,0.79,0.79,547200.0,0.0,0.0
1972-07-18,0.78,0.78,0.77,0.78,1161600.0,0.0,0.0
1972-07-19,0.78,0.8,0.78,0.79,1219200.0,0.0,0.0
1972-07-20,0.79,0.79,0.78,0.78,643200.0,0.0,0.0
1972-07-21,0.78,0.8,0.78,0.8,1420800.0,0.0,0.0
1972-07-24,0.81,0.83,0.81,0.82,2448000.0,0.0,0.0
1972-07-25,0.82,0.82,0.82,0.82,316800.0,0.0,0.0
1972-07-26,0.82,0.83,0.82,0.83,806400.0,0.0,0.0
1972-07-27,0.83,0.84,0.83,0.83,700800.0,0.0,0.0
1972-07-28,0.82,0.82,0.82,0.82,355200.0,0.0,0.0
1972-07-31,0.82,0.82,0.81,0.81,902400.0,0.0,0.0
1972-08-01,0.81,0.82,0.81,0.82,1843200.0,0.0,0.0
1972-08-02,0.83,0.83,0.83,0.83,1286400.0,0.0,0.0
1972-08-03,0.83,0.84,0.83,0.84,662400.0,0.0,0.0
1972-08-04,0.84,0.86,0.84,0.86,902400.0,0.0,0.0
1972-08-07,0.86,0.87,0.85,0.87,700800.0,0.0,0.0
1972-08-08,0.87,0.88,0.86,0.88,1123200.0,0.0,0.0
1972-08-09,0.88,0.9,0.88,0.89,2054400.0,0.0,0.0
1972-08-10,0.89,0.89,0.89,0.89,547200.0,0.0,0.0
1972-08-11,0.89,0.89,0.88,0.89,297600.0,0.0,0.0
1972-08-14,0.89,0.89,0.87,0.87,499200.0,0.0,0.0
1972-08-15,0.87,0.87,0.85,0.85,5212800.0,0.0,0.0
1972-08-16,0.85,0.85,0.84,0.84,844800.0,0.0,0.0
1972-08-17,0.84,0.84,0.83,0.83,518400.0,0.0,0.0
1972-08-18,0.83,0.84,0.83,0.84,134400.0,0.0,0.0
1972-08-21,0.84,0.84,0.82,0.82,796800.0,0.0,0.0
1972-08-22,0.82,0.82,0.82,0.82,2409600.0,0.0,0.0
1972-08-23,0.82,0.82,0.82,0.82,384000.0,0.0,0.0
1972-08-24,0.82,0.82,0.82,0.82,499200.0,0.0,0.0
1972-08-25,0.82,0.82,0.82,0.82,960000.0,0.0,0.0
1972-08-28,0.82,0.83,0.82,0.82,1584000.0,0.0,0.0
1972-08-29,0.82,0.82,0.82,0.82,537600.0,0.0,0.0
1972-08-30,0.82,0.83,0.82,0.82,211200.0,0.0,0.0
1972-08-31,0.82,0.83,0.81,0.82,681600.0,0.0,0.0
1972-09-01,0.83,0.84,0.83,0.83,499200.0,0.0,0.0
1972-09-05,0.83,0.83,0.82,0.82,144000.0,0.0,0.0
1972-09-06,0.82,0.82,0.81,0.81,201600.0,0.0,0.0
1972-09-07,0.81,0.81,0.79,0.79,2112000.0,0.0,0.0
1972-09-08,0.79,0.8,0.79,0.79,336000.0,0.0,0.0
1972-09-11,0.78,0.78,0.77,0.77,2486400.0,0.0,0.0
1972-09-12,0.77,0.78,0.75,0.76,2544000.0,0.0,0.0
1972-09-13,0.76,0.78,0.76,0.78,1478400.0,0.0,0.0
1972-09-14,0.78,0.78,0.76,0.77,2803200.0,0.0,0.0
1972-09-15,0.77,0.77,0.76,0.77,681600.0,0.0,0.0
1972-09-18,0.77,0.77,0.76,0.76,489600.0,0.0,0.0
1972-09-19,0.77,0.77,0.77,0.77,979200.0,0.0,0.0
1972-09-20,0.77,0.77,0.75,0.77,1113600.0,0.0,0.0
1972-09-21,0.77,0.79,0.77,0.79,1046400.0,0.0,0.0
1972-09-22,0.79,0.8,0.79,0.8,1017600.0,0.0,0.0
1972-09-25,0.8,0.8,0.79,0.79,316800.0,0.0,0.0
1972-09-26,0.79,0.8,0.79,0.8,393600.0,0.0,0.0
1972-09-27,0.8,0.82,0.79,0.82,2323200.0,0.0,0.0
1972-09-28,0.82,0.87,0.81,0.87,1507200.0,0.0,0.0
1972-09-29,0.86,0.86,0.82,0.83,3465600.0,0.0,0.0
1972-10-02,0.83,0.83,0.82,0.83,480000.0,0.0,0.0
1972-10-03,0.83,0.83,0.82,0.83,336000.0,0.00219,0.0
1972-10-04,0.83,0.83,0.82,0.82,1478400.0,0.0,0.0
1972-10-05,0.82,0.82,0.81,0.81,835200.0,0.0,0.0
1972-10-06,0.81,0.81,0.78,0.8,2409600.0,0.0,0.0
1972-10-09,0.8,0.8,0.8,0.8,441600.0,0.0,0.0
1972-10-10,0.8,0.82,0.8,0.81,931200.0,0.0,0.0
1972-10-11,0.81,0.81,0.8,0.8,528000.0,0.0,0.0
1972-10-12,0.8,0.8,0.79,0.79,364800.0,0.0,0.0
1972-10-13,0.79,0.79,0.78,0.79,960000.0,0.0,0.0
1972-10-16,0.78,0.78,0.78,0.78,326400.0,0.0,0.0
1972-10-17,0.78,0.78,0.78,0.78,652800.0,0.0,0.0
1972-10-18,0.78,0.79,0.78,0.79,1017600.0,0.0,0.0
1972-10-19,0.79,0.79,0.79,0.79,835200.0,0.0,0.0
1972-10-20,0.79,0.79,0.78,0.79,1094400.0,0.0,0.0
1972-10-23,0.8,0.83,0.8,0.82,1555200.0,0.0,0.0
1972-10-24,0.82,0.83,0.81,0.83,1430400.0,0.0,0.0
1972-10-25,0.83,0.84,0.82,0.82,1449600.0,0.0,0.0
1972-10-26,0.82,0.83,0.82,0.82,4838400.0,0.0,0.0
1972-10-27,0.82,0.82,0.82,0.82,249600.0,0.0,0.0
1972-10-30,0.82,0.82,0.82,0.82,451200.0,0.0,0.0
1972-10-31,0.82,0.84,0.82,0.84,1296000.0,0.0,0.0
1972-11-01,0.84,0.84,0.83,0.83,1248000.0,0.0,0.0
1972-11-02,0.83,0.84,0.83,0.83,470400.0,0.0,0.0
1972-11-03,0.83,0.83,0.83,0.83,892800.0,0.0,0.0
1972-11-06,0.83,0.83,0.8,0.8,3609600.0,0.0,0.0
1972-11-08,0.8,0.81,0.77,0.78,2668800.0,0.0,0.0
1972-11-09,0.77,0.77,0.75,0.76,6172800.0,0.0,0.0
1972-11-10,0.76,0.77,0.75,0.75,5097600.0,0.0,0.0
1972-11-13,0.75,0.75,0.74,0.75,4108800.0,0.0,0.0
1972-11-14,0.76,0.79,0.76,0.78,1968000.0,0.0,0.0
1972-11-15,0.78,0.78,0.76,0.77,2496000.0,0.0,0.0
1972-11-16,0.77,0.77,0.77,0.77,1036800.0,0.0,0.0
1972-11-17,0.77,0.78,0.77,0.77,931200.0,0.0,0.0
1972-11-20,0.77,0.77,0.77,0.77,288000.0,0.0,0.0
1972-11-21,0.77,0.77,0.77,0.77,556800.0,0.0,0.0
1972-11-22,0.77,0.78,0.77,0.77,1344000.0,0.0,0.0
1972-11-24,0.77,0.77,0.77,0.77,1017600.0,0.0,0.0
1972-11-27,0.77,0.78,0.77,0.77,825600.0,0.0,0.0
1972-11-28,0.77,0.78,0.77,0.77,1430400.0,0.0,0.0
1972-11-29,0.77,0.78,0.77,0.78,1564800.0,0.0,0.0
1972-11-30,0.78,0.8,0.78,0.8,1276800.0,0.0,0.0
1972-12-01,0.81,0.81,0.81,0.81,1420800.0,0.0,0.0
1972-12-04,0.81,0.81,0.81,0.81,864000.0,0.0,0.0
1972-12-05,0.81,0.81,0.8,0.81,720000.0,0.0,0.0
1972-12-06,0.81,0.81,0.81,0.81,508800.0,0.0,0.0
1972-12-07,0.81,0.81,0.81,0.81,508800.0,0.0,0.0
1972-12-08,0.81,0.81,0.8,0.81,816000.0,0.0,0.0
1972-12-11,0.81,0.81,0.8,0.8,3014400.0,0.0,0.0
1972-12-12,0.8,0.81,0.8,0.8,3273600.0,0.0,0.0
