Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1984-10-17,0.0,0.11,0.11,0.11,9868800,0.0,0.0
1984-10-18,0.0,0.11,0.11,0.11,5324800,0.0,0.0
1984-10-19,0.0,0.11,0.11,0.11,3043200,0.0,0.0
1984-10-22,0.0,0.11,0.11,0.11,2326400,0.0,0.0
1984-10-23,0.0,0.11,0.1,0.1,787200,0.0,0.0
1984-10-24,0.0,0.11,0.11,0.11,230400,0.0,0.0
1984-10-25,0.0,0.11,0.1,0.1,1587200,0.0,0.0
1984-10-26,0.0,0.11,0.1,0.1,758400,0.0,0.0
1984-10-29,0.0,0.11,0.1,0.1,614400,0.0,0.0
1984-10-30,0.0,0.11,0.1,0.1,192000,0.0,0.0
1984-10-31,0.0,0.11,0.11,0.11,297600,0.0,0.0
1984-11-01,0.0,0.11,0.1,0.1,352000,0.0,0.0
1984-11-02,0.0,0.11,0.1,0.1,1638400,0.0,0.0
1984-11-05,0.0,0.1,0.1,0.1,534400,0.0,0.0
1984-11-06,0.0,0.1,0.1,0.1,544000,0.0,0.0
1984-11-07,0.0,0.1,0.1,0.1,76800,0.0,0.0
1984-11-08,0.0,0.1,0.1,0.1,44800,0.0,0.0
1984-11-09,0.0,0.1,0.1,0.1,896000,0.0,0.0
1984-11-12,0.0,0.1,0.1,0.1,300800,0.0,0.0
1984-11-13,0.0,0.1,0.1,0.1,464000,0.0,0.0
1984-11-14,0.0,0.1,0.1,0.1,1523200,0.0,0.0
1984-11-15,0.0,0.1,0.1,0.1,156800,0.0,0.0
1984-11-16,0.0,0.1,0.09,0.09,579200,0.0,0.0
1984-11-19,0.0,0.1,0.09,0.09,358400,0.0,0.0
1984-11-20,0.0,0.09,0.09,0.09,179200,0.0,0.0
1984-11-21,0.0,0.09,0.09,0.09,905600,0.0,0.0
1984-11-23,0.0,0.09,0.09,0.09,25600,0.0,0.0
1984-11-26,0.0,0.09,0.09,0.09,166400,0.0,0.0
1984-11-27,0.0,0.1,0.09,0.09,147200,0.0,0.0
1984-11-28,0.0,0.1,0.09,0.09,492800,0.0,0.0
1984-11-29,0.0,0.1,0.09,0.09,262400,0.0,0.0
1984-11-30,0.0,0.1,0.09,0.09,556800,0.0,0.0
1984-12-03,0.0,0.1,0.09,0.09,380800,0.0,0.0
1984-12-04,0.0,0.09,0.09,0.09,217600,0.0,0.0
1984-12-05,0.0,0.09,0.09,0.09,102400,0.0,0.0
1984-12-06,0.0,0.09,0.09,0.09,630400,0.0,0.0
1984-12-07,0.0,0.09,0.09,0.09,86400,0.0,0.0
1984-12-10,0.0,0.09,0.09,0.09,2099200,0.0,0.0
1984-12-11,0.0,0.09,0.09,0.09,188800,0.0,0.0
1984-12-12,0.0,0.09,0.09,0.09,393600,0.0,0.0
1984-12-13,0.0,0.09,0.09,0.09,102400,0.0,0.0
1984-12-14,0.0,0.09,0.09,0.09,89600,0.0,0.0
1984-12-17,0.0,0.09,0.09,0.09,102400,0.0,0.0
1984-12-18,0.0,0.09,0.09,0.09,214400,0.0,0.0
1984-12-19,0.0,0.09,0.09,0.09,102400,0.0,0.0
1984-12-20,0.0,0.09,0.09,0.09,121600,0.0,0.0
1984-12-21,0.0,0.09,0.09,0.09,704000,0.0,0.0
1984-12-24,0.0,0.09,0.09,0.09,921600,0.0,0.0
1984-12-26,0.0,0.09,0.09,0.09,521600,0.0,0.0
1984-12-27,0.0,0.09,0.09,0.09,947200,0.0,0.0
1984-12-28,0.0,0.09,0.09,0.09,76800,0.0,0.0
1984-12-31,0.0,0.09,0.09,0.09,457600,0.0,0.0
1985-01-02,0.0,0.09,0.09,0.09,179200,0.0,0.0
1985-01-03,0.0,0.1,0.09,0.09,227200,0.0,0.0
1985-01-04,0.0,0.1,0.09,0.09,390400,0.0,0.0
1985-01-07,0.0,0.1,0.09,0.09,2652800,0.0,0.0
1985-01-08,0.0,0.11,0.11,0.11,1190400,0.0,0.0
1985-01-09,0.0,0.11,0.11,0.11,403200,0.0,0.0
1985-01-10,0.0,0.11,0.11,0.11,1062400,0.0,0.0
1985-01-11,0.0,0.12,0.11,0.11,188800,0.0,0.0
1985-01-14,0.0,0.12,0.11,0.11,131200,0.0,0.0
1985-01-15,0.0,0.12,0.11,0.11,320000,0.0,0.0
1985-01-16,0.0,0.12,0.11,0.11,134400,0.0,0.0
1985-01-17,0.0,0.12,0.11,0.11,441600,0.0,0.0
1985-01-18,0.0,0.12,0.11,0.11,556800,0.0,0.0
1985-01-21,0.0,0.12,0.11,0.11,112000,0.0,0.0
1985-01-22,0.0,0.12,0.11,0.11,441600,0.0,0.0
1985-01-23,0.0,0.12,0.11,0.11,156800,0.0,0.0
1985-01-24,0.0,0.13,0.13,0.13,1475200,0.0,0.0
1985-01-25,0.0,0.14,0.14,0.14,1110400,0.0,0.0
1985-01-28,0.0,0.14,0.14,0.14,908800,0.0,0.0
1985-01-29,0.0,0.14,0.14,0.14,1660800,0.0,0.0
1985-01-30,0.0,0.15,0.14,0.14,928000,0.0,0.0
1985-01-31,0.0,0.15,0.14,0.14,656000,0.0,0.0
1985-02-01,0.0,0.15,0.14,0.14,208000,0.0,0.0
1985-02-04,0.0,0.16,0.15,0.15,966400,0.0,0.0
1985-02-05,0.0,0.18,0.17,0.17,2320000,0.0,0.0
1985-02-06,0.0,0.18,0.18,0.18,1280000,0.0,0.0
1985-02-07,0.0,0.18,0.18,0.18,1113600,0.0,0.0
1985-02-08,0.0,0.2,0.2,0.2,4268800,0.0,0.0
1985-02-11,0.0,0.2,0.2,0.2,998400,0.0,0.0
1985-02-12,0.0,0.2,0.19,0.19,1472000,0.0,0.0
