Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1986-11-06,2.07,2.1,2.02,2.06,17902800,0.0,0.0
1986-11-07,2.06,2.06,2.01,2.05,6288000,0.0,0.0
1986-11-10,2.03,2.03,1.98,1.99,3060000,0.0,0.0
1986-11-11,1.99,2.02,1.99,2.02,1130000,0.0,0.0
1986-11-12,2.02,2.04,2.0,2.02,2082800,0.0,0.0
1986-11-13,2.01,2.01,2.0,2.0,891200,0.0,0.0
1986-11-14,2.0,2.02,1.99,2.02,952000,0.0,0.0
1986-11-17,2.0,2.01,1.98,1.98,1055200,0.0,0.0
1986-11-18,1.98,1.99,1.94,1.95,2426400,0.0,0.0
1986-11-19,1.95,1.95,1.91,1.92,2026000,0.0,0.0
1986-11-20,1.94,1.95,1.92,1.95,3253600,0.0,0.0
1986-11-21,1.97,1.97,1.95,1.97,639600,0.0,0.0
1986-11-24,1.96,1.97,1.95,1.95,660000,0.0,0.0
1986-11-25,1.95,1.97,1.93,1.96,1080000,0.0,0.0
1986-11-26,1.96,1.98,1.93,1.96,963200,0.0,0.0
1986-11-28,1.96,1.97,1.95,1.97,521600,0.0,0.0
1986-12-01,1.96,1.98,1.96,1.98,662000,0.0,0.0
1986-12-02,1.98,2.02,1.98,2.02,1161200,0.0,0.0
1986-12-03,2.02,2.07,2.02,2.05,1210400,0.0,0.0
1986-12-04,2.05,2.05,2.02,2.03,1446400,0.0,0.0
1986-12-05,2.02,2.03,2.01,2.01,737600,0.0,0.0
1986-12-08,2.0,2.01,1.98,1.98,703600,0.0,0.0
1986-12-09,1.98,1.99,1.98,1.98,444800,0.0,0.0
1986-12-10,1.98,1.99,1.97,1.97,902400,0.0,0.0
1986-12-11,1.98,1.99,1.94,1.96,550400,0.0,0.0
1986-12-12,1.96,1.98,1.95,1.98,356800,0.0,0.0
1986-12-15,1.97,1.98,1.95,1.97,521200,0.0,0.0
1986-12-16,1.96,1.97,1.95,1.95,835600,0.0,0.0
