Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-01-02,0.02,0.02,0.02,0.02,1165600,0.0,0.0
1980-01-03,0.02,0.02,0.02,0.02,1453600,0.0,0.0
1980-01-04,0.02,0.02,0.02,0.02,1382400,0.0,0.0
1980-01-07,0.02,0.02,0.02,0.02,1087200,0.0,0.0
1980-01-08,0.02,0.02,0.02,0.02,1213200,0.0,0.0
1980-01-09,0.02,0.02,0.02,0.02,9965200,0.0,0.0
1980-01-10,0.02,0.02,0.02,0.02,5922400,0.0,0.0
1980-01-11,0.02,0.02,0.02,0.02,5394400,0.0,0.0
1980-01-14,0.02,0.02,0.02,0.02,4000000,0.0,0.0
1980-01-15,0.02,0.02,0.02,0.02,1886800,0.0,0.0
1980-01-16,0.02,0.02,0.02,0.02,5077600,0.0,0.0
1980-01-17,0.02,0.02,0.02,0.02,1208800,0.0,0.0
1980-01-18,0.02,0.02,0.02,0.02,1122800,0.0,0.0
1980-01-21,0.02,0.02,0.02,0.02,1487200,0.0,0.0
1980-01-22,0.02,0.02,0.02,0.02,1380000,0.0,0.0
1980-01-23,0.02,0.02,0.02,0.02,899200,0.0,0.0
1980-01-24,0.02,0.02,0.02,0.02,2329200,0.0,0.0
1980-01-25,0.02,0.02,0.02,0.02,863600,0.0,0.0
1980-01-28,0.02,0.02,0.02,0.02,1727200,0.0,0.0
1980-01-29,0.02,0.02,0.02,0.02,949200,0.0,0.0
1980-01-30,0.02,0.02,0.02,0.02,701600,0.0,0.0
1980-01-31,0.02,0.02,0.02,0.02,987200,0.0,0.0
1980-02-01,0.02,0.02,0.02,0.02,623200,0.0,0.0
1980-02-04,0.02,0.02,0.02,0.02,758800,0.0,0.0
1980-02-05,0.02,0.02,0.02,0.02,1955600,0.0,0.0
1980-02-06,0.02,0.02,0.02,0.02,3205200,0.0,0.0
1980-02-07,0.02,0.02,0.02,0.02,8009200,0.0,0.0
1980-02-08,0.02,0.02,0.02,0.02,3726000,0.0,0.0
1980-02-11,0.02,0.02,0.02,0.02,4266400,0.0,0.0
1980-02-12,0.02,0.02,0.02,0.02,3612000,0.0,0.0
1980-02-13,0.02,0.02,0.02,0.02,2558000,0.0,0.0
1980-02-14,0.02,0.02,0.02,0.02,2776800,0.0,0.0
1980-02-15,0.02,0.02,0.02,0.02,3792800,0.0,0.0
1980-02-19,0.02,0.02,0.02,0.02,3395200,0.0,0.0
1980-02-20,0.02,0.02,0.02,0.02,1641600,0.0,0.0
1980-02-21,0.02,0.02,0.02,0.02,2108000,0.0,0.0
1980-02-22,0.02,0.02,0.02,0.02,3788000,0.0,0.0
1980-02-25,0.02,0.02,0.02,0.02,1284800,0.0,0.0
1980-02-26,0.02,0.02,0.02,0.02,1701200,0.0,0.0
1980-02-27,0.02,0.02,0.02,0.02,1665600,0.0,0.0
1980-02-28,0.02,0.02,0.02,0.02,2041600,0.0,0.0
1980-02-29,0.02,0.02,0.02,0.02,1901200,0.0,0.0
1980-03-03,0.02,0.02,0.02,0.02,1408400,0.0,0.0
1980-03-04,0.02,0.02,0.02,0.02,1513200,0.0,0.0
1980-03-05,0.02,0.02,0.02,0.02,1308400,0.0,0.0
1980-03-06,0.02,0.02,0.02,0.02,1779600,0.02942,0.0
1980-03-07,0.02,0.02,0.02,0.02,2258000,0.0,0.0
1980-03-10,0.02,0.02,0.02,0.02,1758400,0.0,0.0
1980-03-11,0.02,0.02,0.02,0.02,2493600,0.0,0.0
1980-03-12,0.02,0.02,0.02,0.02,1891600,0.0,0.0
1980-03-13,0.02,0.02,0.02,0.02,920800,0.0,0.0
1980-03-14,0.02,0.02,0.02,0.02,1401200,0.0,0.0
1980-03-17,0.02,0.02,0.02,0.02,1146800,0.0,0.0
1980-03-18,0.02,0.02,0.02,0.02,1613200,0.0,0.0
1980-03-19,0.02,0.02,0.02,0.02,2260400,0.0,0.0
1980-03-20,0.02,0.02,0.02,0.02,2629200,0.0,0.0
1980-03-21,0.02,0.02,0.02,0.02,1180000,0.0,0.0
1980-03-24,0.02,0.02,0.02,0.02,2419600,0.0,0.0
1980-03-25,0.02,0.02,0.02,0.02,1932000,0.0,0.0
1980-03-26,0.02,0.02,0.02,0.02,796800,0.0,0.0
1980-03-27,0.02,0.02,0.02,0.02,1656000,0.0,0.0
1980-03-28,0.02,0.02,0.02,0.02,1213200,0.0,0.0
1980-03-31,0.02,0.02,0.02,0.02,920800,0.0,0.0
1980-04-01,0.02,0.02,0.02,0.02,2017600,0.0,0.0
1980-04-02,0.02,0.02,0.02,0.02,1322800,0.0,0.0
1980-04-03,0.02,0.02,0.02,0.02,1353600,0.0,0.0
1980-04-07,0.02,0.02,0.02,0.02,1149200,0.0,0.0
1980-04-08,0.02,0.02,0.02,0.02,1541600,0.0,0.0
1980-04-09,0.02,0.02,0.02,0.02,1344400,0.0,0.0
1980-04-10,0.02,0.02,0.02,0.02,842000,0.0,0.0
1980-04-11,0.02,0.02,0.02,0.02,663600,0.0,0.0
1980-04-14,0.02,0.02,0.02,0.02,432800,0.0,0.0
1980-04-15,0.02,0.02,0.02,0.02,628000,0.0,0.0
1980-04-16,0.02,0.02,0.02,0.02,1368000,0.0,0.0
1980-04-17,0.02,0.02,0.02,0.02,6688800,0.0,0.0
1980-04-18,0.02,0.02,0.02,0.02,1325200,0.0,0.0
1980-04-21,0.02,0.02,0.02,0.02,694800,0.0,0.0
1980-04-22,0.02,0.02,0.02,0.02,1299200,0.0,0.0
1980-04-23,0.02,0.02,0.02,0.02,1122800,0.0,0.0
1980-04-24,0.02,0.02,0.02,0.02,2253200,0.0,0.0
1980-04-25,0.02,0.02,0.02,0.02,2050800,0.0,0.0
1980-04-28,0.02,0.02,0.02,0.02,1303600,0.0,0.0
1980-04-29,0.02,0.02,0.02,0.02,561200,0.0,0.0
1980-04-30,0.02,0.02,0.02,0.02,1039600,0.0,0.0
1980-05-01,0.02,0.02,0.02,0.02,737600,0.0,0.0
1980-05-02,0.02,0.02,0.02,0.02,537600,0.0,0.0
1980-05-05,0.02,0.02,0.02,0.02,1016000,0.0,0.0
1980-05-06,0.02,0.02,0.02,0.02,1118000,0.0,0.0
1980-05-07,0.02,0.02,0.02,0.02,806400,0.0,0.0
1980-05-08,0.02,0.02,0.02,0.02,606400,0.0,0.0
1980-05-09,0.02,0.02,0.02,0.02,975600,0.0,0.0
1980-05-12,0.02,0.02,0.02,0.02,796800,0.0,2.0
1980-05-13,0.02,0.02,0.02,0.02,729200,0.0,0.0
1980-05-14,0.02,0.02,0.02,0.02,976400,0.0,0.0
1980-05-15,0.02,0.02,0.02,0.02,510400,0.0,0.0
1980-05-16,0.02,0.02,0.02,0.02,372000,0.0,0.0
1980-05-19,0.02,0.02,0.02,0.02,267600,0.0,0.0
1980-05-20,0.02,0.02,0.02,0.02,535200,0.0,0.0
1980-05-21,0.02,0.02,0.02,0.02,487600,0.0,0.0
1980-05-22,0.02,0.02,0.02,0.02,780400,0.0,0.0
1980-05-23,0.02,0.02,0.02,0.02,1331200,0.0,0.0
1980-05-27,0.02,0.02,0.02,0.02,1588000,0.0,0.0
1980-05-28,0.02,0.02,0.02,0.02,513600,0.0,0.0
1980-05-29,0.02,0.02,0.02,0.02,558800,0.0,0.0
1980-05-30,0.02,0.02,0.02,0.02,856400,0.0,0.0
1980-06-02,0.02,0.02,0.02,0.02,552000,0.0,0.0
1980-06-03,0.02,0.02,0.02,0.02,919600,0.0,0.0
1980-06-04,0.02,0.02,0.02,0.02,1586800,0.0,0.0
1980-06-05,0.02,0.02,0.02,0.02,1794000,0.02942,0.0
1980-06-06,0.02,0.02,0.02,0.02,396000,0.0,0.0
1980-06-09,0.02,0.02,0.02,0.02,649600,0.0,0.0
1980-06-10,0.02,0.02,0.02,0.02,415200,0.0,0.0
1980-06-11,0.02,0.02,0.02,0.02,1057600,0.0,0.0
1980-06-12,0.02,0.02,0.02,0.02,2532800,0.0,0.0
1980-06-13,0.02,0.02,0.02,0.02,544800,0.0,0.0
1980-06-16,0.02,0.02,0.02,0.02,625600,0.0,0.0
1980-06-17,0.02,0.02,0.02,0.02,1508400,0.0,0.0
1980-06-18,0.02,0.02,0.02,0.02,893200,0.0,0.0
1980-06-19,0.02,0.02,0.02,0.02,2094800,0.0,0.0
1980-06-20,0.02,0.02,0.02,0.02,2846800,0.0,0.0
1980-06-23,0.02,0.02,0.02,0.02,3628400,0.0,0.0
1980-06-24,0.02,0.02,0.02,0.02,1628400,0.0,0.0
1980-06-25,0.02,0.02,0.02,0.02,1408400,0.0,0.0
1980-06-26,0.02,0.02,0.02,0.02,3609600,0.0,0.0
1980-06-27,0.02,0.02,0.02,0.02,976400,0.0,0.0
1980-06-30,0.02,0.02,0.02,0.02,856400,0.0,0.0
1980-07-01,0.02,0.02,0.02,0.02,838400,0.0,0.0
1980-07-02,0.02,0.02,0.02,0.02,429200,0.0,0.0
1980-07-03,0.02,0.02,0.02,0.02,776800,0.0,0.0
1980-07-07,0.02,0.02,0.02,0.02,1066000,0.0,0.0
1980-07-08,0.02,0.02,0.02,0.02,1316800,0.0,0.0
1980-07-09,0.02,0.02,0.02,0.02,1531200,0.0,0.0
1980-07-10,0.02,0.02,0.02,0.02,788800,0.0,0.0
1980-07-11,0.02,0.02,0.02,0.02,553200,0.0,0.0
1980-07-14,0.02,0.02,0.02,0.02,2127200,0.0,0.0
1980-07-15,0.02,0.02,0.02,0.02,3106400,0.0,0.0
1980-07-16,0.02,0.02,0.02,0.02,1520400,0.0,0.0
1980-07-17,0.02,0.02,0.02,0.02,2437600,0.0,0.0
1980-07-18,0.02,0.02,0.02,0.02,1794000,0.0,0.0
1980-07-21,0.02,0.02,0.02,0.02,1152800,0.0,0.0
1980-07-22,0.02,0.02,0.02,0.02,1045600,0.0,0.0
1980-07-23,0.02,0.02,0.02,0.02,1697600,0.0,0.0
1980-07-24,0.02,0.02,0.02,0.02,1446400,0.0,0.0
1980-07-25,0.02,0.02,0.02,0.02,862400,0.0,0.0
