Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1999-11-10,39.64,42.88,39.33,41.62,80793700,0.0,0
1999-11-11,41.92,46.92,41.92,45.73,28309000,0.0,0
1999-11-12,46.34,46.73,42.23,42.99,14768100,0.0,0
1999-11-15,42.99,43.22,41.05,42.08,8675100,0.0,0
1999-11-16,41.39,41.47,39.64,40.25,6978600,0.0,0
1999-11-17,39.98,41.58,39.71,41.28,5806900,0.0,0
1999-11-18,41.43,42.04,40.32,40.44,4718700,0.0,0
1999-11-19,40.44,40.44,39.18,39.64,5091100,0.0,0
1999-11-22,39.07,39.18,37.2,38.49,4785400,0.0,0
1999-11-23,38.65,40.86,38.57,40.36,2832200,0.0,0
1999-11-24,40.43,41.77,40.39,41.46,2179400,0.3,0
1999-11-26,41.92,42.54,41.77,42.34,1322500,0.0,0
1999-11-29,42.88,43.03,41.04,41.73,1987000,0.0,0
1999-11-30,41.27,41.43,40.47,40.47,1686100,0.0,0
1999-12-01,40.58,41.27,40.2,40.35,1405700,0.0,0
1999-12-02,40.43,41.08,40.35,41.08,1391000,0.0,0
1999-12-03,41.31,41.46,40.62,40.7,1753500,0.0,0
1999-12-06,40.74,40.74,40.05,40.58,1398900,0.0,0
1999-12-07,40.39,41.66,40.35,41.66,1793100,0.0,0
1999-12-08,41.66,41.88,40.89,41.88,1774000,0.0,0
1999-12-09,41.88,42.11,40.81,41.35,1713600,0.0,0
1999-12-10,40.66,41.04,40.05,40.51,1248600,0.0,0
1999-12-13,40.66,41.0,39.74,40.43,1417800,0.0,0
1999-12-14,40.43,40.43,39.66,39.82,1886600,0.0,0
1999-12-15,39.82,39.86,39.01,39.05,1602800,0.0,0
1999-12-16,39.05,39.24,38.75,39.2,1364600,0.0,0
1999-12-17,39.66,41.43,39.63,40.81,1980800,0.0,0
1999-12-20,41.46,41.96,41.0,41.96,1501300,0.0,0
1999-12-21,41.81,42.27,41.35,42.27,1265200,0.0,0
1999-12-22,42.23,42.23,40.47,41.04,1264700,0.0,0
1999-12-23,40.74,41.58,40.2,41.5,1180600,0.0,0
1999-12-27,41.96,42.69,41.35,42.69,1478800,0.0,0
1999-12-28,42.57,42.69,41.69,42.27,1051400,0.0,0
1999-12-29,42.27,42.5,41.39,41.66,904700,0.0,0
1999-12-30,42.42,42.57,41.66,41.66,926700,0.0,0
1999-12-31,42.19,42.57,41.88,42.27,649300,0.0,0
2000-01-03,42.69,42.73,41.04,41.08,1273200,0.0,0
2000-01-04,41.04,41.04,39.59,39.78,1385800,0.0,0
2000-01-05,39.74,41.66,39.66,41.66,1401700,0.0,0
2000-01-06,40.35,41.73,39.82,41.66,1959100,0.0,0
2000-01-07,41.43,41.43,40.28,40.66,996000,0.0,0
2000-01-10,40.97,41.31,40.7,41.08,1191700,0.0,0
2000-01-11,41.12,41.31,39.97,39.97,1020000,0.0,0
2000-01-12,40.51,41.35,40.09,41.27,1097700,0.0,0
2000-01-13,41.43,41.96,41.27,41.85,1071200,0.0,0
2000-01-14,42.19,42.42,41.85,42.31,1160000,0.0,0
2000-01-18,42.27,42.27,41.27,42.08,980500,0.0,0
2000-01-19,41.96,42.0,41.31,41.81,1087300,0.0,0
2000-01-20,41.73,42.34,41.73,42.19,1972000,0.0,0
2000-01-21,42.19,42.19,40.85,41.2,1270100,0.0,0
2000-01-24,41.58,41.81,40.43,40.43,831400,0.0,0
2000-01-25,40.2,40.81,39.66,40.35,1263000,0.0,0
2000-01-26,39.97,40.2,39.51,39.89,933400,0.0,0
2000-01-27,40.01,40.05,39.2,39.89,1128400,0.0,0
2000-01-28,39.89,40.35,39.2,39.78,1324700,0.0,0
2000-01-31,38.59,39.2,36.14,36.75,5745800,0.0,0
2000-02-01,36.56,37.67,35.72,37.6,4761000,0.0,0
2000-02-02,36.6,36.72,35.03,35.68,4740600,0.0,0
2000-02-03,36.3,36.45,35.15,35.3,1951900,0.0,0
2000-02-04,35.64,35.64,34.34,34.53,1745200,0.0,0
2000-02-07,34.69,34.8,34.0,34.15,1480200,0.0,0
2000-02-08,34.46,36.37,34.15,36.37,2055100,0.0,0
2000-02-09,36.45,36.52,35.53,35.53,1209400,0.0,0
2000-02-10,35.57,35.84,34.61,34.96,995700,0.0,0
2000-02-11,34.8,34.92,33.77,33.77,1013900,0.0,0
2000-02-14,33.88,34.0,33.16,33.31,2052800,0.0,0
2000-02-15,33.35,33.69,32.81,33.65,1182900,0.0,0
2000-02-16,33.81,34.57,33.39,34.3,1530000,0.0,0
2000-02-17,34.61,35.68,34.38,35.53,1036000,0.0,0
2000-02-18,35.53,36.41,33.84,34.88,1529200,0.0,0
2000-02-22,34.88,34.88,33.42,33.69,1226000,0.0,0
2000-02-23,33.73,34.46,33.12,33.65,855700,0.0,0
2000-02-24,33.8,33.8,33.07,33.22,1049300,0.17,0
2000-02-25,33.76,34.26,33.22,34.1,961700,0.0,0
2000-02-28,34.14,34.18,33.49,33.8,565600,0.0,0
2000-02-29,33.8,33.99,33.49,33.57,750900,0.0,0
2000-03-01,33.57,33.6,31.88,32.26,1471000,0.0,0
2000-03-02,32.03,32.95,31.99,32.76,1136600,0.0,0
2000-03-03,32.76,32.87,32.3,32.38,1030700,0.0,0
2000-03-06,33.41,33.41,32.26,32.41,1431500,0.0,0
2000-03-07,32.41,32.45,30.11,31.11,2319100,0.0,0
2000-03-08,32.41,33.49,31.53,33.37,2275300,0.0,0
2000-03-09,33.49,33.49,32.22,32.57,1199700,0.0,0
2000-03-10,33.03,33.41,32.61,32.84,776700,0.0,0
2000-03-13,32.11,33.3,32.03,32.41,671700,0.0,0
2000-03-14,32.26,32.87,32.14,32.3,1072500,0.0,0
2000-03-15,32.53,34.03,31.72,33.76,2274800,0.0,0
2000-03-16,34.33,35.41,33.83,34.56,1635300,0.0,0
2000-03-17,35.06,35.06,34.1,34.1,622400,0.0,0
2000-03-20,34.72,34.95,33.95,34.76,843400,0.0,0
2000-03-21,34.6,35.87,33.95,35.75,889000,0.0,0
2000-03-22,35.75,36.29,34.91,34.95,763100,0.0,0
2000-03-23,34.91,36.83,34.41,36.64,1472900,0.0,0
2000-03-24,36.87,39.4,36.75,39.17,2148200,0.0,0
2000-03-27,38.71,39.33,38.48,38.83,960400,0.0,0
2000-03-28,38.4,38.71,36.91,37.02,639300,0.0,0
2000-03-29,37.64,37.64,35.83,36.29,869700,0.0,0
2000-03-30,36.14,36.95,35.83,35.99,682400,0.0,0
2000-03-31,36.6,38.71,35.75,38.7,727100,0.0,0
2000-04-03,38.1,38.1,36.25,36.48,830000,0.0,0
2000-04-04,36.48,36.72,34.03,35.52,1309000,0.0,0
2000-04-05,34.91,35.79,34.91,35.75,478000,0.0,0
2000-04-06,35.83,36.98,35.83,36.79,800700,0.0,0
2000-04-07,36.79,37.75,36.33,37.41,778200,0.0,0
2000-04-10,37.56,39.33,37.48,39.33,1275600,0.0,0
2000-04-11,38.9,38.9,38.17,38.83,616700,0.0,0
2000-04-12,38.6,38.64,37.64,37.79,608700,0.0,0
2000-04-13,37.79,37.79,36.52,37.02,566300,0.0,0
2000-04-14,35.95,36.1,33.8,33.8,859800,0.0,0
2000-04-17,35.03,36.56,33.8,35.64,1152900,0.0,0
2000-04-18,35.64,37.6,35.64,37.29,714900,0.0,0
2000-04-19,36.98,37.18,36.1,36.29,510200,0.0,0
2000-04-20,37.48,39.25,37.25,39.02,1730600,0.0,0
2000-04-24,38.71,38.87,38.1,38.48,1071000,0.0,0
2000-04-25,39.52,40.82,39.21,40.82,1644600,0.0,0
2000-04-26,40.86,41.13,39.9,40.67,1239300,0.0,0
2000-04-27,40.25,40.9,40.06,40.52,689400,0.0,0
2000-04-28,40.98,41.02,40.25,40.86,1011200,0.0,0
2000-05-01,40.94,41.13,39.48,39.48,904600,0.0,0
2000-05-02,39.36,39.6,38.87,39.21,1565300,0.0,0
2000-05-03,39.36,39.36,38.29,38.33,566400,0.0,0
