Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1970-01-02,0.01,0.01,0.01,0.01,243200,0.0,0.0
1970-01-05,0.01,0.01,0.01,0.01,172800,0.0,0.0
1970-01-06,0.01,0.01,0.01,0.01,281600,0.0,0.0
1970-01-07,0.01,0.01,0.01,0.01,124800,0.0,0.0
1970-01-08,0.01,0.01,0.01,0.01,102400,0.0,0.0
1970-01-09,0.01,0.01,0.01,0.01,134400,0.0,0.0
1970-01-12,0.01,0.01,0.01,0.01,80000,0.0,0.0
1970-01-13,0.01,0.01,0.01,0.01,608000,0.0,0.0
1970-01-14,0.01,0.01,0.01,0.01,745600,0.0,0.0
1970-01-15,0.01,0.01,0.01,0.01,694400,0.0,0.0
1970-01-16,0.01,0.01,0.01,0.01,700800,0.0,0.0
1970-01-19,0.01,0.01,0.01,0.01,473600,0.0,0.0
1970-01-20,0.01,0.01,0.01,0.01,912000,0.0,0.0
1970-01-21,0.01,0.01,0.01,0.01,512000,0.0,0.0
1970-01-22,0.01,0.01,0.01,0.01,457600,0.0,0.0
1970-01-23,0.01,0.01,0.01,0.01,387200,0.0,0.0
1970-01-26,0.01,0.01,0.01,0.01,528000,0.0,0.0
1970-01-27,0.01,0.01,0.01,0.01,700800,0.0,0.0
1970-01-28,0.01,0.01,0.01,0.01,457600,0.0,0.0
1970-01-29,0.01,0.01,0.01,0.01,982400,0.0,0.0
1970-01-30,0.01,0.01,0.01,0.01,272000,0.0,0.0
1970-02-02,0.01,0.01,0.01,0.01,275200,0.0,0.0
1970-02-03,0.01,0.01,0.01,0.01,515200,0.0,0.0
1970-02-04,0.01,0.01,0.01,0.01,492800,0.0,0.0
1970-02-05,0.01,0.01,0.01,0.01,160000,0.0,0.0
1970-02-06,0.01,0.01,0.01,0.01,633600,0.0,0.0
1970-02-09,0.01,0.01,0.01,0.01,406400,0.0,0.0
1970-02-10,0.01,0.01,0.01,0.01,652800,0.0,0.0
1970-02-11,0.01,0.01,0.01,0.01,873600,0.0,0.0
1970-02-12,0.01,0.01,0.01,0.01,1296000,0.0,0.0
1970-02-13,0.01,0.01,0.01,0.01,608000,0.0,0.0
1970-02-16,0.01,0.01,0.01,0.01,924800,0.0,0.0
1970-02-17,0.01,0.01,0.01,0.01,755200,0.01406,0.0
1970-02-18,0.01,0.01,0.01,0.01,1075200,0.0,0.0
1970-02-19,0.01,0.01,0.01,0.01,992000,0.0,0.0
1970-02-20,0.01,0.01,0.01,0.01,1177600,0.0,0.0
1970-02-24,0.01,0.01,0.01,0.01,841600,0.0,0.0
1970-02-25,0.01,0.01,0.01,0.01,2160000,0.0,0.0
1970-02-26,0.01,0.01,0.01,0.01,828800,0.0,0.0
1970-02-27,0.01,0.01,0.01,0.01,1897600,0.0,0.0
1970-03-02,0.01,0.01,0.01,0.01,1737600,0.0,0.0
1970-03-03,0.01,0.01,0.01,0.01,464000,0.0,0.0
