Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-03-19,11.76,13.63,10.87,11.16,708486000,0.0,0.0
2008-03-20,11.54,12.84,11.36,12.72,198985200,0.0,0.0
2008-03-24,13.29,13.38,11.66,11.8,149566400,0.0,0.0
2008-03-25,11.97,12.7,11.82,12.5,87092000,0.0,0.0
2008-03-26,12.4,12.74,12.17,12.64,43111600,0.0,0.0
2008-03-27,12.66,12.79,12.38,12.43,39829600,0.0,0.0
2008-03-28,12.52,12.54,12.28,12.4,24675200,0.0,0.0
2008-03-31,12.37,12.54,12.26,12.32,22157200,0.0,0.0
2008-04-01,12.46,12.58,11.92,12.17,60410800,0.0,0.0
2008-04-02,12.2,12.31,11.96,12.31,43836400,0.0,0.0
2008-04-03,12.24,13.1,12.22,12.94,100868000,0.0,0.0
2008-04-04,12.82,12.91,12.6,12.74,36394400,0.0,0.0
2008-04-07,12.86,13.0,12.65,12.85,28301600,0.0,0.0
2008-04-08,12.82,13.48,12.81,13.46,53925600,0.0,0.0
2008-04-09,13.52,13.58,12.97,13.0,48324400,0.0,0.0
2008-04-10,13.07,13.19,12.87,13.06,22372000,0.0,0.0
2008-04-11,12.89,13.19,12.89,13.06,26421600,0.0,0.0
2008-04-14,13.18,13.29,12.95,12.98,28443600,0.0,0.0
2008-04-15,13.1,13.15,12.65,12.72,23888000,0.0,0.0
2008-04-16,12.76,13.23,12.76,13.07,25136800,0.0,0.0
2008-04-17,13.09,13.39,13.04,13.25,22459600,0.0,0.0
2008-04-18,13.44,13.92,13.28,13.63,104099600,0.0,0.0
2008-04-21,13.73,14.33,13.61,14.02,58848000,0.0,0.0
2008-04-22,14.21,14.31,13.83,13.89,47357600,0.0,0.0
2008-04-23,14.02,14.17,13.77,13.85,37319600,0.0,0.0
2008-04-24,14.07,14.42,13.84,14.29,38086800,0.0,0.0
2008-04-25,15.02,15.03,14.61,14.84,101460000,0.0,0.0
2008-04-28,15.12,15.27,14.8,14.95,132517200,0.0,0.0
2008-04-29,14.65,15.98,14.03,15.98,197308400,0.0,0.0
2008-04-30,16.09,16.76,16.02,16.49,147543600,0.0,0.0
2008-05-01,16.68,17.32,16.58,16.88,116395600,0.0,0.0
2008-05-02,17.25,17.29,16.01,16.35,136648800,0.0,0.0
2008-05-05,16.37,16.9,15.97,16.81,70377200,0.0,0.0
2008-05-06,16.89,17.42,16.75,17.3,75913200,0.0,0.0
2008-05-07,17.55,17.75,17.32,17.49,100464800,0.0,0.0
2008-05-08,17.69,17.74,16.98,17.25,92836400,0.0,0.0
2008-05-09,16.96,17.13,16.31,16.37,94312000,0.0,0.0
2008-05-12,16.53,16.69,15.43,16.18,147471600,0.0,0.0
2008-05-13,16.17,16.5,15.96,16.28,53249600,0.0,0.0
2008-05-14,16.46,16.67,16.1,16.25,51400400,0.0,0.0
2008-05-15,16.31,16.39,16.03,16.25,36688800,0.0,0.0
2008-05-16,16.34,16.37,16.06,16.28,34066800,0.0,0.0
2008-05-19,16.26,16.75,16.23,16.46,45473200,0.0,0.0
2008-05-20,16.38,16.57,16.19,16.35,40702000,0.0,0.0
2008-05-21,16.34,16.49,15.91,15.98,41831600,0.0,0.0
2008-05-22,15.92,15.93,15.05,15.28,85283600,0.0,0.0
2008-05-23,14.99,15.28,14.84,15.09,42196400,0.0,0.0
2008-05-27,15.2,15.6,14.69,15.56,62776400,0.0,0.0
2008-05-28,15.87,16.19,15.72,16.19,52996000,0.0,0.0
2008-05-29,16.49,17.18,16.4,16.85,100613200,0.0,0.0
2008-05-30,17.0,17.3,16.96,17.07,72016000,0.0,0.0
2008-06-02,17.04,17.18,16.72,17.01,36856000,0.0,0.0
2008-06-03,17.19,17.38,17.0,17.3,48411600,0.0,0.0
2008-06-04,17.21,17.41,16.85,16.89,40684400,0.0,0.0
2008-06-05,17.09,17.24,16.91,17.24,27059600,0.0,0.0
2008-06-06,16.97,16.99,16.51,16.53,41748000,0.0,0.0
2008-06-09,16.6,16.79,15.92,16.23,45240000,0.0,0.0
2008-06-10,15.87,16.38,15.73,15.87,36048400,0.0,0.0
2008-06-11,16.01,16.01,15.33,15.36,56996400,0.0,0.0
2008-06-12,15.6,15.96,15.52,15.72,44605600,0.0,0.0
2008-06-13,15.86,16.17,15.84,16.11,30689200,0.0,0.0
2008-06-16,16.1,16.5,16.03,16.45,34384000,0.0,0.0
2008-06-17,16.62,16.79,16.54,16.73,33277600,0.0,0.0
2008-06-18,16.54,16.74,16.49,16.57,33724000,0.0,0.0
2008-06-19,16.5,16.68,16.13,16.65,36925200,0.0,0.0
2008-06-20,16.4,16.7,16.35,16.51,42546800,0.0,0.0
2008-06-23,16.57,16.67,16.01,16.02,30141200,0.0,0.0
2008-06-24,15.82,16.39,15.51,16.33,49891200,0.0,0.0
2008-06-25,16.47,16.68,16.18,16.22,50711600,0.0,0.0
2008-06-26,15.93,15.95,15.42,15.63,76562800,0.0,0.0
2008-06-27,15.57,16.38,15.52,16.32,176022800,0.0,0.0
2008-06-30,16.21,16.37,15.87,16.07,49301200,0.0,0.0
2008-07-01,15.74,16.09,15.65,16.09,44921600,0.0,0.0
2008-07-02,16.18,16.28,15.67,15.69,33804000,0.0,0.0
2008-07-03,15.68,15.77,15.27,15.43,28738800,0.0,0.0
2008-07-07,15.51,15.8,14.62,14.94,79944400,0.0,0.0
2008-07-08,14.8,15.71,14.28,15.62,95796400,0.0,0.0
2008-07-09,15.61,15.63,14.9,14.99,55322000,0.0,0.0
2008-07-10,14.97,15.34,14.6,15.27,52812000,0.0,0.0
2008-07-11,14.94,15.3,14.62,14.73,54645200,0.0,0.0
2008-07-14,15.04,15.05,14.33,14.34,42679600,0.0,0.0
2008-07-15,14.08,14.09,13.3,13.52,84268800,0.0,0.0
2008-07-16,13.5,14.34,13.14,14.27,92448800,0.0,0.0
2008-07-17,14.56,14.83,14.1,14.83,67268800,0.0,0.0
2008-07-18,14.67,14.72,14.25,14.5,46632000,0.0,0.0
2008-07-21,14.61,14.81,14.14,14.21,52937200,0.0,0.0
2008-07-22,13.75,14.67,13.42,14.63,65408000,0.0,0.0
2008-07-23,14.52,14.82,14.35,14.47,49942800,0.0,0.0
2008-07-24,14.41,14.57,13.82,13.85,36625600,0.0,0.0
2008-07-25,13.94,14.3,13.65,14.22,38690800,0.0,0.0
2008-07-28,14.31,14.54,13.88,13.94,35699200,0.0,0.0
2008-07-29,14.04,15.01,14.03,15.01,49040400,0.0,0.0
2008-07-30,15.27,15.59,14.68,15.5,76089200,0.0,0.0
2008-07-31,15.06,15.44,14.13,14.44,148888800,0.0,0.0
2008-08-01,14.48,14.64,13.9,14.17,61715600,0.0,0.0
2008-08-04,14.18,14.54,14.13,14.33,42686000,0.0,0.0
2008-08-05,14.46,14.67,14.29,14.54,34354800,0.0,0.0
2008-08-06,14.39,14.39,14.04,14.12,40924000,0.0,0.0
2008-08-07,13.99,14.08,13.7,13.73,43847200,0.0,0.0
2008-08-08,13.79,14.4,13.66,14.35,36354400,0.0,0.0
2008-08-11,14.31,15.12,14.22,14.78,55289200,0.0,0.0
2008-08-12,14.66,14.78,14.35,14.39,33734400,0.0,0.0
2008-08-13,14.46,14.74,14.41,14.69,29924800,0.105,0.0
2008-08-14,14.68,15.06,14.63,15.06,25839200,0.0,0.0
2008-08-15,15.1,15.21,14.87,15.06,26003200,0.0,0.0
2008-08-18,15.03,15.16,14.74,14.89,25850400,0.0,0.0
2008-08-19,14.8,14.95,14.63,14.66,21104800,0.0,0.0
2008-08-20,14.73,14.85,14.64,14.82,18118800,0.0,0.0
2008-08-21,14.7,14.84,14.55,14.78,15544800,0.0,0.0
2008-08-22,14.98,15.06,14.68,14.73,20955600,0.0,0.0
2008-08-25,14.61,14.88,14.53,14.57,18039600,0.0,0.0
2008-08-26,14.64,14.77,14.48,14.58,18667200,0.0,0.0
2008-08-27,14.52,14.81,14.48,14.8,19141600,0.0,0.0
2008-08-28,14.86,15.07,14.74,15.04,26741200,0.0,0.0
2008-08-29,14.9,15.11,14.85,15.09,19326400,0.0,0.0
2008-09-02,15.27,15.4,14.79,14.9,29898400,0.0,0.0
2008-09-03,14.82,14.97,14.32,14.52,35400800,0.0,0.0
