Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2005-12-05,32.36,34.44,32.36,34.2,905200,0.0,0
2005-12-06,34.32,35.47,34.32,35.47,850400,0.0,0
2005-12-07,35.38,35.92,35.38,35.88,870900,0.0,0
2005-12-08,35.88,35.88,34.76,35.08,965300,0.0,0
2005-12-09,35.24,35.36,34.23,34.88,908500,0.0,0
2005-12-12,34.76,35.32,34.72,34.78,752200,0.0,0
2005-12-13,34.72,35.35,34.6,35.08,143700,0.0,0
2005-12-14,35.09,35.3,34.9,35.08,164300,0.0,0
2005-12-15,35.0,35.0,34.27,34.29,180400,0.0,0
2005-12-16,34.36,34.51,34.19,34.51,147000,0.0,0
2005-12-19,34.44,34.44,33.89,34.03,276300,0.0,0
2005-12-20,34.03,34.03,33.44,33.56,760000,0.0,0
2005-12-21,33.64,33.91,33.4,33.43,401500,0.0,0
2005-12-22,33.55,33.55,33.07,33.2,388000,0.0,0
2005-12-23,33.24,33.24,32.96,33.12,625900,0.0,0
2005-12-27,33.12,33.12,32.12,32.24,491600,0.0,0
2005-12-28,32.16,32.28,31.92,32.17,908400,0.0,0
2005-12-29,32.16,32.44,31.82,31.92,660100,0.0,0
2005-12-30,31.92,32.88,31.79,32.88,3564700,0.0,0
2006-01-03,32.86,33.64,30.89,33.24,6392100,0.0,0
2006-01-04,33.39,33.72,33.31,33.55,6084400,0.0,0
2006-01-05,33.46,33.9,33.36,33.76,5540600,0.0,0
2006-01-06,33.88,34.32,33.83,34.08,5627600,0.0,0
2006-01-09,34.1,34.23,33.87,33.96,5130600,0.0,0
2006-01-10,33.76,33.97,33.19,33.88,4909000,0.0,0
2006-01-11,33.84,33.88,33.28,33.41,5048000,0.0,0
2006-01-12,34.03,34.03,32.87,33.28,6165400,0.0,0
2006-01-13,33.23,33.77,33.13,33.71,4719200,0.0,0
2006-01-17,33.45,33.68,33.25,33.32,4465500,0.0,0
2006-01-18,33.32,33.47,32.86,33.36,3201100,0.0,0
2006-01-19,33.52,34.28,33.43,34.18,3559200,0.0,0
2006-01-20,34.12,34.14,33.89,33.92,3967100,0.0,0
2006-01-23,33.92,34.55,33.78,34.48,3843000,0.0,0
2006-01-24,34.54,34.8,34.39,34.73,3727800,0.0,0
2006-01-25,34.75,35.0,34.43,34.59,3816900,0.0,0
2006-01-26,34.76,35.04,34.23,34.44,2461200,0.0,0
2006-01-27,34.44,34.83,34.19,34.59,2552500,0.0,0
2006-01-30,34.58,34.63,33.91,34.0,2645800,0.0,0
2006-01-31,34.0,34.02,33.11,33.15,3835300,0.0,0
2006-02-01,33.03,33.68,33.02,33.63,3465900,0.0,0
2006-02-02,33.7,33.83,33.09,33.38,2738300,0.0,0
2006-02-03,33.18,33.63,33.18,33.55,2974500,0.0,0
2006-02-06,33.55,33.75,33.45,33.47,2461600,0.0,0
2006-02-07,33.52,33.85,33.43,33.44,3277500,0.0,0
2006-02-08,33.4,33.97,33.09,33.96,2953400,0.0,0
2006-02-09,33.87,34.27,33.72,34.24,2518600,0.0,0
2006-02-10,34.24,34.44,34.06,34.32,2515300,0.0,0
2006-02-13,34.24,34.27,33.97,34.18,1838000,0.0,0
2006-02-14,34.18,34.71,33.97,34.51,2202300,0.0,0
2006-02-15,34.36,34.76,34.2,34.68,1790800,0.0,0
2006-02-16,34.76,35.08,34.37,34.84,2503300,0.0,0
2006-02-17,34.85,34.91,34.28,34.3,2299800,0.0,0
2006-02-21,34.2,34.2,33.74,33.9,1950200,0.0,0
2006-02-22,33.92,33.94,33.18,33.48,2962000,0.0,0
2006-02-23,33.04,33.44,32.34,32.73,5608400,0.0,0
2006-02-24,32.56,32.57,31.86,32.09,5639000,0.0,0
2006-02-27,32.1,32.36,31.94,32.09,3749200,0.0,0
2006-02-28,32.08,32.16,31.8,31.93,4406900,0.0,0
2006-03-01,31.96,32.71,31.88,32.71,3132700,0.0,0
2006-03-02,32.43,32.44,31.8,31.95,4475600,0.0,0
2006-03-03,31.72,31.95,31.7,31.8,3727200,0.0,0
2006-03-06,31.8,31.94,30.81,30.87,5281300,0.0,0
2006-03-07,30.77,30.77,30.24,30.41,5802100,0.0,0
2006-03-08,30.33,30.62,30.1,30.41,4306400,0.0,0
2006-03-09,30.37,30.68,30.15,30.59,3898800,0.0,0
2006-03-10,30.61,31.13,30.53,31.05,3227500,0.0,0
2006-03-13,30.99,31.12,30.85,31.01,2463300,0.0,0
2006-03-14,30.93,31.33,30.93,31.17,1755400,0.0,0
2006-03-15,31.09,31.14,30.84,31.05,2182900,0.0,0
2006-03-16,31.09,31.09,30.61,30.61,2066000,0.0,0
2006-03-17,30.81,31.25,30.7,31.17,3374800,0.0,0
2006-03-20,31.38,31.6,31.1,31.17,3006500,0.0,0
2006-03-21,31.13,31.15,30.44,30.45,2459300,0.0,0
2006-03-22,30.33,30.79,30.29,30.53,2279600,0.0,0
2006-03-23,30.53,30.89,30.39,30.89,2221600,0.0,0
2006-03-24,30.77,31.01,30.69,30.97,1757600,0.0,0
2006-03-27,31.01,31.08,30.85,30.94,2883600,0.0,0
2006-03-28,30.81,31.06,30.66,30.93,3095100,0.0,0
2006-03-29,30.93,31.41,30.81,31.41,3158300,0.0,0
2006-03-30,31.25,31.37,30.98,31.13,1961700,0.0,0
2006-03-31,31.09,31.23,30.73,31.01,3513000,0.0,0
2006-04-03,31.21,31.49,30.72,30.73,3338400,0.0,0
2006-04-04,30.67,31.08,30.49,30.92,3050800,0.0,0
2006-04-05,30.91,31.25,30.85,31.08,2453000,0.0,0
2006-04-06,30.94,31.33,30.79,31.32,2829600,0.0,0
2006-04-07,31.32,31.62,30.93,30.94,3261100,0.0,0
2006-04-10,30.89,30.89,30.62,30.69,2435000,0.0,0
2006-04-11,30.87,30.9,30.49,30.64,2515700,0.0,0
2006-04-12,30.62,30.78,30.53,30.66,2594600,0.0,0
2006-04-13,30.37,30.93,30.37,30.91,1687900,0.0,0
2006-04-17,30.85,30.85,30.64,30.74,1695400,0.0,0
2006-04-18,30.89,30.89,30.59,30.73,2773100,0.0,0
2006-04-19,30.58,30.97,30.57,30.85,2624000,0.0,0
2006-04-20,30.85,30.99,30.7,30.93,2158300,0.0,0
2006-04-21,30.17,31.19,30.17,31.01,2264400,0.0,0
2006-04-24,30.97,31.2,30.97,31.17,2082900,0.0,0
2006-04-25,31.25,31.82,31.21,31.68,3717300,0.0,0
2006-04-26,31.84,32.16,31.6,32.09,4445200,0.0,0
2006-04-27,31.96,32.3,31.96,32.16,3697900,0.0,0
2006-04-28,32.08,32.08,31.72,31.83,5165600,0.0,0
2006-05-01,31.84,31.89,31.28,31.38,2291900,0.0,0
2006-05-02,31.41,31.47,31.05,31.05,3612300,0.0,0
2006-05-03,30.99,31.24,30.89,31.17,2913400,0.0,0
2006-05-04,31.21,31.86,31.19,31.73,2687600,0.0,0
2006-05-05,31.92,32.11,31.72,32.04,2035100,0.0,0
2006-05-08,31.98,32.28,31.75,31.76,1725500,0.0,0
2006-05-09,31.76,31.83,31.64,31.77,1780800,0.0,0
2006-05-10,31.59,31.68,31.41,31.6,2694300,0.0,0
