Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1982-01-04,1.45,1.47,1.43,1.46,321100,0.0,0.0
1982-01-05,1.43,1.46,1.39,1.44,442400,0.0,0.0
1982-01-06,1.37,1.42,1.32,1.36,565800,0.0,0.0
1982-01-07,1.33,1.36,1.3,1.32,508900,0.0,0.0
1982-01-08,1.33,1.35,1.32,1.33,340400,0.0,0.0
1982-01-11,1.29,1.35,1.23,1.25,521100,0.0,0.0
1982-01-12,1.26,1.28,1.23,1.28,473400,0.0,0.0
1982-01-13,1.25,1.29,1.21,1.23,313300,0.0,0.0
1982-01-14,1.25,1.29,1.21,1.26,260800,0.0,0.0
1982-01-15,1.29,1.3,1.27,1.3,185900,0.0,0.0
1982-01-18,1.29,1.3,1.27,1.29,208700,0.0,0.0
1982-01-19,1.23,1.29,1.17,1.19,1352100,0.0,0.0
1982-01-20,1.2,1.23,1.18,1.23,477400,0.0,0.0
1982-01-21,1.23,1.23,1.21,1.22,393400,0.0,0.0
1982-01-22,1.22,1.23,1.2,1.22,238000,0.0,0.0
1982-01-25,1.22,1.23,1.2,1.21,223600,0.0,0.0
1982-01-26,1.2,1.23,1.17,1.18,329500,0.0,0.0
1982-01-27,1.2,1.23,1.18,1.23,160100,0.0,0.0
1982-01-28,1.26,1.27,1.23,1.26,301900,0.0,0.0
1982-01-29,1.29,1.3,1.27,1.27,326000,0.0,0.0
1982-02-01,1.24,1.26,1.23,1.23,123800,0.0,0.0
1982-02-02,1.23,1.23,1.21,1.21,227900,0.0,0.0
1982-02-03,1.2,1.23,1.18,1.2,197300,0.0,0.0
1982-02-04,1.2,1.21,1.19,1.2,176300,0.0,0.0
1982-02-05,1.2,1.22,1.19,1.19,123800,0.01828,0.0
1982-02-08,1.17,1.19,1.14,1.14,328600,0.0,0.0
1982-02-09,1.14,1.16,1.12,1.13,207800,0.0,0.0
1982-02-10,1.11,1.15,1.06,1.08,397700,0.0,0.0
1982-02-11,1.09,1.11,1.06,1.07,400800,0.0,0.0
1982-02-12,1.11,1.13,1.09,1.09,541300,0.0,0.0
1982-02-16,1.08,1.09,1.06,1.09,231000,0.0,0.0
1982-02-17,1.1,1.11,1.09,1.09,408200,0.0,0.0
1982-02-18,1.12,1.13,1.1,1.13,163200,0.0,0.0
1982-02-19,1.12,1.13,1.1,1.12,138200,0.0,0.0
1982-02-22,1.12,1.16,1.08,1.08,187200,0.0,0.0
1982-02-23,1.06,1.09,1.03,1.09,267300,0.0,0.0
1982-02-24,1.1,1.13,1.07,1.1,301900,0.0,0.0
1982-02-25,1.11,1.13,1.09,1.13,497500,0.0,0.0
1982-02-26,1.14,1.15,1.13,1.14,250300,0.0,0.0
1982-03-01,1.13,1.15,1.1,1.13,213100,0.0,0.0
1982-03-02,1.13,1.15,1.09,1.09,136000,0.0,0.0
1982-03-03,1.07,1.09,1.04,1.07,514100,0.0,0.0
1982-03-04,1.01,1.04,0.97,1.0,267300,0.0,0.0
1982-03-05,0.99,1.03,0.94,0.97,344800,0.0,0.0
1982-03-08,0.97,1.01,0.91,0.91,262500,0.0,0.0
1982-03-09,0.93,0.96,0.9,0.94,392000,0.0,0.0
1982-03-10,0.97,1.02,0.93,0.97,238900,0.0,0.0
1982-03-11,1.0,1.01,0.98,0.98,140900,0.0,0.0
1982-03-12,0.98,1.0,0.97,0.98,143500,0.0,0.0
1982-03-15,1.01,1.03,1.0,1.01,99700,0.0,0.0
1982-03-16,1.03,1.05,1.0,1.02,128200,0.0,0.0
1982-03-17,1.03,1.04,1.03,1.03,59000,0.0,0.0
1982-03-18,1.07,1.09,1.04,1.09,208200,0.0,0.0
1982-03-19,1.11,1.13,1.09,1.09,141700,0.0,0.0
1982-03-22,1.09,1.11,1.08,1.09,111100,0.0,0.0
1982-03-23,1.1,1.13,1.07,1.1,195100,0.0,0.0
1982-03-24,1.06,1.1,1.02,1.04,215200,0.0,0.0
1982-03-25,1.04,1.06,1.02,1.06,217900,0.0,0.0
1982-03-26,1.04,1.06,1.03,1.04,152700,0.0,0.0
1982-03-29,1.02,1.03,1.0,1.01,192900,0.0,0.0
1982-03-30,1.03,1.04,1.0,1.03,141700,0.0,0.0
1982-03-31,1.06,1.08,1.03,1.07,168900,0.0,0.0
1982-04-01,1.07,1.08,1.06,1.07,132100,0.0,0.0
1982-04-02,1.1,1.13,1.08,1.11,391600,0.0,0.0
1982-04-05,1.13,1.14,1.1,1.11,227500,0.0,0.0
1982-04-06,1.12,1.13,1.1,1.11,261200,0.0,0.0
1982-04-07,1.13,1.14,1.1,1.11,227500,0.0,0.0
1982-04-08,1.11,1.13,1.09,1.1,862900,0.0,0.0
1982-04-12,1.07,1.11,1.03,1.06,202100,0.0,0.0
1982-04-13,1.03,1.06,1.0,1.03,326400,0.0,0.0
1982-04-14,1.03,1.05,1.0,1.02,198200,0.0,0.0
1982-04-15,1.0,1.02,0.99,1.01,581500,0.0,0.0
1982-04-16,1.01,1.03,1.0,1.02,312800,0.0,0.0
1982-04-19,1.0,1.02,0.98,0.99,354000,0.0,0.0
1982-04-20,0.99,1.0,0.97,0.99,259400,0.0,0.0
1982-04-21,0.98,0.99,0.97,0.98,259900,0.0,0.0
1982-04-22,1.0,1.03,0.97,1.03,407400,0.0,0.0
1982-04-23,1.06,1.07,1.04,1.07,405600,0.0,0.0
1982-04-26,1.11,1.13,1.08,1.13,288300,0.0,0.0
1982-04-27,1.13,1.16,1.11,1.15,635800,0.0,0.0
1982-04-28,1.19,1.24,1.15,1.24,543000,0.0,0.0
1982-04-29,1.2,1.22,1.17,1.17,804700,0.0,0.0
1982-04-30,1.19,1.21,1.16,1.19,321600,0.0,0.0
1982-05-03,1.19,1.21,1.18,1.2,143500,0.0,0.0
1982-05-04,1.19,1.2,1.16,1.16,200400,0.0,0.0
1982-05-05,1.16,1.18,1.14,1.15,135200,0.0,0.0
1982-05-06,1.17,1.18,1.15,1.17,74800,0.01828,0.0
1982-05-07,1.2,1.21,1.18,1.21,242400,0.0,0.0
1982-05-10,1.24,1.25,1.22,1.24,355700,0.0,0.0
1982-05-11,1.27,1.31,1.24,1.31,515900,0.0,0.0
1982-05-12,1.31,1.33,1.28,1.32,569300,0.0,0.0
1982-05-13,1.32,1.33,1.31,1.31,299300,0.0,0.0
1982-05-14,1.31,1.32,1.31,1.31,206900,0.0,0.0
1982-05-17,1.28,1.31,1.24,1.26,169700,0.0,0.0
1982-05-18,1.24,1.25,1.22,1.24,147000,0.0,0.0
1982-05-19,1.26,1.28,1.23,1.25,200400,0.0,0.0
1982-05-20,1.24,1.24,1.22,1.22,86200,0.0,0.0
1982-05-21,1.22,1.24,1.2,1.21,139500,0.0,0.0
1982-05-24,1.24,1.24,1.22,1.22,86200,0.0,0.0
1982-05-25,1.24,1.25,1.23,1.24,129000,0.0,0.0
1982-05-26,1.21,1.23,1.19,1.2,104500,0.0,0.0
1982-05-27,1.18,1.19,1.17,1.18,114600,0.0,0.0
1982-05-28,1.19,1.21,1.17,1.18,143500,0.0,0.0
1982-06-01,1.18,1.19,1.17,1.19,88800,0.0,0.0
1982-06-02,1.2,1.22,1.18,1.22,81300,0.0,0.0
1982-06-03,1.22,1.24,1.21,1.21,291000,0.0,0.0
1982-06-04,1.21,1.23,1.2,1.21,265600,0.0,0.0
1982-06-07,1.2,1.21,1.18,1.2,106300,0.0,0.0
1982-06-08,1.2,1.21,1.18,1.19,72200,0.0,0.0
1982-06-09,1.18,1.19,1.16,1.16,117200,0.0,0.0
1982-06-10,1.15,1.15,1.13,1.14,102800,0.0,0.0
1982-06-11,1.15,1.18,1.15,1.18,117200,0.0,0.0
1982-06-14,1.18,1.18,1.16,1.16,158400,0.0,0.0
1982-06-15,1.15,1.16,1.15,1.15,115900,0.0,0.0
1982-06-16,1.14,1.16,1.11,1.13,95300,0.0,0.0
1982-06-17,1.08,1.1,1.05,1.05,104100,0.0,0.0
1982-06-18,1.03,1.05,1.01,1.01,189400,0.0,0.0
1982-06-21,1.02,1.04,1.01,1.01,185900,0.0,0.0
1982-06-22,1.02,1.03,0.99,1.02,87900,0.0,0.0
1982-06-23,1.03,1.05,1.01,1.05,182000,0.0,0.0
1982-06-24,1.05,1.06,1.02,1.06,210900,0.0,0.0
1982-06-25,1.07,1.08,1.05,1.05,95300,0.0,0.0
1982-06-28,1.06,1.07,1.05,1.07,78300,0.0,0.0
1982-06-29,1.05,1.06,1.02,1.02,72600,0.0,0.0
1982-06-30,1.01,1.03,0.98,0.98,329900,0.0,0.0
1982-07-01,0.98,0.98,0.96,0.96,168900,0.0,0.0
1982-07-02,0.97,0.98,0.95,0.96,192100,0.0,0.0
1982-07-06,0.97,0.97,0.96,0.97,94000,0.0,0.0
1982-07-07,0.97,0.98,0.96,0.96,105400,0.0,0.0
