Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-10-07,26.81,28.77,26.23,27.03,63739500,0.0,0
2009-10-08,27.14,27.25,26.32,26.42,6906700,0.0,0
2009-10-09,26.64,27.3,26.2,26.22,3361300,0.0,0
2009-10-12,27.1,27.71,25.92,26.07,7177000,0.0,0
2009-10-13,26.48,27.07,26.36,27.0,3296000,0.0,0
2009-10-14,27.06,28.04,26.81,27.8,3222400,0.0,0
2009-10-15,28.08,28.6,27.56,28.11,3181300,0.0,0
2009-10-16,28.25,28.4,27.36,28.37,3974100,0.0,0
2009-10-19,28.32,28.69,27.31,27.31,1892100,0.0,0
2009-10-20,27.31,27.9,27.16,27.86,3387000,0.0,0
2009-10-21,27.81,28.15,27.67,27.81,1079000,0.0,0
2009-10-22,27.57,28.28,27.13,27.7,1172500,0.0,0
2009-10-23,27.81,28.19,27.32,28.17,2385700,0.0,0
2009-10-26,27.64,28.4,27.57,28.25,834400,0.0,0
2009-10-27,28.34,29.05,27.74,28.36,1578700,0.0,0
2009-10-28,28.01,28.35,27.37,27.5,1153500,0.0,0
2009-10-29,27.69,27.81,27.56,27.7,563500,0.0,0
2009-10-30,27.81,27.87,27.11,27.24,819600,0.0,0
2009-11-02,27.19,27.46,26.42,27.18,978000,0.0,0
2009-11-03,27.24,27.3,26.66,27.17,696500,0.0,0
2009-11-04,27.14,27.29,26.76,26.77,461200,0.0,0
2009-11-05,26.83,27.41,26.78,27.11,470400,0.0,0
2009-11-06,26.96,27.15,26.76,26.91,310800,0.0,0
2009-11-09,27.06,27.5,26.86,27.39,615600,0.0,0
2009-11-10,27.06,28.06,27.06,27.48,287300,0.0,0
2009-11-11,27.74,28.92,27.44,28.78,1174600,0.0,0
2009-11-12,28.58,29.79,28.23,28.7,1211600,0.0,0
2009-11-13,28.58,28.88,28.31,28.7,414900,0.0,0
2009-11-16,28.55,28.81,28.05,28.65,1424300,0.0,0
2009-11-17,28.35,28.76,27.21,27.66,2496000,0.0,0
2009-11-18,28.19,28.8,27.96,28.3,730900,0.0,0
2009-11-19,28.61,28.69,27.75,28.34,1223600,0.0,0
2009-11-20,28.3,28.44,28.22,28.35,875700,0.0,0
2009-11-23,28.48,28.48,27.48,28.2,447600,0.0,0
2009-11-24,27.98,27.98,27.46,27.59,685400,0.0,0
2009-11-25,27.53,27.62,26.98,27.11,892800,0.0,0
2009-11-27,26.77,26.99,26.47,26.8,264600,0.0,0
2009-11-30,27.15,27.21,26.54,26.72,888700,0.0,0
2009-12-01,26.72,27.86,26.72,27.59,617200,0.0,0
2009-12-02,27.57,27.62,27.16,27.32,820900,0.0,0
2009-12-03,27.62,27.75,27.31,27.53,491800,0.0,0
2009-12-04,27.66,28.24,27.66,28.23,535500,0.0,0
2009-12-07,28.0,28.78,27.75,28.54,361500,0.0,0
2009-12-08,28.21,28.72,27.71,28.41,398200,0.0,0
2009-12-09,28.13,28.5,27.98,28.45,449600,0.0,0
2009-12-10,28.37,28.5,27.93,28.2,435200,0.0,0
2009-12-11,27.83,28.61,27.81,28.46,590700,0.0,0
2009-12-14,28.36,28.84,28.36,28.79,502300,0.0,0
2009-12-15,28.73,29.27,28.57,29.1,891900,0.0,0
2009-12-16,29.07,30.75,28.95,30.18,1572400,0.0,0
2009-12-17,30.04,30.43,29.79,30.19,929200,0.0,0
2009-12-18,30.17,30.78,29.52,30.35,8298500,0.0,0
2009-12-21,30.57,30.57,29.68,30.29,885900,0.0,0
2009-12-22,30.13,30.64,29.89,30.37,420900,0.0,0
2009-12-23,30.47,30.72,30.0,30.47,845700,0.0,0
2009-12-24,30.58,30.96,30.47,30.59,170800,0.0,0
2009-12-28,30.68,30.9,30.41,30.74,250100,0.0,0
2009-12-29,30.71,30.92,30.49,30.78,283400,0.0,0
2009-12-30,30.7,30.78,30.24,30.78,175200,0.0,0
2009-12-31,30.65,30.78,30.0,30.07,154600,0.0,0
2010-01-04,30.2,30.29,29.46,29.64,390000,0.0,0
2010-01-05,29.64,29.86,29.29,29.84,430000,0.0,0
2010-01-06,29.79,30.66,29.79,30.23,848900,0.0,0
2010-01-07,30.15,30.47,29.59,30.18,426600,0.0,0
2010-01-08,30.0,30.06,29.77,29.79,253200,0.0,0
2010-01-11,29.82,29.9,29.54,29.72,676500,0.0,0
2010-01-12,29.78,30.17,29.63,29.95,742000,0.0,0
2010-01-13,29.89,30.08,29.89,29.94,394400,0.0,0
2010-01-14,29.88,29.89,29.68,29.7,301100,0.0,0
2010-01-15,29.56,29.71,28.46,28.75,766000,0.0,0
2010-01-19,28.64,28.64,27.62,27.76,1531700,0.0,0
2010-01-20,27.62,27.9,27.5,27.8,957600,0.0,0
2010-01-21,27.8,28.2,27.72,27.85,681800,0.0,0
2010-01-22,28.0,28.17,27.74,27.82,595600,0.0,0
2010-01-25,27.79,28.04,27.72,27.76,256500,0.0,0
2010-01-26,27.64,28.55,27.64,28.15,302600,0.0,0
2010-01-27,28.03,29.04,27.82,28.7,475200,0.0,0
2010-01-28,28.55,28.83,28.37,28.57,495200,0.0,0
2010-01-29,28.63,28.7,27.81,27.92,389800,0.0,0
2010-02-01,28.01,28.26,28.0,28.21,400800,0.0,0
2010-02-02,28.19,28.39,27.71,27.77,536200,0.0,0
2010-02-03,27.77,27.93,27.71,27.8,309300,0.0,0
2010-02-04,27.74,27.75,27.52,27.56,617700,0.0,0
2010-02-05,27.56,27.63,26.46,27.51,645500,0.0,0
2010-02-08,27.54,27.72,27.19,27.44,632500,0.0,0
2010-02-09,27.39,27.9,27.39,27.65,1451000,0.0,0
2010-02-10,27.77,27.89,27.32,27.65,496600,0.0,0
2010-02-11,27.51,27.98,27.51,27.83,346900,0.0,0
2010-02-12,27.52,28.19,27.34,28.11,875600,0.0,0
2010-02-16,27.9,28.21,27.76,28.05,213500,0.0,0
2010-02-17,27.87,28.1,27.66,27.75,456100,0.0,0
2010-02-18,27.58,27.9,27.47,27.81,613800,0.0,0
2010-02-19,27.64,28.03,27.64,27.82,152500,0.0,0
2010-02-22,27.81,28.22,27.7,28.04,290500,0.0,0
2010-02-23,28.22,28.22,27.63,27.82,390400,0.0,0
2010-02-24,27.8,27.81,27.69,27.77,263000,0.0,0
2010-02-25,27.64,27.86,27.64,27.79,328900,0.0,0
2010-02-26,27.88,28.1,27.77,28.1,632800,0.0,0
2010-03-01,28.26,28.54,28.02,28.2,321800,0.0,0
2010-03-02,28.2,28.45,27.6,27.83,468000,0.0,0
2010-03-03,27.75,27.93,27.18,27.44,663200,0.0,0
2010-03-04,27.38,27.75,26.86,27.05,294700,0.0,0
2010-03-05,27.08,27.39,27.07,27.19,716400,0.0,0
2010-03-08,27.05,29.15,26.98,28.83,680100,0.0,0
2010-03-09,28.57,28.72,27.78,28.25,706800,0.0,0
2010-03-10,28.15,28.59,28.15,28.33,413000,0.0,0
2010-03-11,28.39,28.4,27.81,27.99,479100,0.0,0
2010-03-12,28.23,28.51,27.81,28.0,537800,0.0,0
2010-03-15,27.87,27.99,27.7,27.9,463300,0.0,0
2010-03-16,27.86,27.95,27.79,27.86,623800,0.0,0
2010-03-17,27.95,27.95,27.81,27.82,415200,0.0,0
2010-03-18,27.82,28.3,27.81,28.17,232800,0.0,0
2010-03-19,28.09,28.33,27.59,28.09,462000,0.0,0
2010-03-22,28.02,28.57,27.94,28.0,253800,0.0,0
2010-03-23,27.86,28.22,27.62,27.81,341500,0.0,0
2010-03-24,27.81,28.06,27.63,27.83,628600,0.0,0
