Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1983-11-21,0.3,0.3,0.28,0.3,5020600,0.0,0.0
1983-11-22,0.3,0.31,0.3,0.3,2666700,0.0,0.0
1983-11-23,0.3,0.3,0.3,0.3,1151900,0.0,0.0
1983-11-25,0.3,0.3,0.3,0.3,1771800,0.0,0.0
1983-11-28,0.29,0.29,0.29,0.29,2367800,0.0,0.0
1983-11-29,0.29,0.29,0.28,0.28,1630400,0.0,0.0
1983-11-30,0.28,0.29,0.28,0.28,2423100,0.0,0.0
1983-12-01,0.28,0.29,0.28,0.28,6249000,0.0,0.0
1983-12-02,0.28,0.29,0.28,0.28,1763800,0.0,0.0
1983-12-05,0.28,0.28,0.28,0.28,1084300,0.0,0.0
1983-12-06,0.28,0.28,0.28,0.28,2176500,0.0,0.0
1983-12-07,0.28,0.29,0.28,0.28,4855900,0.0,0.0
1983-12-08,0.28,0.29,0.28,0.28,7360000,0.0,0.0
1983-12-09,0.28,0.29,0.28,0.29,5222400,0.0,0.0
1983-12-12,0.29,0.29,0.28,0.29,2834900,0.0,0.0
1983-12-13,0.29,0.29,0.29,0.29,6692900,0.0,0.0
1983-12-14,0.29,0.29,0.29,0.29,2520800,0.0,0.0
1983-12-15,0.29,0.29,0.29,0.29,2323400,0.0,0.0
1983-12-16,0.29,0.29,0.29,0.29,2452400,0.0,0.0
1983-12-19,0.29,0.29,0.29,0.29,1610800,0.0,0.0
1983-12-20,0.29,0.29,0.29,0.29,1937400,0.0,0.0
1983-12-21,0.29,0.29,0.29,0.29,1935600,0.0,0.0
1983-12-22,0.29,0.29,0.28,0.28,4871100,0.0,0.0
1983-12-23,0.28,0.28,0.28,0.28,2338500,0.0,0.0
1983-12-27,0.28,0.28,0.28,0.28,3004800,0.0,0.0
1983-12-28,0.28,0.28,0.28,0.28,4580100,0.0,0.0
1983-12-29,0.28,0.28,0.28,0.28,2998600,0.0,0.0
1983-12-30,0.28,0.28,0.28,0.28,1745100,0.0,0.0
1984-01-03,0.28,0.29,0.28,0.29,1973700,0.0,0.0
1984-01-04,0.29,0.3,0.29,0.3,3632800,0.0,0.0
1984-01-05,0.3,0.31,0.3,0.3,3759100,0.0,0.0
1984-01-06,0.3,0.31,0.3,0.3,4508100,0.0,0.0
1984-01-09,0.3,0.3,0.3,0.3,1791400,0.0,0.0
1984-01-10,0.3,0.3,0.3,0.3,1571700,0.0,0.0
1984-01-11,0.3,0.3,0.3,0.3,1258500,0.0,0.0
1984-01-12,0.3,0.3,0.3,0.3,1421300,0.0,0.0
1984-01-13,0.31,0.31,0.31,0.31,3148000,0.0,0.0
1984-01-16,0.31,0.32,0.31,0.31,2448900,0.0,0.0
1984-01-17,0.31,0.31,0.31,0.31,2151700,0.0,0.0
1984-01-18,0.31,0.31,0.31,0.31,2929200,0.0,0.0
1984-01-19,0.31,0.31,0.31,0.31,1812700,0.0,0.0
1984-01-20,0.31,0.32,0.31,0.32,2088500,0.0,0.0
1984-01-23,0.32,0.32,0.31,0.31,1159800,0.0,0.0
1984-01-24,0.31,0.31,0.31,0.31,1173100,0.0,0.0
1984-01-25,0.31,0.32,0.31,0.31,1711300,0.0,0.0
1984-01-26,0.31,0.31,0.31,0.31,2941600,0.0,0.0
1984-01-27,0.31,0.32,0.31,0.32,3006600,0.0,0.0
1984-01-30,0.32,0.32,0.31,0.32,2378600,0.0,0.0
1984-01-31,0.32,0.32,0.31,0.32,1618900,0.0,0.0
1984-02-01,0.32,0.32,0.31,0.32,1755800,0.0,0.0
1984-02-02,0.32,0.32,0.32,0.32,3180900,0.0,0.0
1984-02-03,0.32,0.32,0.32,0.32,2632000,0.0,0.0
1984-02-06,0.32,0.32,0.31,0.31,1496100,0.0,0.0
1984-02-07,0.31,0.31,0.31,0.31,2166000,0.0,0.0
1984-02-08,0.31,0.31,0.3,0.3,3898000,0.0,0.0
1984-02-09,0.3,0.31,0.3,0.3,2035200,0.0,0.0
1984-02-10,0.3,0.3,0.3,0.3,1963100,0.0,0.0
1984-02-13,0.3,0.3,0.3,0.3,2589400,0.0,0.0
1984-02-14,0.3,0.31,0.3,0.3,2308300,0.0,0.0
1984-02-15,0.3,0.31,0.3,0.31,3431800,0.0,0.0
1984-02-16,0.31,0.31,0.31,0.31,2198000,0.0,0.0
1984-02-17,0.31,0.31,0.31,0.31,2092100,0.0,0.0
1984-02-21,0.31,0.31,0.31,0.31,901900,0.0,0.0
1984-02-22,0.31,0.31,0.3,0.3,2301900,0.0,0.0
1984-02-23,0.3,0.3,0.3,0.3,3991400,0.0,0.0
1984-02-24,0.3,0.31,0.3,0.31,2882900,0.0,0.0
1984-02-27,0.3,0.3,0.3,0.3,1392900,0.0,0.0
1984-02-28,0.3,0.31,0.3,0.3,1844000,0.0,0.0
1984-02-29,0.3,0.3,0.3,0.3,1538700,0.0,0.0
1984-03-01,0.3,0.31,0.3,0.31,1686500,0.0,0.0
1984-03-02,0.31,0.32,0.31,0.31,2618700,0.0,0.0
1984-03-05,0.31,0.31,0.31,0.31,1004100,0.0,0.0
1984-03-06,0.31,0.31,0.31,0.31,1658000,0.0,0.0
1984-03-07,0.31,0.31,0.31,0.31,1157200,0.0,0.0
1984-03-08,0.31,0.31,0.3,0.31,1531700,0.0,0.0
1984-03-09,0.31,0.31,0.3,0.3,1591300,0.0,0.0
1984-03-12,0.3,0.31,0.3,0.3,2020000,0.0,0.0
1984-03-13,0.3,0.31,0.3,0.3,3405000,0.0,0.0
1984-03-14,0.3,0.31,0.3,0.3,2823300,0.0,0.0
1984-03-15,0.3,0.31,0.3,0.3,2071600,0.0,0.0
1984-03-16,0.31,0.31,0.31,0.31,2681000,0.0,0.0
1984-03-19,0.31,0.31,0.3,0.3,2359000,0.0,0.0
1984-03-20,0.3,0.31,0.3,0.31,1939900,0.0,0.0
1984-03-21,0.31,0.31,0.3,0.31,1823500,0.0,0.0
1984-03-22,0.31,0.31,0.3,0.3,3875700,0.0,0.0
1984-03-23,0.3,0.31,0.3,0.31,2400800,0.0,0.0
1984-03-26,0.31,0.31,0.31,0.31,2479000,0.17986,0.0
1984-03-27,0.31,0.31,0.31,0.31,2479000,0.0,0.0
1984-03-28,0.31,0.31,0.31,0.31,1105600,0.0,0.0
1984-03-29,0.31,0.31,0.31,0.31,1230200,0.0,0.0
1984-03-30,0.31,0.31,0.31,0.31,1709600,0.0,0.0
1984-04-02,0.31,0.31,0.3,0.31,3476200,0.0,0.0
1984-04-03,0.31,0.31,0.3,0.31,3167600,0.0,0.0
1984-04-04,0.31,0.31,0.3,0.3,1837600,0.0,0.0
1984-04-05,0.3,0.3,0.3,0.3,1261200,0.0,0.0
1984-04-06,0.3,0.3,0.3,0.3,1395500,0.0,0.0
1984-04-09,0.3,0.3,0.3,0.3,1220200,0.0,0.0
1984-04-10,0.3,0.3,0.3,0.3,1908800,0.0,0.0
1984-04-11,0.3,0.3,0.29,0.29,1806600,0.0,0.0
1984-04-12,0.29,0.29,0.29,0.29,2258400,0.0,0.0
1984-04-13,0.29,0.3,0.29,0.29,3348100,0.0,0.0
1984-04-16,0.29,0.29,0.29,0.29,1379500,0.0,0.0
1984-04-17,0.29,0.3,0.29,0.29,6448300,0.0,0.0
1984-04-18,0.29,0.3,0.29,0.29,3972600,0.0,0.0
1984-04-19,0.29,0.29,0.29,0.29,2277100,0.0,0.0
1984-04-23,0.29,0.3,0.29,0.29,1508600,0.0,0.0
1984-04-24,0.29,0.3,0.29,0.3,1869700,0.0,0.0
1984-04-25,0.3,0.3,0.3,0.3,1320900,0.0,0.0
1984-04-26,0.3,0.31,0.3,0.31,2325100,0.0,0.0
1984-04-27,0.31,0.31,0.3,0.3,1419500,0.0,0.0
1984-04-30,0.3,0.3,0.3,0.3,1348400,0.0,0.0
1984-05-01,0.3,0.31,0.3,0.31,1558300,0.0,0.0
1984-05-02,0.31,0.31,0.31,0.31,1440000,0.0,0.0
1984-05-03,0.31,0.31,0.31,0.31,1946200,0.0,0.0
1984-05-04,0.31,0.31,0.31,0.31,1182900,0.0,0.0
1984-05-07,0.31,0.31,0.31,0.31,911700,0.0,0.0
1984-05-08,0.31,0.31,0.31,0.31,2358100,0.0,0.0
1984-05-09,0.31,0.31,0.31,0.31,1525500,0.0,0.0
1984-05-10,0.31,0.31,0.31,0.31,1154600,0.0,0.0
1984-05-11,0.31,0.31,0.31,0.31,919600,0.0,0.0
1984-05-14,0.31,0.31,0.31,0.31,867100,0.0,0.0
1984-05-15,0.31,0.31,0.31,0.31,1392900,0.0,0.0
1984-05-16,0.31,0.31,0.31,0.31,1199900,0.0,0.0
1984-05-17,0.31,0.31,0.3,0.3,1306600,0.0,0.0
1984-05-18,0.3,0.3,0.3,0.3,2086800,0.0,0.0
1984-05-21,0.3,0.31,0.3,0.3,953500,0.0,0.0
