Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-02-21,0.0,5.36,5.18,5.2,69200.0,0.0,0.0
1973-02-22,0.0,5.2,5.14,5.14,79600.0,0.0,0.0
1973-02-23,0.0,5.18,4.9,4.96,158000.0,0.0,0.0
1973-02-26,0.0,4.96,4.88,4.96,50200.0,0.0,0.0
1973-02-27,0.0,5.0,4.83,4.83,17800.0,0.0,0.0
1973-02-28,0.0,5.0,4.88,4.92,103800.0,0.0,0.0
1973-03-01,0.0,4.96,4.88,4.94,81000.0,0.0,0.0
1973-03-02,0.0,4.94,4.83,4.94,16600.0,0.0,0.0
1973-03-05,0.0,5.02,4.92,4.96,10200.0,0.0,0.0
1973-03-06,0.0,5.24,5.0,5.16,47000.0,0.0,0.0
1973-03-07,0.0,5.26,5.08,5.26,43200.0,0.0,0.0
1973-03-08,0.0,5.3,5.24,5.3,12600.0,0.0,0.0
1973-03-09,0.0,5.3,5.26,5.26,10800.0,0.0,0.0
1973-03-12,0.0,5.3,5.2,5.3,8400.0,0.0,0.0
1973-03-13,0.0,5.42,5.32,5.42,18600.0,0.0,0.0
1973-03-14,0.0,5.53,5.46,5.53,43400.0,0.0,0.0
1973-03-15,0.0,5.53,5.42,5.46,11800.0,0.0,0.0
1973-03-16,0.0,5.44,5.26,5.32,69200.0,0.0,0.0
1973-03-19,0.0,5.28,5.08,5.08,8200.0,0.0,0.0
1973-03-20,0.0,5.04,4.92,5.04,76400.0,0.0,0.0
1973-03-21,0.0,5.08,4.96,4.96,11000.0,0.0,0.0
1973-03-22,0.0,5.0,4.92,4.92,13400.0,0.0,0.0
1973-03-23,0.0,4.94,4.88,4.9,30400.0,0.0,0.0
1973-03-26,0.0,4.94,4.88,4.94,26400.0,0.0,0.0
1973-03-27,0.0,5.32,4.96,5.24,30200.0,0.0,0.0
1973-03-28,0.0,5.36,5.2,5.36,33800.0,0.0,0.0
1973-03-29,0.0,5.36,5.3,5.3,38800.0,0.0,0.0
1973-03-30,0.0,5.22,5.12,5.14,24400.0,0.0,0.0
1973-04-02,0.0,5.04,5.02,5.02,20800.0,0.0,0.0
1973-04-03,0.0,5.0,4.88,4.9,33200.0,0.0,0.0
1973-04-04,0.0,4.92,4.79,4.88,16800.0,0.0,0.0
1973-04-05,0.0,4.9,4.75,4.88,27200.0,0.0,0.0
1973-04-06,0.0,5.04,4.79,4.88,29600.0,0.0,0.0
1973-04-09,0.0,4.9,4.83,4.83,46200.0,0.0,0.0
1973-04-10,0.0,5.0,4.88,4.96,34600.0,0.0,0.0
1973-04-11,0.0,5.12,5.0,5.12,18200.0,0.0,0.0
1973-04-12,0.0,5.36,5.14,5.24,20200.0,0.0,0.0
1973-04-13,0.0,5.4,5.2,5.38,14800.0,0.0,0.0
1973-04-16,0.0,5.42,5.24,5.24,18200.0,0.0,0.0
1973-04-17,0.0,5.36,5.28,5.36,16000.0,0.0,0.0
1973-04-18,0.0,5.36,5.32,5.32,16600.0,0.0,0.0
1973-04-19,0.0,5.44,5.36,5.36,19800.0,0.0,0.0
1973-04-23,0.0,5.2,5.16,5.16,59200.0,0.0,0.0
1973-04-24,0.0,5.18,5.12,5.12,6200.0,0.0,0.0
1973-04-25,0.0,5.12,4.88,4.88,57000.0,0.0,0.0
1973-04-26,0.0,4.92,4.79,4.81,65400.0,0.0,0.0
1973-04-27,0.0,4.81,4.63,4.63,64000.0,0.0,0.0
1973-04-30,0.0,4.55,4.39,4.47,92800.0,0.0,0.0
1973-05-01,0.0,4.51,4.23,4.23,62600.0,0.0,0.0
1973-05-02,0.0,4.39,4.18,4.35,79800.0,0.0,0.0
1973-05-03,0.0,4.43,4.23,4.39,48400.0,0.0,0.0
1973-05-04,0.0,4.67,4.59,4.61,32600.0,0.0,0.0
1973-05-07,0.0,4.71,4.63,4.67,6800.0,0.0,0.0
1973-05-08,0.0,4.63,4.55,4.59,35000.0,0.0,0.0
1973-05-09,0.0,4.63,4.43,4.51,58600.0,0.0,0.0
1973-05-10,0.0,4.47,4.39,4.47,4600.0,0.0,0.0
1973-05-11,0.0,4.41,4.23,4.23,5800.0,0.0,0.0
1973-05-14,0.0,4.14,4.06,4.08,76600.0,0.0,0.0
1973-05-15,0.0,4.16,3.98,4.16,41000.0,0.0,0.0
1973-05-16,0.0,4.27,4.06,4.27,21400.0,0.0,0.0
1973-05-17,0.0,4.39,4.23,4.25,41800.0,0.0,0.0
1973-05-18,0.0,4.23,4.2,4.23,56400.0,0.0,0.0
1973-05-21,0.0,4.23,4.14,4.14,42400.0,0.0,0.0
1973-05-22,0.0,4.27,4.14,4.16,52600.0,0.0,0.0
1973-05-23,0.0,4.27,4.14,4.23,115000.0,0.0,0.0
1973-05-24,0.0,4.55,4.27,4.49,50400.0,0.0,0.0
1973-05-25,0.0,4.55,4.47,4.51,27400.0,0.0,0.0
1973-05-29,0.0,4.51,4.27,4.31,20800.0,0.0,0.0
1973-05-30,0.0,4.35,4.27,4.29,29800.0,0.0,0.0
1973-05-31,0.0,4.35,4.27,4.31,16200.0,0.0,0.0
1973-06-01,0.0,4.31,4.23,4.23,15000.0,0.0,0.0
1973-06-04,0.0,4.18,4.02,4.06,38400.0,0.0,0.0
1973-06-05,0.0,4.14,4.06,4.14,11600.0,0.0,0.0
1973-06-06,0.0,4.14,3.88,3.94,87600.0,0.0,0.0
